open,high,low,close,date,volume
440.0,450.0,430.85,443.45,2022-12-06,7376
449.9,449.9,426.0,439.3,2022-12-07,4494
433.0,450.0,432.05,443.95,2022-12-08,3284
451.0,451.3,437.5,443.05,2022-12-09,4903
449.4,449.4,430.55,437.1,2022-12-12,3452
446.0,446.0,433.6,436.3,2022-12-13,4525
439.45,439.45,429.0,431.1,2022-12-14,4489
431.0,434.0,422.35,428.6,2022-12-15,3818
426.55,430.0,422.0,425.25,2022-12-16,5589
435.5,435.5,422.3,429.8,2022-12-19,7973
422.05,430.0,422.05,429.5,2022-12-20,2224
431.95,432.05,408.05,409.55,2022-12-21,11241
408.0,416.0,396.05,406.55,2022-12-22,8215
402.1,405.05,386.25,386.25,2022-12-23,11100
385.0,402.1,367.5,381.8,2022-12-26,15036
391.9,400.0,381.15,394.45,2022-12-27,11849
392.15,400.15,391.85,394.55,2022-12-28,7264
395.9,397.95,385.5,393.9,2022-12-29,5215
394.0,408.2,385.0,397.25,2022-12-30,4842
399.0,407.05,393.15,397.6,2023-01-02,6221
399.95,407.05,396.4,403.15,2023-01-03,5284
404.05,407.9,400.3,402.1,2023-01-04,3654
401.5,404.1,396.85,399.95,2023-01-05,4633
399.1,407.0,396.5,403.65,2023-01-06,6082
413.0,415.0,403.85,408.65,2023-01-09,5397
415.0,415.0,400.6,403.15,2023-01-10,2718
414.0,423.3,399.25,420.4,2023-01-11,17966
424.0,424.0,407.3,413.55,2023-01-12,5978
415.4,418.95,402.1,408.45,2023-01-13,7774
407.6,413.95,400.0,401.75,2023-01-16,6762
406.75,406.75,400.3,404.95,2023-01-17,4118
404.95,408.5,400.9,404.9,2023-01-18,2490
409.65,409.7,401.25,402.65,2023-01-19,3443
402.6,408.9,401.6,402.9,2023-01-20,3964
405.0,405.0,397.5,399.9,2023-01-23,5681
402.9,403.75,395.5,397.1,2023-01-24,2111
400.3,400.3,380.05,390.2,2023-01-25,8588
397.1,397.75,371.25,377.25,2023-01-27,8805
374.0,396.1,374.0,395.25,2023-01-30,7582
409.9,412.0,398.9,407.9,2023-01-31,6976
