open,high,low,close,date,volume
542.6,564.5,542.55,555.9,2022-09-29,202835
557.0,572.9,551.55,568.95,2022-09-30,231189
568.95,579.5,556.95,567.95,2022-10-03,109848
574.5,594.0,566.55,589.1,2022-10-04,334314
589.0,598.0,583.0,585.5,2022-10-06,196249
584.5,585.65,573.0,575.15,2022-10-07,130108
567.7,574.95,559.8,571.85,2022-10-10,88913
574.2,577.7,560.55,567.1,2022-10-11,121064
568.4,568.95,556.0,562.8,2022-10-12,104341
561.3,569.35,553.95,560.65,2022-10-13,139886
571.7,576.0,565.65,569.9,2022-10-14,166065
585.0,608.85,580.6,597.55,2022-10-17,2278412
597.55,608.5,590.9,602.6,2022-10-18,496145
604.7,606.0,590.0,595.85,2022-10-19,224850
588.0,617.0,587.05,613.15,2022-10-20,635309
613.15,613.15,597.0,601.7,2022-10-21,192674
607.3,607.3,600.0,601.9,2022-10-24,33554
600.0,608.1,595.0,600.7,2022-10-25,314697
600.85,609.9,597.05,600.35,2022-10-27,326280
603.4,606.0,594.5,598.45,2022-10-28,185002
601.45,638.0,600.5,629.35,2022-10-31,1411642
629.0,638.85,620.45,629.35,2022-11-01,392077
628.95,643.0,626.05,639.3,2022-11-02,410729
628.0,641.0,628.0,633.1,2022-11-03,182801
636.3,656.5,634.0,649.75,2022-11-04,669548
648.0,648.0,632.1,635.3,2022-11-07,193090
639.0,639.0,622.0,627.4,2022-11-09,167028
625.3,625.3,600.0,604.85,2022-11-10,233790
607.9,614.75,606.0,608.7,2022-11-11,110719
609.5,609.95,602.0,606.7,2022-11-14,83595
609.4,611.95,602.0,608.55,2022-11-15,94727
609.4,621.0,597.25,604.45,2022-11-16,241773
600.0,614.85,596.05,605.9,2022-11-17,199314
605.9,610.7,593.0,600.7,2022-11-18,120407
601.4,605.5,594.5,597.3,2022-11-21,86544
598.0,601.0,591.9,596.55,2022-11-22,90580
599.55,602.9,592.0,593.75,2022-11-23,108838
596.0,598.95,591.0,593.6,2022-11-24,78308
594.8,599.95,584.45,588.4,2022-11-25,146948
587.3,594.9,585.55,588.85,2022-11-28,122691
588.85,595.95,586.25,588.55,2022-11-29,120798
588.55,599.0,588.55,597.4,2022-11-30,186205
604.7,607.7,594.05,597.6,2022-12-01,177083
597.45,601.7,594.0,597.5,2022-12-02,89810
593.0,598.8,589.05,593.35,2022-12-05,112053
593.0,597.0,585.1,586.35,2022-12-06,146672
588.0,590.65,575.0,579.4,2022-12-07,111268
582.0,585.0,577.15,582.7,2022-12-08,87666
585.5,585.5,572.0,574.7,2022-12-09,200106
572.05,574.8,563.8,570.2,2022-12-12,97311
572.5,607.7,572.5,603.95,2022-12-13,940226
605.0,609.45,599.0,605.55,2022-12-14,212284
601.0,603.95,590.2,593.65,2022-12-15,105948
592.2,606.95,591.1,594.05,2022-12-16,213844
597.0,629.0,583.65,622.45,2022-12-19,760457
622.45,622.5,605.0,608.3,2022-12-20,291641
606.0,609.6,588.6,590.65,2022-12-21,1271416
591.0,599.0,580.05,585.4,2022-12-22,147098
580.0,580.0,568.25,572.1,2022-12-23,123397
575.0,593.2,571.0,578.1,2022-12-26,107598
579.0,591.0,577.75,581.75,2022-12-27,65015
581.75,597.1,576.0,590.05,2022-12-28,142624
589.6,598.45,584.0,590.4,2022-12-29,95976
594.6,604.95,590.15,600.9,2022-12-30,233194
600.9,604.0,596.8,600.55,2023-01-02,89597
603.0,605.0,595.7,601.3,2023-01-03,97691
599.0,602.6,593.4,597.55,2023-01-04,113262
595.0,599.9,589.0,596.45,2023-01-05,75415
599.45,599.45,587.0,591.35,2023-01-06,57793
593.05,598.75,591.45,594.6,2023-01-09,35928
595.0,595.5,586.95,593.1,2023-01-10,34903
595.0,598.9,582.55,585.5,2023-01-11,101106
590.0,590.9,583.25,586.5,2023-01-12,58692
590.0,598.8,581.0,585.75,2023-01-13,126401
630.0,644.3,622.2,644.3,2023-01-16,1841302
652.8,664.75,630.0,637.65,2023-01-17,1667429
631.0,680.0,631.0,675.1,2023-01-18,2403864
673.05,685.0,666.65,678.5,2023-01-19,840504
675.0,675.0,655.1,656.95,2023-01-20,376622
660.0,662.65,643.0,645.85,2023-01-23,155676
649.1,653.05,632.2,636.05,2023-01-24,140516
636.05,642.95,618.05,624.05,2023-01-25,136814
626.5,633.4,598.0,617.65,2023-01-27,169786
605.1,617.5,602.1,606.85,2023-01-30,135932
614.0,641.05,604.6,631.25,2023-01-31,200437
633.0,644.0,606.0,616.7,2023-02-01,129548
616.7,640.0,613.1,625.85,2023-02-02,145652
629.0,634.0,616.0,622.4,2023-02-03,101468
620.0,632.0,618.65,624.7,2023-02-06,76050
630.0,647.25,622.0,632.65,2023-02-07,275434
632.65,636.9,621.95,630.3,2023-02-08,105388
635.0,643.3,626.55,636.65,2023-02-09,110814
636.65,639.0,625.0,627.5,2023-02-10,77700
627.5,646.7,626.5,642.3,2023-02-13,308363
642.3,645.0,632.0,636.75,2023-02-14,117587
637.5,640.15,626.05,635.75,2023-02-15,88747
638.95,647.15,630.5,635.2,2023-02-16,185276
634.0,639.7,630.9,634.7,2023-02-17,60641
630.0,635.95,622.7,627.4,2023-02-20,186790
626.0,633.5,618.0,623.55,2023-02-21,56716
618.25,621.45,582.0,590.55,2023-02-22,278532
592.0,607.55,580.25,595.85,2023-02-23,161741
598.0,606.7,588.4,592.05,2023-02-24,72961
588.1,594.2,570.2,579.75,2023-02-27,132086
581.0,587.85,572.5,577.55,2023-02-28,170142
579.25,586.85,575.2,581.6,2023-03-01,120291
581.75,589.2,580.5,584.75,2023-03-02,67967
587.45,605.1,583.4,590.75,2023-03-03,170111
594.0,616.35,590.75,602.35,2023-03-06,275753
599.2,608.8,587.2,604.95,2023-03-08,218590
605.15,608.75,598.0,605.5,2023-03-09,128993
599.95,602.95,592.45,599.0,2023-03-10,93268
595.0,603.8,594.1,597.75,2023-03-13,98997
594.0,604.0,583.55,590.0,2023-03-14,108111
595.0,597.5,577.2,582.3,2023-03-15,123574
582.3,583.95,565.0,578.15,2023-03-16,141704
581.05,588.55,568.45,578.55,2023-03-17,509451
583.0,617.0,565.4,598.45,2023-03-20,259056
604.0,607.9,598.45,600.15,2023-03-21,172264
600.15,603.6,591.15,594.7,2023-03-22,139854
587.0,593.7,580.3,586.7,2023-03-23,190178
580.0,602.2,580.0,588.15,2023-03-24,252253
591.1,593.15,573.25,580.95,2023-03-27,182079
580.95,584.75,572.0,581.1,2023-03-28,139964
577.3,596.0,577.3,591.6,2023-03-29,206434
592.95,600.0,588.45,595.2,2023-03-31,206259
598.0,598.0,581.85,587.75,2023-04-03,244014
588.0,604.0,586.4,594.05,2023-04-05,172024
594.05,608.95,592.15,604.1,2023-04-06,133252
604.15,621.0,604.15,616.35,2023-04-10,151883
620.0,623.95,613.75,619.15,2023-04-11,195270
618.0,635.95,618.0,629.9,2023-04-12,226895
630.0,647.0,615.55,642.1,2023-04-13,297719
647.0,665.5,638.9,649.65,2023-04-17,545315
664.0,698.0,662.65,665.95,2023-04-18,3355553
674.0,681.45,651.1,657.55,2023-04-19,647684
661.95,664.7,649.0,660.35,2023-04-20,278002
662.0,684.1,654.0,673.15,2023-04-21,419920
682.7,697.0,661.5,664.35,2023-04-24,675317
668.7,681.0,662.45,678.8,2023-04-25,258792
672.0,680.0,668.1,674.55,2023-04-26,255895
676.35,676.35,664.4,670.05,2023-04-27,162348
673.0,677.95,669.0,675.0,2023-04-28,134631
679.0,699.0,675.05,690.2,2023-05-02,429297
690.85,706.5,680.6,683.85,2023-05-03,532730
683.7,693.95,678.05,683.7,2023-05-04,166226
684.2,691.0,662.2,666.8,2023-05-05,183684
666.75,681.55,665.0,673.25,2023-05-08,138452
