open,high,low,close,date,volume
222.6,222.6,213.3,214.3,2022-09-29,8808
215.95,221.9,215.95,219.25,2022-09-30,13175
222.0,222.0,212.75,213.4,2022-10-03,6591
217.65,219.9,215.65,216.2,2022-10-04,20304
218.5,222.15,216.15,219.9,2022-10-06,20093
217.85,224.95,217.85,223.75,2022-10-07,25544
223.0,223.0,218.0,220.8,2022-10-10,17218
222.9,227.9,217.7,221.35,2022-10-11,21285
221.35,223.5,218.1,218.6,2022-10-12,9445
220.85,222.0,212.8,215.75,2022-10-13,8115
220.05,224.0,214.1,215.2,2022-10-14,7856
214.95,217.25,212.5,213.5,2022-10-17,6749
214.7,215.5,213.25,214.05,2022-10-18,5633
215.1,216.95,211.0,211.75,2022-10-19,7568
212.25,212.6,210.0,211.85,2022-10-20,5454
215.8,215.8,208.5,209.75,2022-10-21,13657
212.95,213.75,202.25,206.6,2022-10-24,9052
206.6,209.8,205.05,207.55,2022-10-25,6182
205.0,209.75,205.0,207.7,2022-10-27,4898
211.3,211.3,201.4,202.75,2022-10-28,10332
203.0,210.95,203.0,209.15,2022-10-31,15920
209.9,217.0,209.55,212.55,2022-11-01,14652
213.6,217.65,212.5,214.2,2022-11-02,12755
213.75,215.5,211.95,213.65,2022-11-03,3797
210.05,225.35,210.05,217.8,2022-11-04,27425
218.1,219.9,208.35,209.7,2022-11-07,23398
211.55,213.15,206.55,210.1,2022-11-09,22647
208.05,209.75,195.45,204.15,2022-11-10,43392
205.3,212.0,196.0,202.75,2022-11-11,27445
206.5,206.5,198.95,200.85,2022-11-14,11392
204.8,206.2,199.9,203.65,2022-11-15,9976
207.6,208.65,201.3,203.1,2022-11-16,19454
206.9,206.9,200.1,201.6,2022-11-17,8816
201.05,207.0,201.05,204.5,2022-11-18,14992
208.0,208.0,201.05,203.45,2022-11-21,6865
202.95,206.95,202.7,205.1,2022-11-22,4848
205.25,205.8,201.0,202.0,2022-11-23,5333
206.9,206.9,203.75,205.45,2022-11-24,9196
208.8,208.8,199.85,204.8,2022-11-25,10639
203.55,207.15,203.05,204.75,2022-11-28,4687
204.75,207.65,201.35,204.15,2022-11-29,6914
203.75,210.1,203.75,208.55,2022-11-30,14150
213.35,213.9,208.5,212.05,2022-12-01,12247
211.0,220.1,205.0,213.1,2022-12-02,27096
208.0,216.0,208.0,213.05,2022-12-05,8393
212.5,221.0,211.05,219.9,2022-12-06,32807
221.0,221.0,215.15,219.15,2022-12-07,8029
219.15,226.65,216.35,224.75,2022-12-08,64080
226.4,226.4,213.3,216.65,2022-12-09,16819
215.75,225.0,213.75,217.7,2022-12-12,19876
217.6,226.7,217.55,223.3,2022-12-13,35510
223.3,226.0,218.0,218.9,2022-12-14,18780
218.9,219.7,212.0,213.35,2022-12-15,11003
215.0,222.0,212.35,217.1,2022-12-16,51326
216.05,232.0,216.05,226.85,2022-12-19,181540
227.7,228.2,220.35,222.0,2022-12-20,38613
224.0,224.0,207.6,210.0,2022-12-21,39052
214.15,214.45,203.35,205.35,2022-12-22,21476
202.0,209.0,194.0,195.55,2022-12-23,24376
195.75,203.75,195.55,199.65,2022-12-26,9755
201.55,209.95,201.55,206.6,2022-12-27,15433
208.65,210.15,202.65,207.9,2022-12-28,3910
204.1,214.05,204.1,208.85,2022-12-29,19053
210.45,211.95,202.4,204.65,2022-12-30,13145
206.4,211.0,206.4,209.25,2023-01-02,6779
211.05,231.5,208.6,227.85,2023-01-03,83743
228.7,228.9,221.0,222.2,2023-01-04,26809
221.0,222.8,214.55,215.9,2023-01-05,13801
216.75,218.45,214.35,215.25,2023-01-06,7223
216.6,218.25,212.75,213.2,2023-01-09,5165
213.25,221.0,212.4,215.25,2023-01-10,15747
216.95,220.9,214.05,216.7,2023-01-11,15198
215.0,219.9,214.25,216.6,2023-01-12,10912
215.95,222.0,215.95,218.65,2023-01-13,14625
218.7,223.05,216.55,217.1,2023-01-16,8032
217.1,221.5,214.3,216.2,2023-01-17,10677
216.2,220.35,212.4,214.35,2023-01-18,7868
217.1,217.3,213.05,214.45,2023-01-19,3678
216.05,216.7,213.05,213.65,2023-01-20,3056
217.7,218.0,210.1,211.4,2023-01-23,11904
215.55,215.55,206.55,206.9,2023-01-24,8943
207.45,208.0,196.6,199.9,2023-01-25,17996
198.85,201.15,194.9,196.4,2023-01-27,9254
199.0,204.9,192.1,195.25,2023-01-30,8196
194.1,204.0,194.1,202.55,2023-01-31,5460
203.25,206.6,193.95,197.7,2023-02-01,8597
199.75,204.45,196.05,198.7,2023-02-02,7222
198.55,201.85,194.65,198.5,2023-02-03,5253
195.1,200.85,195.1,199.65,2023-02-06,1332
198.9,200.9,195.0,196.1,2023-02-07,3561
200.0,200.0,196.2,197.15,2023-02-08,5561
198.45,198.95,195.05,196.95,2023-02-09,3232
197.0,199.8,192.1,197.05,2023-02-10,10778
195.65,196.5,188.0,189.8,2023-02-13,11994
190.3,193.4,185.45,186.95,2023-02-14,13361
188.5,190.0,186.15,188.9,2023-02-15,8053
193.5,193.5,189.1,190.9,2023-02-16,3467
192.05,193.4,187.2,188.55,2023-02-17,16433
187.35,190.0,186.35,187.05,2023-02-20,6358
189.85,192.1,185.0,186.4,2023-02-21,7379
185.55,189.5,182.45,186.65,2023-02-22,8305
196.0,196.0,184.05,187.1,2023-02-23,5588
187.6,190.0,186.75,189.05,2023-02-24,5984
188.55,189.2,183.1,185.5,2023-02-27,6648
187.1,188.5,184.0,187.15,2023-02-28,3430
186.9,192.0,186.9,189.95,2023-03-01,5263
189.95,190.5,188.05,189.05,2023-03-02,9079
190.6,193.95,189.1,189.85,2023-03-03,3785
189.8,193.15,188.4,189.7,2023-03-06,20443
190.05,203.7,188.8,196.4,2023-03-08,38099
200.95,201.25,195.05,195.45,2023-03-09,2641
193.8,199.0,193.0,197.15,2023-03-10,3758
201.95,201.95,188.3,190.0,2023-03-13,6082
188.05,191.0,184.05,189.2,2023-03-14,5523
190.5,191.8,186.0,186.45,2023-03-15,5495
187.4,188.95,184.6,185.55,2023-03-16,3191
186.7,188.6,181.3,184.2,2023-03-17,3597
187.4,192.25,185.0,185.75,2023-03-20,14520
188.25,190.0,186.0,188.0,2023-03-21,6056
188.1,191.9,181.3,190.35,2023-03-22,6729
188.8,191.15,188.8,189.65,2023-03-23,3763
188.3,194.75,187.15,191.8,2023-03-24,6385
195.65,195.65,180.55,186.7,2023-03-27,13112
185.8,188.05,181.05,185.0,2023-03-28,5698
188.0,189.5,185.55,187.25,2023-03-29,7933
189.5,193.6,189.35,190.3,2023-03-31,6782
193.0,194.8,188.55,192.2,2023-04-03,6886
192.2,198.0,192.2,196.8,2023-04-05,7639
195.9,200.0,195.0,198.0,2023-04-06,12206
198.0,198.0,193.1,194.15,2023-04-10,3951
198.15,198.5,194.1,195.65,2023-04-11,5658
198.25,199.15,193.6,195.95,2023-04-12,7576
197.55,198.05,193.25,194.25,2023-04-13,5702
193.1,196.95,193.1,195.2,2023-04-17,3173
194.15,199.9,194.15,195.0,2023-04-18,6798
193.05,199.9,192.5,196.7,2023-04-19,16371
196.95,201.8,196.1,199.9,2023-04-20,15962
199.6,201.7,198.2,198.8,2023-04-21,4361
198.85,198.85,195.1,196.3,2023-04-24,2217
197.85,203.2,197.15,202.0,2023-04-25,17954
204.0,206.85,202.0,202.95,2023-04-26,14394
203.5,206.8,203.5,205.25,2023-04-27,6179
204.15,207.95,203.1,206.4,2023-04-28,4308
208.8,208.8,201.2,202.3,2023-05-02,4969
203.1,204.9,200.75,201.2,2023-05-03,3405
205.85,210.0,201.3,207.85,2023-05-04,14164
207.2,207.8,205.95,206.55,2023-05-05,3586
204.75,209.05,203.35,207.75,2023-05-08,11012
208.25,209.5,202.7,204.35,2023-05-09,7866
203.55,204.65,201.1,203.2,2023-05-10,4755
204.15,207.25,203.45,205.2,2023-05-11,5297
204.65,207.0,203.0,203.8,2023-05-12,2714
206.35,206.9,204.0,204.15,2023-05-15,5434
204.65,207.5,203.3,204.65,2023-05-16,3495
207.85,212.0,202.1,205.85,2023-05-17,9714
207.45,208.0,203.15,204.05,2023-05-18,4752
203.25,208.85,202.6,206.25,2023-05-19,7587
206.25,224.4,205.5,211.45,2023-05-22,92223
213.95,213.95,199.95,201.75,2023-05-23,22268
207.9,207.9,200.1,201.55,2023-05-24,6955
205.5,205.5,201.1,203.75,2023-05-25,2966
202.55,204.35,198.25,199.45,2023-05-26,4890
201.1,203.4,196.55,199.0,2023-05-29,7417
201.05,201.3,198.05,199.45,2023-05-30,2664
201.5,203.9,199.0,200.9,2023-05-31,3819
202.4,203.45,199.2,199.7,2023-06-01,4867
200.15,202.9,197.85,198.3,2023-06-02,7487
198.95,203.4,198.95,201.3,2023-06-05,7165
201.25,207.45,200.2,205.3,2023-06-06,14585
206.9,211.0,205.9,208.45,2023-06-07,22093
209.75,210.9,204.5,205.9,2023-06-08,5070
207.85,210.8,205.1,207.5,2023-06-09,9507
212.5,212.5,207.4,209.35,2023-06-12,7517
209.1,211.0,208.1,209.0,2023-06-13,5415
209.2,211.0,207.45,208.0,2023-06-14,4655
209.1,216.0,207.45,212.7,2023-06-15,23368
214.4,214.9,205.0,209.05,2023-06-16,9629
209.8,212.45,208.95,209.9,2023-06-19,5354
210.0,212.0,208.6,209.75,2023-06-20,5224
212.05,220.95,210.05,218.05,2023-06-21,35006
223.0,229.75,219.3,225.55,2023-06-22,102867
226.9,227.95,220.0,221.0,2023-06-23,22318
221.0,224.5,220.25,221.45,2023-06-26,12654
222.55,223.8,220.2,222.0,2023-06-27,6879
222.1,223.85,215.0,215.6,2023-06-28,9411
217.9,220.25,214.55,215.35,2023-06-30,10015
216.1,218.9,213.6,214.6,2023-07-03,7698
216.0,216.0,210.55,212.6,2023-07-04,10370
214.95,215.0,210.1,212.85,2023-07-05,6919
215.9,215.9,208.2,213.2,2023-07-06,15463
212.95,215.65,212.95,214.35,2023-07-07,10210
214.65,214.9,210.1,211.55,2023-07-10,4063
212.95,218.75,211.1,213.45,2023-07-11,11454
212.6,213.65,208.3,209.9,2023-07-12,16441
209.9,215.8,208.3,209.05,2023-07-13,11977
212.45,213.15,208.0,211.45,2023-07-14,7334
211.4,213.3,208.5,209.0,2023-07-17,18821
212.5,217.1,207.1,212.95,2023-07-18,27148
212.0,213.9,211.55,212.25,2023-07-19,4893
213.55,216.9,211.8,213.05,2023-07-20,18337
213.05,216.8,211.85,213.3,2023-07-21,19139
213.3,218.25,211.95,213.0,2023-07-24,25982
213.0,217.5,213.0,214.85,2023-07-25,22384
216.9,218.9,214.1,218.05,2023-07-26,20042
215.4,221.0,215.4,216.85,2023-07-27,22080
217.8,218.45,207.3,210.2,2023-07-28,24952
208.0,213.8,207.1,211.25,2023-07-31,14564
212.85,216.55,212.85,215.3,2023-08-01,11972
216.85,217.85,208.35,210.5,2023-08-02,12104
208.1,217.5,208.1,213.75,2023-08-03,20644
213.3,216.5,202.8,204.55,2023-08-04,67047
209.95,209.95,202.0,203.95,2023-08-07,20696
202.05,206.55,198.0,201.5,2023-08-08,29804
202.85,207.4,198.85,201.25,2023-08-09,45672
202.05,204.45,200.6,202.2,2023-08-10,14216
202.45,206.8,201.0,205.85,2023-08-11,16491
205.0,205.0,199.0,201.05,2023-08-14,12112
198.95,204.05,198.95,201.4,2023-08-16,4694
201.4,207.2,201.35,205.4,2023-08-17,21402
206.8,206.8,202.1,204.35,2023-08-18,9429
205.75,205.75,199.75,200.45,2023-08-21,23331
201.45,205.9,199.1,200.65,2023-08-22,19090
201.0,202.85,200.5,202.0,2023-08-23,8625
203.0,209.0,201.55,208.2,2023-08-24,34060
208.45,211.0,205.8,207.55,2023-08-25,15239
207.5,209.9,206.9,208.4,2023-08-28,10039
208.85,215.0,208.0,214.1,2023-08-29,37453
215.5,219.0,213.1,215.55,2023-08-30,40249
217.4,220.45,212.5,218.55,2023-08-31,38794
220.4,227.75,215.3,226.1,2023-09-01,78077
227.0,235.0,223.5,229.55,2023-09-04,59825
231.7,234.55,226.3,231.6,2023-09-05,22985
231.0,243.75,231.0,237.5,2023-09-06,114122
235.25,239.8,231.2,235.2,2023-09-07,37803
236.45,238.0,230.1,232.6,2023-09-08,11280
234.7,236.0,228.15,233.9,2023-09-11,57497
237.0,240.8,222.05,224.0,2023-09-12,24233
226.0,235.65,224.3,231.4,2023-09-13,27560
230.6,243.75,230.55,235.4,2023-09-14,121770
237.75,238.85,229.55,231.6,2023-09-15,16622
232.0,233.3,222.55,224.85,2023-09-18,12413
225.05,233.0,223.35,226.0,2023-09-20,22535
231.0,231.0,219.05,221.2,2023-09-21,7809
223.35,223.85,216.3,220.1,2023-09-22,10893
224.5,226.8,218.25,219.95,2023-09-25,17433
221.25,222.9,218.0,220.6,2023-09-26,6140
225.0,225.0,217.25,220.2,2023-09-27,10040
222.3,224.95,218.3,219.9,2023-09-28,10921
228.95,228.95,219.3,220.95,2023-09-29,6556
224.2,232.6,220.55,225.55,2023-10-03,26506
222.95,224.75,217.15,219.45,2023-10-04,12274
219.9,224.2,218.1,221.75,2023-10-05,10374
221.85,225.95,220.9,224.1,2023-10-06,9057
224.1,230.45,215.1,221.2,2023-10-09,12922
223.1,224.9,221.15,223.05,2023-10-10,2763
222.05,225.0,221.15,221.75,2023-10-11,4814
221.8,224.6,219.15,221.75,2023-10-12,10068
224.65,225.95,219.6,222.2,2023-10-13,12213
226.9,226.9,221.95,224.4,2023-10-16,5919
228.2,229.9,224.05,227.1,2023-10-17,16199
225.4,225.5,221.2,223.4,2023-10-18,13649
222.75,225.25,221.0,224.15,2023-10-19,9022
226.0,226.0,221.3,222.25,2023-10-20,9195
222.2,224.4,206.0,207.35,2023-10-23,13540
206.0,212.25,203.3,209.75,2023-10-25,10447
209.95,209.95,197.0,204.9,2023-10-26,17017
204.05,211.0,204.05,208.2,2023-10-27,4940
210.9,214.2,208.35,212.2,2023-10-30,6964
212.95,214.75,206.25,207.15,2023-10-31,9215
207.5,212.95,207.5,209.85,2023-11-01,4103
213.55,234.2,211.2,221.1,2023-11-02,39834
222.8,224.2,215.1,216.7,2023-11-03,9585
220.65,221.5,214.2,217.25,2023-11-06,11904
221.7,221.7,216.35,217.6,2023-11-07,3881
219.65,219.85,214.2,215.6,2023-11-08,9346
215.6,218.5,215.4,216.75,2023-11-09,6902
215.55,220.7,214.05,217.2,2023-11-10,5808
217.5,221.9,215.25,217.95,2023-11-12,1743
218.9,229.75,216.45,221.65,2023-11-13,29548
227.0,228.5,221.15,223.6,2023-11-15,17828
225.1,226.35,219.65,221.9,2023-11-16,21481
222.9,224.55,219.05,222.55,2023-11-17,8841
224.95,225.8,220.25,221.1,2023-11-20,7392
221.45,224.3,220.35,221.2,2023-11-21,7496
224.6,224.6,218.0,221.4,2023-11-22,10162
221.0,230.0,219.9,222.15,2023-11-23,20793
222.45,223.65,220.8,222.05,2023-11-24,4004
222.05,225.0,220.6,221.9,2023-11-28,14827
223.1,224.55,220.05,221.35,2023-11-29,8792
221.3,223.0,219.0,220.7,2023-11-30,20655
222.0,226.45,221.25,224.05,2023-12-01,30511
226.0,226.35,223.0,224.4,2023-12-04,14362
224.4,246.75,223.0,243.85,2023-12-05,162653
246.7,252.0,239.0,244.35,2023-12-06,151797
244.35,244.35,232.2,237.0,2023-12-07,49732
235.65,238.1,232.5,232.85,2023-12-08,13614
231.1,238.5,231.05,236.5,2023-12-11,14104
239.9,239.9,232.5,233.3,2023-12-12,8725
233.5,238.0,232.05,233.7,2023-12-13,15829
237.2,243.0,235.05,237.4,2023-12-14,22066
237.4,242.95,235.1,237.4,2023-12-15,31561
241.0,278.2,239.0,273.85,2023-12-18,487185
272.5,276.2,265.0,268.2,2023-12-19,119338
270.0,270.0,247.2,251.1,2023-12-20,93355
253.8,255.85,247.3,252.85,2023-12-21,27049
253.2,260.5,253.2,257.05,2023-12-22,31637
261.5,261.5,249.4,251.7,2023-12-26,27068
257.95,259.0,246.1,250.05,2023-12-27,34185
253.8,256.0,247.25,251.95,2023-12-28,25587
253.0,253.0,243.0,247.2,2023-12-29,33836
