open,high,low,close,date,volume
30.3,30.3,29.35,29.65,2022-12-06,5940
30.2,30.45,29.1,29.7,2022-12-07,10881
30.3,30.5,29.5,29.5,2022-12-08,1890
29.85,30.15,28.25,28.6,2022-12-09,4648
28.9,29.45,27.65,28.95,2022-12-12,6550
28.95,30.0,28.45,28.7,2022-12-13,3219
28.7,29.75,28.0,28.55,2022-12-14,4801
28.55,29.3,27.15,27.35,2022-12-15,12719
28.5,28.55,27.5,28.25,2022-12-16,2253
28.95,29.65,27.65,28.25,2022-12-19,16080
29.4,29.65,27.5,28.0,2022-12-20,7744
28.05,28.6,26.9,27.0,2022-12-21,6930
28.35,28.35,25.65,25.75,2022-12-22,11179
25.7,26.7,24.5,24.55,2022-12-23,4528
25.55,25.75,24.6,25.1,2022-12-26,4539
26.3,26.3,24.05,24.35,2022-12-27,6754
25.4,25.5,24.15,25.0,2022-12-28,1861
25.75,26.25,25.65,25.8,2022-12-29,5995
26.95,27.05,25.6,26.85,2022-12-30,4095
28.1,28.15,27.55,28.15,2023-01-02,3285
29.55,29.55,27.5,29.05,2023-01-03,6285
30.4,30.5,28.25,28.9,2023-01-04,7688
30.15,30.15,28.1,28.4,2023-01-05,5036
28.6,29.1,27.95,28.0,2023-01-06,2915
28.0,28.7,27.1,27.3,2023-01-09,2737
27.3,28.05,27.3,27.8,2023-01-10,2927
27.8,28.35,27.0,27.4,2023-01-11,1976
27.75,27.75,26.05,26.1,2023-01-12,4551
26.15,27.35,26.15,27.2,2023-01-13,1707
27.75,28.55,27.3,27.95,2023-01-16,9090
28.8,29.3,28.0,29.3,2023-01-17,11339
30.7,30.7,28.15,29.45,2023-01-18,17526
30.05,30.05,28.0,28.2,2023-01-19,11125
28.8,29.6,27.25,29.15,2023-01-20,20307
29.35,29.35,27.85,28.35,2023-01-23,11188
28.35,28.9,27.75,28.4,2023-01-24,8012
28.4,29.2,28.0,28.25,2023-01-25,6235
28.2,28.2,27.0,27.0,2023-01-27,4790
27.1,27.1,25.65,26.05,2023-01-30,7028
25.95,26.75,25.75,26.5,2023-01-31,3312
26.5,27.1,26.2,26.3,2023-02-01,1606
25.65,26.25,25.05,26.05,2023-02-02,3981
26.25,27.25,24.9,25.8,2023-02-03,5954
26.0,27.0,25.05,26.7,2023-02-06,975
26.55,26.8,25.6,25.95,2023-02-07,3895
25.6,26.8,25.5,26.15,2023-02-08,1853
25.8,26.95,24.25,24.65,2023-02-09,14865
25.0,26.0,24.55,25.1,2023-02-10,1880
26.1,26.1,23.0,23.3,2023-02-13,10350
22.8,23.6,22.65,23.0,2023-02-14,5210
22.85,24.6,22.3,24.3,2023-02-15,18211
25.4,25.4,23.75,24.6,2023-02-16,3006
24.25,24.75,22.15,22.65,2023-02-17,14489
22.9,24.9,22.6,24.9,2023-02-20,10794
27.35,27.35,27.35,27.35,2023-02-21,27292
30.05,30.05,30.05,30.05,2023-02-22,15569
31.55,31.55,31.55,31.55,2023-02-23,10928
33.1,33.1,30.1,30.7,2023-02-24,125693
31.35,31.35,29.2,29.4,2023-02-27,15619
30.0,30.85,29.65,30.05,2023-02-28,12916
30.0,31.55,28.65,31.55,2023-03-01,12523
33.1,33.1,32.3,33.1,2023-03-02,21061
34.0,34.75,33.1,34.75,2023-03-03,19685
36.45,36.45,36.45,36.45,2023-03-06,6395
38.0,38.25,36.8,38.25,2023-03-08,20742
39.8,39.8,36.35,36.35,2023-03-09,22356
31.65,33.7,31.5,32.75,2023-05-23,1973
33.6,34.05,31.65,31.9,2023-05-24,2286
32.7,33.2,32.1,32.55,2023-05-25,1476
34.15,34.15,34.15,34.15,2023-05-26,5464
35.85,35.85,33.6,34.0,2023-05-29,8243
34.0,34.0,33.3,33.8,2023-05-30,562
33.9,34.5,33.15,33.35,2023-05-31,3840
34.5,35.0,33.35,34.95,2023-06-01,7982
35.7,35.75,33.65,33.7,2023-06-02,6355
34.6,34.6,33.0,33.5,2023-06-05,3987
