open,high,low,close,date,volume
10.7,10.7,9.85,10.0,2022-09-26,50122
10.4,10.4,9.7,10.05,2022-09-27,19477
10.35,10.35,9.65,9.85,2022-09-28,16020
9.9,10.3,9.9,10.25,2022-09-29,12132
9.9,10.75,9.9,10.75,2022-09-30,45341
11.25,11.25,10.95,11.25,2022-10-03,62372
11.7,11.8,10.85,11.45,2022-10-04,118119
12.0,12.0,11.1,11.65,2022-10-06,97160
11.45,12.1,11.1,11.65,2022-10-07,76874
11.95,11.95,11.15,11.3,2022-10-10,45673
11.75,11.75,11.0,11.1,2022-10-11,60032
11.55,11.55,10.55,10.6,2022-10-12,47754
10.95,11.1,10.15,11.0,2022-10-13,77753
11.45,11.45,10.65,10.8,2022-10-14,59692
10.95,11.2,10.5,10.85,2022-10-17,63046
11.0,11.25,10.45,10.65,2022-10-18,81899
10.9,11.0,10.5,10.95,2022-10-19,14848
11.2,11.4,10.45,10.65,2022-10-20,23522
10.9,10.95,10.35,10.35,2022-10-21,40528
10.7,10.85,10.35,10.85,2022-10-24,8379
11.35,11.35,10.4,10.4,2022-10-25,21724
10.9,10.9,9.9,10.0,2022-10-27,111519
10.4,10.4,9.5,9.5,2022-10-28,77449
9.3,9.95,9.05,9.95,2022-10-31,114722
10.35,10.4,10.2,10.4,2022-11-01,48710
10.55,10.85,9.9,9.9,2022-11-02,144898
10.0,10.3,9.65,10.15,2022-11-03,38126
10.65,10.65,9.85,9.85,2022-11-04,38562
9.85,10.1,9.4,9.4,2022-11-07,157366
9.5,9.6,9.3,9.5,2022-11-09,19875
9.55,9.8,9.15,9.25,2022-11-10,105564
9.3,9.6,9.15,9.25,2022-11-11,18000
9.25,9.6,9.0,9.1,2022-11-14,32283
9.45,9.45,8.85,8.85,2022-11-15,32886
9.2,9.2,8.55,8.9,2022-11-16,23340
9.05,9.3,8.75,9.3,2022-11-17,74046
9.75,9.75,8.9,9.05,2022-11-18,52381
9.05,9.3,8.75,8.8,2022-11-21,55246
9.1,9.2,8.7,9.15,2022-11-22,33826
9.5,9.5,8.75,8.9,2022-11-23,14170
8.95,9.2,8.6,8.7,2022-11-24,39788
8.55,8.9,8.55,8.65,2022-11-25,32769
8.85,9.0,8.4,8.7,2022-11-28,114153
8.95,9.0,8.65,8.9,2022-11-29,16025
9.1,9.25,8.65,8.8,2022-11-30,14016
9.0,9.0,8.55,8.75,2022-12-01,12627
8.95,8.95,8.7,8.7,2022-12-02,29116
9.05,9.05,8.3,8.6,2022-12-05,21423
8.95,8.95,8.3,8.55,2022-12-06,50472
8.95,8.95,8.4,8.55,2022-12-07,25928
8.75,8.95,8.5,8.95,2022-12-08,67324
9.3,9.3,8.65,8.9,2022-12-09,36751
9.25,9.25,8.6,8.7,2022-12-12,20279
8.65,8.85,8.5,8.55,2022-12-13,28028
8.8,8.9,8.4,8.45,2022-12-14,58206
8.5,8.6,8.1,8.15,2022-12-15,104437
8.25,8.3,7.9,8.1,2022-12-16,79958
8.35,8.35,7.95,8.0,2022-12-19,34168
8.2,8.3,8.05,8.2,2022-12-20,9528
8.2,8.5,8.1,8.15,2022-12-21,23566
8.15,8.2,7.75,7.75,2022-12-22,48401
7.5,7.7,7.4,7.45,2022-12-23,18629
7.4,7.8,7.3,7.7,2022-12-26,65486
7.85,8.0,7.35,7.4,2022-12-27,73357
7.4,7.75,7.05,7.05,2022-12-28,342861
6.9,7.3,6.7,6.7,2022-12-29,270287
6.8,7.0,6.65,6.9,2022-12-30,197738
7.2,7.2,6.8,6.85,2023-01-02,223951
6.95,7.15,6.65,6.7,2023-01-03,165426
6.6,6.7,6.4,6.4,2023-01-04,254951
6.55,6.6,6.1,6.2,2023-01-05,106482
6.3,6.5,6.1,6.45,2023-01-06,96589
6.65,6.75,6.5,6.75,2023-01-09,53393
6.55,6.95,6.55,6.75,2023-01-10,60272
6.95,6.95,6.6,6.75,2023-01-11,16172
6.9,6.9,6.6,6.7,2023-01-12,12960
6.85,6.85,6.6,6.7,2023-01-13,15870
6.85,6.85,6.45,6.5,2023-01-16,43543
6.55,6.6,6.45,6.45,2023-01-17,18920
6.75,6.75,6.5,6.7,2023-01-18,53044
6.9,6.9,6.5,6.55,2023-01-19,39102
6.55,6.85,6.55,6.6,2023-01-20,30568
6.8,6.9,6.6,6.85,2023-01-23,42168
7.1,7.1,6.5,6.65,2023-01-24,43032
6.8,6.8,6.5,6.7,2023-01-25,20292
6.85,6.85,6.4,6.5,2023-01-27,30246
6.75,6.75,6.35,6.4,2023-01-30,17321
6.25,6.6,6.25,6.55,2023-01-31,14441
6.55,6.8,6.55,6.7,2023-02-01,27606
6.8,6.9,6.55,6.75,2023-02-02,53365
6.9,6.9,6.5,6.6,2023-02-03,14997
6.75,6.75,6.4,6.4,2023-02-06,21543
7.0,7.0,6.45,6.65,2023-02-07,24622
6.65,6.7,6.55,6.65,2023-02-08,11165
6.75,6.75,6.4,6.5,2023-02-09,17885
6.55,6.75,6.4,6.6,2023-02-10,25815
6.8,6.8,6.15,6.5,2023-02-13,41530
6.65,6.65,6.3,6.35,2023-02-14,8419
6.4,6.4,6.0,6.2,2023-02-15,12448
6.6,6.6,6.15,6.15,2023-02-16,23516
6.4,6.65,5.7,6.05,2023-02-17,39732
6.15,6.65,5.8,6.05,2023-02-20,195458
6.25,6.25,5.9,5.95,2023-02-21,27205
6.05,6.1,5.8,5.95,2023-02-22,9225
6.05,6.1,5.85,5.9,2023-02-23,8953
6.0,6.0,5.7,5.9,2023-02-24,29829
6.15,6.15,5.5,5.5,2023-02-27,32165
5.65,5.7,5.5,5.6,2023-02-28,8037
5.6,5.85,5.4,5.75,2023-03-01,15301
6.0,6.3,5.6,6.3,2023-03-02,34253
6.6,6.9,5.75,6.05,2023-03-03,311837
6.0,6.3,5.9,6.1,2023-03-06,40412
6.25,6.6,6.0,6.25,2023-03-08,37678
6.65,6.65,6.15,6.4,2023-03-09,64337
6.5,6.7,6.3,6.6,2023-03-10,50056
6.9,6.9,6.25,6.4,2023-03-13,30379
6.65,6.65,6.35,6.4,2023-03-14,14737
6.45,6.6,6.35,6.4,2023-03-15,11355
6.55,6.55,6.05,6.25,2023-03-16,7449
6.25,6.55,6.15,6.3,2023-03-17,11865
6.3,6.45,5.9,5.9,2023-03-20,44728
6.15,6.15,5.7,5.75,2023-03-21,23006
5.75,5.95,5.65,5.8,2023-03-22,6815
5.9,5.9,5.65,5.65,2023-03-23,25868
5.55,5.7,5.2,5.3,2023-03-24,35742
5.3,5.3,4.8,4.85,2023-03-27,45745
4.9,4.9,4.5,4.55,2023-03-28,24031
4.45,4.65,4.4,4.55,2023-03-29,20847
4.4,4.7,4.4,4.7,2023-03-31,11738
4.8,4.9,4.7,4.8,2023-04-03,3354
5.0,5.0,5.0,5.0,2023-04-05,3547
5.25,5.25,5.25,5.25,2023-04-06,2673
5.5,5.5,5.5,5.5,2023-04-10,1227
5.75,5.75,5.75,5.75,2023-04-11,12167
6.0,6.0,5.75,6.0,2023-04-12,20719
6.15,6.25,5.7,5.8,2023-04-13,47823
6.0,6.0,5.55,5.75,2023-04-17,26917
5.65,5.85,5.5,5.6,2023-04-18,31409
5.6,5.65,5.4,5.4,2023-04-19,9326
5.55,5.55,5.35,5.45,2023-04-20,14295
5.45,5.6,5.35,5.45,2023-04-21,9160
5.6,5.6,5.25,5.25,2023-04-24,27256
5.45,5.45,5.15,5.3,2023-04-25,9111
5.2,5.35,5.15,5.25,2023-04-26,13426
5.25,5.5,5.05,5.25,2023-04-27,9718
5.4,5.4,5.2,5.25,2023-04-28,5877
5.45,5.45,5.25,5.3,2023-05-02,3435
5.3,5.5,5.2,5.45,2023-05-03,16633
5.45,5.6,5.4,5.5,2023-05-04,10298
5.65,5.65,5.4,5.6,2023-05-05,8601
5.75,5.75,5.4,5.45,2023-05-08,21433
5.5,5.5,5.3,5.4,2023-05-09,10543
5.55,5.55,5.25,5.3,2023-05-10,11185
5.4,5.55,5.25,5.4,2023-05-11,18372
5.5,5.5,5.2,5.3,2023-05-12,16298
5.45,5.45,5.25,5.3,2023-05-15,13321
5.15,5.4,5.15,5.15,2023-05-16,12329
4.85,4.85,4.85,4.85,2023-06-01,29453
5.05,5.05,5.05,5.05,2023-06-02,5781
5.3,5.3,5.3,5.3,2023-06-05,13844
5.55,5.55,5.55,5.55,2023-06-06,2011
6.1,6.1,6.1,6.1,2023-06-07,23360
6.7,6.7,6.7,6.7,2023-06-08,29981
7.35,7.35,7.35,7.35,2023-06-09,19511
7.7,7.7,7.7,7.7,2023-06-12,25785
8.05,8.05,7.35,7.6,2023-06-13,272966
7.7,7.95,7.7,7.95,2023-06-14,69455
8.3,8.3,8.25,8.3,2023-06-15,161712
8.7,8.7,8.7,8.7,2023-06-16,51424
9.1,9.1,9.1,9.1,2023-06-19,21262
9.55,9.55,9.55,9.55,2023-06-20,27412
9.1,9.1,8.35,8.45,2023-10-30,26514
8.5,8.85,8.3,8.7,2023-10-31,94839
8.9,9.1,8.6,8.8,2023-11-01,122988
9.0,9.2,8.55,8.6,2023-11-02,125422
8.9,9.0,8.75,9.0,2023-11-03,62090
9.45,9.45,9.25,9.45,2023-11-06,38627
9.65,9.9,9.15,9.9,2023-11-07,116500
10.3,10.35,9.6,10.35,2023-11-08,319576
10.85,10.85,10.5,10.8,2023-11-09,384333
11.3,11.3,10.6,11.3,2023-11-10,363980
11.85,11.85,11.85,11.85,2023-11-12,13667
12.4,12.4,12.4,12.4,2023-11-13,322573
13.0,13.0,13.0,13.0,2023-11-15,17931
13.65,13.65,13.0,13.65,2023-11-16,960891
