open,high,low,close,date,volume
778.0,786.0,675.1,689.95,2022-11-22,15636034
702.0,719.7,690.5,715.6,2022-11-23,2346053
716.0,739.8,705.1,730.1,2022-11-24,1689717
724.85,767.9,722.0,745.15,2022-11-25,1915106
745.0,764.0,734.55,749.9,2022-11-28,759905
753.7,754.75,731.15,733.95,2022-11-29,462934
735.0,738.0,722.15,725.15,2022-11-30,347873
728.25,745.25,728.25,739.45,2022-12-01,279131
738.95,747.95,724.0,740.2,2022-12-02,328645
740.2,751.0,734.95,741.95,2022-12-05,238342
735.0,744.95,729.0,739.9,2022-12-06,155237
735.0,796.75,735.0,759.55,2022-12-07,1160261
759.95,772.0,741.0,746.15,2022-12-08,212406
749.9,763.0,724.95,727.15,2022-12-09,299354
728.65,735.9,715.25,730.8,2022-12-12,171216
733.8,735.45,724.0,726.0,2022-12-13,144431
729.6,738.0,726.0,734.85,2022-12-14,141865
730.0,734.95,718.25,721.95,2022-12-15,90870
715.0,724.45,701.1,705.25,2022-12-16,91513
708.5,709.0,691.2,694.25,2022-12-19,145490
693.95,709.0,688.55,700.6,2022-12-20,159281
701.0,722.65,696.55,703.15,2022-12-21,237160
705.0,707.0,667.25,702.25,2022-12-22,200700
690.0,697.0,672.95,680.25,2022-12-23,177531
670.5,713.6,666.8,703.85,2022-12-26,133235
705.0,724.95,704.95,721.7,2022-12-27,123539
720.0,745.5,712.4,737.75,2022-12-28,196026
729.95,756.0,724.65,747.45,2022-12-29,172325
750.0,754.0,736.25,750.95,2022-12-30,130907
750.0,757.4,738.05,741.45,2023-01-02,67794
744.0,747.7,731.75,738.35,2023-01-03,43130
739.0,755.95,734.35,753.05,2023-01-04,143152
755.0,758.0,741.15,746.35,2023-01-05,65554
746.6,784.9,744.1,754.6,2023-01-06,487821
758.4,782.45,758.4,772.5,2023-01-09,153238
775.0,789.0,756.0,760.05,2023-01-10,189874
761.95,766.45,757.0,764.7,2023-01-11,52191
768.55,768.55,750.0,757.0,2023-01-12,35001
757.0,764.0,755.0,760.4,2023-01-13,40097
764.25,780.0,756.0,770.85,2023-01-16,102004
774.75,806.4,761.6,768.7,2023-01-17,465856
772.55,798.0,772.55,794.0,2023-01-18,213125
798.0,825.8,790.0,800.5,2023-01-19,393381
804.0,808.0,786.6,790.6,2023-01-20,96442
794.6,803.0,774.05,798.6,2023-01-23,145124
801.9,807.9,782.7,794.9,2023-01-24,173288
788.5,796.6,758.0,763.6,2023-01-25,92841
760.0,772.5,741.05,764.35,2023-01-27,158601
757.45,782.25,754.1,769.5,2023-01-30,126959
771.95,783.5,754.1,772.9,2023-01-31,118704
791.8,815.0,782.0,808.8,2023-02-01,530852
810.0,849.0,803.35,814.35,2023-02-02,308577
818.45,837.4,798.95,829.15,2023-02-03,197649
833.3,904.0,821.95,888.05,2023-02-06,413977
885.0,926.95,883.1,899.5,2023-02-07,354212
904.0,904.0,874.25,880.6,2023-02-08,140532
883.0,895.75,871.0,882.75,2023-02-09,91113
883.0,898.95,833.25,838.5,2023-02-10,202483
842.7,905.35,833.25,898.6,2023-02-13,296630
901.0,907.8,866.0,890.05,2023-02-14,164004
890.05,917.65,881.15,902.25,2023-02-15,230105
900.0,904.8,865.1,885.85,2023-02-16,473555
885.0,887.2,859.85,870.15,2023-02-17,166777
874.95,899.0,855.0,895.85,2023-02-20,177031
900.35,951.25,887.1,938.05,2023-02-21,538767
938.45,958.25,927.1,952.75,2023-02-22,448429
953.1,957.6,933.0,944.65,2023-02-23,183525
945.0,953.9,920.0,923.25,2023-02-24,222303
923.95,936.45,865.8,875.85,2023-02-27,322988
880.25,884.55,860.4,866.85,2023-02-28,162528
870.8,910.0,858.3,872.5,2023-03-01,187788
874.65,892.0,870.0,874.65,2023-03-02,96484
878.0,885.0,875.0,878.55,2023-03-03,233726
882.95,911.8,877.05,899.7,2023-03-06,151329
908.65,929.0,886.15,912.6,2023-03-08,323226
903.3,959.8,903.25,931.15,2023-03-09,223091
929.65,968.35,915.3,956.75,2023-03-10,253444
961.55,992.65,961.55,970.3,2023-03-13,333296
970.3,971.0,920.0,932.1,2023-03-14,112062
950.0,989.7,940.25,974.65,2023-03-15,234946
974.05,974.65,945.0,951.4,2023-03-16,192562
949.0,962.15,937.5,945.4,2023-03-17,113098
921.75,987.0,921.75,941.9,2023-03-20,164900
946.65,973.0,946.05,960.4,2023-03-21,342737
961.0,976.0,954.7,961.35,2023-03-22,55518
954.25,986.0,946.1,953.0,2023-03-23,275786
957.8,965.0,938.65,944.05,2023-03-24,241980
945.0,963.0,933.05,946.35,2023-03-27,85217
951.1,970.0,940.0,957.5,2023-03-28,71864
948.0,968.05,948.0,963.9,2023-03-29,145208
968.75,987.95,955.1,962.8,2023-03-31,188618
972.4,1070.0,960.0,1039.0,2023-04-03,313837
1040.0,1048.0,986.0,991.0,2023-04-05,180229
997.0,997.0,960.5,964.4,2023-04-06,122040
974.9,982.0,932.35,939.55,2023-04-10,132428
947.05,979.6,941.0,973.15,2023-04-11,192481
982.45,983.85,955.0,959.3,2023-04-12,83849
952.0,964.95,942.5,954.8,2023-04-13,71988
