open,high,low,close,date,volume
1433.0,1464.85,1415.45,1430.95,2022-09-29,157626
1418.0,1455.0,1394.4,1445.3,2022-09-30,132292
1428.1,1436.25,1405.0,1411.85,2022-10-03,80103
1429.0,1432.85,1408.0,1415.1,2022-10-04,84713
1422.2,1449.0,1420.0,1425.05,2022-10-06,81837
1421.0,1425.95,1411.0,1414.7,2022-10-07,131217
1393.0,1425.0,1388.65,1408.1,2022-10-10,80170
1412.65,1425.0,1406.05,1416.55,2022-10-11,77941
1417.0,1435.0,1400.15,1432.15,2022-10-12,162480
1432.15,1481.95,1422.25,1453.1,2022-10-13,498594
1487.0,1487.0,1425.05,1432.9,2022-10-14,170873
1432.9,1465.0,1426.05,1452.2,2022-10-17,113471
1458.0,1506.0,1458.0,1494.05,2022-10-18,210437
1510.0,1544.0,1471.8,1526.5,2022-10-19,223523
1512.6,1539.15,1485.0,1496.4,2022-10-20,89493
1494.95,1539.9,1490.0,1534.5,2022-10-21,261242
1570.0,1570.0,1521.0,1532.45,2022-10-24,30189
1532.4,1654.6,1530.0,1630.35,2022-10-25,851589
1650.55,1661.95,1614.7,1641.25,2022-10-27,307241
1635.0,1635.9,1580.1,1596.7,2022-10-28,238467
1602.0,1648.5,1589.0,1615.2,2022-10-31,323844
1613.0,1634.95,1597.0,1600.65,2022-11-01,206229
1608.7,1648.0,1584.85,1600.3,2022-11-02,407777
1607.9,1608.95,1587.3,1598.65,2022-11-03,193742
1595.0,1603.0,1514.55,1563.35,2022-11-04,518952
1571.8,1596.0,1558.0,1564.2,2022-11-07,176515
1574.0,1605.0,1554.1,1593.75,2022-11-09,216269
1593.0,1600.0,1565.0,1574.95,2022-11-10,111079
1583.05,1624.0,1583.05,1599.95,2022-11-11,203112
1607.95,1620.0,1591.05,1615.65,2022-11-14,78841
1614.0,1629.0,1599.05,1611.6,2022-11-15,73068
1618.8,1618.8,1557.05,1573.2,2022-11-16,111733
1573.0,1648.0,1573.0,1625.35,2022-11-17,160404
1628.25,1656.0,1595.05,1610.55,2022-11-18,460908
1607.0,1630.0,1592.2,1606.3,2022-11-21,112203
1604.9,1629.9,1579.5,1599.05,2022-11-22,266761
1599.2,1637.95,1550.05,1571.35,2022-11-23,115541
1565.0,1590.0,1560.05,1580.0,2022-11-24,117204
1587.0,1595.85,1562.0,1572.7,2022-11-25,30425
1570.0,1601.0,1560.0,1593.3,2022-11-28,87831
1593.3,1611.9,1581.2,1588.9,2022-11-29,71684
1590.6,1595.75,1503.0,1527.3,2022-11-30,378096
1528.7,1600.0,1528.7,1586.3,2022-12-01,344610
1585.0,1624.0,1580.7,1616.35,2022-12-02,193392
1624.4,1644.0,1601.2,1610.65,2022-12-05,234630
1610.0,1616.25,1568.0,1575.15,2022-12-06,180421
1575.05,1588.3,1565.0,1578.3,2022-12-07,91250
1586.2,1586.2,1552.5,1565.75,2022-12-08,95695
1567.95,1645.95,1567.0,1614.75,2022-12-09,107304
1621.0,1621.0,1560.0,1568.3,2022-12-12,260089
1573.95,1573.95,1520.0,1525.35,2022-12-13,297320
1526.5,1544.95,1488.0,1524.85,2022-12-14,347400
1533.0,1548.0,1501.2,1512.15,2022-12-15,129628
1514.0,1546.0,1505.9,1529.9,2022-12-16,258752
1529.9,1544.0,1520.05,1537.15,2022-12-19,145130
1540.0,1544.7,1500.3,1508.7,2022-12-20,360828
1515.0,1524.4,1465.5,1477.2,2022-12-21,98678
1475.5,1502.5,1443.05,1462.55,2022-12-22,257157
1449.0,1449.0,1352.95,1409.0,2022-12-23,279056
1410.0,1501.0,1385.25,1493.1,2022-12-26,183410
1500.0,1525.15,1474.2,1498.15,2022-12-27,108102
1487.0,1495.9,1450.0,1466.25,2022-12-28,120738
1460.4,1463.3,1436.95,1448.85,2022-12-29,633951
1455.9,1499.95,1451.15,1464.7,2022-12-30,76950
1470.45,1510.0,1465.0,1480.75,2023-01-02,440094
1488.0,1525.0,1466.35,1515.4,2023-01-03,115418
1515.55,1529.8,1501.1,1516.9,2023-01-04,99376
1516.9,1526.0,1493.0,1519.05,2023-01-05,261215
1519.05,1519.95,1470.0,1489.9,2023-01-06,90755
1497.35,1507.0,1458.0,1489.95,2023-01-09,64639
1489.95,1489.95,1438.0,1462.0,2023-01-10,129373
1469.25,1469.3,1411.1,1426.35,2023-01-11,293841
1426.75,1446.0,1422.15,1436.75,2023-01-12,127395
1443.95,1454.55,1428.75,1435.7,2023-01-13,43741
1435.7,1447.75,1425.0,1433.0,2023-01-16,37011
1432.0,1462.0,1421.4,1448.7,2023-01-17,158052
1465.0,1484.15,1452.0,1466.85,2023-01-18,151142
1468.7,1556.65,1466.0,1539.75,2023-01-19,456510
1558.0,1563.95,1501.45,1517.15,2023-01-20,182891
1517.25,1541.0,1513.25,1531.05,2023-01-23,65678
1550.0,1569.95,1503.0,1514.1,2023-01-24,285093
1508.0,1554.85,1508.0,1550.55,2023-01-25,247475
1558.0,1585.0,1542.0,1573.2,2023-01-27,332045
1573.0,1620.35,1560.8,1608.55,2023-01-30,278805
1620.0,1653.5,1590.0,1615.65,2023-01-31,337973
1640.0,1696.0,1621.15,1660.9,2023-02-01,357478
1657.85,1730.95,1652.05,1668.7,2023-02-02,282330
1682.9,1698.0,1655.05,1677.9,2023-02-03,169881
1708.0,1726.0,1695.35,1713.4,2023-02-06,252684
1724.75,1728.95,1700.0,1707.25,2023-02-07,117805
1707.25,1708.8,1642.3,1652.8,2023-02-08,127115
1650.0,1668.95,1630.0,1639.75,2023-02-09,209045
1638.9,1690.0,1630.0,1676.65,2023-02-10,112926
1685.05,1689.95,1612.0,1629.85,2023-02-13,82352
1633.0,1642.05,1600.2,1605.75,2023-02-14,50555
1581.85,1631.0,1558.0,1612.55,2023-02-15,220188
1619.0,1685.0,1613.0,1677.7,2023-02-16,117120
1676.8,1717.95,1665.05,1699.95,2023-02-17,178331
1705.0,1725.0,1663.55,1701.9,2023-02-20,134760
1701.85,1708.95,1664.0,1668.8,2023-02-21,68177
