open,high,low,close,date,volume
63.5,64.8,62.5,62.85,2022-09-29,237725
63.0,64.35,62.2,62.85,2022-09-30,222346
62.95,64.0,62.4,62.75,2022-10-03,156292
63.5,65.4,63.4,64.1,2022-10-04,186904
64.5,67.2,64.1,65.35,2022-10-06,304762
66.45,66.45,64.65,65.5,2022-10-07,194181
64.55,65.75,64.35,65.1,2022-10-10,163550
65.0,66.9,64.0,64.4,2022-10-11,141820
65.9,65.9,62.4,63.75,2022-10-12,137740
64.05,64.55,63.1,63.4,2022-10-13,95765
64.5,65.3,63.4,63.65,2022-10-14,155751
63.25,63.95,62.95,63.2,2022-10-17,158546
63.75,64.4,63.1,63.9,2022-10-18,120649
63.95,64.8,62.85,63.1,2022-10-19,117169
63.0,63.5,62.5,62.75,2022-10-20,123810
63.25,63.7,61.8,62.25,2022-10-21,205247
63.1,63.15,59.35,62.7,2022-10-24,128624
62.75,63.8,62.2,63.2,2022-10-25,127535
63.2,64.25,63.2,63.7,2022-10-27,118802
63.8,64.4,62.55,62.85,2022-10-28,116802
62.55,64.15,62.55,63.15,2022-10-31,135745
63.15,64.7,63.0,63.4,2022-11-01,193483
63.5,64.3,62.7,62.95,2022-11-02,181414
62.8,63.3,62.4,62.8,2022-11-03,141723
63.15,63.55,62.75,62.95,2022-11-04,110597
63.45,65.8,62.5,64.6,2022-11-07,331926
65.2,65.2,63.35,63.65,2022-11-09,141434
63.3,64.05,62.9,63.0,2022-11-10,73485
64.8,64.8,63.65,63.85,2022-11-11,205184
63.0,65.0,63.0,64.8,2022-11-14,156273
65.65,65.65,63.2,64.0,2022-11-15,224858
64.95,68.7,64.0,65.85,2022-11-16,917888
66.0,66.0,63.95,64.2,2022-11-17,133808
65.1,65.1,62.8,63.0,2022-11-18,186380
64.1,64.1,61.9,62.1,2022-11-21,139843
52.05,53.95,51.55,52.65,2023-02-22,97969
53.25,53.45,52.0,52.9,2023-02-23,70160
52.25,54.0,52.25,53.45,2023-02-24,115700
53.9,53.9,50.8,51.0,2023-02-27,155553
51.5,51.85,50.0,50.7,2023-02-28,115728
50.7,51.6,50.5,50.95,2023-03-01,61441
50.5,52.4,50.5,51.6,2023-03-02,96801
51.05,52.9,51.0,51.85,2023-03-03,105045
51.7,53.4,51.3,52.8,2023-03-06,140013
53.45,54.9,52.1,53.5,2023-03-08,143673
53.75,53.9,52.1,52.4,2023-03-09,89874
52.4,54.0,51.45,53.15,2023-03-10,193076
52.85,54.75,50.9,52.6,2023-03-13,202346
52.65,53.85,50.25,51.45,2023-03-14,209946
52.3,52.8,51.1,51.5,2023-03-15,101937
51.9,51.9,49.2,50.1,2023-03-16,189129
50.5,50.85,49.25,50.15,2023-03-17,162265
49.85,51.8,49.0,50.25,2023-03-20,159983
50.5,50.65,49.45,49.85,2023-03-21,71424
50.95,50.95,49.15,49.65,2023-03-22,171980
50.6,50.6,47.6,48.3,2023-03-23,190719
47.45,49.8,46.95,48.95,2023-03-24,391608
49.1,49.4,46.5,46.5,2023-03-27,266517
46.5,46.65,44.2,44.2,2023-03-28,175527
44.0,44.0,42.0,42.0,2023-03-29,433645
41.95,44.1,41.9,44.05,2023-03-31,276295
45.5,46.25,45.5,46.25,2023-04-03,65360
47.9,48.55,47.9,48.55,2023-04-05,78765
50.95,50.95,50.95,50.95,2023-04-06,44388
53.45,53.45,50.4,53.45,2023-04-10,544913
56.95,56.95,53.0,53.95,2023-04-11,514153
53.9,53.95,53.0,53.3,2023-04-12,121495
52.65,53.8,52.65,53.25,2023-04-13,78399
53.25,53.25,50.85,51.65,2023-04-17,105988
52.6,52.6,51.25,51.65,2023-04-18,73566
51.8,52.5,51.55,51.9,2023-04-19,75974
52.0,52.4,51.45,52.05,2023-04-20,51918
52.55,53.2,52.25,52.55,2023-04-21,75123
53.1,53.1,51.65,51.95,2023-04-24,107913
51.9,52.6,51.5,52.25,2023-04-25,76819
52.25,54.65,52.1,53.6,2023-04-26,119578
54.5,58.95,53.7,58.95,2023-04-27,759649
60.45,63.95,58.5,59.5,2023-04-28,929080
59.5,61.15,58.65,59.5,2023-05-02,282577
59.4,59.4,57.1,58.3,2023-05-03,218040
57.45,59.0,57.45,58.55,2023-05-04,219998
58.55,59.8,57.05,57.55,2023-05-05,151197
57.55,60.85,57.55,59.3,2023-05-08,387511
60.5,61.5,56.25,57.3,2023-05-09,358413
57.4,63.0,57.4,61.0,2023-05-10,2317306
61.65,64.45,61.25,62.05,2023-05-11,1031235
61.2,63.45,61.2,61.95,2023-05-12,347251
62.45,62.45,60.55,61.05,2023-05-15,228465
61.8,63.0,61.1,61.95,2023-05-16,283157
62.35,62.35,59.6,60.35,2023-05-17,254968
60.9,61.0,59.0,59.3,2023-05-18,178057
59.65,60.0,59.0,59.45,2023-05-19,174020
59.9,62.5,59.15,61.3,2023-05-22,336814
61.5,63.1,60.1,60.9,2023-05-23,336917
60.45,62.5,60.0,61.05,2023-05-24,216067
61.1,62.5,60.8,61.5,2023-05-25,234779
65.45,67.15,62.7,66.25,2023-05-26,2016561
68.25,72.5,67.6,70.7,2023-05-29,2358563
70.4,72.5,68.25,69.2,2023-05-30,932197
62.55,64.55,62.3,62.3,2023-05-31,1314222
58.55,62.0,58.5,59.4,2023-06-01,1359492
59.4,63.95,59.4,62.7,2023-06-02,1088261
63.0,66.0,63.0,65.2,2023-06-05,779328
65.7,67.65,64.1,65.3,2023-06-06,671108
66.0,66.95,62.2,63.6,2023-06-07,861117
62.75,67.9,62.25,64.1,2023-06-08,1484821
64.6,65.8,64.0,64.1,2023-06-09,430903
64.7,65.0,59.6,61.1,2023-06-12,1038695
61.0,63.3,60.95,62.05,2023-06-13,674097
62.7,63.9,59.25,60.6,2023-06-14,1059331
60.8,61.4,58.75,59.1,2023-06-15,955160
59.7,61.65,58.6,59.2,2023-06-16,839436
59.95,61.8,58.6,59.0,2023-06-19,704163
59.35,61.4,58.25,60.65,2023-06-20,1090132
61.0,63.25,59.55,62.15,2023-06-21,1223209
62.5,63.2,60.85,61.85,2023-06-22,1082059
61.65,62.0,60.15,60.5,2023-06-23,392411
61.05,61.75,60.5,61.45,2023-06-26,334036
61.95,62.3,61.25,61.7,2023-06-27,288022
62.35,63.0,61.5,62.7,2023-06-28,610907
63.85,71.6,63.15,69.7,2023-06-30,5927733
70.95,73.0,69.35,70.55,2023-07-03,2463525
71.45,77.0,71.0,73.85,2023-07-04,6318387
74.1,75.0,71.55,72.5,2023-07-05,1738860
73.1,73.35,71.5,71.7,2023-07-06,716287
71.75,74.8,71.75,73.35,2023-07-07,1860301
74.0,75.9,72.5,73.7,2023-07-10,1207087
74.2,75.1,73.0,73.25,2023-07-11,646787
73.65,73.65,72.5,73.05,2023-07-12,652294
73.55,84.45,73.0,81.25,2023-07-13,8690171
82.05,87.7,82.0,86.05,2023-07-14,6253334
86.8,89.0,83.25,83.85,2023-07-17,2829397
84.6,84.7,79.7,81.3,2023-07-18,1742636
81.5,84.25,80.65,82.35,2023-07-19,1203661
82.7,89.4,82.15,85.55,2023-07-20,7528364
85.0,88.2,83.95,86.0,2023-07-21,1669209
86.65,88.9,86.15,87.15,2023-07-24,1149904
88.0,88.8,83.45,84.2,2023-07-25,1203565
84.85,86.25,84.0,84.25,2023-07-26,677594
84.8,84.9,81.55,81.9,2023-07-27,707169
82.3,84.7,80.3,81.35,2023-07-28,1059033
82.25,83.85,82.05,83.0,2023-07-31,724485
83.5,84.65,82.0,82.45,2023-08-01,865551
82.75,83.7,79.2,81.15,2023-08-02,793070
81.1,81.15,78.65,79.4,2023-08-03,719921
80.0,84.4,79.55,82.55,2023-08-04,1139288
83.3,86.2,83.0,83.45,2023-08-07,2126869
84.0,84.35,81.2,81.8,2023-08-08,629985
82.2,82.5,81.35,82.1,2023-08-09,622598
82.0,84.15,81.8,82.7,2023-08-10,720403
83.2,84.05,80.35,81.35,2023-08-11,584256
81.75,82.9,79.1,81.75,2023-08-14,707732
84.1,85.9,81.8,82.45,2023-08-16,768584
83.0,83.1,80.7,80.9,2023-08-17,543088
80.85,81.5,79.0,79.3,2023-08-18,607253
79.75,81.55,79.15,80.0,2023-08-21,627305
80.75,81.1,79.25,79.45,2023-08-22,472075
80.05,80.75,79.4,79.7,2023-08-23,722313
80.3,85.8,80.0,81.65,2023-08-24,2111926
81.9,82.5,80.05,80.8,2023-08-25,655389
81.4,82.2,78.65,79.8,2023-08-28,799272
80.3,81.3,79.1,79.75,2023-08-29,541691
80.45,88.75,80.3,88.2,2023-08-30,5711649
89.55,93.65,89.5,90.8,2023-08-31,5723593
91.35,93.0,89.65,90.15,2023-09-01,1593431
90.5,92.7,89.8,90.6,2023-09-04,1177051
90.95,92.25,87.2,90.2,2023-09-05,1289106
90.9,98.7,90.75,95.95,2023-09-06,6706988
96.5,97.65,92.75,93.6,2023-09-07,2368272
94.0,95.35,92.2,92.45,2023-09-08,1007985
93.3,94.35,91.1,91.65,2023-09-11,1041063
92.2,93.0,83.6,85.5,2023-09-12,3443262
86.7,95.5,84.85,94.1,2023-09-13,4531639
95.45,95.95,90.0,90.65,2023-09-14,3408048
91.4,93.7,91.1,91.6,2023-09-15,1004130
92.0,92.0,89.55,90.7,2023-09-18,1031168
90.45,92.4,88.6,90.35,2023-09-20,710724
90.15,91.1,87.1,88.0,2023-09-21,694182
88.9,89.7,85.95,87.75,2023-09-22,778324
88.45,89.55,87.7,88.8,2023-09-25,425834
89.2,89.85,85.5,86.35,2023-09-26,651367
86.75,89.4,86.3,86.65,2023-09-27,451944
87.35,88.7,85.6,86.1,2023-09-28,585057
86.5,87.35,85.35,86.2,2023-09-29,529473
86.2,86.6,84.45,84.8,2023-10-03,518774
84.0,85.35,81.1,83.0,2023-10-04,980063
83.65,87.7,83.35,86.85,2023-10-05,1130389
86.9,87.8,86.05,86.8,2023-10-06,543402
85.2,85.25,82.05,82.7,2023-10-09,747825
83.2,84.45,83.15,83.8,2023-10-10,339642
84.4,86.6,84.1,84.4,2023-10-11,564930
84.95,85.5,83.6,84.2,2023-10-12,351225
84.0,84.95,83.0,83.85,2023-10-13,375876
84.4,84.7,82.5,82.9,2023-10-16,489645
83.7,85.65,83.0,83.9,2023-10-17,573330
84.25,85.75,83.0,83.25,2023-10-18,610721
83.35,84.35,82.35,82.8,2023-10-19,410139
82.9,83.7,81.5,81.95,2023-10-20,289642
82.1,82.45,75.2,77.0,2023-10-23,1131921
77.45,79.2,74.3,75.5,2023-10-25,930180
75.7,79.85,72.5,77.0,2023-10-26,919635
78.0,82.0,77.3,81.5,2023-10-27,719445
81.85,82.15,79.1,79.65,2023-10-30,407375
80.2,81.75,79.55,79.95,2023-10-31,324926
80.3,81.2,79.45,79.65,2023-11-01,282605
80.1,82.25,79.85,80.2,2023-11-02,374241
80.9,81.8,80.25,81.0,2023-11-03,269167
81.95,84.4,81.8,83.6,2023-11-06,657657
84.2,84.5,83.0,83.45,2023-11-07,290552
83.75,84.55,82.0,82.3,2023-11-08,285491
82.75,87.85,82.4,84.3,2023-11-09,1146385
84.55,86.0,84.0,84.9,2023-11-10,479577
85.6,86.0,83.05,84.25,2023-11-12,232937
84.65,84.7,81.35,82.15,2023-11-13,438079
82.55,83.95,81.55,82.85,2023-11-15,538245
83.05,85.4,82.9,84.1,2023-11-16,650042
84.1,85.5,83.0,83.3,2023-11-17,572690
82.1,87.5,82.1,83.9,2023-11-20,1192737
84.1,85.3,82.55,83.15,2023-11-21,455896
83.75,83.9,81.1,81.75,2023-11-22,455360
82.3,91.5,82.15,88.3,2023-11-23,7826785
89.2,92.9,88.8,90.05,2023-11-24,3004123
90.7,90.85,85.6,86.2,2023-11-28,1410171
86.95,89.5,86.45,86.7,2023-11-29,716336
87.7,87.7,85.1,85.9,2023-11-30,649874
86.45,87.4,85.6,85.7,2023-12-01,582712
87.0,87.7,85.3,86.0,2023-12-04,637512
86.45,86.75,83.9,84.35,2023-12-05,612820
84.55,86.25,83.95,85.2,2023-12-06,526647
85.45,87.35,84.85,86.25,2023-12-07,763967
86.2,91.2,86.2,88.65,2023-12-08,2178985
89.1,93.3,89.1,90.2,2023-12-11,1264306
90.5,90.65,88.0,88.25,2023-12-12,612052
88.6,89.25,86.95,88.5,2023-12-13,481387
89.15,93.45,89.1,90.15,2023-12-14,1644333
90.7,97.8,90.65,93.45,2023-12-15,5863949
94.0,108.6,93.85,103.0,2023-12-18,16228016
104.35,107.75,101.0,101.9,2023-12-19,3978487
102.4,106.05,94.3,95.75,2023-12-20,4350906
95.0,102.1,92.55,101.2,2023-12-21,3437146
103.1,103.8,99.05,100.9,2023-12-22,2344285
101.7,103.8,99.05,99.75,2023-12-26,1405162
100.4,105.5,100.05,101.35,2023-12-27,2884536
102.05,103.0,98.5,98.75,2023-12-28,1096109
99.15,103.45,98.1,101.3,2023-12-29,1786043
