open,high,low,close,date,volume
178.8,180.0,169.0,170.9,2022-09-23,14469
170.9,171.5,164.85,166.95,2022-09-26,7465
169.9,169.9,164.8,166.25,2022-09-27,4935
164.85,171.25,161.0,164.4,2022-09-28,10328
168.4,169.55,164.7,167.6,2022-09-29,6151
165.0,170.2,164.0,165.0,2022-09-30,7649
171.85,171.9,166.45,170.3,2022-10-03,7102
166.5,171.0,166.5,169.1,2022-10-04,4534
166.6,172.15,166.6,171.25,2022-10-06,11291
172.05,173.5,170.0,172.7,2022-10-07,4657
173.25,173.65,169.0,171.8,2022-10-10,5563
170.05,175.9,169.0,173.75,2022-10-11,10388
173.8,177.0,172.0,174.75,2022-10-12,7639
171.0,173.5,168.2,169.9,2022-10-13,5683
175.85,180.0,170.1,175.3,2022-10-14,21000
175.3,180.0,172.55,173.4,2022-10-17,35246
170.1,179.95,166.2,170.15,2022-10-18,17121
171.4,176.0,169.45,174.2,2022-10-19,5711
173.9,174.9,168.55,172.25,2022-10-20,2874
167.6,173.25,167.6,172.3,2022-10-21,2619
173.25,178.0,173.25,176.5,2022-10-24,9716
177.0,179.0,175.65,178.9,2022-10-25,8336
179.0,179.0,173.1,174.6,2022-10-27,5743
172.0,178.9,172.0,177.45,2022-10-28,5235
178.85,182.8,174.0,176.65,2022-10-31,18156
176.65,178.6,171.95,174.3,2022-11-01,8744
177.9,177.9,173.05,175.75,2022-11-02,22405
174.8,177.15,172.1,174.05,2022-11-03,7109
177.4,177.4,171.4,173.6,2022-11-04,11127
173.35,174.45,170.55,172.15,2022-11-07,6859
173.2,175.7,169.05,170.8,2022-11-09,10537
172.95,175.0,171.6,172.5,2022-11-10,3343
172.05,173.6,170.0,170.5,2022-11-11,11076
175.9,175.9,169.0,174.5,2022-11-14,11002
174.95,174.95,168.1,168.75,2022-11-15,13928
169.15,169.85,167.05,168.05,2022-11-16,2933
170.0,170.0,164.1,164.7,2022-11-17,6835
167.45,170.5,164.0,164.55,2022-11-18,2083
168.05,169.55,163.9,164.0,2022-11-21,9338
164.25,165.8,162.35,163.9,2022-11-22,4601
163.0,166.45,161.9,163.05,2022-11-23,6414
161.95,166.0,161.95,163.15,2022-11-24,3737
167.0,167.0,162.0,165.1,2022-11-25,9001
166.8,169.4,162.0,162.4,2022-11-28,8806
163.6,165.35,158.0,158.9,2022-11-29,11004
158.2,162.0,155.2,156.2,2022-11-30,10855
157.25,161.95,154.65,159.9,2022-12-01,10947
158.0,166.4,158.0,161.6,2022-12-02,7556
158.5,163.4,158.5,162.4,2022-12-05,6950
163.55,165.0,161.95,163.0,2022-12-06,6228
163.05,165.95,162.6,163.2,2022-12-07,4648
163.05,163.75,160.4,161.35,2022-12-08,8319
163.65,163.65,160.6,161.1,2022-12-09,8681
154.2,163.45,154.1,162.9,2022-12-12,5492
161.2,163.65,159.75,161.55,2022-12-13,6340
162.05,166.2,160.05,160.9,2022-12-14,13459
161.0,164.0,155.9,159.5,2022-12-15,19997
158.1,159.8,157.4,157.85,2022-12-16,4601
161.5,162.0,158.95,161.8,2022-12-19,2195
161.9,161.9,157.15,157.8,2022-12-20,5625
157.6,162.3,153.45,154.7,2022-12-21,13720
161.9,161.9,153.5,156.2,2022-12-22,4218
156.35,165.7,145.95,149.85,2022-12-23,22526
149.9,157.2,149.85,155.65,2022-12-26,6927
154.85,158.7,154.55,156.1,2022-12-27,2861
154.6,159.0,154.35,156.35,2022-12-28,3445
159.0,159.0,153.1,155.35,2022-12-29,1307
156.4,157.8,155.0,155.65,2022-12-30,2613
157.85,162.75,154.55,156.05,2023-01-02,4563
157.0,157.0,152.2,152.95,2023-01-03,10516
158.0,158.5,152.2,152.55,2023-01-04,4385
155.25,155.25,152.7,153.1,2023-01-05,897
152.2,154.9,152.0,153.1,2023-01-06,3073
155.55,155.7,151.6,153.75,2023-01-09,3664
156.7,156.7,151.9,153.65,2023-01-10,2936
155.05,155.05,152.65,154.0,2023-01-11,3153
155.1,155.1,151.1,152.1,2023-01-12,1982
153.5,175.45,151.1,164.05,2023-01-13,23962
161.8,161.9,157.5,158.2,2023-01-16,5413
157.05,161.0,154.5,155.55,2023-01-17,2226
157.95,162.9,154.15,158.85,2023-01-18,4779
157.7,157.7,152.65,154.0,2023-01-19,3491
157.05,157.05,152.0,152.1,2023-01-20,11130
153.95,156.0,151.75,152.6,2023-01-23,3155
155.8,155.8,150.8,151.2,2023-01-24,4321
153.0,156.4,150.2,152.55,2023-01-25,5207
152.75,156.05,150.0,151.5,2023-01-27,7666
