open,high,low,close,date,volume
1301.15,1328.85,1285.0,1297.8,2022-12-06,2468
1285.0,1340.0,1263.1,1318.95,2022-12-07,2606
1348.0,1348.0,1291.05,1303.2,2022-12-08,1783
1313.0,1329.95,1265.1,1270.8,2022-12-09,4997
1270.0,1293.6,1207.3,1258.65,2022-12-12,2120
1275.0,1321.55,1258.8,1298.65,2022-12-13,4678
1298.3,1340.0,1280.0,1325.55,2022-12-14,3317
1310.0,1338.7,1269.6,1279.0,2022-12-15,4027
1288.45,1288.45,1238.7,1265.45,2022-12-16,3326
1241.7,1261.9,1237.0,1248.25,2022-12-19,1775
1225.25,1275.0,1225.25,1260.25,2022-12-20,3341
1308.5,1308.5,1206.2,1226.15,2022-12-21,4691
1236.9,1239.95,1177.5,1187.05,2022-12-22,4476
1165.0,1178.05,1128.0,1142.7,2022-12-23,5042
1115.1,1199.0,1115.1,1192.95,2022-12-26,3576
1185.4,1250.0,1185.4,1223.2,2022-12-27,2948
1233.05,1245.0,1200.0,1202.9,2022-12-28,1101
1248.0,1263.0,1220.0,1259.35,2022-12-29,1313
1289.95,1300.05,1220.0,1293.1,2022-12-30,5008
1334.95,1340.45,1299.95,1310.1,2023-01-02,5500
1333.45,1333.45,1282.1,1309.7,2023-01-03,3224
1290.05,1294.9,1280.1,1282.15,2023-01-04,3019
1303.65,1303.65,1270.55,1276.45,2023-01-05,699
1281.05,1313.0,1273.95,1294.0,2023-01-06,1108
1319.9,1319.9,1274.05,1301.0,2023-01-09,1781
1299.0,1321.5,1275.05,1304.2,2023-01-10,1622
1282.45,1359.95,1279.95,1341.55,2023-01-11,7787
1341.85,1342.3,1285.1,1297.8,2023-01-12,3257
1271.1,1308.9,1271.1,1287.95,2023-01-13,1944
1295.05,1352.3,1295.05,1302.8,2023-01-16,6554
1329.9,1340.0,1291.15,1320.6,2023-01-17,2206
1281.5,1386.6,1281.5,1365.25,2023-01-18,10918
1352.2,1418.95,1352.2,1368.4,2023-01-19,4494
1399.9,1399.9,1307.0,1319.5,2023-01-20,4871
1326.0,1380.0,1316.85,1350.7,2023-01-23,3847
1327.0,1372.0,1314.0,1327.5,2023-01-24,3666
1350.0,1354.8,1306.4,1311.65,2023-01-25,3674
1345.3,1346.4,1275.0,1306.55,2023-01-27,6095
1279.5,1326.1,1264.3,1270.15,2023-01-30,2921
1274.45,1333.65,1274.3,1327.6,2023-01-31,3947
1305.0,1354.45,1270.0,1295.85,2023-02-01,7234
1304.0,1325.0,1275.0,1295.15,2023-02-02,2394
1314.0,1315.3,1243.05,1276.15,2023-02-03,4930
1290.6,1309.15,1230.25,1249.2,2023-02-06,2843
1243.9,1322.95,1243.9,1280.05,2023-02-07,4546
1280.0,1307.95,1261.1,1274.85,2023-02-08,2619
1269.5,1390.0,1269.5,1373.7,2023-02-09,12016
1395.7,1440.95,1372.6,1436.3,2023-02-10,23093
1469.45,1500.0,1431.1,1440.0,2023-02-13,19485
1423.0,1440.1,1363.0,1425.15,2023-02-14,10006
1420.0,1464.25,1386.0,1402.3,2023-02-15,6822
1402.55,1409.85,1362.4,1368.05,2023-02-16,2949
1360.0,1367.25,1300.0,1319.85,2023-02-17,5894
1322.3,1412.15,1316.05,1378.15,2023-02-20,11177
1382.1,1390.0,1310.1,1315.7,2023-02-21,4285
1315.7,1447.25,1315.0,1327.1,2023-02-22,28623
1344.95,1374.0,1320.05,1324.75,2023-02-23,6730
1324.0,1392.95,1324.0,1380.55,2023-02-24,11892
1359.85,1414.9,1352.05,1380.25,2023-02-27,17107
1376.45,1400.0,1350.0,1395.05,2023-02-28,8422
1383.0,1414.0,1374.9,1380.95,2023-03-01,2987
1399.0,1499.0,1360.0,1457.85,2023-03-02,55318
1459.0,1487.0,1425.0,1443.45,2023-03-03,9141
1465.1,1525.0,1446.4,1502.5,2023-03-06,32397
1519.0,1539.95,1466.05,1487.15,2023-03-08,13783
1502.0,1502.0,1450.0,1457.7,2023-03-09,5934
1469.85,1481.15,1415.15,1451.2,2023-03-10,4126
1459.0,1495.9,1420.25,1431.9,2023-03-13,13177
1441.05,1443.95,1401.0,1408.9,2023-03-14,6925
1416.95,1454.95,1366.0,1371.35,2023-03-15,6531
1391.0,1405.0,1322.55,1351.55,2023-03-16,7164
1363.95,1388.1,1332.6,1376.7,2023-03-17,4325
1371.8,1371.85,1300.45,1309.95,2023-03-20,4472
1325.0,1351.75,1300.0,1327.05,2023-03-21,4510
1328.0,1363.8,1327.05,1329.15,2023-03-22,1817
1326.3,1362.4,1290.35,1299.85,2023-03-23,5293
1299.85,1337.95,1299.85,1309.55,2023-03-24,2667
1310.05,1310.45,1256.0,1268.35,2023-03-27,4912
1263.0,1295.0,1241.05,1257.5,2023-03-28,3828
1288.0,1317.1,1256.05,1276.05,2023-03-29,4870
1299.0,1350.0,1264.05,1318.05,2023-03-31,3981
1324.95,1357.7,1324.95,1350.0,2023-04-03,1235
1348.95,1379.0,1307.05,1355.7,2023-04-05,2881
1365.6,1365.6,1323.3,1332.85,2023-04-06,7884
1363.65,1395.0,1332.0,1383.15,2023-04-10,6394
1379.9,1481.9,1361.85,1450.65,2023-04-11,22664
1483.0,1535.05,1446.05,1505.3,2023-04-12,25652
1522.0,1545.0,1485.0,1539.15,2023-04-13,13177
1544.9,1655.0,1485.05,1632.65,2023-04-17,68712
1625.0,1676.95,1561.0,1579.65,2023-04-18,25513
1570.05,1630.0,1569.95,1592.25,2023-04-19,10128
1577.05,1650.0,1577.05,1640.2,2023-04-20,19179
1653.35,1670.0,1625.1,1630.75,2023-04-21,10633
1625.15,1639.95,1572.55,1586.5,2023-04-24,7235
1599.0,1675.0,1555.1,1631.95,2023-04-25,15876
1640.15,1741.65,1630.05,1653.85,2023-04-26,59446
1660.1,1699.9,1645.0,1658.95,2023-04-27,18417
1667.25,1683.3,1630.1,1652.9,2023-04-28,6768
1653.0,1684.0,1652.2,1666.0,2023-05-02,5696
1677.3,1693.0,1658.1,1661.25,2023-05-03,6187
1665.1,1693.0,1651.45,1680.4,2023-05-04,10196
1680.4,1685.8,1630.0,1653.65,2023-05-05,5126
1661.9,1691.05,1660.05,1676.6,2023-05-08,3517
1671.85,1689.0,1658.25,1676.35,2023-05-09,5588
1676.55,1682.85,1651.25,1674.85,2023-05-10,6327
1675.05,1693.0,1665.2,1670.5,2023-05-11,5639
1678.9,1825.0,1662.05,1722.75,2023-05-12,43978
1731.4,1753.9,1684.0,1694.95,2023-05-15,8715
1703.45,1775.0,1670.0,1755.35,2023-05-16,15123
1780.0,1798.0,1700.0,1746.15,2023-05-17,9871
1754.9,1775.9,1728.05,1746.5,2023-05-18,4576
1746.5,1797.0,1734.0,1790.6,2023-05-19,11108
1790.0,1848.2,1773.7,1818.95,2023-05-22,14190
1802.0,1879.0,1767.6,1867.95,2023-05-23,25497
1884.0,1884.0,1802.75,1857.5,2023-05-24,16490
2090.0,2176.0,1954.0,2042.3,2023-05-25,319505
2049.0,2142.0,1991.35,2005.75,2023-05-26,84017
2035.85,2081.0,1985.0,1999.8,2023-05-29,25684
2049.8,2049.8,1960.0,1996.95,2023-05-30,17229
2006.95,2030.55,1960.45,2022.25,2023-05-31,15608
2020.0,2049.0,1990.0,2007.95,2023-06-01,13451
2018.0,2061.0,2006.6,2046.45,2023-06-02,16624
2076.9,2110.0,2000.0,2009.05,2023-06-05,15530
2018.95,2025.15,1980.2,2004.35,2023-06-06,11355
2004.35,2044.0,1970.0,1978.2,2023-06-07,9758
1998.0,2007.6,1900.5,1923.6,2023-06-08,16402
1933.25,1947.95,1878.05,1898.8,2023-06-09,13374
1911.0,1934.9,1875.0,1884.05,2023-06-12,12239
1902.9,1977.95,1902.9,1964.75,2023-06-13,17625
1991.85,2044.0,1989.15,2001.45,2023-06-14,14615
2011.5,2021.0,1942.05,1950.4,2023-06-15,8833
1960.2,2003.7,1935.0,1944.75,2023-06-16,11230
1954.5,1965.0,1928.1,1943.2,2023-06-19,6599
1932.5,2118.1,1926.05,2036.05,2023-06-20,43380
2045.0,2093.4,1992.1,2016.25,2023-06-21,13471
2025.0,2069.0,1990.25,2051.15,2023-06-22,21717
2069.0,2069.0,1971.5,1988.05,2023-06-23,11235
2012.7,2024.9,1952.05,2003.4,2023-06-26,8227
2012.6,2024.95,1980.0,1984.8,2023-06-27,5253
1994.75,2039.7,1976.5,1996.6,2023-06-28,10701
1994.95,2068.95,1980.65,2051.45,2023-06-30,17686
2041.05,2060.0,1980.0,2012.65,2023-07-03,9594
2028.5,2029.95,1981.0,1992.6,2023-07-04,5869
1993.2,2009.45,1970.6,1991.7,2023-07-05,5472
1986.85,2024.45,1975.05,1999.8,2023-07-06,6164
1996.7,2000.0,1935.05,1943.7,2023-07-07,18310
1963.15,1963.15,1882.0,1908.0,2023-07-10,18071
1917.55,1944.0,1890.0,1903.05,2023-07-11,8084
1931.4,1931.4,1881.35,1894.65,2023-07-12,6533
1895.0,1990.0,1861.0,1897.05,2023-07-13,11911
1905.0,1925.95,1877.5,1894.6,2023-07-14,6730
1900.0,1971.0,1878.0,1884.65,2023-07-17,7528
1903.5,1909.0,1847.8,1860.0,2023-07-18,9325
1869.25,1931.5,1852.7,1912.55,2023-07-19,10936
1920.0,1922.5,1882.25,1903.55,2023-07-20,5176
1898.2,1927.4,1898.05,1907.3,2023-07-21,3101
1918.0,1948.4,1861.15,1876.35,2023-07-24,12432
1885.75,1922.45,1885.0,1906.45,2023-07-25,6059
1914.9,2163.0,1900.0,2079.7,2023-07-26,130931
2100.45,2144.0,2032.65,2051.15,2023-07-27,29323
2073.75,2249.0,2024.15,2230.65,2023-07-28,99878
2257.0,2346.0,2239.0,2325.2,2023-07-31,63338
2350.0,2369.95,2187.0,2236.4,2023-08-01,38431
2251.0,2389.0,2247.55,2353.25,2023-08-02,41546
2390.0,2472.95,2275.05,2303.9,2023-08-03,41941
2361.5,2517.45,2285.0,2412.0,2023-08-04,46177
2490.0,2595.0,2415.3,2452.15,2023-08-07,66269
2500.0,2526.0,2421.25,2452.25,2023-08-08,18188
2455.0,2480.7,2386.05,2403.6,2023-08-09,11805
2412.0,2423.95,2264.15,2300.1,2023-08-10,27421
2301.0,2388.9,2301.0,2321.25,2023-08-11,10257
2300.05,2300.05,2166.95,2217.6,2023-08-14,18647
2160.0,2361.0,2160.0,2338.65,2023-08-16,27333
2351.0,2405.9,2277.0,2295.1,2023-08-17,13272
2305.0,2317.95,2223.05,2231.75,2023-08-18,10677
2235.0,2281.0,2203.3,2217.3,2023-08-21,9899
2228.4,2388.0,2203.55,2362.9,2023-08-22,30258
2389.9,2435.0,2291.5,2307.45,2023-08-23,12009
2310.25,2365.15,2304.95,2332.7,2023-08-24,3579
2343.0,2506.9,2302.0,2458.3,2023-08-25,51628
2458.3,2493.75,2419.3,2449.65,2023-08-28,9499
2449.15,2500.0,2350.1,2378.7,2023-08-29,10814
2390.0,2407.0,2367.9,2387.45,2023-08-30,11042
2387.45,2447.85,2375.0,2393.7,2023-08-31,7502
2385.5,2444.0,2376.5,2389.3,2023-09-01,7511
