open,high,low,close,date,volume
229.9,234.95,226.5,227.8,2022-09-29,325763
226.0,230.0,222.95,228.75,2022-09-30,132760
228.75,230.15,225.5,228.4,2022-10-03,187059
230.6,231.05,228.7,229.55,2022-10-04,103040
230.7,233.5,229.6,232.35,2022-10-06,94404
230.1,232.6,230.0,231.75,2022-10-07,62374
230.2,230.9,227.1,229.8,2022-10-10,52285
230.15,230.15,225.5,226.15,2022-10-11,68268
225.4,227.4,222.05,223.8,2022-10-12,72053
222.0,224.0,220.25,221.9,2022-10-13,63321
224.0,224.95,220.5,221.75,2022-10-14,76721
224.35,224.4,217.6,219.95,2022-10-17,192868
220.0,220.95,217.1,219.45,2022-10-18,96098
219.0,220.1,216.3,217.45,2022-10-19,119199
216.05,217.9,202.7,205.15,2022-10-20,567634
206.8,219.0,206.8,214.95,2022-10-21,942769
212.3,216.5,210.0,212.05,2022-10-24,101373
212.9,221.0,211.15,218.9,2022-10-25,206285
222.0,223.4,218.0,222.4,2022-10-27,211571
222.4,224.75,216.85,220.75,2022-10-28,142812
221.1,223.5,218.45,222.6,2022-10-31,127496
222.1,227.05,221.35,226.55,2022-11-01,242025
226.55,236.0,226.55,233.45,2022-11-02,146117
234.0,239.6,232.2,234.75,2022-11-03,230576
235.95,238.05,231.05,232.95,2022-11-04,105217
234.15,236.7,227.35,230.25,2022-11-07,235539
230.25,235.8,229.3,233.7,2022-11-09,167161
233.0,234.0,226.5,228.05,2022-11-10,208997
229.4,231.8,225.05,228.9,2022-11-11,154619
229.0,247.0,226.65,239.3,2022-11-14,888456
244.0,244.75,235.0,238.75,2022-11-15,310289
238.0,246.9,235.8,245.65,2022-11-16,362770
245.0,249.35,240.25,246.8,2022-11-17,182137
248.05,255.0,244.4,246.95,2022-11-18,295544
246.85,251.45,235.0,238.2,2022-11-21,244933
239.3,240.8,236.45,238.75,2022-11-22,58590
239.95,243.4,236.9,239.5,2022-11-23,153837
240.7,250.0,240.3,245.7,2022-11-24,213791
245.7,252.9,245.5,251.6,2022-11-25,192826
250.0,262.95,248.8,261.6,2022-11-28,311286
264.65,264.65,257.4,260.65,2022-11-29,197372
262.0,262.7,258.6,261.75,2022-11-30,158660
262.4,262.4,253.6,255.2,2022-12-01,165402
255.2,260.0,254.0,258.85,2022-12-02,162023
259.4,264.5,258.2,261.0,2022-12-05,187299
261.5,267.05,260.7,261.6,2022-12-06,185008
261.55,262.75,258.0,259.55,2022-12-07,87019
263.0,274.0,260.15,270.55,2022-12-08,1551983
273.5,278.55,260.0,262.1,2022-12-09,804055
262.5,269.9,256.95,268.75,2022-12-12,228232
269.9,271.15,265.0,266.25,2022-12-13,159520
267.0,272.5,265.0,267.0,2022-12-14,210453
269.55,269.55,262.6,265.05,2022-12-15,106651
264.0,264.2,255.05,256.15,2022-12-16,235472
255.0,265.0,253.65,258.45,2022-12-19,250479
261.75,270.5,258.5,266.85,2022-12-20,680566
267.85,271.05,255.0,259.0,2022-12-21,581563
260.0,261.95,246.1,247.85,2022-12-22,322460
243.0,247.0,235.0,244.25,2022-12-23,294372
243.95,250.35,241.5,247.05,2022-12-26,243166
249.65,252.6,242.0,243.2,2022-12-27,173497
244.45,253.0,241.5,251.25,2022-12-28,269584
252.8,252.8,246.55,247.8,2022-12-29,271201
255.0,263.7,252.9,254.85,2022-12-30,1220356
259.8,272.8,255.45,265.0,2023-01-02,1571560
266.6,271.9,264.55,266.2,2023-01-03,592953
267.0,269.2,262.05,263.2,2023-01-04,470061
263.9,266.95,260.35,263.0,2023-01-05,272414
263.0,264.95,257.0,258.35,2023-01-06,162559
262.25,267.95,259.6,263.7,2023-01-09,435771
263.5,264.85,258.2,259.75,2023-01-10,153458
259.9,260.65,257.0,257.35,2023-01-11,638319
258.0,261.4,252.25,259.6,2023-01-12,418550
259.1,266.75,258.5,262.3,2023-01-13,830960
263.85,271.9,262.55,268.75,2023-01-16,1049867
268.75,274.4,266.6,268.75,2023-01-17,480979
269.9,269.9,261.35,263.8,2023-01-18,179349
262.05,266.75,260.5,261.3,2023-01-19,136834
261.4,264.9,260.6,261.7,2023-01-20,99038
262.45,263.45,258.5,259.6,2023-01-23,189608
260.3,261.1,253.5,254.85,2023-01-24,103118
253.0,256.7,252.55,254.65,2023-01-25,128226
255.9,256.45,242.9,244.45,2023-01-27,230849
242.4,248.8,238.0,239.1,2023-01-30,198281
241.65,248.5,238.65,246.95,2023-01-31,269491
252.0,259.0,237.8,241.05,2023-02-01,648663
243.0,258.0,242.4,257.0,2023-02-02,556805
260.0,260.0,254.3,256.25,2023-02-03,181193
257.55,265.5,255.1,263.3,2023-02-06,243595
263.5,270.4,256.35,259.85,2023-02-07,456282
259.05,267.4,257.2,265.65,2023-02-08,212821
266.7,270.1,263.0,267.45,2023-02-09,297885
270.7,271.45,259.2,262.65,2023-02-10,483127
264.7,265.6,260.0,260.95,2023-02-13,304907
261.45,261.95,255.85,258.15,2023-02-14,243390
256.2,257.6,253.0,253.9,2023-02-15,462428
253.9,261.4,253.4,254.35,2023-02-16,120297
255.8,256.6,253.45,255.9,2023-02-17,73693
256.85,258.4,252.65,254.5,2023-02-20,92032
255.5,258.2,253.7,256.05,2023-02-21,157762
255.0,257.35,248.15,255.9,2023-02-22,148519
256.8,256.8,250.4,252.8,2023-02-23,70421
252.8,253.7,248.0,249.15,2023-02-24,75334
250.35,252.8,243.0,251.85,2023-02-27,104587
252.0,259.0,248.25,256.05,2023-02-28,271259
256.05,261.5,252.25,258.15,2023-03-01,283270
263.5,266.75,261.1,263.85,2023-03-02,598611
268.0,270.4,264.7,267.7,2023-03-03,460704
269.5,280.45,268.05,276.75,2023-03-06,1174181
276.75,278.35,270.65,272.3,2023-03-08,504564
273.7,275.65,271.35,272.75,2023-03-09,207593
271.5,275.6,268.55,272.15,2023-03-10,566025
275.85,278.5,269.15,272.8,2023-03-13,515627
280.8,280.8,268.55,273.95,2023-03-14,456605
275.5,276.45,262.0,264.95,2023-03-15,481664
263.0,263.15,256.1,259.2,2023-03-16,390710
261.7,264.6,257.1,258.35,2023-03-17,216507
259.65,259.65,253.3,254.7,2023-03-20,143432
256.35,259.6,253.1,254.3,2023-03-21,85755
254.35,257.25,250.2,251.95,2023-03-22,130449
253.25,256.0,251.05,253.9,2023-03-23,110863
255.0,256.05,251.2,253.35,2023-03-24,124081
253.0,254.0,246.1,248.55,2023-03-27,121889
250.1,251.05,245.05,246.85,2023-03-28,221072
247.1,251.0,246.5,248.85,2023-03-29,178068
246.6,255.25,246.6,253.7,2023-03-31,278373
255.0,258.7,253.0,254.3,2023-04-03,165177
254.9,257.3,253.2,254.05,2023-04-05,61480
254.05,255.9,250.35,253.0,2023-04-06,110977
253.0,256.5,251.15,251.85,2023-04-10,113239
253.05,255.5,248.0,250.1,2023-04-11,186045
253.6,253.6,241.0,243.3,2023-04-12,374719
244.0,244.95,241.55,243.9,2023-04-13,277127
243.95,244.95,241.6,243.4,2023-04-17,106186
244.0,244.95,239.2,240.6,2023-04-18,319113
241.0,242.4,235.1,235.7,2023-04-19,291170
235.75,239.25,232.4,234.55,2023-04-20,451449
234.35,237.6,233.2,234.45,2023-04-21,145332
234.5,242.05,234.5,239.4,2023-04-24,359101
238.4,241.5,236.65,240.4,2023-04-25,338549
241.0,242.5,239.0,239.7,2023-04-26,83500
240.9,243.6,239.15,240.05,2023-04-27,121290
240.85,242.3,238.5,240.2,2023-04-28,183312
241.0,243.8,240.05,240.9,2023-05-02,116170
240.9,242.9,240.35,241.05,2023-05-03,68420
242.15,245.6,241.25,243.65,2023-05-04,243755
245.0,245.45,240.65,243.4,2023-05-05,563808
241.3,246.95,241.3,244.95,2023-05-08,378988
246.5,246.8,242.1,242.65,2023-05-09,209412
244.65,244.75,239.6,240.5,2023-05-10,324908
241.0,244.9,240.25,240.9,2023-05-11,164092
241.05,243.9,239.25,239.9,2023-05-12,258085
241.45,248.8,237.2,247.95,2023-05-15,690691
249.3,249.7,245.0,246.0,2023-05-16,205474
