open,high,low,close,date,volume
163.0,165.0,153.0,153.7,2022-09-29,147660
154.4,161.7,154.4,158.2,2022-09-30,157807
157.7,165.85,155.2,157.05,2022-10-03,124900
158.25,164.0,158.25,159.4,2022-10-04,83350
160.6,164.6,160.55,162.2,2022-10-06,66157
163.2,165.0,161.65,164.25,2022-10-07,54166
165.0,166.0,161.65,163.75,2022-10-10,48020
162.65,165.45,156.8,158.85,2022-10-11,55646
159.95,161.7,155.5,157.05,2022-10-12,46939
157.0,158.45,153.0,155.7,2022-10-13,50164
158.05,160.25,155.0,155.55,2022-10-14,37966
157.1,157.1,152.15,153.6,2022-10-17,55510
153.6,158.7,151.1,152.65,2022-10-18,73625
153.7,158.8,151.5,155.0,2022-10-19,138318
158.05,158.65,153.3,154.05,2022-10-20,42304
154.05,184.85,152.05,171.75,2022-10-21,1227103
175.85,194.1,175.3,186.15,2022-10-24,336312
185.6,186.4,177.5,183.85,2022-10-25,259865
184.5,187.2,180.6,182.6,2022-10-27,91137
183.3,186.8,174.55,178.2,2022-10-28,161988
180.9,182.45,178.2,180.5,2022-10-31,81660
182.3,182.3,177.0,178.8,2022-11-01,80004
179.9,181.7,176.5,178.2,2022-11-02,76201
175.0,179.95,173.55,175.6,2022-11-03,46562
175.6,179.0,175.6,176.4,2022-11-04,44169
177.65,190.65,177.25,181.35,2022-11-07,273835
182.75,183.5,177.05,178.3,2022-11-09,66375
177.0,177.95,171.95,173.85,2022-11-10,45878
175.95,178.7,171.5,172.65,2022-11-11,39663
165.0,165.0,151.2,153.35,2022-11-14,525677
153.3,156.7,148.4,150.65,2022-11-15,241176
150.95,154.05,150.95,152.75,2022-11-16,88087
152.95,153.1,147.5,148.9,2022-11-17,129094
149.2,150.85,142.8,144.9,2022-11-18,154921
144.8,144.8,131.2,135.85,2022-11-21,374645
135.85,162.8,133.6,159.85,2022-11-22,2114994
159.0,167.0,151.8,163.15,2022-11-23,1050631
163.4,172.0,158.55,168.75,2022-11-24,547238
169.0,172.9,166.05,168.75,2022-11-25,219016
170.05,170.95,167.1,168.45,2022-11-28,143332
167.0,169.2,161.65,163.05,2022-11-29,145541
163.95,164.0,159.7,160.35,2022-11-30,72996
161.8,168.95,160.65,166.9,2022-12-01,116234
163.5,169.05,163.5,165.05,2022-12-02,69789
165.05,169.7,163.8,164.65,2022-12-05,79679
164.65,167.55,158.05,160.6,2022-12-06,101495
161.5,163.6,157.8,158.35,2022-12-07,57006
159.7,161.4,158.05,160.25,2022-12-08,48516
161.85,161.85,155.0,155.7,2022-12-09,60386
158.0,158.0,155.0,156.5,2022-12-12,39865
156.55,160.0,155.15,155.95,2022-12-13,72409
156.0,158.3,154.1,156.5,2022-12-14,53500
156.5,158.6,155.1,156.15,2022-12-15,64295
156.0,157.95,150.95,154.05,2022-12-16,111435
152.5,154.8,149.9,150.9,2022-12-19,100034
151.45,154.05,148.95,151.15,2022-12-20,72213
152.2,158.45,149.0,151.8,2022-12-21,180725
153.0,156.7,144.25,147.55,2022-12-22,120103
147.8,167.2,146.35,152.5,2022-12-23,1456280
152.9,156.0,149.1,150.65,2022-12-26,259054
151.0,159.4,151.0,154.25,2022-12-27,369697
153.9,155.85,150.8,151.4,2022-12-28,151083
152.5,154.8,150.1,150.9,2022-12-29,138386
152.0,152.95,149.9,150.85,2022-12-30,72768
151.7,151.85,148.55,149.0,2023-01-02,117917
150.0,151.4,148.35,148.8,2023-01-03,71102
149.65,154.45,148.0,153.15,2023-01-04,339911
154.1,154.35,149.45,150.85,2023-01-05,111773
151.0,151.7,148.7,150.8,2023-01-06,81516
152.2,152.2,147.65,149.2,2023-01-09,75096
149.5,150.0,148.0,148.45,2023-01-10,44505
149.2,149.45,146.0,146.65,2023-01-11,70828
147.4,148.85,145.5,147.2,2023-01-12,86794
147.5,149.35,145.45,146.0,2023-01-13,59035
146.6,148.1,144.5,144.9,2023-01-16,76094
145.45,146.4,140.1,141.05,2023-01-17,132812
141.9,142.75,140.15,140.85,2023-01-18,53659
140.95,142.25,138.0,139.0,2023-01-19,77870
139.4,140.45,136.7,137.55,2023-01-20,65594
138.3,138.3,132.0,133.45,2023-01-23,168548
135.45,142.0,134.25,136.95,2023-01-24,158861
135.7,138.5,132.0,133.95,2023-01-25,70431
133.3,136.95,130.2,134.25,2023-01-27,140236
134.95,134.95,128.7,129.6,2023-01-30,77936
130.2,131.45,128.0,129.65,2023-01-31,89269
130.95,137.9,124.2,126.35,2023-02-01,198922
126.3,128.4,122.1,122.4,2023-02-02,86888
123.9,127.5,123.0,124.15,2023-02-03,132875
124.4,125.0,119.55,122.7,2023-02-06,148938
123.0,123.9,118.05,121.65,2023-02-07,88818
120.1,125.45,120.1,123.2,2023-02-08,83734
123.5,124.85,122.0,122.85,2023-02-09,69639
122.85,129.5,117.4,121.2,2023-02-10,268832
121.8,130.05,119.0,128.15,2023-02-13,222760
125.8,137.8,125.1,132.7,2023-02-14,325862
133.0,135.0,130.0,130.9,2023-02-15,106364
132.35,134.25,130.75,133.35,2023-02-16,73201
132.3,136.7,130.0,132.25,2023-02-17,56286
129.0,135.35,129.0,133.3,2023-02-20,85548
133.9,134.5,120.5,124.2,2023-02-21,373114
124.9,124.9,118.15,121.55,2023-02-22,149436
121.55,124.0,119.7,120.35,2023-02-23,60127
120.1,121.9,112.0,114.0,2023-02-24,236495
114.0,116.0,110.0,110.5,2023-02-27,172073
112.15,113.95,109.1,109.8,2023-02-28,63899
111.45,114.65,111.0,113.8,2023-03-01,55182
114.7,115.5,111.5,112.2,2023-03-02,52997
112.55,114.85,111.45,113.0,2023-03-03,63791
114.15,115.85,112.1,113.05,2023-03-06,166014
113.4,114.5,112.65,113.65,2023-03-08,115585
114.8,119.9,112.0,112.45,2023-03-09,278497
112.55,113.1,110.45,111.6,2023-03-10,65421
112.5,113.9,105.5,106.65,2023-03-13,122422
108.65,108.95,99.0,103.1,2023-03-14,372538
103.1,118.9,103.05,108.9,2023-03-15,2693407
108.85,111.45,107.6,109.05,2023-03-16,480330
111.0,112.4,105.55,106.3,2023-03-17,406675
105.35,106.35,102.0,104.05,2023-03-20,560116
105.5,112.55,104.7,108.1,2023-03-21,523656
108.5,109.4,104.5,106.25,2023-03-22,110669
107.4,111.0,104.3,104.8,2023-03-23,185071
105.75,106.05,99.0,101.4,2023-03-24,296930
100.0,102.85,99.0,99.75,2023-03-27,173900
99.05,105.3,96.0,98.35,2023-03-28,790476
98.35,103.0,98.05,101.15,2023-03-29,625605
101.1,111.7,101.1,110.5,2023-03-31,740392
111.45,114.8,109.7,112.8,2023-04-03,302128
112.8,124.8,112.5,122.15,2023-04-05,769407
122.15,123.95,120.0,121.9,2023-04-06,308426
122.5,128.8,121.2,125.6,2023-04-10,368390
125.95,140.0,124.6,138.55,2023-04-11,922718
139.2,144.4,136.45,139.85,2023-04-12,593778
140.45,146.5,140.45,145.45,2023-04-13,464023
145.45,145.6,141.1,144.05,2023-04-17,240728
144.95,152.2,143.35,149.55,2023-04-18,472972
150.0,156.1,147.95,150.0,2023-04-19,457047
151.0,152.05,148.0,149.6,2023-04-20,125360
149.95,150.45,145.1,149.4,2023-04-21,193628
150.3,150.3,143.55,144.95,2023-04-24,101855
144.5,152.05,144.0,150.25,2023-04-25,191775
149.0,157.0,149.0,154.5,2023-04-26,324073
155.15,159.0,154.05,155.1,2023-04-27,139454
156.0,156.05,150.15,152.8,2023-04-28,108850
154.3,158.15,152.0,152.8,2023-05-02,101345
152.0,154.0,148.0,148.6,2023-05-03,80215
149.8,149.8,143.65,144.4,2023-05-04,107996
144.55,149.5,143.4,144.5,2023-05-05,96519
145.75,145.75,140.55,141.7,2023-05-08,84800
