open,high,low,close,date,volume
72.0,72.0,69.0,70.2,2022-09-29,33697
72.0,72.0,69.5,70.7,2022-09-30,22391
72.75,73.0,69.8,72.15,2022-10-03,37847
72.05,72.9,71.15,71.75,2022-10-04,25836
71.8,73.9,71.3,71.9,2022-10-06,40619
73.2,73.5,71.55,72.6,2022-10-07,51420
72.8,74.0,71.55,73.25,2022-10-10,42436
68.15,77.5,68.15,73.9,2022-10-11,84387
75.35,75.35,71.6,72.4,2022-10-12,29693
73.7,73.7,68.8,70.55,2022-10-13,47302
71.95,72.25,68.05,70.25,2022-10-14,33629
70.7,71.05,68.85,69.65,2022-10-17,23401
70.95,70.95,67.0,67.35,2022-10-18,85516
68.65,69.5,66.9,67.45,2022-10-19,52631
67.05,68.75,67.0,68.25,2022-10-20,35555
68.75,68.9,67.0,67.1,2022-10-21,38811
67.75,71.5,67.65,68.45,2022-10-24,19936
69.75,69.75,67.85,68.5,2022-10-25,23176
68.5,70.95,68.5,69.05,2022-10-27,65118
69.45,70.5,69.0,69.6,2022-10-28,22403
70.9,70.9,67.4,68.15,2022-10-31,26794
69.0,69.0,67.6,68.2,2022-11-01,24726
69.0,72.8,68.45,71.45,2022-11-02,153180
72.9,74.5,71.7,72.65,2022-11-03,81283
73.95,73.95,69.15,70.0,2022-11-04,62163
70.0,70.95,69.1,70.0,2022-11-07,43841
70.0,71.2,69.5,69.95,2022-11-09,24898
70.0,71.15,69.9,70.25,2022-11-10,30600
71.0,71.9,69.15,69.75,2022-11-11,36838
71.9,71.9,68.0,68.8,2022-11-14,39857
68.1,70.85,64.0,66.65,2022-11-15,69937
68.75,68.9,66.0,67.2,2022-11-16,46816
66.75,68.5,64.5,66.8,2022-11-17,49788
66.45,69.0,65.7,68.2,2022-11-18,75133
69.55,69.55,66.6,67.15,2022-11-21,33784
67.5,67.95,66.25,67.05,2022-11-22,21792
67.0,68.05,63.85,64.45,2022-11-23,183199
64.75,66.0,63.95,64.5,2022-11-24,79757
65.2,65.4,63.05,64.25,2022-11-25,72539
64.25,65.15,64.25,64.5,2022-11-28,42013
65.2,65.2,63.75,64.4,2022-11-29,24491
64.0,64.8,63.75,64.3,2022-11-30,62250
64.0,64.95,63.8,64.35,2022-12-01,54270
65.0,65.0,64.0,64.6,2022-12-02,139920
64.5,65.0,64.3,64.8,2022-12-05,43104
65.15,74.3,65.0,71.8,2022-12-06,548809
71.9,72.25,69.5,69.9,2022-12-07,98641
71.2,73.0,70.0,71.3,2022-12-08,126557
71.95,73.7,70.5,71.65,2022-12-09,100978
70.3,72.8,69.1,69.85,2022-12-12,50356
70.9,72.8,70.1,70.95,2022-12-13,109027
71.65,71.65,69.8,69.9,2022-12-14,49742
70.0,73.95,70.0,72.4,2022-12-15,237915
72.35,73.95,70.65,71.45,2022-12-16,102140
72.1,74.3,71.6,72.25,2022-12-19,137614
71.9,72.4,71.0,71.35,2022-12-20,34214
71.8,72.25,69.05,69.3,2022-12-21,39200
70.05,70.6,65.7,66.6,2022-12-22,83733
66.0,68.0,62.0,64.25,2022-12-23,94184
64.25,69.45,64.25,68.6,2022-12-26,120385
68.25,70.4,68.25,69.35,2022-12-27,69041
69.5,70.4,68.75,69.2,2022-12-28,34989
69.0,69.2,67.2,68.45,2022-12-29,27764
68.45,70.3,68.25,68.85,2022-12-30,31314
68.55,72.25,68.5,70.65,2023-01-02,80709
70.6,72.2,69.5,70.25,2023-01-03,67769
70.5,70.95,68.55,69.05,2023-01-04,34322
68.7,69.7,68.0,68.6,2023-01-05,24401
69.95,69.95,67.65,68.05,2023-01-06,25867
69.95,69.95,67.7,68.05,2023-01-09,23351
69.0,69.75,67.4,67.7,2023-01-10,24081
67.55,69.0,67.55,68.7,2023-01-11,18044
69.5,69.5,67.5,67.95,2023-01-12,17194
67.9,68.2,66.65,67.2,2023-01-13,25823
66.5,68.4,66.0,66.25,2023-01-16,40277
67.55,70.4,66.55,67.6,2023-01-17,108751
66.85,68.5,66.85,67.2,2023-01-18,33415
67.2,68.4,66.7,67.3,2023-01-19,14952
68.5,68.5,66.1,66.8,2023-01-20,19215
66.9,68.1,66.05,66.55,2023-01-23,34802
67.8,67.8,65.85,66.0,2023-01-24,16838
66.0,67.2,65.55,65.75,2023-01-25,20380
67.8,67.8,63.3,64.2,2023-01-27,30448
64.2,65.1,63.1,63.45,2023-01-30,19036
63.55,65.0,63.5,64.8,2023-01-31,26770
66.0,66.0,64.0,64.5,2023-02-01,23659
65.75,66.1,64.0,64.25,2023-02-02,27317
64.05,65.7,63.5,63.7,2023-02-03,23634
64.95,64.95,63.35,63.7,2023-02-06,17619
64.5,71.75,63.45,68.9,2023-02-07,174202
68.9,72.0,67.75,69.15,2023-02-08,171242
68.55,75.0,68.55,70.95,2023-02-09,275311
70.0,73.1,69.2,70.1,2023-02-10,56569
69.95,73.15,69.95,71.1,2023-02-13,118444
72.4,73.0,70.6,71.15,2023-02-14,60522
70.45,73.0,70.45,70.8,2023-02-15,49919
72.0,72.0,69.0,69.25,2023-02-16,27888
69.25,69.9,67.6,67.9,2023-02-17,30346
67.5,70.0,67.25,67.85,2023-02-20,47262
67.6,68.15,65.6,65.95,2023-02-21,28817
65.1,66.0,64.5,64.8,2023-02-22,24595
64.7,67.75,64.7,66.45,2023-02-23,23828
67.0,68.5,65.5,66.9,2023-02-24,22482
68.0,70.25,66.3,68.85,2023-02-27,90822
69.75,70.0,66.15,67.05,2023-02-28,24936
68.0,68.5,66.3,66.5,2023-03-01,15566
66.1,68.0,66.1,67.6,2023-03-02,24008
66.5,70.15,66.5,69.45,2023-03-03,50060
