open,high,low,close,date,volume
373.8,378.0,355.5,358.55,2022-09-29,813181
361.25,369.5,358.5,367.55,2022-09-30,1093457
367.55,389.0,365.0,377.45,2022-10-03,1846400
384.0,398.45,382.0,386.3,2022-10-04,2030312
389.5,391.6,378.0,382.85,2022-10-06,576346
384.2,398.8,375.2,377.35,2022-10-07,1865317
374.0,376.0,365.9,371.95,2022-10-10,734906
373.0,392.95,371.4,389.0,2022-10-11,1765752
390.05,401.65,376.0,393.6,2022-10-12,2113952
392.9,400.0,387.15,396.55,2022-10-13,1068443
399.0,407.4,395.4,398.1,2022-10-14,1423235
397.55,397.8,386.5,392.3,2022-10-17,672423
395.8,400.9,388.25,399.05,2022-10-18,672497
401.2,401.2,386.3,388.7,2022-10-19,501741
389.05,401.75,385.8,397.3,2022-10-20,495893
400.0,404.2,387.05,389.6,2022-10-21,643391
393.4,395.0,390.4,392.2,2022-10-24,87709
392.5,403.9,388.55,400.65,2022-10-25,661579
403.0,411.9,400.4,409.4,2022-10-27,795356
412.0,413.6,401.0,404.65,2022-10-28,425706
406.0,413.4,395.05,399.25,2022-10-31,447063
400.0,400.0,382.0,384.8,2022-11-01,820940
385.95,393.45,376.95,380.15,2022-11-02,678463
378.1,387.05,375.5,383.7,2022-11-03,548638
385.0,386.55,378.75,382.95,2022-11-04,365454
382.95,386.4,380.05,381.25,2022-11-07,496824
382.05,398.0,382.05,388.85,2022-11-09,747161
387.95,394.5,386.05,390.8,2022-11-10,575695
392.8,405.0,376.4,390.55,2022-11-11,2078251
389.9,414.1,386.0,412.1,2022-11-14,1636731
414.2,417.9,394.5,397.1,2022-11-15,1025610
397.1,409.5,386.95,394.5,2022-11-16,859147
394.5,403.95,392.0,400.35,2022-11-17,448668
400.45,402.2,384.3,386.7,2022-11-18,432379
388.35,396.95,384.25,394.75,2022-11-21,475959
396.0,399.0,391.1,395.85,2022-11-22,311795
398.75,409.0,397.0,406.35,2022-11-23,775584
407.35,414.45,398.25,399.95,2022-11-24,536193
401.0,404.0,395.5,396.6,2022-11-25,271535
397.7,397.7,391.8,393.45,2022-11-28,263328
393.65,401.0,390.85,395.3,2022-11-29,376168
410.0,414.25,400.1,412.55,2022-11-30,2073995
417.45,435.85,415.15,433.9,2022-12-01,2753006
433.85,433.85,424.0,426.45,2022-12-02,762592
430.0,433.0,420.0,423.3,2022-12-05,487728
422.0,422.0,412.2,418.6,2022-12-06,503149
419.0,425.25,416.05,419.3,2022-12-07,339941
420.0,428.4,416.3,418.15,2022-12-08,472697
421.8,421.8,403.2,406.95,2022-12-09,420899
407.95,424.6,407.05,420.2,2022-12-12,780119
425.0,444.6,422.35,440.8,2022-12-13,2080474
444.95,445.0,430.2,435.0,2022-12-14,548491
433.7,436.25,426.9,430.9,2022-12-15,235494
425.0,431.0,413.4,416.25,2022-12-16,384538
417.35,430.0,415.1,429.15,2022-12-19,503108
430.0,434.8,423.3,428.3,2022-12-20,512896
431.3,434.65,406.35,411.5,2022-12-21,430583
415.0,417.7,383.0,384.95,2022-12-22,846549
380.0,384.15,355.3,356.9,2022-12-23,748782
356.9,381.25,355.45,379.2,2022-12-26,714123
382.95,389.8,374.2,378.6,2022-12-27,435683
380.3,390.0,378.05,383.7,2022-12-28,371433
384.3,387.2,377.8,385.35,2022-12-29,217369
387.15,396.8,386.8,391.15,2022-12-30,267965
392.05,396.95,389.45,390.6,2023-01-02,192573
391.05,398.5,390.5,393.05,2023-01-03,184793
394.0,395.45,382.45,387.15,2023-01-04,255198
387.5,392.2,383.85,390.25,2023-01-05,200916
391.0,392.7,383.0,385.55,2023-01-06,180994
384.5,393.6,382.05,391.4,2023-01-09,355440
395.2,404.0,385.0,387.35,2023-01-10,656442
389.4,398.0,386.6,395.75,2023-01-11,289652
396.9,398.1,388.2,393.55,2023-01-12,176433
395.0,401.95,393.15,398.15,2023-01-13,252119
399.0,402.5,397.65,400.05,2023-01-16,177619
399.0,408.0,396.1,398.45,2023-01-17,415512
400.0,409.5,399.1,405.9,2023-01-18,221788
404.1,409.5,401.0,403.9,2023-01-19,188368
406.6,407.15,395.85,398.05,2023-01-20,154516
400.95,402.5,394.0,399.1,2023-01-23,194972
400.75,404.7,394.65,396.35,2023-01-24,168258
395.5,403.95,392.4,396.95,2023-01-25,207103
397.7,399.7,380.5,388.85,2023-01-27,245660
388.95,395.3,381.15,383.9,2023-01-30,184462
385.0,396.0,381.0,394.35,2023-01-31,188221
396.0,403.35,378.4,385.25,2023-02-01,265070
382.0,398.8,382.0,395.5,2023-02-02,226444
393.2,399.2,393.2,397.65,2023-02-03,240712
402.0,408.4,390.5,392.7,2023-02-06,351951
394.95,395.25,371.0,373.65,2023-02-07,387136
375.4,376.25,358.0,366.9,2023-02-08,606830
366.9,376.65,366.35,371.45,2023-02-09,361886
371.9,392.4,371.0,385.2,2023-02-10,375318
383.25,386.5,376.35,380.05,2023-02-13,126646
378.0,379.5,368.0,370.45,2023-02-14,147178
369.0,372.3,363.3,370.0,2023-02-15,155120
367.1,381.5,366.1,372.95,2023-02-16,178936
372.4,378.1,371.05,376.7,2023-02-17,62791
370.0,372.4,360.05,361.65,2023-02-20,356089
362.0,363.0,356.45,362.3,2023-02-21,168858
360.3,364.5,350.0,351.35,2023-02-22,201890
352.35,358.95,343.55,354.05,2023-02-23,372707
355.4,362.5,349.4,351.3,2023-02-24,169171
351.0,353.8,342.05,344.35,2023-02-27,240347
344.5,348.0,325.05,338.75,2023-02-28,473534
336.65,344.95,333.0,343.8,2023-03-01,283487
345.0,356.35,344.1,347.2,2023-03-02,243962
349.95,354.3,345.0,347.2,2023-03-03,226489
348.95,355.7,347.3,349.4,2023-03-06,204119
348.9,372.4,345.1,369.3,2023-03-08,666317
371.85,372.9,362.05,364.0,2023-03-09,280709
362.0,368.0,359.45,360.9,2023-03-10,172047
361.0,364.0,352.0,360.8,2023-03-13,326069
357.5,359.8,352.55,354.45,2023-03-14,121099
356.3,363.45,356.3,359.85,2023-03-15,216823
357.9,360.1,352.75,354.95,2023-03-16,176011
356.0,365.0,355.6,363.2,2023-03-17,170912
379.95,379.95,351.05,361.15,2023-03-20,111241
363.0,363.2,355.5,356.85,2023-03-21,108091
356.0,363.0,355.0,361.65,2023-03-22,119887
358.65,365.0,355.75,356.55,2023-03-23,161912
359.9,359.9,342.0,343.2,2023-03-24,220397
343.5,345.8,331.35,333.85,2023-03-27,188118
333.5,336.0,319.5,334.3,2023-03-28,458390
335.35,354.9,333.9,351.95,2023-03-29,272524
353.3,357.2,344.3,345.8,2023-03-31,255988
348.0,352.0,340.55,348.75,2023-04-03,187534
348.75,351.6,343.0,345.25,2023-04-05,197896
347.1,349.9,341.5,346.9,2023-04-06,220332
347.05,349.95,342.0,343.3,2023-04-10,180725
344.05,351.5,342.2,343.9,2023-04-11,177509
344.9,348.45,342.65,343.65,2023-04-12,107611
344.7,346.4,340.2,340.95,2023-04-13,136087
340.35,342.35,337.15,338.75,2023-04-17,148363
337.8,347.4,337.8,343.15,2023-04-18,163926
347.0,390.0,346.6,384.9,2023-04-19,6466373
387.85,391.8,375.1,376.85,2023-04-20,1551892
379.75,389.9,372.5,375.35,2023-04-21,992290
376.25,387.95,368.65,382.95,2023-04-24,779626
382.0,394.95,380.0,384.2,2023-04-25,714618
383.1,387.4,378.0,380.5,2023-04-26,362175
380.55,390.75,380.0,386.4,2023-04-27,463714
387.1,398.65,383.85,396.25,2023-04-28,622351
399.6,402.45,390.0,392.1,2023-05-02,454452
391.0,393.8,383.0,385.35,2023-05-03,212908
385.35,394.5,385.35,388.8,2023-05-04,258982
389.6,392.4,380.0,381.4,2023-05-05,178947
382.5,394.0,377.0,382.95,2023-05-08,274743
384.55,390.5,381.0,381.95,2023-05-09,187863
383.7,392.2,381.25,386.85,2023-05-10,389587
388.6,396.9,387.05,394.1,2023-05-11,431225
395.0,415.0,394.1,404.6,2023-05-12,1516150
404.95,410.85,398.45,400.45,2023-05-15,530464
402.5,406.85,400.45,402.6,2023-05-16,331639
403.9,404.9,391.1,398.45,2023-05-17,272131
400.7,413.0,400.6,408.5,2023-05-18,677662
412.95,414.8,403.35,412.4,2023-05-19,411076
412.45,420.0,407.0,411.6,2023-05-22,432328
411.0,414.25,405.0,406.25,2023-05-23,224907
407.45,419.5,407.0,416.7,2023-05-24,471676
418.0,421.0,405.1,406.6,2023-05-25,414571
407.55,412.25,403.3,405.35,2023-05-26,287756
408.0,414.8,398.5,401.95,2023-05-29,387943
401.9,407.55,398.15,403.45,2023-05-30,287403
385.0,385.0,362.55,364.7,2023-05-31,2423582
365.95,376.3,365.95,370.95,2023-06-01,637849
373.9,375.9,370.1,370.9,2023-06-02,238434
372.0,374.45,362.45,363.6,2023-06-05,424191
369.35,369.35,358.1,360.95,2023-06-06,315680
363.95,368.2,358.3,360.05,2023-06-07,476608
361.8,365.5,355.0,359.75,2023-06-08,416334
362.45,364.9,356.05,357.05,2023-06-09,286755
358.9,359.65,342.85,344.15,2023-06-12,1051049
347.0,351.85,345.0,348.05,2023-06-13,434068
