open,high,low,close,date,volume
431.4,434.0,424.0,424.95,2022-09-29,69215
426.0,434.0,422.55,430.0,2022-09-30,64959
427.05,429.95,415.0,421.2,2022-10-03,439351
423.35,425.95,418.0,418.8,2022-10-04,153827
421.0,444.4,420.95,438.9,2022-10-06,230735
437.0,442.7,435.0,437.1,2022-10-07,78777
435.1,446.9,434.25,441.25,2022-10-10,72117
443.5,449.95,437.0,439.05,2022-10-11,88336
438.0,441.4,423.8,427.55,2022-10-12,88114
429.7,431.75,422.2,425.9,2022-10-13,51344
428.5,432.75,419.05,421.75,2022-10-14,83107
422.0,429.8,419.05,421.0,2022-10-17,64444
423.15,434.35,421.0,432.15,2022-10-18,85551
433.95,449.0,432.3,445.9,2022-10-19,89561
460.0,473.0,455.1,468.55,2022-10-20,910401
468.55,471.2,460.15,463.0,2022-10-21,132740
468.9,468.9,462.0,464.9,2022-10-24,40053
465.0,465.85,454.6,456.95,2022-10-25,90514
465.0,487.95,465.0,483.8,2022-10-27,1224147
484.95,487.7,475.0,484.65,2022-10-28,335811
487.3,495.45,481.0,485.9,2022-10-31,354381
485.0,485.8,476.0,478.55,2022-11-01,128448
478.0,483.5,474.25,478.1,2022-11-02,104714
473.3,484.05,472.0,478.4,2022-11-03,88589
473.05,485.95,473.05,483.1,2022-11-04,75122
483.0,487.7,480.0,481.45,2022-11-07,86258
471.8,499.8,471.8,497.05,2022-11-09,390586
497.0,502.7,490.0,494.85,2022-11-10,301473
497.35,503.0,496.0,499.65,2022-11-11,178468
499.65,500.05,487.85,494.5,2022-11-14,297872
489.55,495.35,487.55,493.25,2022-11-15,113547
493.3,497.45,489.75,493.8,2022-11-16,158859
493.0,503.0,492.1,497.9,2022-11-17,197222
495.3,502.9,495.3,498.8,2022-11-18,103344
495.0,498.6,494.3,496.65,2022-11-21,81184
493.15,502.0,493.15,501.0,2022-11-22,89214
501.5,509.9,500.55,504.25,2022-11-23,79055
506.8,514.25,506.1,509.85,2022-11-24,113795
514.0,514.0,504.55,508.1,2022-11-25,99123
510.0,515.55,506.55,509.85,2022-11-28,103219
509.0,513.55,505.9,510.45,2022-11-29,76860
508.2,514.0,506.5,511.1,2022-11-30,83807
512.0,514.65,509.15,512.6,2022-12-01,104155
513.0,521.4,511.35,515.15,2022-12-02,88277
517.75,525.0,512.7,523.15,2022-12-05,105334
524.9,532.0,521.8,524.7,2022-12-06,121035
525.95,526.45,513.05,518.85,2022-12-07,59610
518.6,525.0,514.1,521.95,2022-12-08,56522
518.0,522.0,508.65,509.7,2022-12-09,37459
508.95,529.75,502.95,526.85,2022-12-12,126998
525.5,540.4,525.0,539.25,2022-12-13,186571
540.4,546.75,537.05,544.1,2022-12-14,101164
