open,high,low,close,date,volume
419.9,419.9,395.55,401.05,2022-09-29,18085
409.9,409.9,400.0,403.3,2022-09-30,24168
424.0,424.0,401.15,403.25,2022-10-03,15398
423.95,423.95,408.05,414.2,2022-10-04,16259
436.0,436.0,416.05,420.55,2022-10-06,14498
432.0,432.0,418.65,424.4,2022-10-07,8439
430.0,434.9,415.15,430.35,2022-10-10,13430
449.0,449.0,413.0,417.5,2022-10-11,27971
419.75,427.55,409.7,418.3,2022-10-12,15213
422.9,422.9,406.1,413.4,2022-10-13,12900
418.1,427.0,407.05,423.25,2022-10-14,20708
429.0,460.0,405.0,449.6,2022-10-17,63869
465.0,475.0,460.0,463.05,2022-10-18,74538
469.0,478.95,461.0,467.3,2022-10-19,43938
469.95,471.95,442.75,463.35,2022-10-20,31747
468.0,482.0,417.4,440.25,2022-10-21,50791
469.9,469.9,440.25,451.2,2022-10-24,28089
457.5,457.5,442.0,450.45,2022-10-25,15074
448.4,471.0,448.4,465.85,2022-10-27,43202
471.0,495.0,460.25,478.15,2022-10-28,110143
486.0,492.5,460.55,476.45,2022-10-31,63184
483.9,487.0,468.1,478.75,2022-11-01,56752
482.95,487.0,475.05,478.15,2022-11-02,48553
480.0,482.5,461.1,470.8,2022-11-03,54777
465.1,486.0,465.1,479.55,2022-11-04,54100
484.85,484.85,462.05,464.6,2022-11-07,29786
468.0,468.0,441.0,443.7,2022-11-09,36297
451.0,458.55,445.0,446.05,2022-11-10,19622
453.5,458.9,435.0,437.15,2022-11-11,40516
437.15,442.95,435.0,439.75,2022-11-14,12833
443.35,454.95,439.15,445.0,2022-11-15,18439
448.85,448.85,356.0,411.95,2022-11-16,170778
409.2,428.95,409.2,421.25,2022-11-17,15462
426.25,438.95,419.95,436.45,2022-11-18,15127
435.0,445.9,433.0,439.95,2022-11-21,22723
443.25,447.35,434.05,442.9,2022-11-22,15909
445.4,445.4,426.55,434.05,2022-11-23,12501
437.9,437.9,420.0,420.4,2022-11-24,22097
420.5,429.15,415.3,422.95,2022-11-25,17723
426.65,431.6,381.1,417.1,2022-11-28,54706
424.9,427.0,415.05,417.15,2022-11-29,8905
420.5,461.05,417.5,441.9,2022-11-30,25443
448.8,452.95,421.9,423.45,2022-12-01,32595
430.8,437.2,425.0,431.8,2022-12-02,14606
435.4,442.0,431.15,435.5,2022-12-05,21626
438.7,441.95,434.0,434.55,2022-12-06,14035
437.85,437.85,427.5,431.8,2022-12-07,20395
435.1,439.95,432.1,436.1,2022-12-08,7295
439.15,439.7,423.05,424.85,2022-12-09,17876
428.8,442.15,419.75,425.35,2022-12-12,30502
426.0,432.8,425.35,428.45,2022-12-13,11605
431.65,431.95,426.05,428.65,2022-12-14,9034
429.55,433.0,427.05,429.5,2022-12-15,12471
430.0,432.4,426.15,429.6,2022-12-16,27358
432.0,432.0,425.55,429.45,2022-12-19,11936
432.0,432.45,427.55,429.35,2022-12-20,10908
432.95,437.4,415.05,421.65,2022-12-21,24036
416.25,424.95,407.5,412.5,2022-12-22,31877
401.1,413.9,390.9,395.25,2022-12-23,27450
381.0,429.3,381.0,420.1,2022-12-26,21577
426.4,432.0,410.6,416.95,2022-12-27,13317
421.1,428.55,415.05,421.9,2022-12-28,8323
424.95,425.0,416.45,422.05,2022-12-29,8771
425.25,429.0,418.7,423.75,2022-12-30,7425
426.0,444.85,426.0,439.15,2023-01-02,46292
442.4,449.1,437.2,444.9,2023-01-03,32553
446.2,449.85,438.0,440.4,2023-01-04,31757
443.7,445.0,430.8,442.65,2023-01-05,14777
445.7,445.7,436.2,439.35,2023-01-06,7201
440.0,444.4,435.4,439.0,2023-01-09,10617
442.0,442.0,435.0,436.4,2023-01-10,5508
436.55,440.0,435.1,436.75,2023-01-11,3707
439.4,442.0,434.6,438.3,2023-01-12,11095
440.0,453.25,437.6,443.5,2023-01-13,42840
468.0,476.0,431.65,442.1,2023-01-16,187867
440.0,445.0,433.05,437.8,2023-01-17,32722
439.1,444.05,435.0,436.25,2023-01-18,17197
435.0,441.75,430.05,432.95,2023-01-19,21571
436.0,444.0,431.05,441.5,2023-01-20,19571
445.1,445.1,434.0,435.9,2023-01-23,12228
439.2,445.3,432.2,434.35,2023-01-24,11583
437.95,445.0,430.0,435.15,2023-01-25,19016
438.75,442.9,427.6,432.7,2023-01-27,21378
432.0,442.85,432.0,435.1,2023-01-30,15683
438.15,438.15,431.85,434.65,2023-01-31,13676
438.25,438.25,430.0,431.35,2023-02-01,16754
430.0,438.05,418.0,423.95,2023-02-02,19343
426.9,434.55,413.0,414.5,2023-02-03,35245
417.45,426.1,415.65,417.9,2023-02-06,11323
420.6,425.85,417.0,418.3,2023-02-07,13884
413.05,431.35,413.05,429.8,2023-02-08,12578
435.0,436.45,420.0,427.05,2023-02-09,15694
429.2,433.35,419.55,426.95,2023-02-10,12692
429.65,429.65,421.55,424.6,2023-02-13,9042
423.3,426.7,420.05,422.4,2023-02-14,5284
424.55,431.4,418.2,420.25,2023-02-15,19934
422.95,428.9,420.95,425.4,2023-02-16,10046
427.5,429.85,424.55,428.35,2023-02-17,12544
431.05,461.5,427.25,442.95,2023-02-20,46741
446.9,448.85,441.1,444.4,2023-02-21,22322
444.95,448.0,435.0,444.55,2023-02-22,19488
446.9,446.9,438.25,441.35,2023-02-23,4337
443.6,443.6,422.5,426.6,2023-02-24,17222
429.3,430.0,417.05,422.75,2023-02-27,16443
427.85,441.15,426.8,437.05,2023-02-28,10949
442.3,452.95,432.05,443.6,2023-03-01,22369
447.7,447.7,437.9,444.4,2023-03-02,10613
427.05,444.0,427.05,440.6,2023-03-03,9844
442.85,450.05,430.1,440.2,2023-03-06,17222
440.2,445.0,440.2,443.3,2023-03-08,12471
445.0,458.8,442.0,444.9,2023-03-09,41311
444.95,461.6,440.0,455.4,2023-03-10,34827
460.0,469.8,439.5,443.1,2023-03-13,33832
446.45,462.7,444.8,455.2,2023-03-14,22221
455.2,466.45,443.05,445.95,2023-03-15,20885
445.95,452.1,433.0,449.95,2023-03-16,17667
452.85,462.0,450.45,459.5,2023-03-17,16456
459.5,459.85,445.6,446.9,2023-03-20,17192
449.25,466.35,433.15,451.4,2023-03-21,39514
451.0,458.15,434.85,438.9,2023-03-22,43566
445.5,446.9,441.05,444.65,2023-03-23,7760
447.0,453.95,438.0,449.15,2023-03-24,15667
449.15,454.95,441.8,443.0,2023-03-27,10749
436.0,445.45,436.0,439.55,2023-03-28,13707
442.6,449.4,438.7,448.0,2023-03-29,7417
440.0,453.7,440.0,442.25,2023-03-31,18983
451.1,458.0,443.1,453.85,2023-04-03,14564
452.0,484.95,452.0,479.05,2023-04-05,56128
483.4,533.5,480.75,525.1,2023-04-06,187134
528.9,554.8,514.1,522.9,2023-04-10,144638
526.9,526.9,510.0,513.05,2023-04-11,42469
515.0,524.15,513.0,515.7,2023-04-12,22378
519.9,519.9,506.0,509.35,2023-04-13,21070
509.4,510.0,492.05,501.45,2023-04-17,52397
501.5,599.4,501.0,585.6,2023-04-18,826397
585.6,623.65,571.05,607.05,2023-04-19,731981
602.0,618.0,575.15,583.25,2023-04-20,156030
588.55,605.95,581.55,591.55,2023-04-21,110196
667.7,693.7,629.0,640.55,2023-04-24,460306
650.0,651.0,631.45,639.15,2023-04-25,136589
644.15,644.15,605.15,630.4,2023-04-26,53740
635.45,635.45,610.0,613.0,2023-04-27,41630
619.95,624.4,609.1,611.45,2023-04-28,29175
618.9,658.05,615.05,651.85,2023-05-02,70273
654.95,658.0,626.55,632.5,2023-05-03,41562
635.6,651.75,630.0,648.0,2023-05-04,32998
652.45,737.6,652.05,677.2,2023-05-05,242743
690.7,712.6,690.7,700.25,2023-05-08,104467
702.95,705.75,685.0,693.65,2023-05-09,41719
699.25,699.25,677.0,684.9,2023-05-10,58820
689.65,689.65,669.0,673.1,2023-05-11,33817
677.6,709.0,671.05,697.65,2023-05-12,50938
699.95,745.9,699.95,740.05,2023-05-15,136333
755.0,758.15,717.15,726.45,2023-05-16,89437
732.6,819.95,729.1,798.0,2023-05-17,241857
820.95,833.95,787.2,800.9,2023-05-18,184857
800.0,960.0,790.7,914.85,2023-05-19,330995
929.9,932.7,853.0,874.5,2023-05-22,270384
874.5,932.25,856.05,902.35,2023-05-23,194713
907.7,922.55,903.05,909.7,2023-05-24,50996
916.25,923.4,901.05,908.9,2023-05-25,47186
908.9,915.25,877.0,890.25,2023-05-26,64819
898.8,909.0,824.5,840.15,2023-05-29,80546
825.3,834.95,780.0,784.95,2023-05-30,161723
784.7,835.0,777.0,820.2,2023-05-31,77473
828.0,882.95,825.0,876.25,2023-06-01,118591
899.95,918.0,889.95,907.4,2023-06-02,64533
927.2,932.0,891.0,916.25,2023-06-05,58984
915.05,915.05,898.0,904.25,2023-06-06,24122
911.15,914.0,895.0,899.5,2023-06-07,25047
