open,high,low,close,date,volume
38.65,38.65,37.05,37.65,2022-09-29,39096
38.4,38.4,36.5,37.5,2022-09-30,45112
38.25,38.25,36.65,36.95,2022-10-03,21872
37.8,38.15,36.8,37.35,2022-10-04,32671
37.9,38.3,37.0,37.9,2022-10-06,39081
37.9,38.9,37.35,37.8,2022-10-07,21690
38.65,38.65,37.0,37.15,2022-10-10,49554
38.0,38.35,36.7,37.35,2022-10-11,112475
37.9,37.9,36.9,37.05,2022-10-12,22601
37.9,37.9,36.3,36.55,2022-10-13,25063
37.95,37.95,36.0,36.1,2022-10-14,20599
36.1,36.9,33.9,35.05,2022-10-17,38460
35.3,35.65,33.8,34.25,2022-10-18,86915
34.9,35.55,33.4,34.6,2022-10-19,26106
35.35,35.35,34.05,34.45,2022-10-20,14320
33.6,34.9,33.5,33.55,2022-10-21,32816
33.55,34.9,33.55,34.3,2022-10-24,9570
34.15,34.85,33.4,33.6,2022-10-25,27119
33.65,34.55,33.65,33.95,2022-10-27,24870
34.35,34.85,33.7,34.05,2022-10-28,56561
34.7,34.7,32.6,32.75,2022-10-31,69559
33.9,34.4,33.2,34.0,2022-11-01,43429
34.0,34.5,33.5,33.85,2022-11-02,32463
34.0,34.15,33.0,33.25,2022-11-03,47068
33.5,34.05,33.45,33.65,2022-11-04,34673
34.2,34.2,33.05,33.55,2022-11-07,40026
33.1,34.15,33.1,33.6,2022-11-09,21263
33.65,34.0,32.0,32.7,2022-11-10,86186
33.0,33.55,32.05,32.45,2022-11-11,78554
32.05,33.3,31.75,32.95,2022-11-14,43487
32.75,34.05,32.25,33.2,2022-11-15,27196
33.85,33.85,32.8,32.85,2022-11-16,18122
32.25,33.3,32.15,32.4,2022-11-17,35692
32.4,33.2,31.9,32.0,2022-11-18,46192
31.25,32.1,31.25,31.45,2022-11-21,38982
31.6,32.2,31.1,31.3,2022-11-22,25712
31.7,31.75,30.9,31.05,2022-11-23,21813
31.1,31.8,30.9,31.05,2022-11-24,27718
31.05,31.95,30.7,31.5,2022-11-25,65304
31.55,33.7,31.3,32.85,2022-11-28,82503
32.7,32.75,32.1,32.2,2022-11-29,28955
32.9,33.3,32.2,32.55,2022-11-30,37152
33.0,33.2,32.4,33.05,2022-12-01,34757
33.0,34.0,32.5,33.3,2022-12-02,66978
31.6,33.25,31.4,32.25,2022-12-05,48270
32.9,33.0,30.75,31.55,2022-12-06,62390
31.75,37.7,31.6,35.45,2022-12-07,609857
35.45,35.8,33.8,34.15,2022-12-08,109981
34.8,35.15,33.7,33.95,2022-12-09,76474
33.5,35.75,33.5,34.65,2022-12-12,116344
35.4,35.45,34.4,34.6,2022-12-13,65586
34.5,35.6,34.0,34.2,2022-12-14,52717
33.8,34.9,33.6,33.8,2022-12-15,41928
33.5,35.7,33.1,34.1,2022-12-16,122273
34.75,35.45,34.15,34.5,2022-12-19,73473
34.5,37.5,33.7,35.4,2022-12-20,261397
35.2,35.9,32.5,33.3,2022-12-21,102840
34.4,35.7,33.2,33.5,2022-12-22,131053
33.0,34.4,31.95,32.1,2022-12-23,120172
32.1,33.9,32.1,32.9,2022-12-26,54862
33.85,33.85,32.5,33.05,2022-12-27,23504
33.7,34.9,33.2,33.9,2022-12-28,50086
34.35,34.4,32.75,34.0,2022-12-29,34985
33.95,34.75,33.25,33.65,2022-12-30,40394
33.5,34.35,32.55,32.8,2023-01-02,85166
33.0,33.45,31.35,31.6,2023-01-03,230131
32.25,33.1,30.5,30.6,2023-01-04,343567
30.9,30.95,28.35,29.35,2023-01-05,337228
29.9,29.9,27.5,28.7,2023-01-06,332685
29.25,29.25,26.75,27.35,2023-01-09,345366
27.7,30.5,27.0,28.35,2023-01-10,565038
28.1,29.95,28.1,29.25,2023-01-11,143752
29.6,29.75,28.55,28.65,2023-01-12,60024
29.0,29.4,26.7,27.1,2023-01-13,273097
28.35,28.35,26.95,27.1,2023-01-16,121998
27.2,27.5,26.9,27.15,2023-01-17,41221
27.6,27.7,27.15,27.35,2023-01-18,47024
27.05,27.6,26.7,26.9,2023-01-19,107144
26.9,27.35,25.8,26.1,2023-01-20,166705
26.25,26.5,25.55,25.8,2023-01-23,52102
26.4,26.4,25.2,26.0,2023-01-24,49744
26.2,26.5,25.7,26.1,2023-01-25,50632
26.8,26.8,25.7,25.9,2023-01-27,40412
25.9,26.35,25.7,25.75,2023-01-30,25511
26.0,26.0,25.45,25.6,2023-01-31,29255
25.7,26.15,24.85,25.35,2023-02-01,55155
25.5,25.9,25.05,25.25,2023-02-02,46871
