open,high,low,close,date,volume
2.7,2.75,2.65,2.75,2022-09-29,95393
2.7,2.8,2.7,2.7,2022-09-30,57343
2.65,2.75,2.65,2.7,2022-10-03,46981
2.7,2.75,2.65,2.75,2022-10-04,45942
2.8,2.8,2.65,2.65,2022-10-06,90906
2.65,2.75,2.65,2.7,2022-10-07,90902
2.75,2.75,2.65,2.65,2022-10-10,28623
2.7,2.7,2.65,2.65,2022-10-11,58693
2.7,2.7,2.6,2.65,2022-10-12,72967
2.6,2.65,2.55,2.6,2022-10-13,141421
2.6,2.65,2.5,2.6,2022-10-14,112539
2.65,2.65,2.5,2.55,2022-10-17,95214
2.55,2.55,2.45,2.5,2022-10-18,87912
2.55,2.55,2.45,2.5,2022-10-19,52174
2.55,2.55,2.4,2.45,2022-10-20,109749
2.45,2.5,2.35,2.35,2022-10-21,137212
2.4,2.45,2.35,2.45,2022-10-24,31405
2.5,2.55,2.4,2.55,2022-10-25,93866
2.55,2.6,2.55,2.6,2022-10-27,132906
2.65,2.65,2.5,2.55,2022-10-28,134648
2.6,2.6,2.45,2.5,2022-10-31,116888
2.45,2.55,2.4,2.5,2022-11-01,110775
2.5,2.5,2.45,2.45,2022-11-02,38716
2.5,2.5,2.4,2.5,2022-11-03,114583
2.5,2.6,2.45,2.55,2022-11-04,167988
2.65,2.65,2.5,2.55,2022-11-07,90532
2.6,2.6,2.5,2.5,2022-11-09,199225
2.5,2.55,2.45,2.5,2022-11-10,78922
2.45,2.6,2.45,2.45,2022-11-11,285445
2.5,2.55,2.45,2.55,2022-11-14,161474
2.65,2.65,2.5,2.55,2022-11-15,272537
2.55,2.55,2.45,2.45,2022-11-16,304433
2.45,2.45,2.35,2.4,2022-11-17,132355
2.45,2.45,2.35,2.4,2022-11-18,40851
2.45,2.45,2.3,2.3,2022-11-21,163702
2.3,2.3,2.2,2.3,2022-11-22,192317
2.3,2.35,2.25,2.3,2022-11-23,55003
2.35,2.35,2.2,2.2,2022-11-24,161898
2.2,2.3,2.15,2.3,2022-11-25,119589
2.35,2.4,2.35,2.4,2022-11-28,238778
2.45,2.5,2.4,2.5,2022-11-29,61166
2.6,2.6,2.5,2.55,2022-11-30,225952
2.55,2.65,2.55,2.65,2022-12-01,182718
2.7,2.75,2.65,2.75,2022-12-02,128696
2.85,2.85,2.65,2.65,2022-12-05,201191
2.7,2.7,2.55,2.6,2022-12-06,194796
2.6,2.6,2.5,2.5,2022-12-07,122220
2.55,2.55,2.45,2.5,2022-12-08,48843
2.45,2.55,2.45,2.5,2022-12-09,59501
2.5,2.55,2.45,2.55,2022-12-12,61913
2.55,2.6,2.45,2.5,2022-12-13,192545
2.5,2.55,2.45,2.55,2022-12-14,98627
2.6,2.6,2.45,2.5,2022-12-15,123411
2.5,2.5,2.4,2.45,2022-12-16,66039
2.5,2.5,2.4,2.45,2022-12-19,132704
2.45,2.5,2.35,2.4,2022-12-20,109995
2.45,2.45,2.35,2.45,2022-12-21,72608
2.45,2.5,2.35,2.35,2022-12-22,100427
2.3,2.3,2.25,2.25,2022-12-23,85303
2.15,2.35,2.15,2.25,2022-12-26,164217
2.3,2.35,2.25,2.35,2022-12-27,110974
2.45,2.45,2.4,2.45,2022-12-28,113251
2.5,2.55,2.35,2.5,2022-12-29,312385
2.55,2.55,2.45,2.5,2022-12-30,60429
2.5,2.6,2.5,2.55,2023-01-02,202090
2.6,2.6,2.5,2.55,2023-01-03,88291
2.5,2.55,2.45,2.5,2023-01-04,157120
2.45,2.55,2.4,2.4,2023-01-05,168860
2.4,2.4,2.35,2.35,2023-01-06,106953
2.35,2.45,2.3,2.4,2023-01-09,152135
2.45,2.45,2.35,2.35,2023-01-10,84300
2.45,2.45,2.35,2.4,2023-01-11,98438
2.45,2.45,2.35,2.4,2023-01-12,79454
2.4,2.4,2.35,2.4,2023-01-13,101586
2.35,2.4,2.35,2.4,2023-01-16,91063
2.35,2.4,2.3,2.4,2023-01-17,57404
2.4,2.4,2.3,2.35,2023-01-18,69679
2.35,2.35,2.3,2.35,2023-01-19,76529
2.35,2.35,2.3,2.35,2023-01-20,22424
2.4,2.4,2.25,2.25,2023-01-23,122377
