open,high,low,close,date,volume
22.9,23.75,22.9,23.4,2022-09-29,105568
23.75,25.05,23.3,24.75,2022-09-30,239111
25.25,25.35,23.9,24.05,2022-10-03,142058
24.7,26.7,24.2,25.85,2022-10-04,595250
26.4,26.4,24.8,25.0,2022-10-06,253790
25.3,25.3,24.6,24.85,2022-10-07,65103
24.5,25.2,24.5,24.85,2022-10-10,70706
25.1,25.1,24.6,24.65,2022-10-11,35068
25.0,25.0,24.25,24.65,2022-10-12,28337
24.95,25.0,23.55,23.9,2022-10-13,51538
24.35,24.55,23.0,23.6,2022-10-14,75552
23.95,23.95,23.05,23.4,2022-10-17,53595
23.8,23.85,23.25,23.45,2022-10-18,61137
23.85,24.15,21.2,23.55,2022-10-19,117419
23.45,23.55,23.0,23.5,2022-10-20,37691
23.4,24.0,23.0,23.15,2022-10-21,31689
23.0,23.75,23.0,23.35,2022-10-24,24144
23.7,24.55,23.2,24.4,2022-10-25,87370
23.8,25.0,23.55,23.7,2022-10-27,45568
23.75,23.95,23.2,23.35,2022-10-28,45541
23.7,24.8,23.35,23.7,2022-10-31,57685
23.9,23.95,22.95,23.1,2022-11-01,166491
23.3,23.6,22.75,22.85,2022-11-02,136531
22.9,23.05,22.3,22.45,2022-11-03,194846
22.15,22.45,21.0,22.0,2022-11-04,531468
21.8,22.35,21.75,21.9,2022-11-07,148606
22.15,22.15,20.05,21.5,2022-11-09,172252
21.45,21.85,20.85,21.0,2022-11-10,158800
21.4,21.4,20.2,20.9,2022-11-11,83940
20.9,21.95,20.35,20.65,2022-11-14,198919
21.0,21.25,20.75,20.95,2022-11-15,198220
21.1,21.8,20.8,20.9,2022-11-16,350139
21.4,21.65,20.85,20.95,2022-11-17,266553
21.45,21.45,20.7,20.9,2022-11-18,219508
21.25,21.35,20.35,20.85,2022-11-21,76572
20.7,20.8,19.75,20.0,2022-11-22,241955
20.4,20.4,18.6,19.45,2022-11-23,226763
19.75,20.1,19.5,19.85,2022-11-24,73140
20.25,20.7,19.7,20.45,2022-11-25,137041
20.45,20.8,20.15,20.45,2022-11-28,64614
20.65,20.65,20.05,20.4,2022-11-29,74382
20.4,20.65,20.0,20.25,2022-11-30,43569
20.25,20.6,20.15,20.45,2022-12-01,50891
20.3,20.95,20.25,20.7,2022-12-02,80141
20.95,21.05,20.5,20.9,2022-12-05,70637
21.0,21.4,20.75,20.9,2022-12-06,93220
21.05,21.15,20.4,20.65,2022-12-07,66383
20.95,20.95,20.4,20.65,2022-12-08,38593
20.65,20.8,20.2,20.5,2022-12-09,84231
