open,high,low,close,date,volume
357.5,362.0,351.0,352.6,2022-09-29,104397
351.1,380.0,345.85,376.35,2022-09-30,255598
378.0,385.0,360.0,362.0,2022-10-03,174658
368.4,377.5,363.0,373.55,2022-10-04,206633
371.8,379.9,367.25,368.35,2022-10-06,86388
372.4,372.4,362.5,364.0,2022-10-07,59824
358.8,363.35,355.85,357.9,2022-10-10,51955
365.05,373.4,358.9,360.15,2022-10-11,125814
362.0,368.0,354.1,361.55,2022-10-12,96097
362.9,370.0,354.5,367.8,2022-10-13,79901
374.0,384.9,368.1,375.35,2022-10-14,273982
376.0,377.45,364.1,375.55,2022-10-17,54113
373.1,382.8,370.7,373.15,2022-10-18,118215
374.0,376.55,363.75,367.05,2022-10-19,52798
366.1,371.9,363.25,368.85,2022-10-20,42788
371.85,374.25,361.95,369.45,2022-10-21,48984
380.0,381.95,375.2,376.45,2022-10-24,30088
378.0,393.75,374.35,388.75,2022-10-25,234055
396.9,396.9,380.85,382.65,2022-10-27,77100
383.05,386.45,376.55,377.65,2022-10-28,60432
376.05,382.4,375.55,379.7,2022-10-31,56586
380.0,386.55,378.15,383.55,2022-11-01,95127
383.85,396.0,376.6,392.4,2022-11-02,148658
392.0,403.1,387.0,390.7,2022-11-03,219160
397.3,397.3,390.05,392.4,2022-11-04,73084
395.95,401.0,384.2,393.25,2022-11-07,75945
399.95,404.45,391.55,395.35,2022-11-09,105773
395.0,404.5,389.7,401.5,2022-11-10,88598
405.0,414.0,386.2,392.95,2022-11-11,170941
392.0,392.0,380.0,381.45,2022-11-14,69562
400.0,400.0,377.0,391.65,2022-11-15,73374
391.65,395.0,380.0,382.45,2022-11-16,59168
382.4,392.0,382.4,386.0,2022-11-17,86414
389.5,396.3,381.1,392.7,2022-11-18,128725
397.7,398.75,381.5,384.85,2022-11-21,115545
389.0,394.0,385.0,388.85,2022-11-22,82148
398.6,410.0,391.05,407.85,2022-11-23,237784
411.0,416.4,400.0,401.5,2022-11-24,126009
405.0,412.0,403.4,409.9,2022-11-25,111767
415.7,418.2,408.55,412.4,2022-11-28,211753
412.4,417.0,405.0,406.45,2022-11-29,119733
417.0,482.0,386.0,469.75,2022-11-30,3939843
478.4,496.0,458.85,464.85,2022-12-01,3087023
238.9,273.35,238.0,263.9,2022-12-02,4134059
261.7,261.7,242.8,248.55,2022-12-05,1055520
248.05,259.0,242.0,249.3,2022-12-06,810846
249.0,252.6,235.0,238.05,2022-12-07,344847
244.0,244.0,225.1,228.4,2022-12-08,241221
230.85,238.55,225.0,231.45,2022-12-09,241011
234.7,248.0,226.9,243.95,2022-12-12,328630
244.0,248.0,238.0,239.65,2022-12-13,196821
241.7,246.65,236.75,238.1,2022-12-14,169913
239.45,242.95,229.3,231.65,2022-12-15,204668
232.4,236.9,229.9,233.55,2022-12-16,123150
234.75,244.95,230.0,233.7,2022-12-19,191960
235.85,237.0,228.1,233.25,2022-12-20,145945
232.9,236.9,207.05,216.65,2022-12-21,634031
220.9,223.9,205.05,212.5,2022-12-22,340044
208.05,215.2,198.0,200.4,2022-12-23,299451
200.0,212.0,200.0,207.85,2022-12-26,250092
213.8,218.2,207.2,210.25,2022-12-27,194115
211.85,228.95,211.0,225.45,2022-12-28,344032
224.8,225.7,219.3,223.05,2022-12-29,116478
224.6,229.4,222.55,226.05,2022-12-30,121109
227.85,235.0,227.85,232.05,2023-01-02,181288
240.0,247.2,236.65,239.7,2023-01-03,364132
241.0,241.0,232.0,234.15,2023-01-04,136333
241.35,246.65,238.2,241.9,2023-01-05,308349
241.9,243.05,233.05,234.55,2023-01-06,121005
236.0,237.0,231.0,232.15,2023-01-09,99085
232.95,232.95,219.3,225.0,2023-01-10,209808
222.1,231.0,219.1,226.6,2023-01-11,85985
227.7,230.0,222.0,223.7,2023-01-12,79384
224.8,228.5,223.7,227.2,2023-01-13,67973
228.1,229.95,222.4,224.05,2023-01-16,47447
224.05,230.0,220.85,229.2,2023-01-17,105924
229.75,241.0,227.65,237.6,2023-01-18,232575
236.9,237.6,228.65,230.7,2023-01-19,101490
232.0,238.6,230.15,233.2,2023-01-20,100030
238.0,238.0,230.1,230.9,2023-01-23,98282
232.0,236.2,230.7,232.45,2023-01-24,136987
233.4,247.95,232.25,242.75,2023-01-25,590282
238.0,243.75,211.1,219.65,2023-01-27,628502
219.95,226.0,215.15,219.45,2023-01-30,193872
221.05,230.05,217.6,228.35,2023-01-31,119903
230.0,235.0,215.7,221.25,2023-02-01,236942
221.0,228.7,217.65,219.85,2023-02-02,173826
229.0,234.0,219.6,231.65,2023-02-03,348901
233.0,239.0,227.75,236.95,2023-02-06,161700
239.2,239.5,230.55,233.0,2023-02-07,159158
234.5,236.0,227.6,230.05,2023-02-08,250702
225.15,230.0,225.0,225.85,2023-02-09,100461
226.0,230.75,224.0,227.55,2023-02-10,88973
228.9,241.35,228.9,234.1,2023-02-13,271957
235.0,239.8,231.6,233.9,2023-02-14,139736
235.2,256.8,233.95,253.8,2023-02-15,993615
258.0,264.9,248.65,251.45,2023-02-16,722100
251.45,263.0,250.05,252.5,2023-02-17,501121
256.0,261.0,251.3,257.5,2023-02-20,241033
258.9,268.85,257.65,260.25,2023-02-21,519580
261.8,261.8,240.0,242.05,2023-02-22,431632
242.8,244.25,237.0,237.55,2023-02-23,205783
238.25,241.3,226.55,230.8,2023-02-24,255113
231.5,235.3,226.0,227.35,2023-02-27,137786
227.7,233.5,224.05,228.4,2023-02-28,101002
232.0,238.0,229.7,236.15,2023-03-01,119645
235.6,238.9,226.15,229.35,2023-03-02,127617
231.1,236.0,231.1,233.9,2023-03-03,117781
237.95,249.25,236.9,242.0,2023-03-06,313986
239.95,247.9,231.3,245.95,2023-03-08,288164
246.6,252.0,240.0,240.95,2023-03-09,133484
237.0,239.9,234.8,237.2,2023-03-10,120016
237.1,240.8,227.2,231.75,2023-03-13,139370
231.75,235.75,227.5,230.55,2023-03-14,135470
232.5,234.55,231.25,232.4,2023-03-15,60872
232.8,235.1,224.3,226.8,2023-03-16,137363
234.0,234.0,226.25,230.45,2023-03-17,75631
226.8,230.35,225.0,227.4,2023-03-20,84561
227.05,230.0,226.9,228.3,2023-03-21,77818
229.3,236.0,229.3,232.5,2023-03-22,123286
235.0,249.45,231.55,242.15,2023-03-23,392874
246.0,246.0,230.5,232.35,2023-03-24,153853
234.0,234.0,228.2,230.45,2023-03-27,152589
232.0,238.15,228.5,234.3,2023-03-28,205668
237.7,237.7,232.6,234.55,2023-03-29,117922
238.0,239.0,234.0,235.5,2023-03-31,131346
238.65,244.75,236.9,242.05,2023-04-03,139886
240.1,248.4,240.1,244.25,2023-04-05,269384
245.7,254.35,244.05,251.6,2023-04-06,247290
256.95,257.95,251.1,251.85,2023-04-10,128280
250.15,259.3,249.0,257.25,2023-04-11,193045
261.0,264.5,253.0,254.3,2023-04-12,235412
255.65,259.5,254.0,255.8,2023-04-13,139935
255.8,259.45,253.05,258.8,2023-04-17,176505
259.95,292.5,258.9,285.7,2023-04-18,1758585
290.0,291.7,280.75,283.0,2023-04-19,440226
282.3,302.4,280.3,299.6,2023-04-20,922607
296.9,296.9,288.05,292.45,2023-04-21,305595
294.45,297.0,288.65,293.65,2023-04-24,196129
294.0,306.0,291.35,296.25,2023-04-25,458767
295.8,295.8,283.25,286.05,2023-04-26,193642
287.05,295.7,286.9,287.75,2023-04-27,172101
289.0,291.45,280.1,285.55,2023-04-28,152903
285.0,301.0,285.0,298.45,2023-05-02,344049
298.8,305.95,293.1,297.45,2023-05-03,402628
298.55,301.4,291.65,294.95,2023-05-04,169045
295.7,303.9,286.3,287.85,2023-05-05,236582
287.85,303.8,287.85,294.05,2023-05-08,381076
292.0,309.9,291.8,297.45,2023-05-09,435431
295.0,298.6,292.6,295.95,2023-05-10,178095
297.4,309.5,297.0,299.85,2023-05-11,553899
300.0,315.9,297.05,299.9,2023-05-12,1212143
299.85,301.0,270.1,278.95,2023-05-15,1018985
278.95,287.0,275.6,278.8,2023-05-16,532534
279.0,284.75,277.3,282.5,2023-05-17,251178
282.1,285.0,273.0,274.75,2023-05-18,409742
276.0,283.3,265.5,270.1,2023-05-19,342724
272.0,276.6,267.3,269.55,2023-05-22,273864
270.0,279.75,270.0,272.55,2023-05-23,178029
272.6,275.05,268.0,269.4,2023-05-24,144766
270.8,273.5,263.0,264.7,2023-05-25,266910
265.45,273.0,265.45,270.9,2023-05-26,215789
273.1,275.8,269.95,272.05,2023-05-29,128290
273.0,274.5,270.0,271.65,2023-05-30,79581
271.65,274.15,267.0,268.9,2023-05-31,115031
270.05,272.2,267.1,268.1,2023-06-01,100139
270.0,273.7,266.1,267.3,2023-06-02,129207
267.95,271.1,266.0,267.55,2023-06-05,123588
268.55,275.5,265.6,273.7,2023-06-06,231591
277.0,278.05,268.3,271.0,2023-06-07,254636
272.9,273.7,266.05,268.8,2023-06-08,111967
270.0,273.7,268.5,271.8,2023-06-09,80292
271.8,272.9,266.65,268.15,2023-06-12,123718
269.35,270.9,265.1,267.85,2023-06-13,148535
269.0,270.5,265.5,266.05,2023-06-14,141270
266.05,266.2,257.0,257.95,2023-06-15,310339
258.25,263.7,258.25,259.5,2023-06-16,138916
260.75,262.85,257.75,260.05,2023-06-19,113077
261.1,262.45,258.55,260.5,2023-06-20,133389
258.6,267.35,258.6,265.65,2023-06-21,135393
