open,high,low,close,date,volume
277.1,282.05,277.1,280.75,2022-09-29,13623
277.0,287.0,277.0,284.8,2022-09-30,17299
285.7,297.95,283.05,289.6,2022-10-03,73494
293.8,295.0,289.3,290.6,2022-10-04,20676
294.75,295.15,287.4,291.0,2022-10-06,25933
292.2,295.0,288.6,292.15,2022-10-07,15150
287.0,293.65,285.0,292.5,2022-10-10,27510
293.65,299.05,292.0,293.0,2022-10-11,38771
285.1,296.9,285.1,294.55,2022-10-12,18490
294.15,295.75,291.9,293.9,2022-10-13,28197
298.2,298.2,292.0,293.65,2022-10-14,16498
293.65,294.8,291.5,291.95,2022-10-17,12339
287.2,293.85,287.2,291.15,2022-10-18,11042
293.9,304.4,292.05,299.4,2022-10-19,71310
297.0,301.9,295.55,298.1,2022-10-20,26495
297.45,298.5,293.4,294.15,2022-10-21,9061
299.45,299.45,291.8,295.85,2022-10-24,9181
297.3,299.3,293.15,295.0,2022-10-25,8876
295.0,297.35,293.0,293.7,2022-10-27,22503
293.9,297.0,293.55,294.2,2022-10-28,13518
295.0,297.0,293.0,293.65,2022-10-31,15325
293.4,294.25,288.35,289.25,2022-11-01,26000
289.25,300.0,288.7,297.3,2022-11-02,38712
294.05,301.0,294.05,298.55,2022-11-03,25877
294.65,301.75,294.65,300.5,2022-11-04,18207
305.0,305.0,300.5,303.75,2022-11-07,23613
307.75,307.75,298.6,300.3,2022-11-09,40808
300.0,311.0,297.0,305.45,2022-11-10,211719
310.0,310.0,301.05,303.05,2022-11-11,53262
303.05,307.8,300.35,305.4,2022-11-14,31664
307.45,308.75,302.0,302.4,2022-11-15,36693
303.75,304.95,297.6,298.45,2022-11-16,65856
298.45,302.45,298.45,300.65,2022-11-17,55391
303.0,305.8,296.05,304.5,2022-11-18,51571
308.0,324.95,307.15,322.45,2022-11-21,326685
327.0,329.9,319.0,325.85,2022-11-22,227629
329.1,329.95,321.7,324.15,2022-11-23,53494
327.4,329.95,323.9,325.85,2022-11-24,44345
328.75,328.95,321.15,322.55,2022-11-25,48985
322.55,335.55,318.5,325.45,2022-11-28,135936
334.4,334.4,322.55,326.0,2022-11-29,70381
328.9,340.95,323.0,337.8,2022-11-30,178692
338.0,343.0,335.35,340.85,2022-12-01,125595
339.55,344.05,336.2,338.2,2022-12-02,38740
339.95,354.9,338.05,348.75,2022-12-05,118617
349.8,355.0,349.3,352.1,2022-12-06,74342
350.0,354.8,306.3,346.1,2022-12-07,117802
347.8,361.75,347.8,352.65,2022-12-08,208037
354.85,361.7,347.55,350.45,2022-12-09,109989
351.0,368.0,351.0,361.35,2022-12-12,136452
363.25,368.0,361.1,362.7,2022-12-13,44333
362.7,364.25,355.0,362.3,2022-12-14,38965
363.0,377.0,359.55,363.5,2022-12-15,145323
369.9,369.9,362.3,366.65,2022-12-16,88364
362.0,379.05,360.0,368.75,2022-12-19,76714
365.8,373.95,364.05,370.55,2022-12-20,37909
373.3,374.35,354.45,358.25,2022-12-21,101759
358.35,363.55,339.0,341.45,2022-12-22,97952
340.4,349.0,330.6,336.0,2022-12-23,129312
333.5,363.0,333.5,341.4,2022-12-26,46809
343.95,347.45,340.25,342.65,2022-12-27,43815
338.55,345.75,336.35,342.4,2022-12-28,66456
344.5,359.8,344.5,358.85,2022-12-29,110242
361.7,364.0,354.35,355.55,2022-12-30,37989
360.0,366.0,354.8,360.05,2023-01-02,68909
361.45,361.5,353.05,354.55,2023-01-03,27153
354.55,358.2,350.0,352.65,2023-01-04,42224
351.0,354.4,349.2,350.85,2023-01-05,14698
345.6,353.45,337.05,338.55,2023-01-06,46245
340.7,344.75,338.65,340.65,2023-01-09,20644
341.8,348.95,341.1,342.35,2023-01-10,25407
342.5,346.9,338.25,345.0,2023-01-11,22759
346.7,354.0,342.25,352.25,2023-01-12,27197
351.0,355.95,346.85,352.2,2023-01-13,20086
357.5,357.5,343.45,345.65,2023-01-16,23461
346.6,346.6,337.0,339.5,2023-01-17,19231
339.5,342.35,334.1,335.3,2023-01-18,18168
334.45,336.25,326.55,330.1,2023-01-19,36753
325.5,341.15,325.5,336.0,2023-01-20,25370
340.0,345.9,335.6,337.45,2023-01-23,20273
340.0,340.0,327.65,329.15,2023-01-24,30663
329.0,329.1,313.3,318.1,2023-01-25,43328
313.0,319.65,300.0,310.7,2023-01-27,53471
315.0,316.0,305.0,308.45,2023-01-30,24804
311.55,329.8,301.25,322.85,2023-01-31,46877
329.25,329.25,311.25,317.7,2023-02-01,49088
