open,high,low,close,date,volume
975.0,978.0,928.0,946.65,2022-09-29,293007
931.0,936.95,920.0,924.2,2022-09-30,210032
930.0,935.0,908.0,926.15,2022-10-03,372865
931.0,977.0,927.7,972.25,2022-10-04,227876
1000.0,1007.15,970.05,995.9,2022-10-06,439118
1004.95,1018.0,990.0,1006.35,2022-10-07,434520
1006.0,1017.85,998.0,1009.5,2022-10-10,145349
1014.95,1038.7,971.2,980.0,2022-10-11,262971
987.0,1013.1,953.0,994.1,2022-10-12,300600
994.1,998.0,979.5,989.8,2022-10-13,160789
1000.0,1007.0,975.15,979.75,2022-10-14,171789
972.6,1016.0,965.0,1010.65,2022-10-17,266552
1005.0,1015.0,976.45,1009.55,2022-10-18,411403
1013.0,1042.0,982.0,1029.65,2022-10-19,577326
1008.35,1019.0,1003.0,1008.9,2022-10-20,107171
1013.95,1031.05,998.05,1005.45,2022-10-21,366996
1008.8,1039.9,1005.45,1032.2,2022-10-24,89808
1040.0,1040.0,1004.7,1008.15,2022-10-25,388453
1017.75,1027.75,1010.55,1014.65,2022-10-27,355098
1012.25,1012.25,986.0,989.65,2022-10-28,238890
990.0,1001.4,972.0,990.15,2022-10-31,224185
999.0,1011.9,981.0,1002.15,2022-11-01,348194
984.9,1009.5,980.0,985.45,2022-11-02,244872
985.45,985.45,953.0,956.7,2022-11-03,339350
956.7,963.15,942.0,948.35,2022-11-04,274569
952.0,953.0,923.0,929.45,2022-11-07,358243
940.0,959.6,927.0,955.05,2022-11-09,1416389
956.0,964.7,935.0,960.35,2022-11-10,751230
970.0,970.0,935.5,955.55,2022-11-11,658492
960.35,971.95,937.95,945.55,2022-11-14,322639
948.95,993.65,935.0,984.4,2022-11-15,1477869
986.2,1013.95,981.6,986.25,2022-11-16,701764
986.0,1020.0,967.25,1013.15,2022-11-17,859352
1013.0,1040.0,989.05,1034.2,2022-11-18,866489
1034.2,1034.2,975.05,996.2,2022-11-21,487880
982.0,985.95,958.6,965.0,2022-11-22,340197
961.0,1002.45,961.0,988.3,2022-11-23,519050
995.0,1024.4,977.05,1016.85,2022-11-24,640824
1010.1,1035.0,993.05,1030.0,2022-11-25,589924
1030.15,1032.3,991.05,999.55,2022-11-28,563393
1003.45,1019.9,983.45,997.3,2022-11-29,459104
989.7,994.8,981.1,985.3,2022-11-30,108665
987.0,1007.0,987.0,1000.55,2022-12-01,197889
1009.0,1053.0,1007.0,1048.95,2022-12-02,1212445
1055.8,1095.0,1050.1,1087.4,2022-12-05,1073553
1070.1,1078.4,1052.1,1055.65,2022-12-06,182838
1052.0,1075.0,1035.1,1066.5,2022-12-07,640941
