open,high,low,close,date,volume
3548.85,3566.05,3455.0,3520.25,2022-09-29,237531
3500.0,3606.7,3434.4,3591.6,2022-09-30,251211
3590.0,3590.0,3483.75,3492.2,2022-10-03,184524
3575.0,3620.0,3535.05,3575.3,2022-10-04,234813
3599.0,3660.0,3576.05,3599.4,2022-10-06,255683
3609.95,3624.0,3564.15,3587.05,2022-10-07,103667
3530.0,3625.95,3515.0,3607.35,2022-10-10,146272
3629.0,3661.65,3532.0,3555.65,2022-10-11,235736
3573.45,3606.9,3522.85,3596.8,2022-10-12,202685
3596.8,3596.8,3540.0,3565.0,2022-10-13,106993
3639.0,3689.5,3600.85,3618.4,2022-10-14,341421
3620.0,3620.0,3527.05,3586.35,2022-10-17,171311
3634.9,3683.0,3600.0,3675.1,2022-10-18,308498
3620.0,3649.95,3484.6,3495.05,2022-10-19,921689
3483.2,3554.9,3426.1,3530.9,2022-10-20,517024
3525.0,3569.8,3486.55,3511.35,2022-10-21,173691
3560.0,3565.0,3511.0,3524.05,2022-10-24,39156
3519.5,3585.0,3484.6,3563.1,2022-10-25,230424
3554.0,3582.85,3493.4,3515.55,2022-10-27,208902
3516.45,3521.35,3449.2,3453.25,2022-10-28,132871
3480.0,3550.0,3476.05,3538.9,2022-10-31,167504
3550.0,3614.95,3530.25,3606.85,2022-11-01,152026
3622.0,3639.0,3588.0,3617.3,2022-11-02,152780
3565.0,3632.95,3560.0,3624.0,2022-11-03,141526
3599.0,3636.0,3575.0,3626.95,2022-11-04,215134
3632.5,3664.0,3596.05,3641.6,2022-11-07,132925
3650.0,3680.0,3601.05,3620.65,2022-11-09,152924
3589.9,3670.9,3581.0,3652.35,2022-11-10,159089
3730.0,3809.45,3683.05,3717.0,2022-11-11,544784
3727.0,3818.85,3727.0,3794.0,2022-11-14,367880
3800.0,3815.0,3712.7,3769.35,2022-11-15,217439
3764.95,3841.0,3758.0,3779.55,2022-11-16,276740
3755.0,3775.0,3701.05,3755.5,2022-11-17,163312
3768.7,3830.05,3753.0,3804.35,2022-11-18,239679
3798.0,3819.85,3731.6,3809.2,2022-11-21,269005
3819.95,3875.0,3800.4,3855.8,2022-11-22,427168
3875.1,3882.65,3811.15,3822.7,2022-11-23,166075
3834.95,3900.0,3823.0,3890.5,2022-11-24,208230
3909.95,3934.0,3860.0,3885.85,2022-11-25,221265
3875.0,3913.5,3829.45,3862.05,2022-11-28,138154
3857.95,3891.45,3833.0,3846.35,2022-11-29,168911
3850.0,3864.0,3805.0,3814.85,2022-11-30,174876
3867.95,4189.0,3856.6,4159.75,2022-12-01,1904500
4145.0,4318.7,4111.0,4287.35,2022-12-02,1454848
4281.0,4312.3,4214.4,4248.95,2022-12-05,258701
4238.9,4242.55,4150.0,4218.1,2022-12-06,334177
4197.1,4210.0,4122.0,4152.8,2022-12-07,220368
4152.7,4152.8,4070.0,4106.5,2022-12-08,167573
4139.0,4150.9,3956.5,3980.9,2022-12-09,310250
3964.95,3964.95,3865.4,3883.85,2022-12-12,316234
3909.95,3922.5,3880.4,3905.05,2022-12-13,172947
3924.95,4045.0,3924.0,4029.65,2022-12-14,455038
4020.05,4080.0,3985.85,4044.0,2022-12-15,342942
3991.0,4033.4,3942.35,3983.25,2022-12-16,226981
3960.0,4025.0,3931.5,3990.05,2022-12-19,127152
3980.05,3984.95,3921.6,3951.05,2022-12-20,154148
3970.85,4066.0,3940.15,3957.1,2022-12-21,309515
4004.8,4009.6,3915.0,3951.45,2022-12-22,240965
3901.0,3920.0,3673.05,3702.6,2022-12-23,375612
3719.0,3775.0,3706.0,3728.35,2022-12-26,266670
3745.0,3808.0,3718.0,3772.5,2022-12-27,246291
3750.0,3759.0,3690.15,3700.1,2022-12-28,187185
3675.0,3696.9,3631.05,3659.4,2022-12-29,328420
3708.0,3755.0,3668.55,3683.55,2022-12-30,228002
3689.7,3739.0,3676.2,3723.5,2023-01-02,132077
3741.95,3784.0,3697.6,3707.25,2023-01-03,201438
3719.9,3741.5,3684.05,3716.9,2023-01-04,192280
3722.95,3724.0,3617.0,3641.55,2023-01-05,226169
3655.0,3674.9,3606.55,3624.6,2023-01-06,161385
3666.35,3727.0,3603.15,3671.05,2023-01-09,226638
3670.4,3670.4,3605.0,3639.05,2023-01-10,110148
3639.05,3723.65,3612.0,3628.0,2023-01-11,203457
3649.05,3668.7,3622.15,3642.8,2023-01-12,190518
3575.0,3580.0,3404.2,3448.75,2023-01-13,1302790
3458.0,3494.0,3418.0,3431.1,2023-01-16,328273
3437.0,3459.6,3400.0,3409.7,2023-01-17,177202
3422.0,3439.8,3407.35,3419.1,2023-01-18,343926
3400.0,3418.2,3375.0,3397.15,2023-01-19,324803
3325.0,3352.05,3215.85,3230.7,2023-01-20,1007955
3258.0,3336.5,3226.0,3322.9,2023-01-23,490125
3349.0,3490.0,3333.1,3425.95,2023-01-24,1068918
3417.5,3421.0,3301.0,3309.4,2023-01-25,320245
3333.4,3373.9,3259.25,3296.4,2023-01-27,203156
3302.0,3348.4,3261.0,3302.25,2023-01-30,277231
3307.5,3348.0,3242.0,3335.9,2023-01-31,271301
3357.0,3377.7,3272.5,3333.0,2023-02-01,223873
3350.0,3457.25,3346.6,3440.55,2023-02-02,291981
3480.9,3498.0,3412.65,3446.95,2023-02-03,230315
3435.0,3488.35,3406.05,3459.4,2023-02-06,141920
3467.0,3482.95,3425.1,3446.4,2023-02-07,111080
3467.0,3555.0,3465.05,3543.9,2023-02-08,305514
3555.0,3632.0,3531.0,3622.05,2023-02-09,249654
3617.0,3636.95,3580.5,3612.15,2023-02-10,75273
3603.9,3619.95,3547.0,3581.85,2023-02-13,122987
3591.05,3686.45,3580.7,3606.5,2023-02-14,272339
3605.0,3641.0,3576.0,3621.5,2023-02-15,89925
3640.0,3792.4,3628.0,3757.2,2023-02-16,397979
3700.0,3740.95,3653.35,3694.2,2023-02-17,282038
3705.95,3790.0,3683.2,3746.6,2023-02-20,248746
3765.35,3808.95,3724.7,3754.1,2023-02-21,194418
3700.0,3729.0,3662.25,3711.65,2023-02-22,244713
3724.95,3731.65,3654.0,3706.5,2023-02-23,208388
3736.65,3788.0,3695.15,3708.3,2023-02-24,117247
3690.0,3690.0,3568.1,3653.0,2023-02-27,177464
3675.0,3703.0,3631.9,3684.75,2023-02-28,196705
3703.2,3759.95,3685.5,3748.65,2023-03-01,127630
3701.0,3720.0,3662.0,3698.4,2023-03-02,261102
3735.65,3760.0,3698.15,3754.65,2023-03-03,190196
3805.95,3840.0,3700.0,3713.25,2023-03-06,265715
