open,high,low,close,date,volume
673.6,674.1,644.8,654.8,2022-09-29,4410562
660.0,682.8,660.0,679.85,2022-09-30,4009424
679.0,726.7,678.95,722.1,2022-10-03,6624301
725.0,750.55,712.15,742.25,2022-10-04,4221009
744.95,744.95,720.9,723.2,2022-10-06,2058528
717.65,727.9,713.3,721.2,2022-10-07,1521206
718.2,718.7,703.5,707.2,2022-10-10,862977
708.0,710.0,679.6,680.95,2022-10-11,1687438
684.4,685.35,673.3,679.3,2022-10-12,696667
679.3,689.9,677.0,687.15,2022-10-13,1220383
694.0,698.75,681.6,690.65,2022-10-14,1099831
691.0,695.75,686.1,690.65,2022-10-17,441511
694.15,695.95,682.25,693.8,2022-10-18,682092
695.0,697.95,685.4,689.15,2022-10-19,478399
672.0,691.4,671.3,679.7,2022-10-20,1593310
680.5,688.35,675.0,678.8,2022-10-21,435914
682.0,686.6,678.8,680.75,2022-10-24,79098
680.75,690.95,676.05,684.5,2022-10-25,931457
687.0,707.5,685.1,703.3,2022-10-27,1025154
706.85,706.85,693.05,696.4,2022-10-28,603938
695.0,705.55,688.3,699.0,2022-10-31,686201
700.0,714.8,700.0,709.25,2022-11-01,790993
709.5,716.7,704.7,707.45,2022-11-02,662770
704.85,714.0,701.3,712.15,2022-11-03,502147
714.0,716.3,702.5,710.65,2022-11-04,790358
712.0,723.95,706.55,709.85,2022-11-07,1088511
713.0,715.4,688.05,694.25,2022-11-09,1396214
717.2,754.0,707.6,719.35,2022-11-10,11685941
725.0,749.0,725.0,747.0,2022-11-11,3270406
749.0,760.8,737.4,759.5,2022-11-14,1644409
761.0,763.4,748.3,753.55,2022-11-15,743769
752.5,756.85,732.25,739.65,2022-11-16,1832877
740.0,746.7,730.1,736.1,2022-11-17,647445
736.1,740.0,719.0,721.05,2022-11-18,870179
721.0,724.6,713.0,720.9,2022-11-21,706128
724.5,726.85,714.0,719.75,2022-11-22,1107748
726.0,729.35,717.3,719.05,2022-11-23,1211257
720.2,723.4,711.4,719.1,2022-11-24,641142
719.1,722.65,708.05,719.75,2022-11-25,851624
719.75,734.9,715.15,733.65,2022-11-28,1247826
744.0,759.35,740.0,751.45,2022-11-29,3703760
752.35,769.0,747.5,766.1,2022-11-30,1964647
767.55,773.85,762.2,770.3,2022-12-01,794733
769.95,779.0,762.4,776.0,2022-12-02,956797
778.0,778.0,761.35,770.1,2022-12-05,734449
765.0,769.6,762.0,767.65,2022-12-06,370587
769.0,773.0,765.55,769.9,2022-12-07,274616
772.25,773.6,753.0,754.85,2022-12-08,527266
755.0,760.8,746.6,751.5,2022-12-09,526842
747.6,756.9,745.85,752.0,2022-12-12,594255
755.0,755.0,737.0,743.9,2022-12-13,744159
744.0,761.5,743.1,758.75,2022-12-14,668745
758.75,763.6,746.8,750.85,2022-12-15,306953
747.7,755.75,726.9,729.3,2022-12-16,899068
726.0,732.05,724.15,728.6,2022-12-19,393415
726.95,730.0,718.0,725.95,2022-12-20,386644
727.5,757.8,722.1,751.35,2022-12-21,1647711
755.0,771.0,748.85,766.3,2022-12-22,2196207
770.0,788.9,752.05,756.75,2022-12-23,4165329
760.55,767.25,736.05,742.2,2022-12-26,1798553
740.0,751.95,740.0,741.7,2022-12-27,712581
742.85,747.55,725.55,732.9,2022-12-28,1310549
732.85,740.0,725.2,736.15,2022-12-29,1528692
745.0,745.0,731.2,733.7,2022-12-30,589367
734.9,736.1,722.55,732.85,2023-01-02,518472
732.0,740.05,728.3,737.95,2023-01-03,631593
737.95,741.8,730.0,734.6,2023-01-04,704874
735.6,744.9,732.0,742.85,2023-01-05,618678
742.1,746.95,733.8,738.1,2023-01-06,608556
741.8,757.3,741.0,749.85,2023-01-09,1247543
752.95,764.6,750.0,758.85,2023-01-10,1424939
759.0,759.0,747.2,754.05,2023-01-11,911085
753.5,757.95,747.8,754.35,2023-01-12,560241
757.0,758.8,749.15,755.75,2023-01-13,434291
751.8,760.0,747.15,756.95,2023-01-16,443945
756.95,758.7,749.0,753.25,2023-01-17,463650
755.9,770.0,752.4,767.15,2023-01-18,961394
767.25,767.25,758.5,759.6,2023-01-19,283476
759.6,762.75,751.3,755.05,2023-01-20,409353
756.0,769.0,751.5,765.55,2023-01-23,578775
766.0,766.0,750.0,752.05,2023-01-24,325246
754.0,754.0,740.0,747.2,2023-01-25,677388
745.0,753.0,738.25,742.1,2023-01-27,437112
737.7,749.8,730.55,734.7,2023-01-30,631438
738.45,749.35,727.3,737.3,2023-01-31,1093687
740.0,750.5,728.15,737.4,2023-02-01,355127
735.0,743.9,730.5,742.0,2023-02-02,517666
742.1,747.3,733.05,739.4,2023-02-03,383860
738.95,753.7,733.25,745.15,2023-02-06,549673
742.4,753.7,740.65,751.35,2023-02-07,540725
751.0,778.5,742.0,775.3,2023-02-08,1479970
767.55,785.75,766.55,774.35,2023-02-09,1334519
744.0,750.0,726.05,737.15,2023-02-10,3057253
720.0,720.0,671.65,675.15,2023-02-13,4985583
678.0,678.3,657.1,663.0,2023-02-14,1916906
662.9,670.55,656.85,669.1,2023-02-15,820913
670.05,686.85,669.0,681.75,2023-02-16,963547
680.0,687.45,668.05,670.2,2023-02-17,821339
670.2,675.0,658.55,667.1,2023-02-20,577221
666.95,674.05,662.25,670.45,2023-02-21,464576
670.9,676.7,660.65,664.0,2023-02-22,685172
666.95,667.35,657.0,658.35,2023-02-23,555300
662.05,665.5,651.1,659.35,2023-02-24,486352
655.15,660.75,645.3,654.6,2023-02-27,1267994
653.05,665.25,650.4,659.25,2023-02-28,1559108
653.2,662.5,651.3,661.4,2023-03-01,721794
661.4,666.55,657.0,659.75,2023-03-02,408541
663.05,666.9,659.0,662.85,2023-03-03,289883
664.95,669.5,661.2,662.45,2023-03-06,329659
663.0,666.6,657.05,664.25,2023-03-08,256788
665.95,666.35,656.55,658.05,2023-03-09,480016
655.0,658.8,649.35,656.1,2023-03-10,443979
660.0,664.95,651.15,654.3,2023-03-13,471640
657.2,668.9,652.2,656.2,2023-03-14,968618
658.2,666.45,655.0,658.3,2023-03-15,679462
660.65,668.0,653.55,666.2,2023-03-16,596960
668.0,669.0,654.3,657.0,2023-03-17,698565
654.95,655.0,640.8,646.4,2023-03-20,538837
655.0,655.45,646.1,649.4,2023-03-21,303443
650.25,662.0,649.0,658.85,2023-03-22,279093
660.35,663.0,646.65,648.55,2023-03-23,1304892
651.0,654.85,638.35,640.0,2023-03-24,721966
644.0,673.75,641.75,658.75,2023-03-27,3965489
661.9,661.9,640.95,644.4,2023-03-28,998013
644.4,659.0,643.2,652.4,2023-03-29,946826
644.65,650.95,628.0,648.4,2023-03-31,1991163
649.15,654.5,644.0,651.8,2023-04-03,809470
650.85,661.95,648.05,658.85,2023-04-05,599687
659.0,665.85,658.0,664.1,2023-04-06,571100
664.0,667.0,661.0,663.7,2023-04-10,353296
664.85,667.5,656.35,660.25,2023-04-11,398086
660.3,685.0,659.9,679.55,2023-04-12,2326481
672.25,678.4,667.0,671.4,2023-04-13,816473
670.0,670.0,655.4,658.15,2023-04-17,519751
658.5,704.5,658.5,698.55,2023-04-18,5365200
698.55,698.7,685.7,686.85,2023-04-19,1203963
686.85,690.1,678.55,684.25,2023-04-20,789119
685.0,702.0,685.0,695.15,2023-04-21,2210350
695.15,705.45,688.8,702.05,2023-04-24,1234488
705.0,710.0,701.8,705.5,2023-04-25,640382
705.5,709.8,699.5,707.7,2023-04-26,595732
706.95,707.95,680.0,693.75,2023-04-27,1608022
699.35,710.35,696.0,709.5,2023-04-28,957872
708.95,716.4,703.6,708.8,2023-05-02,645261
708.8,714.0,705.0,709.65,2023-05-03,311850
709.65,712.2,705.0,709.9,2023-05-04,223675
707.0,713.25,702.4,704.35,2023-05-05,267403
706.95,736.85,704.1,732.55,2023-05-08,1480353
733.0,752.0,726.0,745.55,2023-05-09,1897240
750.0,770.8,734.3,750.2,2023-05-10,4835108
750.5,767.8,742.45,765.45,2023-05-11,1235913
760.0,776.05,757.05,773.6,2023-05-12,1453617
782.75,800.0,771.9,787.25,2023-05-15,1910389
789.0,796.75,779.25,790.75,2023-05-16,1231878
788.0,791.75,775.5,780.95,2023-05-17,466127
780.0,782.35,771.6,779.3,2023-05-18,597261
781.0,784.0,771.2,774.4,2023-05-19,365585
772.4,781.4,769.6,774.4,2023-05-22,451001
772.8,789.85,770.9,776.85,2023-05-23,344619
779.8,782.9,773.35,777.95,2023-05-24,615201
777.95,785.65,776.0,778.85,2023-05-25,479838
778.85,783.6,773.2,779.95,2023-05-26,369378
787.95,811.7,780.0,805.7,2023-05-29,1895651
810.0,813.75,798.1,803.6,2023-05-30,1337941
806.15,813.0,801.25,804.5,2023-05-31,1122072
806.0,817.35,805.0,812.15,2023-06-01,905122
815.0,820.5,806.1,816.95,2023-06-02,586226
825.0,831.35,818.0,820.3,2023-06-05,1487359
822.85,824.45,814.35,821.65,2023-06-06,427490
823.5,827.4,812.7,817.65,2023-06-07,548880
821.25,822.3,808.6,811.85,2023-06-08,473303
811.85,815.15,804.8,806.4,2023-06-09,548968
814.0,823.45,813.55,818.9,2023-06-12,617667
819.5,821.9,815.5,817.45,2023-06-13,594446
817.95,823.5,809.95,818.75,2023-06-14,675571
824.0,835.9,823.4,834.75,2023-06-15,1320203
838.75,843.65,827.0,830.45,2023-06-16,1245895
830.45,834.0,823.6,825.15,2023-06-19,403683
830.0,831.2,821.6,829.9,2023-06-20,389177
832.0,885.3,829.05,875.05,2023-06-21,5768804
868.95,868.95,835.0,852.35,2023-06-22,3868670
851.45,865.8,846.3,858.25,2023-06-23,2171748
858.05,875.0,852.35,874.0,2023-06-26,971992
879.0,889.9,875.0,881.7,2023-06-27,1365308
873.05,894.0,873.05,889.6,2023-06-28,1444161
891.1,908.4,890.0,902.75,2023-06-30,1153481
901.1,902.0,884.25,892.3,2023-07-03,670830
899.95,902.9,887.8,891.4,2023-07-04,563185
898.6,902.5,892.35,897.3,2023-07-05,714726
899.95,910.5,891.6,905.3,2023-07-06,697077
899.2,921.0,889.75,900.6,2023-07-07,1494460
903.45,908.65,896.4,900.85,2023-07-10,472539
904.0,919.1,902.1,914.2,2023-07-11,671785
930.0,942.95,915.05,940.5,2023-07-12,2286940
940.5,942.1,921.9,930.75,2023-07-13,1070687
931.95,934.9,925.35,930.95,2023-07-14,603409
937.0,941.4,931.45,934.4,2023-07-17,694918
934.4,939.85,928.65,933.95,2023-07-18,585709
935.0,941.9,929.25,932.75,2023-07-19,334525
935.95,947.45,933.6,946.1,2023-07-20,707123
944.5,947.45,933.25,936.7,2023-07-21,417874
937.8,944.85,933.8,936.8,2023-07-24,421864
937.95,944.15,931.5,937.6,2023-07-25,254173
941.0,945.6,937.6,941.4,2023-07-26,363219
956.0,990.15,941.05,979.7,2023-07-27,3313759
985.0,991.0,966.25,974.0,2023-07-28,1139010
972.05,992.0,972.05,985.45,2023-07-31,912283
984.8,994.9,976.7,988.2,2023-08-01,781270
987.05,998.7,975.0,994.6,2023-08-02,865195
993.95,1040.85,988.0,1035.35,2023-08-03,3961853
1034.0,1078.45,1011.1,1064.0,2023-08-04,4976674
1067.1,1094.7,1043.5,1081.15,2023-08-07,2597689
1086.95,1094.5,1071.4,1083.7,2023-08-08,1136969
1093.95,1109.0,1086.85,1099.45,2023-08-09,1698236
1102.0,1105.5,1080.9,1085.35,2023-08-10,946674
1087.95,1091.2,1072.75,1076.9,2023-08-11,975221
1080.0,1105.95,1078.0,1082.0,2023-08-14,2339896
1087.9,1116.0,1078.35,1112.85,2023-08-16,1494771
1125.0,1143.95,1087.35,1092.1,2023-08-17,3221359
1096.9,1096.9,1064.1,1067.6,2023-08-18,1346398
1066.0,1090.0,1064.25,1086.35,2023-08-21,1497826
1091.35,1094.0,1085.95,1091.1,2023-08-22,886779
1092.0,1104.7,1086.4,1094.1,2023-08-23,778892
1094.45,1100.0,1085.0,1089.5,2023-08-24,437569
1091.0,1093.05,1072.2,1077.6,2023-08-25,640246
1078.05,1111.1,1075.25,1108.0,2023-08-28,831240
1111.95,1116.95,1090.35,1097.7,2023-08-29,1074379
1115.0,1115.6,1098.0,1100.8,2023-08-30,541426
1103.95,1110.0,1090.5,1097.85,2023-08-31,1236209
1095.95,1099.4,1087.35,1093.85,2023-09-01,384388
1095.0,1102.5,1093.25,1097.4,2023-09-04,513979
1098.0,1128.9,1095.9,1119.25,2023-09-05,1225586
1125.0,1143.0,1118.9,1139.05,2023-09-06,2210022
1144.9,1148.75,1128.15,1136.2,2023-09-07,827172
1143.0,1143.45,1118.65,1128.6,2023-09-08,578212
1129.45,1134.9,1121.95,1126.5,2023-09-11,1263543
1137.95,1174.5,1132.05,1138.45,2023-09-12,2799580
