open,high,low,close,date,volume
166.95,168.0,158.05,159.2,2022-09-29,23831
161.35,167.9,158.0,163.05,2022-09-30,47041
163.05,164.7,155.35,157.4,2022-10-03,19433
158.75,164.0,158.0,162.1,2022-10-04,21345
162.9,172.2,161.15,169.95,2022-10-06,43508
173.0,173.0,161.8,167.35,2022-10-07,48410
162.25,171.0,162.25,168.75,2022-10-10,26402
170.95,171.85,160.25,162.3,2022-10-11,25907
163.85,182.0,162.3,175.45,2022-10-12,124412
178.95,184.2,174.55,176.0,2022-10-13,76021
180.85,182.0,175.1,176.45,2022-10-14,46401
177.9,178.8,173.5,174.25,2022-10-17,45251
176.0,177.5,170.95,171.3,2022-10-18,19347
174.6,174.6,165.1,166.65,2022-10-19,13476
167.9,170.45,160.6,161.8,2022-10-20,31705
158.1,164.7,157.05,163.0,2022-10-21,49014
165.9,170.0,161.15,168.35,2022-10-24,16327
169.9,171.25,161.8,169.8,2022-10-25,34690
172.2,178.0,170.0,170.45,2022-10-27,35343
173.9,184.4,169.8,181.45,2022-10-28,86180
181.45,184.9,173.65,175.1,2022-10-31,62180
178.4,179.7,176.4,177.65,2022-11-01,16785
177.65,183.9,177.65,180.2,2022-11-02,50115
179.0,192.0,179.0,188.45,2022-11-03,229985
190.9,193.45,175.6,177.55,2022-11-04,78639
213.05,213.05,196.35,201.4,2022-11-07,650211
203.25,203.25,186.55,190.05,2022-11-09,171743
190.05,195.25,182.0,183.55,2022-11-10,81078
186.8,191.95,184.05,184.95,2022-11-11,73948
186.9,186.9,175.35,179.15,2022-11-14,85293
180.8,188.95,178.85,185.15,2022-11-15,95357
186.3,191.5,182.65,187.15,2022-11-16,56974
188.9,191.95,185.05,186.35,2022-11-17,32285
186.95,187.9,181.35,182.85,2022-11-18,33611
182.0,182.95,178.95,182.1,2022-11-21,31410
183.95,183.95,179.85,180.85,2022-11-22,38269
182.9,189.2,181.55,187.35,2022-11-23,41997
188.95,193.2,183.8,184.2,2022-11-24,40968
185.95,187.8,184.45,185.9,2022-11-25,25663
185.9,189.9,185.6,186.85,2022-11-28,28814
186.8,187.95,183.1,184.0,2022-11-29,27959
184.0,188.5,183.1,183.7,2022-11-30,31921
184.75,187.8,184.2,184.85,2022-12-01,23222
185.0,188.0,181.7,183.9,2022-12-02,23515
185.9,187.65,182.0,186.4,2022-12-05,44845
187.9,188.9,182.35,183.2,2022-12-06,23581
184.95,185.5,182.0,182.95,2022-12-07,15543
184.95,184.95,180.95,181.6,2022-12-08,16214
183.95,183.95,177.35,180.7,2022-12-09,23942
177.55,182.4,177.0,178.0,2022-12-12,34360
179.95,180.4,177.0,178.55,2022-12-13,18275
179.95,182.5,178.05,180.65,2022-12-14,19542
184.8,184.8,178.0,178.55,2022-12-15,16482
179.4,179.95,178.0,178.1,2022-12-16,15414
179.95,182.35,178.0,179.2,2022-12-19,24765
180.95,180.95,175.0,176.5,2022-12-20,30756
179.9,179.9,171.0,171.75,2022-12-21,23090
174.95,174.95,160.0,162.2,2022-12-22,48315
163.8,165.35,148.0,150.1,2022-12-23,65164
153.05,162.7,149.85,158.5,2022-12-26,34862
161.65,164.25,158.8,161.65,2022-12-27,30037
164.75,164.75,160.9,162.15,2022-12-28,22726
164.9,164.9,161.15,163.05,2022-12-29,16643
165.75,169.9,163.35,167.7,2022-12-30,29572
171.05,172.9,164.3,169.3,2023-01-02,45851
172.6,178.4,168.8,176.65,2023-01-03,36276
178.2,179.75,172.05,176.7,2023-01-04,36409
180.0,180.85,177.0,178.6,2023-01-05,20266
179.95,186.85,177.6,185.0,2023-01-06,120187
192.0,192.0,188.35,190.2,2023-01-09,62228
192.6,195.2,188.0,189.95,2023-01-10,56435
192.8,204.75,189.85,200.3,2023-01-11,257902
202.35,209.45,196.35,198.3,2023-01-12,129917
199.7,213.9,198.35,205.35,2023-01-13,282458
207.9,208.45,202.35,204.4,2023-01-16,64945
203.0,245.25,201.6,239.95,2023-01-17,2014168
242.0,251.7,228.8,231.35,2023-01-18,1252588
231.3,232.65,222.35,224.65,2023-01-19,87351
226.7,242.3,226.5,230.45,2023-01-20,221669
229.3,237.65,224.35,225.85,2023-01-23,79892
226.15,234.0,218.0,221.1,2023-01-24,66426
224.7,225.45,213.6,217.9,2023-01-25,59496
215.5,223.4,202.2,214.35,2023-01-27,68217
214.35,235.0,210.2,229.9,2023-01-30,129677
232.0,237.45,225.45,229.05,2023-01-31,80932
233.8,238.0,222.3,225.05,2023-02-01,78286
228.45,237.5,225.05,230.85,2023-02-02,75650
248.65,259.0,216.95,220.6,2023-02-03,689418
222.7,222.85,202.4,213.15,2023-02-06,246712
215.05,221.3,212.05,214.7,2023-02-07,104305
216.5,218.35,205.35,208.65,2023-02-08,100521
207.05,211.6,203.45,204.5,2023-02-09,101962
206.0,208.95,202.5,206.35,2023-02-10,50727
208.9,210.0,200.0,201.2,2023-02-13,35370
203.9,207.55,200.3,203.25,2023-02-14,37630
201.15,219.0,201.15,211.0,2023-02-15,44150
210.0,211.75,205.3,206.65,2023-02-16,32222
206.6,208.8,204.05,205.7,2023-02-17,16239
204.0,210.0,202.1,203.0,2023-02-20,18605
205.1,206.35,202.05,204.45,2023-02-21,18672
206.95,206.95,194.2,195.05,2023-02-22,44348
196.0,199.85,191.15,192.75,2023-02-23,27266
193.65,199.7,185.8,189.15,2023-02-24,59199
185.6,192.0,185.6,191.0,2023-02-27,22690
195.95,195.95,187.55,188.7,2023-02-28,12015
187.55,195.0,187.55,193.95,2023-03-01,13181
194.85,195.9,188.25,190.2,2023-03-02,11789
190.2,195.1,190.2,194.4,2023-03-03,23284
197.6,198.9,193.95,197.5,2023-03-06,23194
197.5,201.0,195.05,196.15,2023-03-08,23961
197.45,209.55,197.4,204.05,2023-03-09,68743
201.15,202.7,196.2,199.8,2023-03-10,28313
207.8,207.8,192.5,194.1,2023-03-13,45804
196.0,196.25,190.0,191.2,2023-03-14,13739
194.0,196.65,187.3,189.05,2023-03-15,23931
189.9,189.9,184.0,185.7,2023-03-16,26472
189.4,190.8,183.0,187.65,2023-03-17,32466
191.0,191.0,180.8,184.8,2023-03-20,14944
186.1,187.9,184.85,186.0,2023-03-21,11613
187.0,188.6,183.15,186.25,2023-03-22,24794
187.9,187.9,179.0,181.15,2023-03-23,30120
184.8,184.8,173.55,175.05,2023-03-24,34130
177.95,182.0,172.05,172.7,2023-03-27,43480
173.2,175.4,164.2,166.5,2023-03-28,48094
169.8,173.9,165.15,172.7,2023-03-29,49806
176.0,179.05,172.55,174.1,2023-03-31,26358
176.95,184.4,175.35,183.05,2023-04-03,20503
182.15,186.2,181.0,182.7,2023-04-05,25011
184.9,184.9,180.5,182.3,2023-04-06,15717
184.95,186.3,182.05,185.45,2023-04-10,14024
185.45,189.95,181.25,186.65,2023-04-11,13972
188.85,197.7,186.1,192.1,2023-04-12,18912
194.95,197.9,192.0,194.9,2023-04-13,24897
193.05,202.2,192.05,199.05,2023-04-17,39221
202.35,203.4,197.05,201.6,2023-04-18,44551
201.6,205.0,199.75,201.6,2023-04-19,18625
202.95,204.85,196.8,199.5,2023-04-20,29768
198.95,201.9,196.15,197.95,2023-04-21,11469
197.95,201.85,196.2,197.4,2023-04-24,12232
197.0,203.15,192.7,199.5,2023-04-25,21866
201.9,201.9,193.6,195.3,2023-04-26,15072
197.9,199.4,195.25,196.05,2023-04-27,15791
197.95,203.0,197.0,200.7,2023-04-28,14781
201.85,202.95,180.15,183.8,2023-05-02,220459
187.1,187.1,180.2,181.75,2023-05-03,56012
181.05,184.9,181.05,181.7,2023-05-04,21116
182.0,183.9,180.5,181.95,2023-05-05,24868
180.55,185.65,180.0,180.85,2023-05-08,27864
182.4,184.35,181.0,182.45,2023-05-09,27957
181.15,187.0,181.15,185.35,2023-05-10,30513
187.2,187.2,184.0,186.0,2023-05-11,34491
185.65,188.0,182.8,183.4,2023-05-12,14353
183.0,186.45,183.0,186.0,2023-05-15,15043
186.3,191.2,185.3,186.05,2023-05-16,46821
187.0,188.35,183.8,184.25,2023-05-17,12490
185.95,186.95,184.6,186.1,2023-05-18,16124
187.0,187.15,184.0,184.9,2023-05-19,12020
182.7,189.55,182.7,185.95,2023-05-22,32202
187.85,188.0,183.6,185.45,2023-05-23,22084
185.0,189.05,184.7,185.4,2023-05-24,18898
186.9,186.9,184.0,185.3,2023-05-25,15054
185.6,188.1,185.15,187.2,2023-05-26,25533
188.85,199.7,187.3,196.05,2023-05-29,113355
200.95,215.9,192.0,208.05,2023-05-30,185455
210.9,219.0,203.6,206.25,2023-05-31,212943
207.0,208.45,201.15,205.65,2023-06-01,61826
207.0,210.0,201.95,207.9,2023-06-02,74662
227.35,249.45,227.35,249.45,2023-06-05,621925
266.0,299.3,266.0,299.3,2023-06-06,3583758
309.0,326.0,284.2,314.35,2023-06-07,1724767
311.0,319.6,303.0,317.65,2023-06-08,355837
114.0,124.05,113.0,124.05,2023-10-30,218144
130.0,136.45,129.8,136.45,2023-10-31,161935
143.95,150.05,140.0,142.0,2023-11-01,1465975
146.7,147.05,134.9,135.3,2023-11-02,349210
131.35,132.9,128.55,128.55,2023-11-03,246106
130.95,134.95,129.85,134.95,2023-11-06,150569
141.65,141.65,135.15,141.65,2023-11-07,358427
145.65,148.7,144.5,148.7,2023-11-08,142215
148.55,149.0,141.3,141.75,2023-11-09,354562
134.7,141.75,134.7,134.95,2023-11-10,336918
137.8,139.0,128.6,133.6,2023-11-12,125666
133.6,137.0,130.9,134.95,2023-11-13,175985
136.4,140.95,133.6,138.2,2023-11-15,199856
139.95,140.4,137.0,137.6,2023-11-16,76429
138.35,140.0,132.95,134.15,2023-11-17,174251
134.15,136.0,129.55,131.75,2023-11-20,76616
131.95,138.0,131.0,134.95,2023-11-21,113675
137.5,141.05,137.3,138.95,2023-11-22,168614
139.0,139.85,135.75,137.25,2023-11-23,83650
137.25,137.7,133.85,134.65,2023-11-24,79484
136.0,138.05,133.6,136.55,2023-11-28,76194
136.5,137.95,133.0,133.45,2023-11-29,62469
133.45,136.5,133.0,134.25,2023-11-30,76844
135.75,135.9,132.5,132.85,2023-12-01,70504
131.0,132.95,129.95,130.75,2023-12-04,114277
132.25,135.0,132.25,133.45,2023-12-05,90457
133.5,134.0,129.5,130.15,2023-12-06,88720
130.35,131.2,127.3,128.5,2023-12-07,114915
129.85,131.35,128.5,128.8,2023-12-08,75345
128.8,129.8,122.5,124.4,2023-12-11,130086
125.8,130.6,124.2,130.6,2023-12-12,97859
132.8,137.1,130.95,137.1,2023-12-13,132338
140.4,141.2,134.0,135.2,2023-12-14,213487
139.15,140.0,134.0,134.8,2023-12-15,85776
134.0,134.0,131.0,132.0,2023-12-18,49232
134.2,134.2,129.5,130.25,2023-12-19,56173
128.15,131.7,125.1,126.15,2023-12-20,90682
123.65,129.95,121.0,127.5,2023-12-21,50676
128.85,132.7,128.0,130.45,2023-12-22,123866
130.45,132.6,130.15,131.15,2023-12-26,46897
130.8,132.7,126.35,129.1,2023-12-27,89897
130.25,135.55,129.3,135.55,2023-12-28,120726
140.9,142.3,138.0,142.3,2023-12-29,666111
