open,high,low,close,date,volume
47.0,47.0,44.6,45.0,2022-09-29,8667
45.7,46.45,43.5,44.7,2022-09-30,27500
44.7,46.8,44.65,46.25,2022-10-03,12145
47.7,47.7,46.05,46.55,2022-10-04,4301
47.4,49.35,45.6,46.15,2022-10-06,20899
46.1,50.9,46.1,47.45,2022-10-07,48721
46.05,48.9,45.5,46.05,2022-10-10,44025
46.9,47.15,43.0,43.5,2022-10-11,35170
44.3,44.65,41.75,42.1,2022-10-12,75334
42.6,43.0,39.55,40.1,2022-10-13,89284
40.8,42.45,39.55,39.95,2022-10-14,60499
40.6,41.2,39.6,40.0,2022-10-17,21962
40.6,41.5,38.75,39.4,2022-10-18,27428
39.9,42.0,39.8,41.35,2022-10-19,18588
41.4,41.65,39.85,41.45,2022-10-20,12401
41.5,42.75,40.5,41.0,2022-10-21,30875
41.75,42.75,41.0,41.8,2022-10-24,6649
42.0,42.7,40.1,41.6,2022-10-25,7534
41.05,42.0,40.5,41.15,2022-10-27,2641
41.85,41.95,41.1,41.4,2022-10-28,4677
40.8,42.2,40.8,41.65,2022-10-31,7870
42.35,42.35,41.4,41.85,2022-11-01,10462
41.6,42.1,41.5,41.95,2022-11-02,10597
41.65,43.7,41.65,43.05,2022-11-03,28512
43.85,44.2,43.05,43.85,2022-11-04,5511
43.8,44.3,42.8,43.8,2022-11-07,9465
44.65,44.65,42.8,42.9,2022-11-09,19813
43.7,43.7,42.3,42.65,2022-11-10,7613
44.1,45.0,42.0,43.45,2022-11-11,19610
42.0,42.5,41.55,41.85,2022-11-14,13721
41.6,41.9,40.25,40.6,2022-11-15,22006
41.15,41.9,39.9,40.25,2022-11-16,24580
40.0,40.8,39.8,40.0,2022-11-17,5975
40.7,41.2,39.95,40.75,2022-11-18,7258
41.55,41.55,40.55,40.8,2022-11-21,3453
40.5,41.5,40.5,41.15,2022-11-22,6521
41.75,42.0,40.8,41.1,2022-11-23,16699
40.85,43.6,40.85,42.85,2022-11-24,26966
43.0,43.0,41.45,42.25,2022-11-25,8215
42.95,42.95,41.8,42.65,2022-11-28,4207
43.7,43.7,41.9,42.4,2022-11-29,9924
43.65,43.65,42.05,42.2,2022-11-30,5162
42.0,43.45,42.0,42.8,2022-12-01,12742
42.9,47.35,42.65,45.85,2022-12-02,147048
