open,high,low,close,date,volume
76.1,78.0,75.0,75.5,2022-09-29,35293
76.05,77.5,74.85,77.0,2022-09-30,125143
77.85,86.65,75.6,81.5,2022-10-03,291632
83.9,85.45,81.6,83.55,2022-10-04,139403
84.0,84.7,82.75,84.1,2022-10-06,64581
83.5,85.4,83.5,84.7,2022-10-07,36627
83.0,84.5,82.0,82.7,2022-10-10,34518
83.85,84.0,81.0,81.3,2022-10-11,33910
82.45,83.6,79.6,80.4,2022-10-12,44374
81.5,81.95,79.3,80.05,2022-10-13,24572
81.0,81.5,79.0,79.45,2022-10-14,28456
80.55,80.55,77.65,78.15,2022-10-17,25585
79.3,80.0,78.5,79.3,2022-10-18,23333
80.0,80.95,79.0,80.4,2022-10-19,26736
80.0,80.6,76.05,78.2,2022-10-20,35240
78.0,79.55,77.35,78.3,2022-10-21,19624
79.0,85.0,78.5,82.45,2022-10-24,107995
83.5,83.5,80.05,80.9,2022-10-25,55505
81.4,81.9,79.15,80.1,2022-10-27,29263
80.2,80.85,79.0,79.45,2022-10-28,19592
79.6,79.6,78.5,78.75,2022-10-31,30590
79.0,79.7,78.0,78.6,2022-11-01,24295
79.5,79.95,78.6,78.75,2022-11-02,20065
80.5,80.5,79.0,79.75,2022-11-03,26498
81.25,84.6,81.25,83.65,2022-11-04,152356
84.3,85.0,82.2,83.0,2022-11-07,124439
84.6,84.6,83.0,83.1,2022-11-09,68465
83.4,84.4,81.25,81.45,2022-11-10,55239
83.0,83.0,81.0,81.35,2022-11-11,54599
82.0,83.8,82.0,82.45,2022-11-14,122683
83.0,83.4,82.15,82.4,2022-11-15,48130
81.45,83.0,81.3,81.4,2022-11-16,52992
81.9,82.55,81.4,82.3,2022-11-17,32514
83.0,83.0,77.7,79.9,2022-11-18,113267
81.05,82.8,79.9,80.0,2022-11-21,173397
81.15,81.55,79.0,79.8,2022-11-22,76300
80.45,80.55,78.7,79.05,2022-11-23,145627
79.9,80.0,77.75,78.1,2022-11-24,221996
76.25,77.4,75.6,76.25,2022-11-25,121299
76.35,76.95,76.0,76.25,2022-11-28,45157
76.75,77.4,76.05,77.1,2022-11-29,60934
76.7,77.75,76.1,76.6,2022-11-30,58162
77.5,77.5,76.7,77.0,2022-12-01,43549
77.25,77.4,76.7,77.25,2022-12-02,39763
77.75,79.3,77.25,78.65,2022-12-05,71238
78.75,79.7,78.4,78.9,2022-12-06,38723
78.5,79.6,77.3,77.5,2022-12-07,43431
78.65,79.5,77.5,78.95,2022-12-08,55381
79.85,79.85,77.7,78.0,2022-12-09,30805
77.1,79.15,76.4,77.45,2022-12-12,28952
78.0,79.85,77.45,78.95,2022-12-13,38795
79.3,79.3,78.05,78.35,2022-12-14,47703
79.0,79.0,77.65,77.85,2022-12-15,50135
