open,high,low,close,date,volume
36.3,37.3,35.5,35.9,2022-09-29,28921
36.0,36.0,35.0,35.35,2022-09-30,56835
35.5,41.0,35.5,37.65,2022-10-03,157735
39.0,39.2,37.05,37.75,2022-10-04,69140
38.25,38.7,37.35,38.15,2022-10-06,39238
38.65,39.75,37.85,38.6,2022-10-07,65072
38.3,40.0,37.65,39.35,2022-10-10,66306
39.7,39.8,38.15,38.55,2022-10-11,60057
38.85,38.85,37.4,38.05,2022-10-12,35925
38.4,38.5,37.4,38.05,2022-10-13,29523
38.0,38.85,37.65,37.9,2022-10-14,34790
38.4,38.5,35.4,37.8,2022-10-17,64675
37.5,40.65,37.0,37.8,2022-10-18,98066
38.55,38.65,35.45,37.5,2022-10-19,110056
37.45,39.0,37.15,38.15,2022-10-20,45179
37.55,38.0,37.3,37.75,2022-10-21,33412
38.45,38.45,37.05,37.35,2022-10-24,43006
37.8,37.8,37.05,37.25,2022-10-25,41074
37.25,38.05,36.1,37.1,2022-10-27,61838
37.2,37.6,36.0,36.3,2022-10-28,34439
36.9,37.4,35.5,36.05,2022-10-31,59163
36.75,36.75,35.95,36.45,2022-11-01,32276
37.0,37.1,36.4,36.7,2022-11-02,24223
36.7,37.15,36.2,36.9,2022-11-03,18850
37.45,39.0,37.0,38.2,2022-11-04,93826
38.8,39.8,37.5,38.5,2022-11-07,80073
37.8,38.6,37.6,37.95,2022-11-09,30847
37.65,38.0,37.0,37.3,2022-11-10,21474
38.35,38.35,37.0,37.25,2022-11-11,30864
37.25,38.6,37.15,37.95,2022-11-14,49202
38.65,38.65,37.0,37.4,2022-11-15,19692
37.4,37.6,36.1,36.65,2022-11-16,26908
36.55,37.05,36.5,36.6,2022-11-17,20034
36.3,37.25,35.9,36.0,2022-11-18,27055
36.65,37.55,36.1,36.45,2022-11-21,35550
36.8,36.8,36.2,36.4,2022-11-22,14741
37.3,37.3,36.45,36.8,2022-11-23,16591
37.3,37.3,36.25,36.55,2022-11-24,19838
36.85,37.05,35.05,35.6,2022-11-25,83902
36.5,36.5,35.3,35.55,2022-11-28,26510
36.05,36.65,35.7,35.85,2022-11-29,33507
35.85,36.15,35.4,35.65,2022-11-30,29992
35.75,36.25,35.7,35.9,2022-12-01,32215
36.25,36.25,35.6,35.85,2022-12-02,35541
36.9,36.9,35.85,36.45,2022-12-05,46494
36.2,36.9,36.2,36.6,2022-12-06,29478
37.25,37.45,36.2,37.15,2022-12-07,38134
37.75,37.75,35.5,36.05,2022-12-08,32739
36.05,36.55,35.0,35.55,2022-12-09,46860
35.55,36.0,35.45,35.75,2022-12-12,26062
36.3,37.1,35.6,36.0,2022-12-13,55813
36.1,36.7,35.85,36.25,2022-12-14,20129
36.2,36.45,35.65,35.8,2022-12-15,38633
35.8,36.15,35.4,35.6,2022-12-16,26632
35.65,36.65,35.55,36.0,2022-12-19,53304
36.15,36.7,35.75,35.95,2022-12-20,35412
36.6,36.6,35.05,35.2,2022-12-21,30802
35.85,35.85,32.8,33.5,2022-12-22,107849
32.75,35.5,31.8,34.05,2022-12-23,62917
34.65,35.7,33.9,34.15,2022-12-26,49364
34.0,34.8,33.8,34.45,2022-12-27,42278
34.65,35.5,34.35,34.7,2022-12-28,21128
34.9,34.9,33.95,34.15,2022-12-29,28062
33.7,35.25,33.7,34.3,2022-12-30,22698
34.85,36.5,34.25,35.5,2023-01-02,104295
35.5,35.95,35.2,35.6,2023-01-03,30590
35.5,35.75,34.7,35.15,2023-01-04,28891
35.65,35.65,34.7,35.15,2023-01-05,26496
35.65,36.0,34.6,35.45,2023-01-06,64339
36.0,36.85,35.5,35.8,2023-01-09,65980
36.3,39.25,35.2,38.8,2023-01-10,2984463
41.3,43.25,38.45,39.3,2023-01-11,762372
39.7,39.7,36.3,36.85,2023-01-12,116031
36.85,44.2,36.85,44.2,2023-01-13,1213997
46.0,46.55,40.5,41.5,2023-01-16,832058
41.5,44.25,41.05,43.55,2023-01-17,504862
43.8,43.95,41.25,41.95,2023-01-18,145299
42.0,42.45,41.15,41.55,2023-01-19,126745
41.85,43.9,41.5,42.35,2023-01-20,245267
42.35,50.8,42.25,48.25,2023-01-23,1709777
47.9,48.5,45.3,46.35,2023-01-24,355619
45.2,51.5,45.0,49.3,2023-01-25,1076384
48.75,49.9,44.15,45.3,2023-01-27,483739
45.55,46.45,43.6,44.35,2023-01-30,147451
44.95,49.6,44.4,47.9,2023-01-31,1148467
48.5,53.4,47.0,48.55,2023-02-01,1832602
48.35,51.75,47.2,49.05,2023-02-02,497726
49.45,50.25,46.1,47.4,2023-02-03,199686
48.2,48.2,45.0,45.9,2023-02-06,1319302
46.35,46.4,42.65,43.1,2023-02-07,151219
43.6,45.95,42.9,44.05,2023-02-08,181335
44.4,44.6,42.9,43.25,2023-02-09,114718
43.45,47.5,43.45,46.0,2023-02-10,327632
46.75,48.95,45.25,46.05,2023-02-13,256218
45.1,46.4,43.25,43.7,2023-02-14,146091
43.0,44.3,42.35,43.0,2023-02-15,91101
44.1,44.45,42.7,43.15,2023-02-16,79726
43.0,46.0,42.5,45.4,2023-02-17,372639
45.4,47.9,44.3,44.65,2023-02-20,209693
45.25,46.3,44.0,44.5,2023-02-21,87834
43.95,44.45,43.5,43.85,2023-02-22,1570547
45.0,45.0,43.75,44.1,2023-02-23,42794
43.15,44.45,42.2,42.75,2023-02-24,105140
43.0,43.0,40.65,42.15,2023-02-27,83849
41.75,43.45,40.9,41.55,2023-02-28,244450
41.8,43.1,41.4,42.2,2023-03-01,80650
42.3,42.6,40.95,41.15,2023-03-02,59548
41.25,42.1,41.05,41.45,2023-03-03,64607
41.5,42.0,41.2,41.45,2023-03-06,23570
41.4,41.4,40.4,40.55,2023-03-08,44687
41.0,41.75,40.5,40.6,2023-03-09,45041
41.3,41.8,40.0,40.25,2023-03-10,52041
39.8,40.25,37.65,38.15,2023-03-13,70463
38.2,39.15,36.8,37.7,2023-03-14,577515
37.7,38.85,37.7,38.55,2023-03-15,38670
38.7,38.8,37.15,37.35,2023-03-16,32637
37.1,38.15,36.85,37.05,2023-03-17,44834
39.0,39.0,36.15,37.15,2023-03-20,47445
36.7,37.5,36.0,36.85,2023-03-21,73131
36.75,38.75,36.75,38.05,2023-03-22,77924
38.4,39.5,37.5,37.95,2023-03-23,99163
