open,high,low,close,date,volume
95.0,95.8,92.65,93.05,2022-09-29,219714
94.1,94.1,92.05,93.0,2022-09-30,298287
93.4,94.5,91.0,91.55,2022-10-03,473382
93.0,93.35,92.2,92.9,2022-10-04,232634
94.0,98.8,92.5,96.7,2022-10-06,949671
96.9,98.45,95.0,96.45,2022-10-07,602903
96.0,96.4,93.5,94.55,2022-10-10,302880
95.2,95.55,93.0,93.5,2022-10-11,234325
94.35,94.35,92.15,92.65,2022-10-12,249065
93.6,93.6,91.75,92.75,2022-10-13,205307
94.55,96.0,92.0,92.55,2022-10-14,660969
93.0,93.75,92.0,92.2,2022-10-17,280438
92.95,93.5,92.3,92.8,2022-10-18,175556
93.45,93.45,92.0,92.15,2022-10-19,178145
92.0,92.7,91.15,91.6,2022-10-20,217817
92.1,92.5,91.1,91.7,2022-10-21,192802
93.95,93.95,92.15,92.95,2022-10-24,124868
93.1,93.7,91.2,91.75,2022-10-25,236044
92.7,92.75,91.35,91.65,2022-10-27,187094
92.55,92.55,91.45,91.95,2022-10-28,215971
91.65,95.95,91.55,95.1,2022-10-31,748996
96.45,97.4,93.25,93.8,2022-11-01,494869
94.0,94.8,93.0,93.5,2022-11-02,233817
82.0,86.0,79.3,84.35,2022-11-03,3292067
84.6,86.75,84.05,84.25,2022-11-04,859025
84.8,85.4,83.35,83.55,2022-11-07,568263
84.0,84.0,81.4,81.65,2022-11-09,754537
81.5,84.7,81.0,83.85,2022-11-10,745486
84.0,85.1,82.6,84.0,2022-11-11,381135
84.45,84.45,82.9,83.1,2022-11-14,233985
83.0,83.35,82.6,83.05,2022-11-15,182077
83.5,83.95,81.5,81.9,2022-11-16,394784
82.0,82.4,80.5,80.75,2022-11-17,316008
80.85,81.25,80.0,80.4,2022-11-18,238923
80.75,80.95,78.0,78.6,2022-11-21,408408
77.2,78.35,76.3,76.9,2022-11-22,595310
77.3,80.8,77.25,79.95,2022-11-23,546236
80.3,82.45,80.05,81.5,2022-11-24,335048
81.3,81.8,80.0,80.15,2022-11-25,286975
80.55,81.45,80.2,80.85,2022-11-28,270716
81.25,82.45,80.9,81.4,2022-11-29,356684
81.95,83.2,79.5,82.45,2022-11-30,1074582
83.8,84.4,82.95,83.65,2022-12-01,695499
83.95,84.4,83.55,84.15,2022-12-02,334743
84.75,85.3,83.5,83.8,2022-12-05,303345
83.8,84.2,83.4,83.9,2022-12-06,184566
85.4,85.4,83.4,84.05,2022-12-07,260400
84.45,86.95,83.8,85.55,2022-12-08,984387
85.95,86.5,83.4,83.85,2022-12-09,355349
83.6,84.0,82.3,83.4,2022-12-12,228248
83.6,84.15,83.0,83.15,2022-12-13,217098
83.15,84.0,82.0,83.0,2022-12-14,421056
83.35,84.15,82.5,82.7,2022-12-15,278096
83.5,84.7,82.7,83.1,2022-12-16,335001
83.1,83.5,82.3,82.75,2022-12-19,181530
82.75,86.3,82.05,85.25,2022-12-20,546326
85.25,85.95,80.0,81.3,2022-12-21,553053
81.5,82.2,78.1,79.35,2022-12-22,423157
78.0,79.0,75.3,75.9,2022-12-23,594044
76.0,79.35,74.65,78.85,2022-12-26,289633
79.9,80.7,78.65,80.05,2022-12-27,141802
80.8,83.25,79.75,80.75,2022-12-28,255763
80.5,81.0,79.5,80.45,2022-12-29,165924
80.7,82.3,80.7,81.65,2022-12-30,139760
82.0,83.75,81.1,82.6,2023-01-02,246098
82.7,84.0,81.55,82.7,2023-01-03,315458
83.25,83.25,81.8,81.9,2023-01-04,102749
82.15,82.65,81.05,81.8,2023-01-05,105527
81.5,81.8,80.3,80.75,2023-01-06,114060
81.4,82.0,80.5,80.9,2023-01-09,185306
81.45,81.45,79.8,80.2,2023-01-10,174800
80.6,82.0,80.25,80.9,2023-01-11,250575
81.2,82.0,80.7,81.0,2023-01-12,120780
81.3,81.65,80.6,81.1,2023-01-13,113489
81.7,81.9,80.9,81.1,2023-01-16,137303
81.3,81.5,80.05,80.65,2023-01-17,91152
80.95,81.7,80.35,81.1,2023-01-18,197292
80.95,81.6,80.5,80.75,2023-01-19,111621
