open,high,low,close,date,volume
89.9,90.05,86.6,87.75,2022-09-29,353885
87.75,89.9,87.25,89.15,2022-09-30,389990
89.45,90.45,87.6,88.1,2022-10-03,195652
88.75,90.75,88.35,88.7,2022-10-04,264198
89.35,90.65,88.0,88.2,2022-10-06,312180
88.55,90.0,88.2,89.7,2022-10-07,210986
88.55,89.5,87.65,87.9,2022-10-10,173050
88.5,88.5,85.55,86.05,2022-10-11,211927
86.75,87.0,83.55,84.7,2022-10-12,315624
84.7,85.85,82.05,82.5,2022-10-13,318493
84.6,85.9,82.6,83.1,2022-10-14,264159
82.95,83.8,81.2,82.65,2022-10-17,198013
83.4,84.0,82.05,82.65,2022-10-18,169952
81.6,83.0,80.95,81.35,2022-10-19,165382
81.95,82.55,81.55,82.25,2022-10-20,191005
83.7,83.7,79.2,79.75,2022-10-21,241912
80.05,81.8,80.05,81.05,2022-10-24,72678
82.05,82.5,80.3,81.35,2022-10-25,125093
82.25,82.5,80.3,80.8,2022-10-27,285814
80.8,81.3,74.3,79.45,2022-10-28,1214345
80.4,82.85,80.4,82.45,2022-10-31,282103
82.85,82.85,81.05,81.35,2022-11-01,218893
81.85,84.0,81.75,83.3,2022-11-02,175811
82.7,83.25,82.05,82.45,2022-11-03,91107
82.1,85.05,82.0,82.7,2022-11-04,261766
83.0,83.5,82.0,82.2,2022-11-07,176533
82.6,85.5,82.1,84.5,2022-11-09,299079
84.0,85.45,82.9,84.65,2022-11-10,152493
84.4,85.45,82.6,83.45,2022-11-11,328607
84.1,85.75,83.3,83.45,2022-11-14,367079
84.1,84.95,81.9,82.2,2022-11-15,198302
82.5,83.4,80.75,81.15,2022-11-16,184587
81.95,81.95,79.65,79.95,2022-11-17,203780
80.95,81.25,78.9,79.6,2022-11-18,173847
79.0,81.0,79.0,79.25,2022-11-21,141543
79.35,80.0,76.35,76.8,2022-11-22,912521
77.95,79.6,75.45,76.35,2022-11-23,427474
79.5,79.5,76.1,76.5,2022-11-24,515795
78.0,78.85,77.0,77.1,2022-11-25,755701
77.65,77.95,75.55,75.9,2022-11-28,503198
76.45,78.7,75.55,77.15,2022-11-29,570494
77.2,77.65,76.1,77.25,2022-11-30,320969
77.95,81.25,76.7,80.1,2022-12-01,1082639
80.1,80.45,78.25,79.0,2022-12-02,836858
79.25,82.25,78.2,79.1,2022-12-05,1317294
79.9,81.85,79.5,80.25,2022-12-06,1367545
81.0,82.5,80.5,80.95,2022-12-07,1020754
81.45,84.4,81.35,83.3,2022-12-08,1537346
84.0,84.5,81.4,82.0,2022-12-09,507978
82.0,83.0,81.15,81.7,2022-12-12,942801
81.7,82.7,81.0,81.5,2022-12-13,477405
82.0,83.4,81.2,81.55,2022-12-14,384522
81.6,82.75,79.5,79.95,2022-12-15,372990
79.95,81.3,79.15,79.7,2022-12-16,300617
80.1,80.6,79.5,79.85,2022-12-19,165232
79.85,80.45,78.15,79.35,2022-12-20,418366
79.9,81.45,75.15,77.05,2022-12-21,1216940
77.65,78.45,73.5,74.7,2022-12-22,697646
73.8,73.95,70.5,70.8,2022-12-23,487084
72.1,74.0,70.8,72.9,2022-12-26,412075
73.7,75.0,73.45,74.1,2022-12-27,245986
74.1,74.9,73.35,74.15,2022-12-28,310709
73.4,74.4,73.3,73.6,2022-12-29,140176
74.15,75.6,74.0,74.2,2022-12-30,228023
74.0,76.35,73.9,75.5,2023-01-02,263247
76.55,77.7,75.0,75.35,2023-01-03,243656
75.8,75.95,73.65,74.35,2023-01-04,166923
74.9,75.05,73.8,73.95,2023-01-05,144052
74.0,74.0,72.0,72.9,2023-01-06,169737
73.35,75.85,72.9,73.45,2023-01-09,161485
73.75,74.15,72.2,72.55,2023-01-10,196467
72.55,74.5,72.55,73.7,2023-01-11,280064
74.8,74.8,72.2,72.4,2023-01-12,326448
72.75,76.15,72.7,75.3,2023-01-13,417183
75.4,76.35,74.0,74.1,2023-01-16,259251
74.1,78.4,73.4,77.25,2023-01-17,1708958
79.0,80.0,78.1,78.7,2023-01-18,770341
79.5,79.95,77.05,77.4,2023-01-19,495097
78.5,78.75,76.0,76.5,2023-01-20,196498
76.7,79.0,76.15,76.35,2023-01-23,1279773
76.75,77.7,75.05,75.4,2023-01-24,140565
75.0,75.25,73.1,74.4,2023-01-25,249538
74.85,75.6,72.15,73.05,2023-01-27,282416
73.45,74.85,72.25,72.9,2023-01-30,214361
73.15,74.35,72.45,73.6,2023-01-31,192210
74.85,76.75,72.65,73.55,2023-02-01,377328
73.15,75.0,73.15,74.45,2023-02-02,113441
80.0,81.9,76.05,78.95,2023-02-03,3337186
79.3,82.75,78.95,81.5,2023-02-06,1546576
81.9,84.4,81.55,83.6,2023-02-07,1538821
83.5,84.2,82.2,83.5,2023-02-08,774625
82.95,83.4,80.0,80.9,2023-02-09,536562
80.5,82.2,80.05,81.5,2023-02-10,392501
81.5,82.75,79.45,81.15,2023-02-13,479822
81.2,83.0,80.1,82.65,2023-02-14,733613
82.7,84.45,81.85,83.95,2023-02-15,944997
85.0,86.4,84.2,84.6,2023-02-16,983972
84.15,85.95,83.5,85.5,2023-02-17,855945
86.9,87.65,84.4,84.95,2023-02-20,976199
85.0,85.95,83.55,84.9,2023-02-21,871805
83.55,84.6,80.65,81.75,2023-02-22,720173
81.75,83.0,81.05,81.5,2023-02-23,247468
81.5,82.5,79.25,79.9,2023-02-24,253769
79.05,79.75,77.3,77.95,2023-02-27,354999
78.0,79.3,77.5,77.9,2023-02-28,266494
77.9,79.85,77.55,79.0,2023-03-01,210222
78.25,79.9,78.0,78.1,2023-03-02,161273
78.8,79.35,77.55,78.15,2023-03-03,327141
78.7,79.6,77.3,77.65,2023-03-06,274092
77.95,80.65,77.25,80.1,2023-03-08,462224
80.15,80.6,78.5,79.0,2023-03-09,301771
78.1,79.15,77.65,78.05,2023-03-10,201018
78.2,78.9,76.0,76.1,2023-03-13,401262
76.2,76.85,74.8,76.05,2023-03-14,276830
76.8,78.9,74.4,75.0,2023-03-15,332654
75.6,75.6,71.9,74.85,2023-03-16,403354
75.4,76.1,74.0,74.35,2023-03-17,161223
74.0,76.1,72.55,73.55,2023-03-20,239180
74.5,74.5,72.95,73.15,2023-03-21,196619
73.7,74.45,72.0,72.15,2023-03-22,262602
71.5,72.75,71.3,71.6,2023-03-23,252217
71.95,72.6,69.25,69.8,2023-03-24,307360
69.5,70.9,66.2,67.45,2023-03-27,1733209
67.9,68.85,66.6,66.65,2023-03-28,400722
66.6,68.65,66.6,67.4,2023-03-29,442198
68.05,70.0,67.6,68.2,2023-03-31,429379
68.6,71.45,68.6,71.1,2023-04-03,279704
71.6,73.95,71.25,73.45,2023-04-05,454835
73.85,75.1,73.45,74.1,2023-04-06,255412
75.6,76.45,74.15,75.95,2023-04-10,336037
76.4,78.55,75.55,78.1,2023-04-11,473834
78.0,78.9,76.95,77.65,2023-04-12,228405
78.0,80.35,77.4,78.8,2023-04-13,418297
78.8,80.6,78.0,79.25,2023-04-17,341973
80.9,80.9,78.45,79.0,2023-04-18,290916
79.7,81.7,78.75,81.1,2023-04-19,723476
81.5,83.7,81.0,82.9,2023-04-20,741263
83.3,83.7,81.7,82.65,2023-04-21,646567
83.0,84.4,82.75,83.3,2023-04-24,573021
83.4,84.5,81.8,82.55,2023-04-25,928134
82.35,83.4,81.95,82.7,2023-04-26,448478
82.95,82.95,81.5,82.4,2023-04-27,887542
82.4,82.5,81.35,81.8,2023-04-28,491553
81.8,82.7,81.5,81.85,2023-05-02,813444
81.7,82.8,79.7,80.85,2023-05-03,888929
80.8,83.5,80.15,82.75,2023-05-04,1179339
82.75,83.35,82.35,82.85,2023-05-05,776487
83.5,84.35,82.8,83.45,2023-05-08,898576
83.5,84.5,81.8,82.3,2023-05-09,2386545
83.0,89.7,82.0,86.65,2023-05-10,6238324
87.95,89.8,87.0,87.45,2023-05-11,2089060
88.0,89.15,87.0,88.25,2023-05-12,787981
89.0,91.7,88.8,91.35,2023-05-15,1652783
92.45,93.4,91.5,91.9,2023-05-16,1568698
91.2,93.0,90.5,92.6,2023-05-17,941092
93.0,95.1,92.2,92.7,2023-05-18,1218490
92.6,95.7,92.6,93.2,2023-05-19,1374825
94.95,96.8,93.55,95.75,2023-05-22,1502475
96.1,96.1,94.05,94.3,2023-05-23,927860
94.0,94.65,93.3,94.1,2023-05-24,604658
94.35,94.95,93.4,93.65,2023-05-25,452680
93.7,96.0,93.7,94.45,2023-05-26,564397
94.9,94.9,91.4,91.85,2023-05-29,719049
91.85,93.2,91.0,91.5,2023-05-30,408003
91.25,92.85,90.15,92.2,2023-05-31,653213
92.35,93.35,91.3,92.05,2023-06-01,412299
92.65,95.0,92.15,94.3,2023-06-02,745179
95.5,100.4,95.45,99.95,2023-06-05,2693109
100.7,102.15,99.15,100.7,2023-06-06,1871655
102.5,103.4,101.85,102.85,2023-06-07,1274225
104.8,104.8,101.5,102.45,2023-06-08,830128
102.5,104.75,102.0,103.0,2023-06-09,1329758
102.15,107.75,98.2,106.6,2023-06-12,6001911
108.15,111.9,107.8,109.55,2023-06-13,3536326
112.4,112.4,108.2,110.2,2023-06-14,1571207
109.95,117.8,107.2,111.0,2023-06-15,3130037
112.0,112.7,111.0,111.9,2023-06-16,1181871
112.7,116.2,112.1,113.1,2023-06-19,1366261
113.25,115.8,112.05,113.95,2023-06-20,1261028
114.0,115.5,113.05,114.1,2023-06-21,911144
115.0,117.65,114.6,115.9,2023-06-22,1684721
117.5,119.15,115.0,115.7,2023-06-23,3453191
115.7,117.2,114.0,115.75,2023-06-26,1464838
117.0,117.35,115.4,115.8,2023-06-27,1398783
116.05,117.4,114.0,115.1,2023-06-28,1182343
115.55,116.5,112.55,114.0,2023-06-30,989663
114.2,115.6,112.55,115.15,2023-07-03,997869
115.5,115.9,112.05,113.65,2023-07-04,981116
113.0,114.3,111.5,112.5,2023-07-05,787239
112.45,113.2,111.05,111.55,2023-07-06,664720
111.0,112.75,109.1,109.75,2023-07-07,920078
110.4,111.25,108.15,110.0,2023-07-10,670515
110.75,113.25,110.0,112.45,2023-07-11,852691
113.45,114.3,112.1,112.85,2023-07-12,554793
113.0,114.5,111.55,113.05,2023-07-13,626257
114.55,114.6,111.25,111.85,2023-07-14,747984
112.85,116.3,112.4,114.85,2023-07-17,973093
115.7,116.2,113.3,113.95,2023-07-18,597519
113.65,116.0,113.5,114.25,2023-07-19,502855
115.0,115.7,113.65,114.75,2023-07-20,760343
115.7,117.4,114.0,114.95,2023-07-21,1049432
115.0,122.95,114.15,121.5,2023-07-24,8389663
122.8,124.05,118.2,120.85,2023-07-25,2452433
123.0,123.0,119.0,119.25,2023-07-26,2666545
120.7,123.95,119.75,121.5,2023-07-27,2026420
123.5,123.5,120.55,121.9,2023-07-28,1430940
122.95,131.0,122.75,129.2,2023-07-31,3899435
129.95,133.85,129.9,131.7,2023-08-01,2288600
132.4,135.0,131.1,132.6,2023-08-02,2214504
133.6,148.9,133.6,146.35,2023-08-03,10019900
146.75,149.7,143.5,145.3,2023-08-04,2057309
145.75,146.15,142.0,144.5,2023-08-07,1581906
144.5,148.75,143.1,146.3,2023-08-08,2393556
144.85,145.35,142.3,144.65,2023-08-09,1151963
144.65,146.25,143.2,143.75,2023-08-10,1679472
