open,high,low,close,date,volume
1249.0,1264.55,1220.0,1228.8,2022-09-29,4840
1276.05,1276.05,1226.1,1248.5,2022-09-30,3576
1269.0,1270.7,1215.55,1256.0,2022-10-03,7270
1268.95,1325.0,1244.05,1314.8,2022-10-04,14414
1356.4,1356.4,1301.0,1312.3,2022-10-06,8699
1300.05,1349.75,1300.05,1338.75,2022-10-07,1855
1359.0,1359.0,1314.05,1342.9,2022-10-10,3544
1349.0,1349.0,1276.15,1298.95,2022-10-11,7365
1344.0,1344.0,1279.9,1293.95,2022-10-12,2301
1324.0,1324.0,1270.65,1286.95,2022-10-13,1344
1297.0,1314.95,1274.1,1279.6,2022-10-14,827
1292.4,1299.0,1261.1,1285.8,2022-10-17,1795
1316.75,1316.75,1267.05,1272.85,2022-10-18,871
1275.0,1310.0,1212.45,1253.75,2022-10-19,2148
1249.95,1282.0,1249.95,1265.5,2022-10-20,704
1277.75,1287.95,1216.6,1231.25,2022-10-21,2393
1235.0,1285.0,1235.0,1264.75,2022-10-24,2128
1279.0,1279.0,1214.55,1237.1,2022-10-25,1414
1237.1,1248.95,1229.05,1244.55,2022-10-27,379
1233.6,1265.0,1225.15,1239.25,2022-10-28,3569
1261.2,1261.7,1220.0,1226.2,2022-10-31,2536
1230.1,1230.1,1149.65,1189.8,2022-11-01,5605
1201.05,1220.05,1184.1,1196.65,2022-11-02,3626
1228.0,1228.0,1172.7,1182.45,2022-11-03,2966
1183.4,1199.0,1088.95,1160.5,2022-11-04,4789
1198.0,1198.0,1109.6,1146.95,2022-11-07,3290
1190.7,1190.7,1107.05,1125.15,2022-11-09,4930
1120.5,1179.0,1101.0,1110.4,2022-11-10,3303
1144.0,1149.0,1102.05,1115.2,2022-11-11,1749
1143.0,1143.0,1095.0,1112.85,2022-11-14,2583
1135.15,1144.0,1107.6,1124.65,2022-11-15,1311
1111.05,1149.0,1052.15,1139.95,2022-11-16,8660
1153.9,1153.9,1088.05,1092.85,2022-11-17,8509
1095.0,1118.25,1067.0,1093.55,2022-11-18,4940
1100.85,1104.95,1078.0,1082.2,2022-11-21,1428
1099.95,1100.0,1055.5,1062.8,2022-11-22,2073
1056.0,1079.9,1050.0,1054.9,2022-11-23,2857
1048.9,1099.0,1044.65,1078.35,2022-11-24,3644
1107.0,1107.0,1050.0,1058.85,2022-11-25,3564
1093.0,1093.0,1000.0,1009.45,2022-11-28,15900
1039.0,1091.0,1000.0,1066.45,2022-11-29,5209
1064.95,1108.65,1049.65,1078.95,2022-11-30,3414
1084.9,1101.55,1030.0,1045.65,2022-12-01,10036
1085.0,1085.0,1045.5,1077.15,2022-12-02,2200
1099.0,1100.0,1052.7,1082.65,2022-12-05,2877
1098.0,1098.0,1069.95,1077.5,2022-12-06,1031
1065.1,1081.7,1055.0,1062.6,2022-12-07,1061
1061.85,1077.9,1055.0,1059.3,2022-12-08,1393
1054.55,1065.5,1036.75,1049.15,2022-12-09,1461
1052.4,1071.95,1040.0,1047.85,2022-12-12,1196
1048.1,1055.95,1040.1,1050.65,2022-12-13,1149
1042.95,1042.95,974.4,1019.3,2022-12-14,5796
1036.3,1052.5,1002.6,1021.2,2022-12-15,2256
1004.05,1033.45,1004.05,1022.8,2022-12-16,1779
1035.0,1035.9,1020.0,1021.25,2022-12-19,518
1032.9,1055.0,1010.0,1028.85,2022-12-20,1923
1048.0,1048.0,992.25,1009.55,2022-12-21,4783
1020.0,1039.0,990.0,1024.15,2022-12-22,2135
984.0,1040.3,960.1,983.75,2022-12-23,3834
975.1,1027.45,955.9,977.2,2022-12-26,5915
990.85,995.0,966.3,970.15,2022-12-27,5678
977.7,987.0,963.75,980.3,2022-12-28,4460
980.3,980.3,958.15,963.2,2022-12-29,7063
977.5,1029.65,972.85,1022.0,2022-12-30,8695
1039.4,1039.4,1001.0,1018.75,2023-01-02,3763
1029.0,1029.0,1005.1,1019.35,2023-01-03,3203
998.55,1025.55,998.55,1018.55,2023-01-04,2974
1022.1,1085.95,1021.85,1064.45,2023-01-05,6351
1073.9,1073.9,1025.0,1026.9,2023-01-06,1983
1064.0,1064.0,1022.8,1029.1,2023-01-09,1495
1035.3,1054.95,1014.55,1027.8,2023-01-10,5153
1025.15,1039.3,1011.05,1025.15,2023-01-11,1963
1008.0,1045.0,1008.0,1037.25,2023-01-12,988
1049.9,1074.0,1010.6,1050.5,2023-01-13,1754
1060.5,1060.5,1015.25,1047.2,2023-01-16,2002
1077.0,1077.0,1024.55,1067.05,2023-01-17,1837
1054.95,1079.0,1050.1,1061.85,2023-01-18,1405
1052.05,1058.9,1028.6,1044.25,2023-01-19,1578
1040.25,1040.25,985.0,1001.5,2023-01-20,5157
1024.0,1024.0,960.0,973.1,2023-01-23,6416
977.05,985.45,950.0,959.45,2023-01-24,3477
959.45,984.7,932.2,942.15,2023-01-25,5383
955.05,979.0,894.85,906.95,2023-01-27,10130
924.0,948.0,895.45,905.4,2023-01-30,10536
919.0,1024.0,918.95,1009.1,2023-01-31,11089
1024.0,1049.0,957.3,966.05,2023-02-01,4983
980.55,1024.0,971.25,978.6,2023-02-02,2844
970.0,995.95,902.7,980.55,2023-02-03,6173
995.25,1019.0,964.8,1005.5,2023-02-06,6404
976.25,1019.0,976.25,1010.6,2023-02-07,3125
1003.1,1029.9,1003.1,1019.7,2023-02-08,3318
1033.0,1033.0,951.55,984.0,2023-02-09,2694
997.5,1079.65,984.1,1065.2,2023-02-10,22157
1074.95,1074.95,1021.4,1039.2,2023-02-13,3243
1072.5,1072.9,1022.65,1038.25,2023-02-14,4238
1053.25,1085.0,1027.1,1065.65,2023-02-15,3000
1059.95,1086.95,1054.45,1077.15,2023-02-16,2141
1051.2,1080.0,1021.7,1056.6,2023-02-17,2404
1052.0,1052.0,1025.0,1034.3,2023-02-20,1421
1035.25,1044.3,1011.2,1022.6,2023-02-21,1750
1033.75,1038.0,1005.0,1025.25,2023-02-22,7049
1039.95,1040.0,985.0,997.1,2023-02-23,4928
1000.0,1020.0,965.0,976.8,2023-02-24,4162
1014.0,1014.0,944.0,967.6,2023-02-27,10234
984.1,994.3,914.0,937.0,2023-02-28,3844
959.0,965.9,916.05,942.25,2023-03-01,3610
965.0,999.0,956.7,990.05,2023-03-02,4622
1023.0,1069.0,986.0,1053.15,2023-03-03,6982
1079.0,1111.9,1021.05,1100.75,2023-03-06,8434
1070.0,1188.65,1070.0,1172.8,2023-03-08,16688
1165.0,1193.8,1155.0,1177.15,2023-03-09,8083
1147.5,1179.95,1130.1,1137.5,2023-03-10,7431
1149.0,1149.0,1062.15,1093.05,2023-03-13,4575
1076.65,1099.0,1020.0,1034.4,2023-03-14,2714
1051.05,1081.4,1011.0,1031.45,2023-03-15,2570
1057.25,1057.25,995.0,1013.1,2023-03-16,5297
1033.5,1062.4,1000.1,1022.75,2023-03-17,9050
1000.2,1019.65,990.95,1007.9,2023-03-20,3628
1016.15,1064.0,1016.15,1051.65,2023-03-21,5491
1094.0,1102.9,1063.0,1098.05,2023-03-22,4472
1101.35,1169.65,1092.05,1117.4,2023-03-23,9679
1167.7,1167.7,1056.15,1063.9,2023-03-24,2257
1080.0,1080.0,1014.05,1053.2,2023-03-27,3305
1056.6,1056.6,990.0,1011.6,2023-03-28,5056
1044.95,1069.8,1007.05,1039.3,2023-03-29,5144
1074.4,1074.4,1013.65,1027.2,2023-03-31,5458
1049.0,1049.0,1016.05,1036.35,2023-04-03,3427
1088.5,1088.5,1013.75,1029.8,2023-04-05,5443
1049.0,1049.0,1008.85,1014.45,2023-04-06,3312
1044.0,1074.0,1002.15,1056.25,2023-04-10,8812
1074.0,1094.0,1020.05,1078.6,2023-04-11,6388
1110.0,1110.0,1060.05,1089.15,2023-04-12,3058
1099.0,1109.0,1038.8,1044.8,2023-04-13,9557
1074.0,1094.0,1033.65,1078.25,2023-04-17,3061
1056.65,1119.1,1056.65,1100.55,2023-04-18,5163
1122.6,1122.6,1086.2,1098.55,2023-04-19,3677
1055.05,1105.0,1055.05,1092.85,2023-04-20,4667
1082.1,1100.0,1061.0,1074.05,2023-04-21,1193
1079.1,1104.0,1068.85,1095.45,2023-04-24,3088
1094.1,1111.0,1080.05,1103.15,2023-04-25,4858
1092.75,1103.0,1081.65,1092.25,2023-04-26,2905
1119.9,1119.9,1086.45,1100.7,2023-04-27,1789
1095.9,1109.95,1086.1,1101.95,2023-04-28,2873
1120.95,1120.95,1040.0,1079.15,2023-05-02,5595
1087.0,1098.0,1062.9,1094.55,2023-05-03,2445
1097.7,1124.0,1086.45,1112.45,2023-05-04,4879
1119.0,1119.0,1083.25,1097.35,2023-05-05,2818
1097.7,1101.0,1090.1,1099.0,2023-05-08,2688
1101.0,1131.0,1070.15,1096.9,2023-05-09,4773
1146.9,1250.0,1101.0,1195.85,2023-05-10,90147
1198.9,1318.5,1187.95,1296.95,2023-05-11,56295
1300.0,1393.95,1265.7,1386.5,2023-05-12,58755
1390.0,1437.25,1361.2,1392.85,2023-05-15,31458
1388.95,1407.15,1351.0,1379.75,2023-05-16,89908
1399.0,1400.0,1274.6,1355.35,2023-05-17,22563
1382.5,1399.0,1344.95,1367.7,2023-05-18,10564
1375.0,1409.8,1354.0,1363.2,2023-05-19,9367
1379.0,1379.0,1300.0,1336.75,2023-05-22,11326
1778.95,1829.1,1725.0,1829.1,2023-08-16,28299
1844.05,1920.55,1831.5,1920.25,2023-08-17,26158
1934.0,1937.6,1838.0,1852.65,2023-08-18,10050
1869.0,1870.0,1810.0,1823.3,2023-08-21,7845
1848.0,1897.4,1820.15,1877.35,2023-08-22,16474
1896.9,1896.9,1828.05,1864.7,2023-08-23,5151
1860.0,1907.9,1849.4,1877.8,2023-08-24,12450
1877.8,1895.85,1832.15,1846.6,2023-08-25,3754
1840.0,1914.9,1840.0,1895.05,2023-08-28,4678
1899.0,1909.0,1856.1,1870.85,2023-08-29,4193
1884.0,1898.35,1862.45,1869.1,2023-08-30,2370
1852.0,1905.8,1852.0,1901.3,2023-08-31,6543
1900.15,1989.0,1861.0,1947.2,2023-09-01,23251
1969.0,1999.0,1952.55,1964.7,2023-09-04,6778
1972.85,1995.0,1922.55,1988.4,2023-09-05,7771
1999.0,1999.0,1889.0,1889.0,2023-09-06,11803
1890.0,1906.95,1810.0,1860.65,2023-09-07,13360
1870.0,1884.0,1828.0,1832.3,2023-09-08,3576
1832.3,1865.0,1814.0,1830.15,2023-09-11,5339
1831.5,1836.0,1760.0,1783.8,2023-09-12,14076
1750.0,1809.85,1732.0,1773.4,2023-09-13,16707
1790.0,1862.05,1751.0,1856.95,2023-09-14,28793
1847.05,1855.0,1815.1,1826.35,2023-09-15,3797
1849.0,1849.0,1798.0,1801.35,2023-09-18,8095
1787.0,1829.0,1780.0,1815.65,2023-09-20,3326
1822.35,1832.4,1798.0,1810.1,2023-09-21,9821
1819.0,1819.0,1800.0,1800.4,2023-09-22,3233
1813.25,1890.4,1800.0,1890.4,2023-09-25,15500
1901.55,1984.9,1879.85,1984.9,2023-09-26,24668
2067.75,2084.1,2020.15,2084.1,2023-09-27,14707
2098.0,2174.8,2055.05,2093.0,2023-09-28,20544
2093.0,2109.0,2050.0,2083.3,2023-09-29,5112
2032.0,2156.7,2032.0,2130.0,2023-10-03,9761
2138.95,2219.0,2111.1,2194.3,2023-10-04,19201
2214.0,2229.0,2101.1,2144.3,2023-10-05,5371
2158.05,2251.5,2148.05,2251.25,2023-10-06,27517
2250.0,2345.0,2178.0,2322.0,2023-10-09,19689
2339.0,2369.0,2315.05,2349.9,2023-10-10,18512
2384.95,2384.95,2285.8,2306.4,2023-10-11,7253
2339.55,2339.55,2259.05,2272.8,2023-10-12,2794
2299.0,2299.0,2178.3,2232.3,2023-10-13,7067
2249.0,2249.0,2192.0,2238.2,2023-10-16,4559
2259.0,2301.0,2210.9,2263.1,2023-10-17,7864
2260.0,2292.0,2232.8,2255.7,2023-10-18,10666
2250.95,2290.0,2205.05,2253.3,2023-10-19,6864
2264.0,2264.0,2220.0,2221.0,2023-10-20,6252
2309.95,2309.95,2160.0,2171.5,2023-10-23,6667
2199.0,2208.0,2062.95,2071.95,2023-10-25,8451
2099.0,2139.0,1968.35,2118.65,2023-10-26,8503
2115.1,2159.9,2065.55,2114.9,2023-10-27,4410
2157.15,2157.2,2060.0,2133.55,2023-10-30,3656
2164.0,2164.0,2102.1,2153.2,2023-10-31,3164
2152.55,2212.05,2146.35,2202.0,2023-11-01,8004
2214.0,2235.0,2152.45,2211.45,2023-11-02,49527
2213.6,2260.05,2166.85,2206.75,2023-11-03,13088
2175.0,2210.85,2125.15,2146.85,2023-11-06,4810
2155.55,2171.9,2130.35,2152.9,2023-11-07,3391
2112.0,2200.0,2100.0,2190.6,2023-11-08,7132
2199.0,2209.0,2117.35,2163.4,2023-11-09,3312
2061.0,2127.95,2055.25,2076.3,2023-11-10,10531
2109.0,2180.1,2076.0,2142.75,2023-11-12,5821
2158.0,2158.0,2114.35,2142.25,2023-11-13,4642
2140.1,2159.0,2125.2,2148.15,2023-11-15,3667
2160.0,2160.0,2090.0,2104.15,2023-11-16,10884
2129.0,2170.65,2080.0,2095.15,2023-11-17,6940
2119.0,2119.0,2050.0,2085.5,2023-11-20,6450
2113.0,2179.0,2082.5,2153.9,2023-11-21,13788
