open,high,low,close,date,volume
1746.95,1754.0,1700.0,1714.25,2022-09-29,50733
1710.0,1749.45,1700.0,1741.25,2022-09-30,75493
1743.0,1753.95,1725.55,1740.3,2022-10-03,40546
1755.0,1760.35,1734.95,1746.6,2022-10-04,42806
1750.0,1788.75,1750.0,1761.6,2022-10-06,59699
1770.45,1770.45,1730.0,1733.65,2022-10-07,37233
1715.0,1724.0,1703.1,1709.55,2022-10-10,49813
1724.4,1732.95,1650.0,1654.4,2022-10-11,87481
1661.0,1675.0,1620.0,1651.5,2022-10-12,51977
1658.5,1667.95,1631.0,1638.4,2022-10-13,38750
1674.0,1687.8,1600.0,1650.15,2022-10-14,71997
1636.0,1658.85,1630.0,1632.55,2022-10-17,35233
1640.75,1653.95,1630.0,1633.8,2022-10-18,41101
1635.0,1647.95,1622.0,1631.65,2022-10-19,26980
1631.0,1714.0,1616.7,1694.4,2022-10-20,72278
1692.0,1694.0,1650.0,1671.8,2022-10-21,80675
1680.0,1749.9,1680.0,1739.35,2022-10-24,60469
1750.0,1764.95,1725.0,1736.35,2022-10-25,44249
1739.7,1740.0,1640.0,1654.75,2022-10-27,54658
1664.5,1696.95,1640.7,1685.35,2022-10-28,54621
1693.8,1704.0,1685.0,1688.4,2022-10-31,23308
1695.0,1699.0,1671.1,1687.75,2022-11-01,29305
1687.75,1696.95,1670.0,1676.65,2022-11-02,23094
1656.2,1678.1,1655.0,1661.2,2022-11-03,18707
1669.55,1689.9,1656.0,1686.65,2022-11-04,26298
1690.0,1697.0,1675.0,1681.65,2022-11-07,23479
1681.65,1689.65,1650.0,1658.3,2022-11-09,25499
1653.7,1662.95,1631.25,1643.15,2022-11-10,23876
1665.0,1700.0,1644.95,1655.3,2022-11-11,87244
1665.0,1669.3,1641.0,1646.45,2022-11-14,48121
1655.0,1666.95,1619.65,1626.95,2022-11-15,48762
1635.1,1647.95,1608.0,1618.7,2022-11-16,39496
1617.0,1634.0,1602.15,1627.25,2022-11-17,23299
1632.15,1642.2,1490.15,1538.6,2022-11-18,464691
