open,high,low,close,date,volume
407.2,413.0,388.1,402.75,2022-09-29,2506040
399.75,412.0,389.05,407.9,2022-09-30,2770308
407.75,424.0,405.1,415.15,2022-10-03,2911717
417.6,421.3,412.05,413.5,2022-10-04,1648564
416.6,430.3,412.6,426.3,2022-10-06,4211279
428.55,428.55,410.05,416.0,2022-10-07,1993097
407.95,412.8,405.0,410.75,2022-10-10,549328
411.0,413.9,408.5,410.75,2022-10-11,1388503
409.0,421.95,407.5,420.7,2022-10-12,1190107
420.0,435.9,414.05,429.15,2022-10-13,3306834
430.0,436.8,424.65,427.75,2022-10-14,986280
427.45,435.0,417.0,419.5,2022-10-17,1166622
424.35,424.35,404.2,407.45,2022-10-18,1679325
420.5,420.5,401.1,405.5,2022-10-19,1619569
404.5,422.0,389.1,413.6,2022-10-20,9783251
409.0,419.25,406.95,411.0,2022-10-21,2141135
413.8,414.5,409.05,411.55,2022-10-24,73382
413.7,427.5,409.55,424.85,2022-10-25,1705603
416.4,444.0,416.25,419.0,2022-10-27,4810265
421.25,434.85,421.25,430.35,2022-10-28,1464174
433.7,460.0,426.85,456.3,2022-10-31,3989852
457.9,470.0,447.6,457.8,2022-11-01,3595164
460.1,482.8,458.05,464.75,2022-11-02,5957403
467.1,476.4,453.65,462.05,2022-11-03,3421138
464.7,467.75,459.0,462.85,2022-11-04,3357290
466.9,467.5,452.0,457.0,2022-11-07,1617715
465.0,469.0,454.5,458.25,2022-11-09,2879285
459.9,460.95,453.2,459.75,2022-11-10,1104547
465.0,465.5,441.05,445.1,2022-11-11,1025869
448.3,449.5,440.5,442.6,2022-11-14,895078
442.0,442.0,431.25,433.15,2022-11-15,2359680
435.4,435.4,412.55,424.8,2022-11-16,4733324
425.9,435.5,410.5,418.1,2022-11-17,3709065
426.0,429.4,417.4,426.3,2022-11-18,2601305
428.0,441.7,427.1,432.85,2022-11-21,5763831
436.9,441.8,430.2,439.35,2022-11-22,4565741
440.3,442.35,429.9,432.85,2022-11-23,2677658
432.85,443.35,429.1,436.15,2022-11-24,3092254
438.0,451.45,426.15,431.05,2022-11-25,2323656
432.65,444.8,429.5,439.6,2022-11-28,1945104
442.25,450.5,441.1,442.9,2022-11-29,1992295
445.8,454.0,439.2,450.1,2022-11-30,2776754
450.5,458.0,448.05,452.3,2022-12-01,2737715
452.8,452.8,445.05,447.5,2022-12-02,806478
451.25,452.15,435.2,437.6,2022-12-05,1170296
430.0,442.7,430.0,438.7,2022-12-06,650965
441.6,446.5,436.25,438.35,2022-12-07,1824917
439.95,439.95,429.05,432.6,2022-12-08,1401737
436.15,439.1,429.5,432.7,2022-12-09,974836
431.0,441.2,420.8,432.9,2022-12-12,1904838
433.5,434.95,425.2,429.7,2022-12-13,2783397
430.2,434.5,428.45,431.85,2022-12-14,1161594
433.0,439.7,430.25,433.45,2022-12-15,1707591
430.3,436.2,423.35,426.95,2022-12-16,1314423
427.0,432.7,418.6,424.6,2022-12-19,1120013
423.25,440.0,422.65,438.25,2022-12-20,2061305
441.45,449.4,435.0,439.55,2022-12-21,1782044
442.5,450.9,437.05,447.2,2022-12-22,2223868
447.0,447.2,427.3,432.4,2022-12-23,837210
435.0,447.2,426.6,445.55,2022-12-26,923446
446.95,449.65,435.2,437.7,2022-12-27,652315
439.5,439.8,433.2,438.0,2022-12-28,379336
437.9,460.0,430.05,454.25,2022-12-29,2053817
453.55,456.95,435.35,439.55,2022-12-30,1406557
