open,high,low,close,date,volume
491.95,495.9,481.0,489.75,2022-09-29,79654
488.85,491.9,481.05,488.55,2022-09-30,25959
491.0,499.0,483.5,485.65,2022-10-03,75552
485.65,490.0,480.0,483.35,2022-10-04,45682
478.25,492.9,478.25,487.2,2022-10-06,28929
492.05,504.5,486.05,498.5,2022-10-07,96132
499.7,499.7,485.15,486.85,2022-10-10,34664
491.5,493.05,475.0,476.8,2022-10-11,69528
479.2,483.2,470.55,475.45,2022-10-12,24138
477.85,486.6,475.1,479.65,2022-10-13,66743
482.05,485.3,475.15,476.5,2022-10-14,28565
478.0,486.9,472.3,476.45,2022-10-17,18231
479.0,483.9,476.0,477.7,2022-10-18,14952
475.5,484.5,475.25,479.9,2022-10-19,107631
482.0,482.0,469.6,474.7,2022-10-20,38158
482.0,482.0,472.0,472.9,2022-10-21,15272
489.95,489.95,475.05,481.8,2022-10-24,7391
484.0,484.0,460.0,463.65,2022-10-25,30095
465.0,476.9,465.0,472.25,2022-10-27,28650
474.9,476.8,468.4,472.45,2022-10-28,20583
472.55,476.85,465.7,467.55,2022-10-31,19512
468.0,494.0,463.85,484.7,2022-11-01,75254
487.0,493.0,481.0,488.0,2022-11-02,21017
488.0,495.2,480.1,481.75,2022-11-03,31922
481.1,485.35,475.0,476.9,2022-11-04,22632
479.0,483.95,475.0,478.85,2022-11-07,15062
481.0,481.9,470.7,474.25,2022-11-09,36607
476.6,479.0,470.1,470.85,2022-11-10,132229
473.25,487.0,467.65,475.35,2022-11-11,32628
472.0,477.15,443.95,449.4,2022-11-14,497137
447.5,448.4,415.0,429.7,2022-11-15,296637
431.0,445.0,425.0,426.8,2022-11-16,171546
428.95,430.95,417.35,426.4,2022-11-17,64330
428.55,445.6,421.05,440.65,2022-11-18,55354
433.0,442.5,428.75,439.35,2022-11-21,117709
438.9,438.9,425.0,429.0,2022-11-22,30022
425.0,444.0,425.0,441.35,2022-11-23,97599
443.6,456.0,440.05,453.0,2022-11-24,26485
455.3,467.45,444.25,447.7,2022-11-25,59726
449.95,449.95,435.1,442.3,2022-11-28,37980
444.5,456.0,442.35,446.0,2022-11-29,172541
