open,high,low,close,date,volume
401.0,424.65,390.55,415.3,2022-11-16,49322680
417.0,455.7,410.35,417.65,2022-11-17,10749576
417.35,422.8,406.65,414.15,2022-11-18,3521333
413.8,431.95,407.25,429.75,2022-11-21,3295433
428.0,438.9,424.0,435.5,2022-11-22,2071829
437.9,457.45,435.5,450.9,2022-11-23,2598455
453.9,487.75,442.0,460.15,2022-11-24,5041987
462.45,469.0,450.25,451.8,2022-11-25,1228238
452.0,474.7,451.05,471.3,2022-11-28,1989168
471.95,479.5,462.05,464.3,2022-11-29,706270
466.9,468.5,452.0,462.25,2022-11-30,771921
465.0,467.9,453.6,459.2,2022-12-01,640775
459.0,464.7,455.0,457.45,2022-12-02,305648
459.75,469.0,452.55,456.45,2022-12-05,412743
455.0,462.4,454.75,456.65,2022-12-06,303908
454.4,475.7,452.1,465.55,2022-12-07,1038513
467.8,475.0,463.25,467.55,2022-12-08,664619
467.0,474.85,457.0,463.25,2022-12-09,652364
460.0,461.3,437.0,455.25,2022-12-12,1436443
455.25,459.25,449.5,450.25,2022-12-13,721197
450.0,455.8,449.05,450.45,2022-12-14,326847
448.5,453.4,443.2,447.65,2022-12-15,393300
444.8,451.4,430.1,446.5,2022-12-16,596093
445.95,448.3,441.45,445.25,2022-12-19,207141
440.1,455.4,440.1,446.9,2022-12-20,538384
448.0,449.95,444.3,447.25,2022-12-21,432371
449.5,461.0,444.5,446.9,2022-12-22,769881
446.6,455.05,435.0,444.55,2022-12-23,854686
446.8,461.9,445.15,458.4,2022-12-26,438840
460.0,472.5,456.25,459.1,2022-12-27,475791
460.8,466.0,455.2,459.65,2022-12-28,186297
460.95,468.0,456.25,465.9,2022-12-29,336105
465.9,484.8,464.15,468.8,2022-12-30,550986
470.0,476.85,456.1,460.1,2023-01-02,237206
460.1,464.4,456.2,458.9,2023-01-03,124657
460.95,465.95,449.5,455.55,2023-01-04,281391
452.5,473.8,452.5,470.7,2023-01-05,432603
470.9,470.9,456.0,457.3,2023-01-06,139126
459.6,462.0,452.4,457.1,2023-01-09,135658
458.7,461.7,454.65,457.3,2023-01-10,136200
459.55,459.55,452.0,454.2,2023-01-11,128361
456.0,456.0,443.3,449.0,2023-01-12,280903
449.95,457.0,443.2,452.5,2023-01-13,195853
451.3,454.65,445.35,446.35,2023-01-16,84092
448.3,455.95,444.1,453.6,2023-01-17,204827
455.3,458.05,447.55,449.3,2023-01-18,114899
450.85,450.85,445.0,446.35,2023-01-19,71327
446.45,453.7,446.45,451.8,2023-01-20,113109
448.4,454.0,445.0,445.95,2023-01-23,96913
446.5,450.75,442.1,445.05,2023-01-24,126350
446.85,459.55,436.45,456.7,2023-01-25,473445
457.9,459.0,435.0,437.55,2023-01-27,325757
426.15,448.0,426.15,442.0,2023-01-30,179116
432.15,447.95,432.15,444.05,2023-01-31,121056
447.7,452.4,426.25,430.4,2023-02-01,169724
432.6,445.7,431.6,439.9,2023-02-02,182043
442.1,443.7,432.15,438.45,2023-02-03,96034
439.75,450.0,435.3,442.6,2023-02-06,182067
442.95,449.9,440.8,447.45,2023-02-07,228071
450.35,459.55,447.55,456.1,2023-02-08,298300
447.4,455.7,447.4,449.95,2023-02-09,673790
449.95,463.8,448.05,454.8,2023-02-10,873473
455.95,460.0,451.0,456.75,2023-02-13,365348
460.0,463.9,454.2,457.1,2023-02-14,415579
456.7,462.7,454.5,459.75,2023-02-15,369902
462.0,510.0,459.2,503.8,2023-02-16,2453963
506.0,533.25,501.2,517.1,2023-02-17,2172175
514.0,533.7,508.2,517.55,2023-02-20,903141
518.0,522.75,503.3,508.0,2023-02-21,345662
502.95,507.25,481.5,485.35,2023-02-22,527683
487.8,497.6,483.15,492.2,2023-02-23,749623
494.7,515.7,485.0,505.25,2023-02-24,995426
505.25,517.95,492.0,494.9,2023-02-27,609479
497.4,525.95,495.0,520.7,2023-02-28,1593050
521.95,538.0,506.4,509.7,2023-03-01,1045012
510.95,516.55,499.5,501.85,2023-03-02,288493
504.4,512.25,501.8,504.8,2023-03-03,270812
