open,high,low,close,date,volume
938.0,938.0,860.55,905.75,2022-09-29,648825
899.1,922.2,876.55,916.05,2022-09-30,355620
910.2,968.95,892.3,934.75,2022-10-03,1174888
955.5,969.85,941.0,946.3,2022-10-04,469011
956.0,980.85,943.95,959.45,2022-10-06,554955
963.8,963.8,930.5,941.4,2022-10-07,271785
926.9,942.85,923.0,930.65,2022-10-10,120436
930.15,943.65,900.0,909.95,2022-10-11,192391
910.0,923.95,881.3,911.9,2022-10-12,412278
916.4,924.9,881.1,892.1,2022-10-13,273081
909.9,910.0,868.0,873.85,2022-10-14,265940
866.0,936.95,863.65,931.35,2022-10-17,595028
937.0,950.95,916.6,933.05,2022-10-18,484012
935.9,939.8,890.0,895.6,2022-10-19,464793
904.0,928.0,877.25,883.25,2022-10-20,775771
888.0,897.4,832.85,889.0,2022-10-21,645740
902.0,905.75,881.2,887.5,2022-10-24,71614
890.0,890.0,861.0,865.85,2022-10-25,123281
860.05,870.0,826.85,835.6,2022-10-27,462758
835.0,839.9,819.05,826.15,2022-10-28,304406
825.0,876.0,823.55,866.6,2022-10-31,363364
874.0,879.55,851.15,855.1,2022-11-01,173436
855.0,859.55,841.0,843.95,2022-11-02,121462
835.9,855.85,830.0,833.35,2022-11-03,187346
833.8,856.0,833.8,842.95,2022-11-04,158089
848.7,853.0,830.0,832.9,2022-11-07,113589
837.0,847.35,828.75,837.1,2022-11-09,109665
828.75,842.25,793.3,800.2,2022-11-10,183553
808.9,814.4,775.45,799.55,2022-11-11,282239
798.0,811.9,782.55,794.9,2022-11-14,110566
798.2,805.0,777.05,779.05,2022-11-15,107616
782.95,817.0,772.55,811.15,2022-11-16,421410
816.8,816.8,802.85,807.6,2022-11-17,146049
808.6,822.0,789.1,794.1,2022-11-18,207124
798.8,808.0,779.05,786.15,2022-11-21,156922
790.0,804.45,782.4,799.7,2022-11-22,98373
803.9,811.7,796.55,807.25,2022-11-23,79998
815.0,815.0,792.0,813.05,2022-11-24,180341
813.9,827.55,796.05,801.0,2022-11-25,145991
807.25,830.0,801.75,815.75,2022-11-28,207348
821.75,824.9,808.3,815.4,2022-11-29,159481
820.7,837.7,812.3,831.65,2022-11-30,204096
832.0,849.0,822.15,830.95,2022-12-01,137304
829.95,839.85,824.15,834.9,2022-12-02,72800
839.0,842.35,824.75,835.05,2022-12-05,88864
836.0,841.25,826.6,831.7,2022-12-06,41911
836.8,850.0,829.0,840.15,2022-12-07,128532
865.0,870.1,841.0,847.9,2022-12-08,279142
847.9,853.45,825.0,833.9,2022-12-09,128489
837.85,838.3,811.0,820.65,2022-12-12,63175
824.6,830.0,816.0,820.95,2022-12-13,42264
823.0,851.95,822.0,842.05,2022-12-14,339131
842.0,848.15,818.0,827.1,2022-12-15,56817
828.9,833.2,793.7,823.95,2022-12-16,179349
828.3,835.0,823.95,827.0,2022-12-19,60818
827.0,864.0,821.35,848.3,2022-12-20,340965
847.55,847.55,830.55,838.25,2022-12-21,139873
839.05,840.45,814.15,833.4,2022-12-22,110026
825.8,830.45,805.0,825.65,2022-12-23,153363
810.0,845.0,800.1,835.95,2022-12-26,65631
835.95,857.4,832.5,842.3,2022-12-27,61656
842.0,866.0,834.6,860.85,2022-12-28,92475
860.0,864.0,846.55,858.05,2022-12-29,98248
858.15,913.0,858.15,883.5,2022-12-30,730312
890.0,893.5,860.55,865.9,2023-01-02,202381
867.0,877.1,860.5,873.1,2023-01-03,142216
873.1,873.1,850.0,856.4,2023-01-04,78702
853.2,882.8,841.5,871.95,2023-01-05,173244
867.5,872.95,851.5,862.95,2023-01-06,120530
864.95,891.95,861.05,885.95,2023-01-09,179375
882.95,882.95,846.35,852.4,2023-01-10,137921
856.65,859.3,832.55,833.15,2023-01-11,80413
833.0,847.8,829.6,837.2,2023-01-12,67968
839.75,853.0,836.45,849.9,2023-01-13,45112
850.0,863.95,843.0,847.0,2023-01-16,54949
852.25,869.0,829.1,845.35,2023-01-17,501977
860.0,886.0,847.0,864.5,2023-01-18,435543
875.0,883.0,867.05,874.3,2023-01-19,144021
879.8,882.55,845.05,854.1,2023-01-20,240914
858.6,862.25,829.4,832.9,2023-01-23,96176
832.9,841.3,806.0,810.2,2023-01-24,140391
810.2,810.2,792.95,799.15,2023-01-25,308738
797.0,798.95,752.0,773.8,2023-01-27,679119
759.05,774.5,754.0,759.7,2023-01-30,113356
759.7,764.25,736.05,756.6,2023-01-31,200598
764.9,772.7,755.9,767.95,2023-02-01,79514
766.8,766.8,737.0,749.4,2023-02-02,110246
748.65,758.95,737.4,747.85,2023-02-03,56260
749.0,765.95,740.25,760.4,2023-02-06,97207
764.25,770.05,745.45,757.4,2023-02-07,52983
759.75,782.35,746.1,765.1,2023-02-08,92586
765.1,790.0,758.75,784.75,2023-02-09,69817
788.7,807.0,776.2,802.1,2023-02-10,116305
806.15,834.0,786.2,804.25,2023-02-13,138644
808.0,822.4,788.45,813.9,2023-02-14,178033
813.95,849.0,801.05,837.6,2023-02-15,199356
841.8,848.1,836.0,843.25,2023-02-16,116441
836.15,859.9,826.05,832.25,2023-02-17,186922
826.6,844.9,815.0,838.0,2023-02-20,169404
842.2,857.7,838.9,849.25,2023-02-21,98814
849.2,854.9,830.0,849.7,2023-02-22,176210
848.0,854.9,812.9,850.1,2023-02-23,155909
846.0,856.75,805.0,807.1,2023-02-24,225015
810.0,849.0,809.15,814.0,2023-02-27,418112
820.05,828.65,787.85,820.95,2023-02-28,226282
808.1,825.1,797.55,810.85,2023-03-01,186134
810.0,815.05,791.6,806.85,2023-03-02,146313
810.9,812.85,799.55,806.95,2023-03-03,103939
811.0,812.45,795.1,806.7,2023-03-06,181994
804.0,812.35,796.25,808.95,2023-03-08,232531
807.0,823.95,804.4,820.25,2023-03-09,392679
814.0,835.55,807.05,822.65,2023-03-10,162093
822.95,832.0,795.6,803.85,2023-03-13,131252
807.9,819.95,782.4,795.35,2023-03-14,197819
802.0,811.0,794.8,799.55,2023-03-15,61230
796.0,798.0,777.4,790.45,2023-03-16,84348
793.8,804.8,788.6,795.0,2023-03-17,118636
815.0,815.0,775.0,779.8,2023-03-20,68795
780.7,789.45,765.1,769.25,2023-03-21,225659
769.45,790.0,766.2,784.75,2023-03-22,95509
780.3,785.45,773.15,780.6,2023-03-23,91166
775.25,789.55,775.25,786.05,2023-03-24,69533
786.7,786.95,765.0,771.5,2023-03-27,92476
771.3,786.95,768.25,770.55,2023-03-28,74074
770.6,805.0,765.0,787.7,2023-03-29,177422
787.7,809.95,782.05,794.65,2023-03-31,203357
797.9,810.0,788.0,794.1,2023-04-03,52036
794.0,815.0,794.0,812.15,2023-04-05,78525
815.0,817.0,795.75,802.15,2023-04-06,43647
802.0,814.1,797.55,811.85,2023-04-10,50984
811.85,813.5,802.2,806.05,2023-04-11,94841
806.6,815.0,801.35,811.6,2023-04-12,42040
813.2,813.2,792.85,800.4,2023-04-13,50401
800.4,818.0,796.55,812.95,2023-04-17,65023
813.0,824.2,796.6,800.9,2023-04-18,71726
802.45,806.0,790.9,797.45,2023-04-19,143408
796.4,855.0,794.0,845.5,2023-04-20,621463
842.0,858.2,833.65,846.9,2023-04-21,225295
847.9,855.2,840.35,846.3,2023-04-24,164186
842.85,854.95,831.0,850.7,2023-04-25,209350
850.7,857.35,834.0,853.8,2023-04-26,193459
854.45,879.75,854.45,866.85,2023-04-27,196700
863.05,873.8,861.0,865.5,2023-04-28,454834
865.5,902.5,861.0,890.6,2023-05-02,310142
888.65,903.95,880.0,900.4,2023-05-03,121081
906.35,920.0,891.0,916.4,2023-05-04,141517
910.95,929.0,887.45,921.8,2023-05-05,219848
921.8,934.45,909.75,923.55,2023-05-08,80102
913.95,937.85,895.0,905.7,2023-05-09,100305
905.95,919.65,899.2,915.2,2023-05-10,64209
915.2,926.1,909.55,919.05,2023-05-11,87346
927.0,927.0,902.0,911.5,2023-05-12,54850
906.7,928.5,900.6,919.5,2023-05-15,57333
906.35,933.0,906.35,920.5,2023-05-16,45529
919.95,924.85,907.95,911.45,2023-05-17,47066
911.0,929.0,903.2,909.95,2023-05-18,134102
913.1,945.0,902.6,925.85,2023-05-19,258131
915.3,925.0,880.55,898.75,2023-05-22,137398
908.9,918.9,864.4,880.45,2023-05-23,182472
840.0,954.9,828.0,929.6,2023-05-24,1398002
935.0,977.4,921.35,969.6,2023-05-25,681132
963.0,964.1,942.75,950.05,2023-05-26,310644
950.5,961.4,928.75,958.2,2023-05-29,222887
957.55,991.1,950.0,968.65,2023-05-30,336725
963.45,984.55,946.15,958.1,2023-05-31,119949
958.15,979.0,957.7,971.1,2023-06-01,76330
977.0,1013.0,970.55,985.1,2023-06-02,325147
995.0,995.0,944.85,952.25,2023-06-05,118559
956.8,977.0,954.4,972.25,2023-06-06,109916
972.3,990.0,959.0,981.7,2023-06-07,151532
981.95,989.3,960.5,966.25,2023-06-08,61525
969.6,981.0,943.0,954.05,2023-06-09,61519
954.05,961.8,939.9,958.8,2023-06-12,90617
961.45,974.95,953.6,966.25,2023-06-13,81789
963.45,979.1,956.3,961.5,2023-06-14,50429
967.2,975.0,962.0,969.8,2023-06-15,80716
966.1,1007.5,964.05,979.85,2023-06-16,255850
985.9,1006.6,980.0,988.9,2023-06-19,138779
989.0,998.8,982.25,990.0,2023-06-20,46313
992.85,1032.85,992.85,1018.7,2023-06-21,319147
1018.7,1034.3,972.9,1004.3,2023-06-22,180638
1001.0,1003.8,951.0,967.3,2023-06-23,207937
960.0,975.0,956.0,959.75,2023-06-26,94948
967.0,1000.0,958.5,978.25,2023-06-27,171210
977.7,992.8,963.0,967.3,2023-06-28,86568
970.1,982.0,929.0,936.5,2023-06-30,194607
944.9,958.0,940.0,955.15,2023-07-03,95092
956.6,967.0,950.0,957.7,2023-07-04,71978
964.9,969.0,954.2,966.0,2023-07-05,59586
973.0,1003.0,960.25,998.05,2023-07-06,172457
997.9,1018.1,987.95,1014.15,2023-07-07,192796
1015.5,1019.9,994.65,1003.7,2023-07-10,66289
1003.35,1021.05,998.0,1014.4,2023-07-11,42234
1018.6,1032.0,1005.7,1024.75,2023-07-12,97266
1026.3,1080.0,1019.45,1061.65,2023-07-13,301148
1066.0,1090.0,1061.65,1076.4,2023-07-14,368019
1081.5,1090.3,1071.9,1087.55,2023-07-17,104631
1088.9,1098.8,1060.55,1071.8,2023-07-18,104979
1072.0,1089.95,1050.05,1057.8,2023-07-19,182034
1052.5,1071.2,1047.75,1055.35,2023-07-20,72039
1064.0,1091.0,1056.95,1086.45,2023-07-21,154037
1092.75,1093.25,1072.7,1084.2,2023-07-24,175699
1075.0,1085.4,1066.5,1074.4,2023-07-25,65195
1077.1,1110.0,1071.9,1094.85,2023-07-26,107079
1105.0,1107.45,1062.9,1068.45,2023-07-27,52674
1072.5,1076.05,1040.0,1044.5,2023-07-28,53816
1046.5,1058.25,1025.0,1034.0,2023-07-31,95857
1037.65,1065.0,1035.85,1041.25,2023-08-01,112947
1021.0,1108.0,982.55,1056.15,2023-08-02,882394
1056.15,1086.95,1047.7,1073.9,2023-08-03,145304
1081.2,1084.25,1046.45,1068.9,2023-08-04,107880
1075.3,1086.0,1060.1,1073.85,2023-08-07,51873
1076.55,1083.0,1065.0,1072.75,2023-08-08,72989
1075.0,1075.85,1055.0,1067.55,2023-08-09,44006
1070.6,1072.7,1031.1,1034.15,2023-08-10,135364
1035.1,1083.85,1035.1,1077.0,2023-08-11,137737
1069.0,1102.0,1065.95,1095.4,2023-08-14,122791
1090.0,1127.2,1074.0,1087.15,2023-08-16,95344
1089.95,1099.95,1082.05,1094.15,2023-08-17,102438
1094.2,1104.95,1075.05,1096.55,2023-08-18,82450
1100.0,1109.9,1055.55,1066.55,2023-08-21,150820
1069.55,1080.0,1034.0,1036.35,2023-08-22,129482
1045.0,1049.45,1023.0,1045.4,2023-08-23,107722
1048.25,1056.35,1000.65,1030.35,2023-08-24,227022
1030.25,1032.75,1011.15,1025.15,2023-08-25,90487
1027.0,1036.0,1015.8,1032.25,2023-08-28,53736
1034.25,1052.95,1022.2,1048.7,2023-08-29,104949
1048.65,1070.0,1031.8,1065.35,2023-08-30,126490
1066.95,1070.3,1033.25,1047.95,2023-08-31,141547
1047.95,1058.05,1038.0,1053.25,2023-09-01,52575
1055.55,1058.8,1023.9,1042.8,2023-09-04,136829
1042.8,1056.5,1032.05,1047.3,2023-09-05,99942
1047.3,1079.0,1038.5,1074.65,2023-09-06,91271
1079.35,1080.3,1057.2,1074.35,2023-09-07,69660
1074.35,1096.65,1061.05,1091.55,2023-09-08,176706
1094.7,1097.3,1052.35,1069.95,2023-09-11,59455
1075.0,1114.35,985.55,1085.55,2023-09-12,234833
1090.0,1096.35,1048.0,1077.35,2023-09-13,153850
1084.85,1092.45,1052.3,1067.35,2023-09-14,119460
1077.0,1089.1,1060.0,1084.45,2023-09-15,53592
1083.95,1105.0,1072.0,1099.4,2023-09-18,289667
1099.95,1104.55,1040.1,1097.75,2023-09-20,226102
1087.8,1102.9,1072.25,1086.4,2023-09-21,90660
1081.8,1108.85,1075.3,1091.0,2023-09-22,254400
1091.0,1097.55,1058.05,1067.7,2023-09-25,114812
1073.3,1095.95,1065.55,1092.1,2023-09-26,68701
1097.55,1120.0,1083.95,1099.4,2023-09-27,200067
1099.0,1100.05,1081.05,1088.1,2023-09-28,49083
1087.65,1149.8,1086.55,1126.25,2023-09-29,277644
1130.75,1298.8,1130.0,1265.4,2023-10-03,3960425
1229.95,1239.75,1180.0,1192.5,2023-10-04,737265
1199.95,1214.7,1173.0,1182.55,2023-10-05,200909
1184.0,1194.55,1135.0,1140.55,2023-10-06,206776
1138.9,1198.55,1117.5,1176.2,2023-10-09,395809
1176.95,1186.0,1156.95,1161.3,2023-10-10,128349
1166.95,1177.95,1160.05,1165.15,2023-10-11,78020
1169.9,1175.75,1146.1,1160.05,2023-10-12,52754
1160.0,1172.25,1135.15,1146.35,2023-10-13,98782
1149.9,1199.9,1147.0,1188.3,2023-10-16,106357
1198.8,1266.8,1195.65,1209.65,2023-10-17,320262
1213.7,1214.5,1189.55,1204.2,2023-10-18,93383
1206.9,1206.9,1178.95,1192.6,2023-10-19,41344
1145.0,1218.95,1144.95,1205.85,2023-10-20,498550
1217.0,1218.0,1180.0,1205.0,2023-10-23,533837
1203.95,1238.55,1190.15,1212.1,2023-10-25,163008
1209.3,1214.05,1112.2,1183.1,2023-10-26,330049
1175.0,1215.9,1171.0,1185.75,2023-10-27,87079
1189.95,1195.35,1171.15,1185.5,2023-10-30,39149
1190.65,1194.45,1165.0,1187.5,2023-10-31,47826
1176.7,1189.85,1161.65,1176.0,2023-11-01,70135
1181.05,1206.0,1160.5,1200.6,2023-11-02,85899
1200.05,1249.95,1193.0,1244.2,2023-11-03,157396
1250.0,1269.85,1218.6,1261.15,2023-11-06,126875
1262.15,1304.0,1243.0,1262.7,2023-11-07,221939
1262.65,1292.0,1251.0,1282.95,2023-11-08,55139
1284.3,1299.0,1265.05,1288.35,2023-11-09,47304
1287.95,1319.55,1270.2,1299.15,2023-11-10,117290
1307.95,1307.95,1269.95,1287.0,2023-11-12,15619
1286.95,1297.6,1254.1,1260.55,2023-11-13,61283
1267.2,1278.45,1231.7,1258.3,2023-11-15,89082
1261.75,1290.45,1248.0,1275.0,2023-11-16,52563
1268.0,1295.0,1260.0,1281.5,2023-11-17,83546
1289.0,1339.4,1286.8,1325.9,2023-11-20,149596
1336.0,1390.9,1330.0,1365.15,2023-11-21,184133
1369.9,1375.3,1334.35,1369.3,2023-11-22,119070
1373.45,1374.7,1340.55,1350.25,2023-11-23,32615
1349.85,1370.0,1336.15,1347.7,2023-11-24,30523
1350.0,1356.8,1290.0,1300.65,2023-11-28,140998
1313.0,1344.5,1303.85,1328.0,2023-11-29,86755
1395.0,1441.2,1350.0,1370.05,2023-11-30,1203821
1371.0,1395.35,1350.1,1375.75,2023-12-01,178321
1385.0,1392.0,1362.75,1381.35,2023-12-04,61312
1385.0,1404.95,1341.45,1349.3,2023-12-05,154027
1356.0,1376.25,1351.1,1366.7,2023-12-06,65016
1364.05,1364.05,1342.0,1347.8,2023-12-07,48351
1347.8,1363.05,1285.0,1294.6,2023-12-08,69125
1308.9,1328.85,1298.2,1314.25,2023-12-11,62106
1327.0,1359.95,1318.05,1343.65,2023-12-12,99978
1356.0,1356.0,1325.1,1333.7,2023-12-13,42160
1340.1,1350.9,1301.5,1313.8,2023-12-14,93076
1326.0,1350.75,1267.6,1309.5,2023-12-15,134726
1309.5,1350.0,1304.15,1323.7,2023-12-18,67258
1333.95,1354.0,1290.2,1316.75,2023-12-19,115811
1319.6,1336.65,1252.1,1267.85,2023-12-20,117839
1267.7,1325.9,1257.0,1314.35,2023-12-21,107565
1327.45,1327.5,1279.0,1299.6,2023-12-22,133970
1301.0,1322.2,1290.0,1297.9,2023-12-26,34702
1298.0,1309.0,1273.0,1276.3,2023-12-27,87422
1276.3,1293.5,1248.0,1252.9,2023-12-28,77061
1258.0,1279.4,1242.75,1272.2,2023-12-29,107436
