open,high,low,close,date,volume
135.55,138.0,130.0,132.25,2022-09-29,15340
136.8,136.8,132.5,134.95,2022-09-30,11663
137.95,137.95,131.05,134.95,2022-10-03,22201
136.9,136.9,131.6,133.7,2022-10-04,25800
135.8,139.6,135.0,139.0,2022-10-06,33717
141.9,158.25,137.1,154.0,2022-10-07,120171
153.0,153.0,141.0,149.0,2022-10-10,89386
150.0,150.1,142.0,143.2,2022-10-11,39487
143.5,146.8,141.0,141.95,2022-10-12,18588
141.0,141.0,137.05,139.25,2022-10-13,18829
143.9,145.45,139.75,141.9,2022-10-14,39091
141.9,144.0,139.05,143.3,2022-10-17,18815
143.1,154.85,142.15,149.05,2022-10-18,136985
150.0,150.9,147.0,148.8,2022-10-19,43570
147.0,154.0,145.3,151.8,2022-10-20,62983
154.95,155.3,146.3,146.85,2022-10-21,31179
149.95,154.0,145.8,148.15,2022-10-24,8460
149.0,149.45,145.35,148.75,2022-10-25,16110
148.5,153.2,145.0,150.75,2022-10-27,38162
150.25,153.0,147.05,150.0,2022-10-28,26193
150.0,150.75,145.0,145.7,2022-10-31,37061
147.75,147.9,142.65,143.55,2022-11-01,12298
144.25,149.9,140.75,141.2,2022-11-02,57116
140.95,143.25,139.0,142.4,2022-11-03,10000
142.15,145.0,141.35,144.35,2022-11-04,18243
146.8,146.8,141.35,143.2,2022-11-07,10129
145.0,145.9,138.55,139.7,2022-11-09,21180
139.25,140.45,137.5,138.45,2022-11-10,10012
141.7,144.0,139.85,141.65,2022-11-11,35928
142.8,148.45,139.8,140.7,2022-11-14,32340
143.0,143.0,137.5,138.4,2022-11-15,17070
136.25,139.0,136.0,136.75,2022-11-16,12612
138.0,138.4,133.0,135.85,2022-11-17,19270
137.8,137.8,134.0,134.75,2022-11-18,16153
134.0,136.75,133.95,135.35,2022-11-21,10591
134.75,136.8,133.2,135.95,2022-11-22,17259
135.95,142.95,134.5,141.3,2022-11-23,60050
142.95,142.95,139.6,140.5,2022-11-24,16292
142.7,142.7,137.5,138.5,2022-11-25,18403
141.6,141.6,137.9,138.75,2022-11-28,27760
138.5,139.75,133.0,137.2,2022-11-29,26740
138.0,138.0,135.3,136.25,2022-11-30,20255
138.0,142.9,136.15,140.85,2022-12-01,40606
142.0,142.4,138.4,139.65,2022-12-02,17052
140.05,143.95,137.05,141.3,2022-12-05,24470
140.25,141.25,139.05,140.55,2022-12-06,9057
140.55,140.55,134.3,138.95,2022-12-07,16154
139.8,140.25,136.8,139.8,2022-12-08,8997
141.0,143.0,138.3,139.95,2022-12-09,23599
143.7,143.7,138.55,140.2,2022-12-12,15718
139.05,140.0,135.05,137.3,2022-12-13,28269
139.45,139.45,136.05,137.4,2022-12-14,13945
138.8,139.75,135.55,137.4,2022-12-15,14258
141.0,141.0,135.9,137.85,2022-12-16,11667
136.45,141.9,135.5,136.0,2022-12-19,19031
137.9,137.9,135.1,135.6,2022-12-20,20068
136.4,138.6,135.0,135.1,2022-12-21,17666
135.6,137.65,123.7,127.95,2022-12-22,44593
127.0,127.95,112.0,115.2,2022-12-23,58157
113.85,138.2,112.0,132.0,2022-12-26,60703
133.8,134.8,127.3,131.8,2022-12-27,31538
130.0,136.9,130.0,135.75,2022-12-28,20198
134.9,138.95,133.25,136.8,2022-12-29,15157
139.0,139.25,135.35,137.9,2022-12-30,17205
138.0,140.0,135.5,139.55,2023-01-02,16151
138.95,142.4,137.35,138.95,2023-01-03,22623
139.8,140.15,137.25,137.75,2023-01-04,8439
136.3,139.6,135.85,138.2,2023-01-05,7964
138.25,139.5,137.05,138.3,2023-01-06,10535
138.7,142.9,137.8,141.7,2023-01-09,21638
138.5,140.4,136.1,137.75,2023-01-10,11432
140.5,141.4,135.65,138.5,2023-01-11,18267
139.5,140.75,137.0,139.4,2023-01-12,9567
140.0,143.25,138.05,138.9,2023-01-13,17957
137.5,139.7,135.0,137.85,2023-01-16,16758
137.75,139.0,136.5,138.0,2023-01-17,8904
138.0,139.9,136.15,137.5,2023-01-18,18407
137.5,143.0,135.4,141.4,2023-01-19,37489
143.5,145.0,140.2,143.3,2023-01-20,35323
144.0,144.95,140.4,142.9,2023-01-23,28171
142.4,145.0,139.25,141.95,2023-01-24,30263
143.4,143.4,138.5,140.9,2023-01-25,11972
140.9,141.85,130.4,135.2,2023-01-27,26084
135.2,135.2,130.0,130.9,2023-01-30,9612
131.1,134.3,129.55,132.45,2023-01-31,12454
133.0,134.4,127.1,128.45,2023-02-01,9989
131.55,131.55,123.7,124.2,2023-02-02,25690
125.85,134.2,122.5,124.3,2023-02-03,12318
126.8,127.0,121.05,126.2,2023-02-06,10179
125.0,126.95,124.0,124.95,2023-02-07,8820
125.75,134.7,125.75,130.8,2023-02-08,24980
131.8,135.0,130.1,133.15,2023-02-09,8231
132.5,134.8,129.3,130.15,2023-02-10,7283
130.4,133.9,126.65,127.0,2023-02-13,8354
123.5,130.0,123.5,127.2,2023-02-14,7846
127.2,127.9,124.6,125.45,2023-02-15,8172
125.5,127.95,123.0,123.95,2023-02-16,12750
124.75,125.85,119.95,121.7,2023-02-17,16618
121.2,124.7,120.9,121.85,2023-02-20,11697
121.85,122.0,119.05,120.45,2023-02-21,14952
120.05,120.4,117.0,117.8,2023-02-22,12188
116.85,118.75,114.0,114.7,2023-02-23,12703
117.0,117.0,113.0,114.15,2023-02-24,8138
114.8,114.8,110.0,110.2,2023-02-27,7947
112.8,118.0,109.05,115.65,2023-02-28,10098
115.6,117.75,113.35,114.1,2023-03-01,10692
116.0,116.0,112.05,114.45,2023-03-02,4930
116.5,119.0,113.05,117.55,2023-03-03,12577
118.9,123.0,118.4,121.2,2023-03-06,23952
120.75,121.75,119.4,120.05,2023-03-08,10042
119.25,120.55,115.1,116.55,2023-03-09,18631
116.6,118.8,115.05,117.95,2023-03-10,12244
116.1,117.95,114.8,115.9,2023-03-13,12489
115.6,117.55,112.6,113.0,2023-03-14,4773
116.55,116.55,111.55,112.7,2023-03-15,5740
112.1,113.9,110.55,112.7,2023-03-16,5725
114.8,114.8,111.25,112.5,2023-03-17,6692
113.8,113.85,108.5,110.2,2023-03-20,12465
110.7,112.5,110.0,110.7,2023-03-21,3458
112.35,117.85,108.0,113.75,2023-03-22,18368
113.8,119.5,112.6,116.7,2023-03-23,16024
117.9,117.9,112.0,112.15,2023-03-24,5511
113.8,113.8,108.5,109.35,2023-03-27,8879
110.0,110.9,103.0,105.6,2023-03-28,18749
107.7,107.7,104.0,104.55,2023-03-29,12396
106.3,108.2,102.5,103.5,2023-03-31,34113
106.7,107.0,100.0,102.6,2023-04-03,55144
104.65,114.55,104.0,112.15,2023-04-05,93205
112.85,115.75,112.55,113.75,2023-04-06,15323
117.0,117.0,113.05,115.3,2023-04-10,16813
115.7,119.6,115.0,115.05,2023-04-11,12714
115.0,128.75,114.05,119.8,2023-04-12,90420
122.75,127.35,120.75,125.8,2023-04-13,35975
128.5,128.5,119.05,122.5,2023-04-17,23380
122.3,126.2,119.0,120.65,2023-04-18,23306
124.5,126.95,120.7,123.0,2023-04-19,26015
124.9,126.8,123.05,124.75,2023-04-20,17826
124.7,130.9,124.1,125.85,2023-04-21,21263
125.85,125.95,121.8,122.25,2023-04-24,9730
120.6,124.5,120.25,122.9,2023-04-25,12560
121.4,123.4,118.0,118.25,2023-04-26,33681
119.15,122.65,118.25,121.65,2023-04-27,15550
120.3,123.8,120.3,122.0,2023-04-28,10884
121.1,122.35,118.55,119.65,2023-05-02,13850
120.0,120.0,118.05,118.9,2023-05-03,8357
119.85,120.05,116.55,117.55,2023-05-04,15749
119.65,119.65,117.35,117.8,2023-05-05,2392
117.1,127.45,117.1,124.4,2023-05-08,51222
126.8,126.8,122.55,125.1,2023-05-09,17228
123.25,123.5,121.5,121.8,2023-05-10,14964
125.0,125.0,120.35,120.8,2023-05-11,7858
121.1,123.0,120.4,121.4,2023-05-12,10832
121.5,122.0,120.25,120.85,2023-05-15,8680
122.7,122.7,119.25,120.75,2023-05-16,11552
