open,high,low,close,date,volume
338.7,343.5,329.0,336.35,2022-09-29,498423
336.4,338.35,327.0,333.7,2022-09-30,306804
329.9,333.0,323.1,325.65,2022-10-03,440087
329.65,341.5,329.1,337.55,2022-10-04,430406
337.55,354.0,337.55,342.55,2022-10-06,453027
345.0,348.0,340.0,345.1,2022-10-07,211863
338.0,344.0,331.2,334.4,2022-10-10,282497
337.7,344.1,330.6,334.15,2022-10-11,273459
337.8,341.45,325.2,331.55,2022-10-12,250100
331.55,354.0,325.0,346.55,2022-10-13,724036
354.9,354.95,332.25,336.5,2022-10-14,418349
339.2,339.2,331.2,333.8,2022-10-17,239343
337.55,343.8,333.3,339.45,2022-10-18,233536
343.0,359.9,341.0,345.5,2022-10-19,598740
341.5,351.8,339.35,348.8,2022-10-20,203517
349.8,354.6,332.0,336.1,2022-10-21,314802
347.0,347.0,338.8,339.75,2022-10-24,106656
340.6,342.9,334.3,336.55,2022-10-25,185615
340.75,340.75,311.0,323.8,2022-10-27,756975
324.8,329.9,317.0,319.35,2022-10-28,288324
315.75,320.3,287.75,303.25,2022-10-31,1004150
304.0,316.4,302.5,307.75,2022-11-01,539853
307.75,314.75,305.0,310.15,2022-11-02,202260
307.15,311.1,296.4,299.05,2022-11-03,432332
299.05,304.0,292.0,301.75,2022-11-04,315261
303.5,309.25,298.2,300.1,2022-11-07,211691
304.8,304.95,297.6,299.1,2022-11-09,206029
295.1,302.7,289.0,290.55,2022-11-10,220161
298.8,299.8,272.0,285.55,2022-11-11,694016
284.5,284.9,270.1,273.05,2022-11-14,487626
267.0,279.7,260.4,275.45,2022-11-15,674466
279.85,289.5,276.45,285.45,2022-11-16,544156
286.9,302.4,285.3,294.65,2022-11-17,690154
296.9,298.55,278.05,280.35,2022-11-18,476826
279.6,280.9,272.25,276.5,2022-11-21,258547
277.6,314.3,270.0,311.4,2022-11-22,1764839
310.0,322.0,302.1,318.35,2022-11-23,820465
318.35,329.5,308.1,310.55,2022-11-24,785420
312.0,319.5,312.0,316.25,2022-11-25,227047
316.25,318.6,308.2,309.85,2022-11-28,207741
308.85,311.4,298.0,299.35,2022-11-29,265597
298.0,314.7,293.3,310.95,2022-11-30,1118789
307.65,312.15,303.0,305.05,2022-12-01,317312
306.0,309.85,300.1,304.9,2022-12-02,222795
306.95,312.3,303.5,304.75,2022-12-05,164746
305.0,305.9,299.8,300.2,2022-12-06,122271
301.75,303.5,297.0,297.45,2022-12-07,140244
296.95,297.45,291.15,292.75,2022-12-08,166799
297.0,297.0,285.05,286.15,2022-12-09,155561
285.0,292.75,281.0,287.2,2022-12-12,179975
282.5,285.2,273.6,275.7,2022-12-13,450294
245.0,265.0,241.0,261.0,2022-12-14,1806224
261.3,271.0,250.1,251.95,2022-12-15,995755
251.9,260.0,245.25,250.35,2022-12-16,505584
255.0,265.5,250.0,259.55,2022-12-19,721827
260.85,264.55,252.35,254.75,2022-12-20,396760
258.0,260.0,242.0,245.05,2022-12-21,371272
248.0,250.6,231.1,238.3,2022-12-22,496386
235.0,235.9,224.55,228.25,2022-12-23,705214
222.35,239.95,218.2,230.1,2022-12-26,778257
231.3,257.9,231.3,241.5,2022-12-27,577326
242.9,246.85,238.9,242.2,2022-12-28,446826
242.0,250.0,238.0,244.35,2022-12-29,218174
246.9,253.25,243.05,247.4,2022-12-30,307175
247.95,249.5,240.95,243.9,2023-01-02,265514
243.95,247.35,241.1,244.65,2023-01-03,196762
244.65,245.2,237.65,238.5,2023-01-04,187871
239.65,241.8,232.7,236.0,2023-01-05,153323
236.2,237.9,230.25,232.8,2023-01-06,170768
235.45,235.95,229.4,230.25,2023-01-09,192534
230.25,230.9,222.0,223.65,2023-01-10,309278
224.8,227.85,219.0,219.65,2023-01-11,310358
219.75,242.4,219.7,236.85,2023-01-12,2260526
238.0,242.2,230.1,239.3,2023-01-13,604355
240.95,241.85,234.0,236.9,2023-01-16,301657
237.0,240.75,232.1,238.6,2023-01-17,234377
238.0,258.85,238.0,256.7,2023-01-18,1578719
255.1,257.65,245.0,247.8,2023-01-19,441043
248.8,256.4,247.7,253.25,2023-01-20,567703
254.8,254.8,241.0,243.15,2023-01-23,448769
244.4,248.45,240.4,245.5,2023-01-24,275082
245.65,246.5,236.0,239.1,2023-01-25,262298
240.75,242.9,228.35,231.5,2023-01-27,358786
234.95,234.95,221.0,222.85,2023-01-30,269037
224.9,253.0,224.3,241.9,2023-01-31,468152
244.3,261.5,232.0,242.4,2023-02-01,900078
242.8,252.3,239.6,243.95,2023-02-02,272927
245.2,249.55,235.1,240.4,2023-02-03,264305
242.85,245.3,232.35,234.05,2023-02-06,230618
234.75,236.5,225.6,227.05,2023-02-07,350608
228.4,234.8,225.85,231.05,2023-02-08,351101
231.35,233.1,224.0,225.85,2023-02-09,344621
223.0,231.6,223.0,225.9,2023-02-10,325727
228.0,234.0,221.75,226.2,2023-02-13,379645
245.0,261.45,242.0,257.7,2023-02-14,4534016
259.2,261.45,245.75,251.15,2023-02-15,797698
251.05,255.5,241.8,253.9,2023-02-16,839186
252.65,274.9,249.95,272.95,2023-02-17,3187844
275.0,284.2,273.75,281.7,2023-02-20,1603760
283.35,285.8,276.0,278.6,2023-02-21,685336
281.0,295.0,274.7,281.55,2023-02-22,3577433
284.5,291.0,276.25,288.5,2023-02-23,1274519
288.5,292.0,282.0,286.75,2023-02-24,593096
286.8,287.9,265.2,268.45,2023-02-27,707288
268.5,279.9,260.6,277.05,2023-02-28,817238
278.35,284.0,272.65,275.45,2023-03-01,713353
276.05,278.75,265.0,266.2,2023-03-02,547295
267.55,272.0,264.55,267.8,2023-03-03,700496
269.1,271.15,262.1,263.5,2023-03-06,521108
262.7,263.0,256.65,260.7,2023-03-08,436020
261.9,274.95,261.8,269.95,2023-03-09,1007196
267.5,269.95,262.25,267.35,2023-03-10,377419
264.0,268.9,252.15,255.85,2023-03-13,525876
257.25,264.5,254.05,261.3,2023-03-14,423358
265.15,268.2,259.65,262.45,2023-03-15,233460
263.75,263.75,253.55,256.25,2023-03-16,404633
266.0,280.95,266.0,277.8,2023-03-17,2300927
275.0,279.7,265.1,267.0,2023-03-20,704724
269.0,273.0,266.05,272.35,2023-03-21,666612
273.0,274.9,266.25,268.45,2023-03-22,550759
268.5,270.45,261.0,263.9,2023-03-23,323047
263.9,268.35,256.0,259.5,2023-03-24,571536
259.9,272.95,254.1,260.55,2023-03-27,903804
261.05,265.3,251.1,252.85,2023-03-28,1126262
35.8,42.0,35.7,41.6,2023-04-18,7143117
42.4,49.9,41.55,49.9,2023-04-19,9184580
53.8,54.85,52.85,54.85,2023-04-20,727925
60.3,60.3,55.95,60.3,2023-04-21,8527673
63.0,66.3,62.5,66.3,2023-04-24,4147967
69.6,69.6,69.6,69.6,2023-04-25,178041
73.05,73.05,73.05,73.05,2023-04-26,370708
72.95,72.95,69.4,69.4,2023-04-27,2057500
65.95,65.95,65.95,65.95,2023-04-28,160801
62.65,62.65,62.65,62.65,2023-05-02,146464
59.55,59.55,59.55,59.55,2023-05-03,128592
59.25,62.5,57.35,62.5,2023-05-04,8732595
63.9,65.6,63.25,65.6,2023-05-05,1152859
68.85,68.85,62.35,62.35,2023-05-08,4685545
60.35,63.65,59.25,60.85,2023-05-09,5039438
62.0,62.75,60.0,60.9,2023-05-10,791363
61.7,62.0,59.4,59.85,2023-05-11,898853
60.35,60.7,58.1,58.65,2023-05-12,655121
58.65,59.25,55.75,56.2,2023-05-15,1480171
56.9,59.0,56.0,59.0,2023-05-16,1502137
60.2,61.95,60.0,61.95,2023-05-17,1107494
