open,high,low,close,date,volume
1556.95,1578.8,1540.0,1567.05,2022-09-29,63949
1571.0,1593.85,1540.2,1583.7,2022-09-30,69943
1589.95,1589.95,1550.0,1559.55,2022-10-03,47842
1583.0,1614.25,1583.0,1595.05,2022-10-04,64219
1619.0,1652.0,1606.2,1635.2,2022-10-06,79691
1645.95,1657.95,1625.0,1633.3,2022-10-07,155310
1602.2,1663.55,1602.2,1653.35,2022-10-10,106019
1636.0,1650.0,1590.0,1610.8,2022-10-11,57551
1610.8,1627.3,1585.0,1608.9,2022-10-12,53049
1608.9,1618.85,1575.0,1577.9,2022-10-13,44070
1610.0,1615.45,1570.8,1586.5,2022-10-14,47070
1581.0,1599.0,1530.05,1579.2,2022-10-17,62007
1593.7,1613.95,1575.75,1588.4,2022-10-18,38168
1599.95,1643.45,1583.1,1598.35,2022-10-19,101397
1595.0,1642.2,1590.1,1634.95,2022-10-20,108381
1644.0,1644.0,1580.35,1587.1,2022-10-21,53305
1624.4,1632.0,1600.0,1624.1,2022-10-24,30536
1629.9,1629.9,1589.4,1599.2,2022-10-25,75551
1619.9,1637.0,1603.4,1615.05,2022-10-27,57290
1615.05,1625.4,1580.0,1585.4,2022-10-28,48008
1609.0,1617.95,1586.7,1604.8,2022-10-31,46583
1611.9,1643.95,1600.85,1612.8,2022-11-01,85986
1621.8,1645.0,1614.0,1631.9,2022-11-02,120507
1655.0,1697.45,1600.0,1608.2,2022-11-03,471939
1619.0,1633.1,1602.0,1605.35,2022-11-04,82754
1623.0,1623.0,1590.05,1595.3,2022-11-07,53135
1620.0,1620.0,1600.0,1603.0,2022-11-09,66778
1600.0,1600.0,1581.0,1586.45,2022-11-10,37094
1615.0,1616.4,1590.0,1596.25,2022-11-11,53465
1598.65,1610.0,1577.0,1584.25,2022-11-14,65002
1588.7,1588.95,1565.0,1570.4,2022-11-15,41424
1574.4,1580.25,1555.15,1562.5,2022-11-16,50072
1587.7,1587.7,1546.4,1557.75,2022-11-17,47842
1569.95,1571.95,1543.95,1551.35,2022-11-18,37374
1551.0,1554.95,1521.5,1533.1,2022-11-21,87083
1543.95,1556.95,1523.0,1526.15,2022-11-22,51846
1525.5,1539.75,1520.0,1535.3,2022-11-23,70474
1545.0,1607.8,1541.75,1596.85,2022-11-24,149400
1592.5,1618.0,1582.6,1585.95,2022-11-25,93059
1605.0,1619.1,1585.95,1615.0,2022-11-28,60342
1610.0,1634.5,1593.1,1606.35,2022-11-29,92434
1614.4,1615.95,1575.0,1586.65,2022-11-30,104636
1604.45,1608.95,1592.75,1600.45,2022-12-01,37141
1607.4,1750.0,1599.35,1737.8,2022-12-02,1259489
1751.5,1823.9,1751.0,1767.6,2022-12-05,699517
1754.95,1767.6,1716.0,1723.35,2022-12-06,139087
1705.1,1764.95,1705.1,1737.15,2022-12-07,192780
1745.9,1754.65,1702.0,1710.8,2022-12-08,81595
1719.8,1744.05,1665.0,1679.45,2022-12-09,128825
1687.0,1731.7,1665.1,1708.45,2022-12-12,128390
1727.0,1754.95,1701.05,1710.7,2022-12-13,99876
1716.0,1727.85,1700.0,1704.15,2022-12-14,136962
1708.0,1718.1,1676.0,1681.0,2022-12-15,50026
1683.6,1683.6,1632.0,1641.3,2022-12-16,93767
1643.0,1649.35,1622.55,1635.7,2022-12-19,108413
1635.0,1684.0,1621.0,1653.55,2022-12-20,104267
