open,high,low,close,date,volume
160.0,162.15,157.25,157.95,2022-09-29,9538
157.55,161.45,156.0,158.9,2022-09-30,26144
160.0,160.35,156.0,157.25,2022-10-03,12088
162.0,162.0,157.05,158.2,2022-10-04,21015
160.0,172.0,160.0,164.45,2022-10-06,49327
164.45,170.0,162.1,168.75,2022-10-07,17655
164.0,167.5,163.25,165.35,2022-10-10,13954
165.1,167.5,162.0,163.2,2022-10-11,12527
165.65,167.1,159.0,160.4,2022-10-12,11246
160.45,161.5,156.1,158.2,2022-10-13,14969
159.55,164.0,159.55,160.25,2022-10-14,15095
160.0,161.95,157.35,158.7,2022-10-17,7594
159.0,161.0,158.3,158.85,2022-10-18,14412
157.0,161.1,157.0,160.35,2022-10-19,18581
162.45,169.9,158.6,168.3,2022-10-20,64216
169.95,169.95,160.1,162.55,2022-10-21,22476
161.75,165.0,160.0,160.9,2022-10-24,13668
161.7,161.95,160.15,161.7,2022-10-25,8114
160.2,162.9,159.1,160.45,2022-10-27,13289
160.65,163.95,159.55,162.6,2022-10-28,19933
163.0,167.25,160.0,163.7,2022-10-31,28133
164.85,167.9,164.15,166.1,2022-11-01,20650
166.6,168.9,165.25,167.3,2022-11-02,19978
165.0,168.75,165.0,167.95,2022-11-03,10974
168.7,174.45,165.8,171.75,2022-11-04,27503
175.6,175.6,169.1,170.25,2022-11-07,13015
170.25,173.9,169.2,170.5,2022-11-09,21578
170.0,171.5,166.0,166.8,2022-11-10,16635
167.8,170.0,161.3,164.0,2022-11-11,20529
163.45,164.6,161.3,162.25,2022-11-14,10890
162.3,163.6,161.0,162.75,2022-11-15,10807
160.8,164.7,156.9,157.85,2022-11-16,41948
157.5,160.45,154.0,155.95,2022-11-17,19092
155.5,160.9,155.5,159.35,2022-11-18,19135
159.45,159.95,154.5,157.35,2022-11-21,14947
156.0,160.0,153.05,153.9,2022-11-22,26527
156.0,157.5,144.0,146.35,2022-11-23,94545
146.0,151.0,142.0,143.7,2022-11-24,62423
145.9,167.65,144.3,160.1,2022-11-25,252107
160.9,166.9,159.1,165.6,2022-11-28,105598
166.6,174.55,163.05,171.8,2022-11-29,118281
170.1,173.0,167.45,169.75,2022-11-30,33447
169.75,172.65,166.25,169.2,2022-12-01,29581
166.65,172.8,166.65,169.25,2022-12-02,36185
169.25,176.0,166.1,172.3,2022-12-05,25432
172.8,180.35,172.0,174.75,2022-12-06,62354
174.75,185.15,174.75,180.6,2022-12-07,117681
180.6,181.1,177.6,178.95,2022-12-08,27023
180.0,184.4,174.85,176.2,2022-12-09,142815
177.05,180.65,172.55,177.0,2022-12-12,17318
175.7,185.0,174.5,176.15,2022-12-13,110058
177.3,179.45,174.0,177.25,2022-12-14,23109
177.25,178.8,174.2,174.55,2022-12-15,12290
175.0,176.85,172.0,175.1,2022-12-16,26477
174.5,176.85,172.8,174.3,2022-12-19,19331
172.0,174.95,170.15,171.0,2022-12-20,12540
