open,high,low,close,date,volume
132.0,133.85,128.1,129.45,2022-09-29,209469
129.85,133.7,128.15,132.95,2022-09-30,378760
134.9,134.9,127.75,129.3,2022-10-03,314603
131.5,134.45,129.6,130.55,2022-10-04,286124
131.8,133.1,129.5,129.8,2022-10-06,334026
130.4,131.25,128.45,129.85,2022-10-07,196913
129.85,133.4,129.05,130.65,2022-10-10,283448
131.5,131.7,128.25,129.15,2022-10-11,211092
130.1,130.1,125.4,128.2,2022-10-12,323789
129.0,129.0,125.05,126.0,2022-10-13,161608
128.5,128.5,121.5,125.65,2022-10-14,738942
125.05,131.75,125.05,128.7,2022-10-17,613711
129.65,130.6,126.35,127.4,2022-10-18,167606
128.85,137.35,127.0,134.4,2022-10-19,1074475
133.75,134.4,132.15,133.2,2022-10-20,166695
133.8,135.15,132.2,133.3,2022-10-21,250826
135.0,137.2,134.25,135.75,2022-10-24,109834
136.45,136.95,132.4,135.0,2022-10-25,158247
136.0,139.9,134.4,138.6,2022-10-27,332628
138.05,140.0,135.55,136.65,2022-10-28,292553
139.45,141.5,136.9,139.6,2022-10-31,429612
139.4,143.0,137.1,138.2,2022-11-01,408634
138.55,141.0,136.4,140.05,2022-11-02,305268
139.7,142.5,137.8,141.8,2022-11-03,302205
142.3,144.8,141.0,143.2,2022-11-04,647771
143.2,145.0,143.2,143.8,2022-11-07,273619
144.4,145.4,140.3,142.5,2022-11-09,497717
142.0,146.5,119.9,122.9,2022-11-10,2662647
124.0,129.5,118.4,127.25,2022-11-11,2050217
126.6,128.4,122.55,125.6,2022-11-14,514582
126.65,127.7,123.5,127.2,2022-11-15,455462
127.0,129.65,126.0,126.7,2022-11-16,302904
126.7,131.9,126.4,131.2,2022-11-17,547128
131.0,131.0,127.7,128.4,2022-11-18,206439
129.0,129.85,125.25,126.35,2022-11-21,215625
127.0,129.15,125.15,126.7,2022-11-22,265648
127.8,128.0,124.1,125.0,2022-11-23,170749
125.9,127.3,124.1,126.1,2022-11-24,222082
126.1,126.9,124.7,125.15,2022-11-25,206688
125.7,127.25,124.85,125.65,2022-11-28,346892
126.5,127.85,125.05,125.65,2022-11-29,261302
125.9,128.25,125.7,126.25,2022-11-30,187670
126.85,127.95,125.4,126.65,2022-12-01,201273
126.15,129.5,126.15,128.6,2022-12-02,224226
129.7,131.4,127.8,130.0,2022-12-05,361563
130.75,131.3,128.8,130.1,2022-12-06,180089
130.0,134.0,127.25,132.8,2022-12-07,416515
132.8,135.8,131.65,134.15,2022-12-08,334492
134.0,134.8,128.8,129.6,2022-12-09,192507
130.9,134.3,130.35,133.4,2022-12-12,195929
133.4,135.9,132.3,133.6,2022-12-13,157985
134.1,134.5,132.15,133.45,2022-12-14,145537
133.2,135.75,132.55,133.8,2022-12-15,272456
132.5,134.55,131.5,132.15,2022-12-16,107101
133.7,136.0,131.6,133.1,2022-12-19,442444
133.85,137.0,130.5,132.95,2022-12-20,396247
133.6,133.85,122.7,124.65,2022-12-21,298896
125.05,127.25,121.5,121.9,2022-12-22,214130
118.55,120.6,115.5,118.9,2022-12-23,360048
115.5,117.5,111.0,114.95,2022-12-26,779978
115.55,119.9,113.6,118.7,2022-12-27,236603
119.6,123.3,118.0,120.9,2022-12-28,218244
