open,high,low,close,date,volume
129.95,129.95,124.25,127.15,2022-09-29,2570
128.55,128.55,122.45,124.85,2022-09-30,631
128.45,131.05,127.0,127.9,2022-10-03,7599
131.75,131.75,126.2,130.35,2022-10-04,674
136.0,136.0,126.4,130.05,2022-10-06,1116
126.2,131.85,126.15,131.4,2022-10-07,1320
125.8,131.85,124.85,126.8,2022-10-10,6455
133.1,133.1,123.75,125.35,2022-10-11,1942
128.0,128.85,123.0,124.75,2022-10-12,1174
125.0,128.4,122.0,122.8,2022-10-13,1765
127.95,127.95,118.15,119.95,2022-10-14,3127
119.95,125.9,115.5,123.65,2022-10-17,1723
123.8,127.85,118.0,120.6,2022-10-18,1440
126.0,126.0,118.05,123.3,2022-10-19,1224
125.45,129.45,118.3,128.5,2022-10-20,12144
128.5,128.5,123.0,126.25,2022-10-21,1841
122.1,132.0,122.1,129.2,2022-10-24,2362
125.0,130.9,124.95,128.1,2022-10-25,1130
131.0,131.0,122.35,127.15,2022-10-27,503
132.85,132.9,120.8,121.6,2022-10-28,4971
126.0,127.65,118.85,126.35,2022-10-31,32075
131.0,131.0,121.0,129.1,2022-11-01,295940
131.45,131.5,122.65,122.65,2022-11-02,91970
122.65,125.0,118.15,123.3,2022-11-03,63902
123.3,128.5,118.15,126.7,2022-11-04,100002
127.0,131.0,126.0,127.2,2022-11-07,84297
129.7,129.7,123.8,126.6,2022-11-09,165155
123.3,126.2,121.75,122.9,2022-11-10,136228
122.75,123.95,116.8,116.8,2022-11-11,53886
111.0,111.0,111.0,111.0,2022-11-14,10013
105.45,105.45,105.45,105.45,2022-11-15,5594
100.2,100.2,100.2,100.2,2022-11-16,6987
95.2,103.95,95.2,95.2,2022-11-17,101870
90.45,90.45,90.45,90.45,2022-11-18,11209
85.95,94.95,85.95,94.95,2022-11-21,115481
99.65,99.65,97.25,99.65,2022-11-22,95475
103.0,104.6,102.0,104.6,2022-11-23,87006
108.7,109.8,99.4,107.3,2022-11-24,91933
108.4,109.7,101.95,104.2,2022-11-25,61817
108.8,108.8,102.1,105.65,2022-11-28,40487
107.4,107.4,101.6,104.2,2022-11-29,39925
103.0,106.5,99.0,100.75,2022-11-30,39963
100.0,102.5,96.05,97.6,2022-12-01,69911
98.5,100.45,92.75,92.75,2022-12-02,73615
95.95,95.95,88.15,88.3,2022-12-05,117332
88.0,92.7,84.05,92.7,2022-12-06,251741
94.9,97.25,89.75,96.45,2022-12-07,170303
95.0,101.25,93.8,100.65,2022-12-08,141406
100.8,104.0,98.5,102.35,2022-12-09,89746
99.6,103.5,99.6,101.35,2022-12-12,77752
100.05,101.5,96.3,96.4,2022-12-13,56595
97.0,97.7,91.6,91.6,2022-12-14,69508
91.0,96.15,87.5,95.9,2022-12-15,262727
95.85,99.9,92.65,99.1,2022-12-16,115674
102.8,103.0,98.0,100.7,2022-12-19,106025
102.95,102.95,96.0,97.25,2022-12-20,77849
98.0,99.9,93.15,94.55,2022-12-21,15663
96.0,96.45,90.0,92.25,2022-12-22,15403
90.15,90.15,87.65,87.95,2022-12-23,20722
87.95,92.15,87.25,91.05,2022-12-26,13245
95.0,95.05,91.5,92.6,2022-12-27,8408
92.6,94.9,88.45,90.55,2022-12-28,76025
90.55,91.5,90.0,91.1,2022-12-29,5613
94.95,94.95,86.55,87.05,2022-12-30,71720
89.7,89.7,84.45,85.2,2023-01-02,44472
86.95,86.95,81.5,83.85,2023-01-03,55559
85.35,88.0,82.85,84.55,2023-01-04,26669
84.55,85.75,82.2,83.7,2023-01-05,15142
83.7,85.15,82.0,83.35,2023-01-06,8533
83.35,84.0,82.55,83.4,2023-01-09,7651
83.45,85.4,80.05,81.15,2023-01-10,22371
82.95,82.95,78.2,80.25,2023-01-11,12590
81.9,81.9,78.4,79.1,2023-01-12,19596
81.95,81.95,75.65,76.5,2023-01-13,33281
77.05,78.4,76.0,77.0,2023-01-16,16391
76.7,78.4,75.0,78.15,2023-01-17,37375
78.15,79.75,75.0,75.5,2023-01-18,33778
77.05,77.05,74.8,75.35,2023-01-19,13203
76.25,77.5,75.5,76.75,2023-01-20,13886
75.75,76.9,74.05,74.6,2023-01-23,11835
76.5,78.3,76.0,76.4,2023-01-24,16822
76.95,76.95,73.1,73.6,2023-01-25,21232
75.95,75.95,70.0,70.45,2023-01-27,10580
70.0,71.85,67.6,67.75,2023-01-30,19137
69.0,69.0,66.0,66.75,2023-01-31,16504
68.25,68.3,63.5,64.65,2023-02-01,12598
65.1,65.8,62.5,63.25,2023-02-02,12004
63.25,65.0,60.1,60.55,2023-02-03,26171
60.5,62.65,60.15,61.2,2023-02-06,8252
61.4,64.25,61.35,64.25,2023-02-07,9435
67.45,67.45,66.2,67.45,2023-02-08,8182
70.8,70.8,70.0,70.8,2023-02-09,8591
72.25,73.65,68.15,69.35,2023-02-10,18756
69.0,69.0,66.9,67.0,2023-02-13,4864
65.9,67.8,63.95,64.5,2023-02-14,8741
66.2,66.2,63.0,63.1,2023-02-15,6024
65.0,65.05,63.0,63.45,2023-02-16,4950
64.35,64.6,61.2,61.85,2023-02-17,5035
61.0,63.4,59.35,59.95,2023-02-20,13669
62.45,62.45,57.35,58.75,2023-02-21,9881
59.95,59.95,56.85,57.4,2023-02-22,10321
58.55,60.25,56.3,57.35,2023-02-23,14763
58.65,58.7,56.6,57.9,2023-02-24,2185
59.0,59.0,55.0,55.85,2023-02-27,5714
57.9,57.9,53.5,54.15,2023-02-28,10215
52.35,56.0,52.35,53.85,2023-03-01,4709
55.8,55.8,53.0,54.8,2023-03-02,10074
55.0,56.5,54.3,56.45,2023-03-03,4945
57.55,58.6,55.0,57.9,2023-03-06,4570
60.2,60.2,57.25,58.45,2023-03-08,6787
58.45,61.35,58.3,61.35,2023-03-09,14059
61.3,64.4,59.15,64.3,2023-03-10,17437
64.3,66.7,62.55,64.2,2023-03-13,16216
64.8,66.7,61.0,61.0,2023-03-14,8849
63.7,63.75,60.65,61.7,2023-03-15,2843
62.65,62.65,58.65,58.65,2023-03-16,21532
60.95,60.95,56.0,56.2,2023-03-17,10006
55.45,57.45,54.2,55.3,2023-03-20,3958
55.0,56.95,52.55,52.55,2023-03-21,82992
52.55,55.15,51.95,53.35,2023-03-22,17925
54.0,54.95,52.2,53.45,2023-03-23,4271
56.0,56.0,51.05,51.75,2023-03-24,5602
52.8,53.35,49.2,49.2,2023-03-27,15423
49.2,49.2,46.75,46.75,2023-03-28,7031
46.75,46.85,44.45,44.45,2023-03-29,22321
43.0,46.65,42.6,45.7,2023-03-31,8055
47.5,47.95,44.3,47.95,2023-04-03,13975
50.0,50.3,50.0,50.3,2023-04-05,8151
52.8,52.8,50.7,52.8,2023-04-06,5624
55.4,55.4,51.5,55.4,2023-04-10,28424
58.0,58.15,56.0,56.65,2023-04-11,14234
59.45,59.45,56.2,57.1,2023-04-12,33782
59.15,59.15,55.45,56.15,2023-04-13,8724
58.15,58.15,55.8,56.05,2023-04-17,3407
57.2,58.85,56.15,58.8,2023-04-18,13593
59.95,60.85,57.85,58.6,2023-04-19,5308
58.0,58.9,56.0,56.3,2023-05-23,9602
58.5,58.5,54.15,55.95,2023-05-24,6651
55.9,58.15,54.45,55.0,2023-05-25,1776
53.1,55.0,52.4,52.7,2023-05-26,13877
54.3,54.3,50.6,51.4,2023-05-29,6191
53.95,53.95,49.05,50.2,2023-05-30,13436
52.65,52.7,50.0,52.35,2023-05-31,6398
53.4,53.4,51.65,52.25,2023-06-01,2133
54.45,54.45,51.0,53.05,2023-06-02,5580
53.05,55.7,53.0,55.7,2023-06-05,14597
58.2,58.4,56.5,57.0,2023-06-06,10248
46.9,46.95,44.35,44.8,2023-10-03,5338
44.8,45.0,43.0,44.9,2023-10-04,4729
44.9,45.0,43.1,43.45,2023-10-05,4696
45.0,45.05,42.85,44.0,2023-10-06,7893
45.3,45.3,41.8,43.0,2023-10-09,11781
43.15,47.3,42.55,47.3,2023-10-10,63241
48.85,50.1,43.65,45.25,2023-10-11,88170
42.05,43.45,41.85,42.4,2023-10-12,146794
41.7,43.6,41.7,42.05,2023-10-13,50112
43.0,43.0,41.65,41.9,2023-10-16,23945
43.6,43.6,41.9,42.05,2023-10-17,73702
42.5,42.5,39.15,41.0,2023-10-18,125348
41.0,42.0,40.5,41.95,2023-10-19,75879
43.45,43.45,39.95,40.6,2023-10-20,175478
42.0,42.0,39.0,39.5,2023-10-23,223003
40.65,41.0,38.5,40.7,2023-10-25,284937
41.7,41.7,39.65,40.15,2023-10-26,356820
39.7,41.0,37.35,38.2,2023-10-27,612722
39.25,39.75,36.5,37.7,2023-10-30,221245
37.65,40.0,37.4,39.35,2023-10-31,403341
40.0,40.0,38.3,39.5,2023-11-01,211165
41.0,43.45,38.95,43.45,2023-11-02,260896
44.75,45.7,42.0,42.6,2023-11-03,158339
