open,high,low,close,date,volume
715.85,730.0,711.0,717.5,2022-09-29,298975
718.25,725.0,712.0,719.95,2022-09-30,98960
724.0,736.45,712.4,722.35,2022-10-03,150025
729.0,733.15,710.15,712.45,2022-10-04,124715
719.0,726.65,699.15,703.3,2022-10-06,462180
707.3,728.65,701.0,709.6,2022-10-07,626940
709.0,715.3,705.0,711.65,2022-10-10,194511
710.0,717.7,705.55,709.95,2022-10-11,175626
709.0,709.55,692.7,696.25,2022-10-12,453683
696.05,719.0,691.05,714.4,2022-10-13,630382
717.0,749.0,711.05,729.7,2022-10-14,881826
732.7,736.0,716.0,721.6,2022-10-17,121452
725.25,739.9,718.6,730.9,2022-10-18,125610
734.6,734.6,715.3,721.85,2022-10-19,139117
719.7,727.0,717.35,722.4,2022-10-20,167244
725.3,735.5,715.0,726.15,2022-10-21,106009
730.0,734.05,726.35,730.95,2022-10-24,18134
727.85,728.75,699.3,708.35,2022-10-25,75682
709.8,734.8,705.0,731.15,2022-10-27,173952
734.85,798.0,734.05,762.8,2022-10-28,2304063
768.0,795.0,766.9,791.45,2022-10-31,425624
794.9,794.9,769.5,770.95,2022-11-01,195774
771.0,780.0,761.2,770.0,2022-11-02,142545
765.0,773.65,740.0,747.05,2022-11-03,130558
750.05,763.0,732.55,738.7,2022-11-04,464522
742.4,754.45,731.0,737.95,2022-11-07,214009
742.0,765.95,738.0,739.8,2022-11-09,199830
795.0,820.0,757.85,767.4,2022-11-10,1978294
774.15,774.15,736.25,739.8,2022-11-11,359005
743.0,766.0,740.45,763.4,2022-11-14,261556
768.6,769.7,755.0,758.2,2022-11-15,140451
752.85,756.9,745.1,749.55,2022-11-16,86842
753.0,756.8,746.2,749.2,2022-11-17,93575
749.0,760.0,744.05,752.55,2022-11-18,129245
780.0,789.0,756.0,764.65,2022-11-21,272947
768.5,768.5,745.0,750.05,2022-11-22,135047
753.85,759.2,746.2,754.9,2022-11-23,171947
758.0,768.0,751.05,763.3,2022-11-24,135309
763.85,763.9,752.9,753.75,2022-11-25,147409
757.55,759.8,741.55,746.4,2022-11-28,145720
751.0,760.0,748.5,758.1,2022-11-29,85988
760.0,763.75,736.9,742.7,2022-11-30,299665
750.0,758.8,747.0,753.1,2022-12-01,100621
753.1,759.0,745.0,757.6,2022-12-02,111087
769.95,769.95,751.45,755.4,2022-12-05,130093
752.0,764.0,748.6,752.05,2022-12-06,888694
755.7,760.65,751.8,753.45,2022-12-07,129332
753.45,760.65,742.55,758.35,2022-12-08,487422
760.4,760.4,749.0,757.05,2022-12-09,377609
759.0,764.0,747.0,757.4,2022-12-12,198496
758.5,760.25,750.4,755.1,2022-12-13,327901
759.95,777.0,748.05,768.65,2022-12-14,330308
769.15,769.15,748.3,752.4,2022-12-15,503608
752.05,775.0,746.0,752.65,2022-12-16,454142
755.9,759.4,749.2,756.3,2022-12-19,73700
750.0,759.35,744.4,749.9,2022-12-20,252503
753.65,766.75,750.2,762.35,2022-12-21,190826
767.0,771.4,752.0,753.75,2022-12-22,352630
747.0,759.35,732.5,739.6,2022-12-23,402577
743.3,759.0,734.45,757.3,2022-12-26,53803
757.3,777.9,750.1,759.95,2022-12-27,512952
761.5,765.5,751.55,756.35,2022-12-28,65026
756.95,763.0,752.0,759.8,2022-12-29,86361
759.8,769.1,756.0,760.45,2022-12-30,56098
764.7,767.6,747.05,748.85,2023-01-02,126976
752.6,757.4,747.0,749.65,2023-01-03,64813
749.75,753.35,726.6,729.8,2023-01-04,121470
731.15,737.0,716.55,724.3,2023-01-05,158561
726.1,729.7,705.1,712.7,2023-01-06,88602
712.7,723.0,708.1,719.85,2023-01-09,157951
723.0,744.4,717.8,734.3,2023-01-10,73607
730.95,736.8,720.65,724.4,2023-01-11,88193
725.65,742.0,723.5,733.9,2023-01-12,82750
735.0,751.85,730.85,737.85,2023-01-13,57724
740.0,740.65,711.0,727.6,2023-01-16,145826
727.85,739.4,722.05,727.45,2023-01-17,52023
728.15,758.6,728.15,748.5,2023-01-18,184123
753.0,759.15,740.4,744.75,2023-01-19,92744
746.6,748.1,725.5,728.3,2023-01-20,97262
730.55,739.75,725.0,729.7,2023-01-23,41523
728.9,733.0,723.0,726.95,2023-01-24,40570
726.95,729.0,717.0,724.15,2023-01-25,25378
722.0,733.65,717.0,721.8,2023-01-27,99785
723.9,735.9,715.85,723.3,2023-01-30,76164
725.3,735.0,721.25,726.4,2023-01-31,75140
733.1,743.0,710.2,712.15,2023-02-01,102922
712.15,744.6,710.3,721.6,2023-02-02,152540
721.6,729.55,712.45,714.8,2023-02-03,92576
712.45,728.85,711.85,724.3,2023-02-06,61558
725.6,733.35,724.75,731.15,2023-02-07,138711
731.5,733.4,720.5,726.85,2023-02-08,95526
734.15,739.0,720.15,724.05,2023-02-09,432463
731.3,731.3,712.0,719.1,2023-02-10,81400
721.35,729.5,711.25,719.9,2023-02-13,88484
715.1,729.0,715.1,724.95,2023-02-14,84451
724.7,726.7,715.25,718.75,2023-02-15,57594
723.6,732.0,719.85,729.5,2023-02-16,174269
727.0,737.35,725.15,728.0,2023-02-17,101202
730.75,737.25,725.0,729.95,2023-02-20,194167
732.0,740.4,729.75,738.85,2023-02-21,382930
738.0,746.95,721.4,741.45,2023-02-22,613221
741.45,744.65,736.2,741.65,2023-02-23,350403
745.0,759.0,741.9,750.15,2023-02-24,114292
750.15,757.15,744.95,749.7,2023-02-27,119183
749.7,766.15,732.95,749.1,2023-02-28,419268
748.95,748.95,737.0,742.9,2023-03-01,92443
743.0,771.5,740.05,768.7,2023-03-02,166315
769.9,783.5,761.1,777.1,2023-03-03,240784
788.0,796.1,783.7,789.6,2023-03-06,420572
789.6,810.0,772.0,781.35,2023-03-08,250809
785.3,793.1,771.35,786.2,2023-03-09,102871
783.0,799.95,769.4,789.85,2023-03-10,129044
789.5,789.85,772.0,781.9,2023-03-13,89687
799.0,800.0,784.25,792.7,2023-03-14,345758
800.15,807.95,794.0,801.75,2023-03-15,141609
809.0,810.0,795.0,805.9,2023-03-16,253085
811.9,816.2,806.0,807.3,2023-03-17,128172
787.0,821.6,787.0,795.95,2023-03-20,123809
799.9,800.0,770.05,773.8,2023-03-21,217178
782.2,788.15,767.5,778.2,2023-03-22,158888
774.0,775.45,764.25,771.25,2023-03-23,56549
774.9,774.9,743.0,745.55,2023-03-24,177366
745.55,752.3,723.1,744.3,2023-03-27,107577
743.95,765.6,737.65,763.9,2023-03-28,212724
763.9,776.6,751.45,768.65,2023-03-29,69652
767.95,778.0,757.3,774.15,2023-03-31,84136
779.95,786.0,764.95,769.3,2023-04-03,113424
773.05,775.0,757.25,759.7,2023-04-05,135083
757.1,765.0,752.3,758.95,2023-04-06,253760
766.0,800.0,762.0,772.1,2023-04-10,169330
772.0,799.9,766.35,794.55,2023-04-11,152793
794.3,801.0,780.95,793.9,2023-04-12,121402
793.9,795.4,770.65,774.75,2023-04-13,139173
774.0,776.1,751.0,754.15,2023-04-17,293885
757.55,774.0,746.3,759.95,2023-04-18,365052
765.6,767.9,755.0,760.15,2023-04-19,188327
760.0,766.45,752.95,754.55,2023-04-20,374618
756.05,773.0,756.05,770.85,2023-04-21,138346
774.8,777.45,764.0,772.8,2023-04-24,63726
772.8,776.65,758.0,761.4,2023-04-25,86187
765.25,773.9,752.0,753.2,2023-04-26,139079
753.2,763.65,751.1,759.8,2023-04-27,95671
760.95,763.3,752.1,761.85,2023-04-28,421295
765.9,768.0,751.9,754.9,2023-05-02,313241
756.45,763.75,752.0,757.85,2023-05-03,125408
758.0,770.95,758.0,765.6,2023-05-04,64294
767.1,767.1,758.55,760.65,2023-05-05,96288
762.15,775.0,760.75,767.9,2023-05-08,80170
769.4,776.45,752.2,756.15,2023-05-09,265862
757.65,766.55,752.0,753.2,2023-05-10,243212
753.25,776.0,753.25,763.45,2023-05-11,254206
758.05,769.25,755.0,760.95,2023-05-12,249608
762.65,772.0,760.0,769.2,2023-05-15,102335
770.7,772.0,753.0,754.75,2023-05-16,227854
757.8,763.95,748.9,752.7,2023-05-17,188212
756.5,779.75,754.6,767.85,2023-05-18,121603
768.7,777.25,761.0,773.15,2023-05-19,93283
800.0,856.0,798.05,831.35,2023-05-22,2563198
831.0,855.9,815.0,820.45,2023-05-23,748932
825.0,880.8,819.05,839.9,2023-05-24,1766095
848.3,867.15,843.35,859.4,2023-05-25,468530
864.05,879.4,836.6,844.05,2023-05-26,394293
853.0,862.75,846.6,859.5,2023-05-29,231845
860.0,874.85,852.1,863.95,2023-05-30,285434
865.0,900.0,860.55,893.45,2023-05-31,463829
893.5,927.95,891.45,910.6,2023-06-01,551169
916.05,947.35,910.85,932.8,2023-06-02,607535
946.0,946.0,906.85,909.9,2023-06-05,259430
909.9,909.9,895.0,900.45,2023-06-06,197716
907.85,943.0,902.8,924.3,2023-06-07,423508
925.5,948.0,925.0,927.6,2023-06-08,249819
930.35,937.85,918.6,927.05,2023-06-09,153286
927.95,960.0,927.95,934.7,2023-06-12,351918
930.0,959.9,930.0,955.6,2023-06-13,583348
955.0,996.7,936.55,986.25,2023-06-14,807888
990.0,1057.9,988.0,1036.55,2023-06-15,703207
1060.0,1064.35,1018.6,1035.2,2023-06-16,508159
1036.6,1039.0,999.15,1006.1,2023-06-19,270427
1008.0,1037.0,995.05,1025.85,2023-06-20,235851
1025.85,1076.95,1025.85,1049.55,2023-06-21,564499
1052.0,1054.65,1012.0,1014.75,2023-06-22,228238
1015.7,1017.05,968.0,977.7,2023-06-23,605029
981.55,1020.0,980.0,1010.7,2023-06-26,677229
1014.75,1048.0,1011.05,1022.45,2023-06-27,500847
1022.65,1026.0,983.0,984.55,2023-06-28,537667
991.55,1008.0,986.85,993.25,2023-06-30,297113
994.0,1005.0,981.2,984.4,2023-07-03,180720
990.5,1001.7,986.5,990.4,2023-07-04,146155
991.95,997.85,984.05,989.8,2023-07-05,95466
996.0,1020.0,990.0,1012.95,2023-07-06,264542
1014.95,1025.0,1000.7,1008.9,2023-07-07,190178
1015.0,1022.2,996.1,1017.75,2023-07-10,215824
1020.0,1038.5,1017.15,1026.2,2023-07-11,143586
1035.15,1044.2,1022.0,1028.8,2023-07-12,97762
1031.15,1031.15,1016.9,1019.4,2023-07-13,91387
1029.6,1053.7,1020.0,1040.1,2023-07-14,313697
1047.8,1061.9,1034.7,1035.9,2023-07-17,207273
1045.5,1056.0,1029.95,1035.75,2023-07-18,86450
1044.2,1059.8,1034.15,1038.15,2023-07-19,142743
1043.35,1050.0,1025.0,1029.45,2023-07-20,170928
1036.5,1037.05,1021.3,1030.05,2023-07-21,93783
1035.25,1044.0,1016.0,1036.3,2023-07-24,109389
1046.25,1068.5,1040.4,1050.25,2023-07-25,383742
1066.2,1067.75,1034.2,1038.15,2023-07-26,116924
1030.05,1052.9,1030.05,1049.4,2023-07-27,76798
1054.65,1061.45,1040.0,1047.1,2023-07-28,129358
1055.0,1060.0,1007.0,1010.5,2023-07-31,516566
1010.5,1032.65,1002.35,1014.9,2023-08-01,159523
1024.0,1028.7,1006.0,1014.25,2023-08-02,157828
1050.0,1050.0,1014.25,1020.95,2023-08-03,450301
1030.0,1034.9,1013.45,1024.15,2023-08-04,208295
1033.7,1035.0,1004.0,1009.7,2023-08-07,168182
1014.05,1018.75,996.9,1000.85,2023-08-08,174767
1001.1,1008.8,982.8,986.45,2023-08-09,186168
991.0,998.6,985.3,989.1,2023-08-10,518723
995.8,997.25,983.55,985.9,2023-08-11,134973
989.85,995.9,973.4,989.95,2023-08-14,117713
995.25,1008.0,987.0,989.15,2023-08-16,192030
986.0,995.0,986.0,990.9,2023-08-17,70660
995.0,1001.95,986.85,989.95,2023-08-18,185639
1000.0,1000.0,985.05,994.3,2023-08-21,120949
997.65,1002.3,986.0,991.15,2023-08-22,169527
996.7,1007.1,990.5,998.55,2023-08-23,108138
1000.0,1035.8,999.1,1017.95,2023-08-24,425594
1023.25,1045.0,1010.35,1037.7,2023-08-25,458191
1049.25,1050.0,1024.4,1027.25,2023-08-28,195533
1035.95,1045.25,1026.65,1030.15,2023-08-29,119095
1031.0,1040.25,1018.05,1023.95,2023-08-30,129521
1025.05,1046.4,1015.1,1039.5,2023-08-31,227183
1049.9,1049.9,1016.0,1024.25,2023-09-01,195628
1029.95,1043.75,1022.0,1026.65,2023-09-04,189814
1031.0,1039.0,1018.0,1022.4,2023-09-05,184463
1022.5,1028.7,1006.8,1012.95,2023-09-06,171712
1007.95,1025.0,999.25,1011.85,2023-09-07,304821
1014.0,1017.2,1002.0,1008.15,2023-09-08,199150
1013.2,1032.0,1013.2,1028.3,2023-09-11,198319
1032.0,1048.0,1017.75,1039.8,2023-09-12,289547
1048.65,1049.0,1018.2,1035.2,2023-09-13,359503
1038.0,1105.75,1035.55,1092.0,2023-09-14,1779419
1114.0,1121.0,1093.4,1111.25,2023-09-15,820808
1119.0,1119.0,1090.05,1099.25,2023-09-18,557876
1099.25,1099.25,1051.3,1074.4,2023-09-20,381728
1079.8,1098.0,1054.6,1070.45,2023-09-21,339014
1071.0,1096.25,1054.75,1061.45,2023-09-22,262744
1066.9,1074.85,1059.8,1062.05,2023-09-25,322326
1062.05,1085.7,1058.65,1067.8,2023-09-26,198471
1073.15,1086.95,1057.45,1081.9,2023-09-27,360905
1091.55,1094.55,1075.8,1078.4,2023-09-28,158242
1087.0,1103.0,1066.2,1085.5,2023-09-29,314021
1090.95,1115.95,1084.0,1101.7,2023-10-03,296182
1105.0,1132.8,1080.0,1085.5,2023-10-04,377750
1098.0,1104.2,1079.15,1087.8,2023-10-05,185285
1090.0,1101.1,1085.0,1092.25,2023-10-06,76707
1080.0,1083.0,1051.0,1053.65,2023-10-09,210595
1055.75,1068.55,1044.0,1062.2,2023-10-10,198202
1064.95,1067.55,1051.15,1054.7,2023-10-11,368453
1060.0,1076.9,1054.75,1066.7,2023-10-12,153195
1066.7,1099.8,1066.7,1083.95,2023-10-13,296029
1089.7,1105.4,1077.0,1087.4,2023-10-16,137993
1090.0,1092.65,1072.0,1075.45,2023-10-17,206117
1075.45,1088.4,1072.0,1082.15,2023-10-18,186748
1075.0,1075.0,1055.85,1059.8,2023-10-19,170574
1066.25,1066.95,1046.0,1053.55,2023-10-20,117205
1056.9,1056.9,1000.0,1017.0,2023-10-23,213433
1032.05,1034.0,990.0,1009.25,2023-10-25,207714
1000.05,1009.15,979.95,986.3,2023-10-26,373776
996.1,1034.95,991.95,1018.1,2023-10-27,173655
1010.1,1018.1,992.0,1012.35,2023-10-30,172046
1016.85,1020.45,993.3,996.0,2023-10-31,109357
1004.3,1004.3,989.0,997.65,2023-11-01,181885
1002.9,1012.95,993.25,1002.35,2023-11-02,109913
1010.5,1041.8,1010.5,1034.4,2023-11-03,241705
1050.0,1054.85,1026.5,1037.3,2023-11-06,345326
1040.0,1088.0,1036.25,1079.3,2023-11-07,330084
1076.1,1083.75,1057.1,1060.1,2023-11-08,128278
1065.65,1096.6,1055.0,1060.05,2023-11-09,219281
1065.5,1086.2,1044.0,1072.35,2023-11-10,184729
1085.0,1095.0,1084.15,1089.1,2023-11-12,70208
1089.1,1099.1,1076.0,1084.65,2023-11-13,236658
1160.0,1182.0,1126.7,1133.45,2023-11-15,1431974
1140.8,1189.1,1134.0,1144.7,2023-11-16,706292
1150.0,1243.55,1147.0,1225.9,2023-11-17,1550152
1220.05,1258.0,1215.05,1220.45,2023-11-20,506470
1224.4,1314.1,1221.05,1260.3,2023-11-21,1644643
1260.3,1269.8,1206.0,1244.9,2023-11-22,862376
1264.0,1283.9,1232.0,1238.75,2023-11-23,430993
1244.95,1267.0,1223.1,1238.3,2023-11-24,307628
1250.45,1284.05,1231.95,1249.75,2023-11-28,521668
1259.8,1269.0,1242.1,1253.05,2023-11-29,264776
1256.45,1259.0,1220.0,1225.6,2023-11-30,354430
