open,high,low,close,date,volume
313.7,321.6,301.7,312.9,2022-09-29,387213
315.95,317.85,305.0,314.35,2022-09-30,208224
310.0,321.4,308.0,310.5,2022-10-03,239752
314.2,319.25,314.0,316.95,2022-10-04,183728
320.1,324.2,317.0,317.6,2022-10-06,179411
317.6,324.9,317.6,320.4,2022-10-07,162220
313.5,318.0,311.35,314.9,2022-10-10,239056
315.8,320.0,306.15,308.0,2022-10-11,238577
308.2,311.95,303.0,304.15,2022-10-12,204245
304.15,305.85,294.1,295.1,2022-10-13,287047
304.0,304.0,292.05,293.65,2022-10-14,285508
294.9,294.9,287.0,288.15,2022-10-17,251776
290.6,294.9,281.1,282.5,2022-10-18,505372
282.5,285.0,274.5,280.95,2022-10-19,753596
278.0,285.45,278.0,283.8,2022-10-20,340573
286.0,288.45,281.1,282.3,2022-10-21,158392
283.1,286.6,283.05,285.1,2022-10-24,46543
286.25,286.25,278.05,279.7,2022-10-25,162119
282.4,288.25,278.1,281.3,2022-10-27,504505
284.4,284.4,271.0,274.4,2022-10-28,830596
275.15,284.95,275.15,278.95,2022-10-31,423881
281.95,284.0,279.3,281.45,2022-11-01,227419
282.9,291.6,281.3,287.2,2022-11-02,498457
287.15,296.5,284.8,292.15,2022-11-03,639887
294.0,297.5,292.2,294.05,2022-11-04,396429
300.0,338.9,298.45,331.4,2022-11-07,7893949
333.0,338.0,308.0,312.05,2022-11-09,1346466
312.0,313.15,299.85,301.05,2022-11-10,621977
307.8,311.6,300.5,304.15,2022-11-11,862923
305.8,308.95,301.5,306.65,2022-11-14,440070
308.55,315.8,307.65,309.65,2022-11-15,454186
308.2,309.65,302.5,304.75,2022-11-16,267613
303.3,314.9,302.75,312.5,2022-11-17,380267
312.05,313.8,305.5,307.6,2022-11-18,187191
307.0,310.95,302.85,305.7,2022-11-21,450096
306.9,309.5,303.5,304.95,2022-11-22,195269
307.2,311.0,305.0,306.65,2022-11-23,223501
308.1,311.55,304.75,308.45,2022-11-24,255605
310.0,316.0,309.0,310.45,2022-11-25,220618
309.0,326.2,307.6,319.25,2022-11-28,903690
320.0,321.75,311.8,313.15,2022-11-29,189917
314.85,318.4,309.4,317.3,2022-11-30,227036
321.9,343.9,320.65,338.75,2022-12-01,3275749
340.5,347.55,339.05,341.45,2022-12-02,956658
343.5,343.5,330.75,333.6,2022-12-05,428161
334.0,334.0,326.4,328.95,2022-12-06,246786
330.7,340.5,326.9,335.15,2022-12-07,565715
335.95,340.0,332.55,335.5,2022-12-08,274954
337.0,338.65,327.4,329.2,2022-12-09,271354
329.1,341.7,322.05,336.5,2022-12-12,432794
337.95,352.75,335.9,344.75,2022-12-13,1182767
346.4,352.0,337.1,338.85,2022-12-14,316185
341.05,342.4,328.0,328.95,2022-12-15,262558
326.25,329.35,318.05,320.65,2022-12-16,264347
322.45,322.45,309.05,310.85,2022-12-19,243030
309.5,313.35,306.35,309.55,2022-12-20,229097
311.65,319.5,305.0,307.7,2022-12-21,293603
309.85,312.75,299.05,301.75,2022-12-22,364254
300.0,306.0,298.2,300.05,2022-12-23,656439
298.6,309.0,298.0,301.55,2022-12-26,202540
304.9,317.75,303.65,315.15,2022-12-27,493645
315.1,318.35,305.0,305.75,2022-12-28,287808
305.75,310.0,301.25,303.05,2022-12-29,368037
306.9,314.75,306.85,312.2,2022-12-30,276854
314.6,315.35,309.6,312.35,2023-01-02,280384
313.0,317.7,312.35,316.1,2023-01-03,247856
316.9,316.9,308.1,310.4,2023-01-04,222037
311.0,312.8,307.6,310.35,2023-01-05,124924
309.5,314.7,305.5,307.55,2023-01-06,221747
310.0,317.5,310.0,312.85,2023-01-09,291842
313.25,315.3,307.2,308.05,2023-01-10,120587
309.55,315.0,308.8,310.35,2023-01-11,170466
312.75,312.9,307.95,309.25,2023-01-12,116580
311.2,317.4,308.45,314.75,2023-01-13,308030
314.7,318.8,310.15,312.0,2023-01-16,362452
312.9,315.9,310.45,314.75,2023-01-17,317459
315.5,320.0,312.15,313.55,2023-01-18,384443
313.55,314.0,310.2,311.25,2023-01-19,85946
311.8,313.65,307.1,308.8,2023-01-20,123280
309.45,312.5,307.1,310.3,2023-01-23,131280
312.2,325.0,311.15,320.25,2023-01-24,782364
320.0,320.0,313.2,314.95,2023-01-25,165720
315.65,319.5,301.1,303.6,2023-01-27,241551
304.0,308.5,302.2,303.45,2023-01-30,101967
304.6,332.85,302.1,326.55,2023-01-31,989036
334.0,334.0,314.1,320.05,2023-02-01,575450
320.0,333.7,314.05,316.1,2023-02-02,350944
318.5,329.45,309.0,316.55,2023-02-03,351660
313.55,323.15,313.55,317.35,2023-02-06,158986
317.0,323.1,317.0,321.15,2023-02-07,143905
323.8,336.0,322.55,333.2,2023-02-08,512349
333.85,354.9,328.35,348.6,2023-02-09,1124960
355.5,357.65,351.65,353.3,2023-02-10,500249
355.0,359.4,353.3,355.15,2023-02-13,339741
351.2,359.45,351.2,355.05,2023-02-14,288968
