open,high,low,close,date,volume
301.0,301.0,265.55,281.25,2023-02-21,3627
300.0,309.35,292.25,309.35,2023-02-22,9811
324.95,340.25,318.65,340.25,2023-02-23,20583
357.25,357.25,355.6,357.25,2023-02-24,9052
374.0,375.1,373.35,375.1,2023-02-27,3123
393.85,393.85,356.35,356.35,2023-02-28,6514
338.55,338.55,338.55,338.55,2023-03-01,612
321.65,321.65,321.65,321.65,2023-03-02,720
305.6,305.6,305.6,305.6,2023-03-03,984
290.5,290.5,290.35,290.35,2023-03-06,1916
275.85,275.85,275.85,275.85,2023-03-08,926
262.05,289.6,262.05,289.6,2023-03-09,6371
304.0,304.05,304.0,304.05,2023-03-10,1639
319.25,319.25,319.25,319.25,2023-03-13,278
329.0,335.0,303.3,303.3,2023-03-14,2589
288.15,288.15,288.15,288.15,2023-03-15,2128
273.75,288.95,273.75,273.75,2023-03-16,4296
273.75,273.75,260.1,263.95,2023-03-17,7586
276.85,276.95,255.05,266.75,2023-03-20,5350
274.4,280.05,270.25,280.05,2023-03-21,4220
294.0,294.05,274.0,294.05,2023-03-22,5872
290.0,293.85,279.35,279.35,2023-03-23,1549
265.4,277.85,265.4,267.75,2023-03-24,4081
273.65,273.65,258.0,260.6,2023-03-27,1194
269.95,269.95,247.6,250.2,2023-03-28,1629
249.05,260.0,246.0,248.15,2023-03-29,1392
260.5,260.55,250.55,260.55,2023-03-31,943
272.0,273.55,266.3,273.55,2023-04-03,1653
279.1,287.2,279.1,287.2,2023-04-05,1878
300.0,301.55,300.0,301.55,2023-04-06,1053
315.0,316.6,286.6,316.1,2023-04-10,3811
330.0,331.9,306.0,331.85,2023-04-11,3578
340.0,348.4,328.05,348.4,2023-04-12,3780
365.8,365.8,355.0,365.8,2023-04-13,3156
382.0,384.05,381.85,384.05,2023-04-17,1068
403.25,403.25,386.0,403.25,2023-04-18,3920
420.5,423.4,407.1,423.4,2023-04-19,6137
428.4,428.4,393.0,401.8,2023-05-23,1932
402.0,402.0,383.0,397.9,2023-05-24,956
385.0,406.95,385.0,391.6,2023-05-25,775
389.75,404.0,389.75,403.2,2023-05-26,884
418.0,418.0,395.0,408.05,2023-05-29,1542
428.0,428.45,426.45,428.45,2023-05-30,3485
448.9,448.9,407.05,409.0,2023-05-31,6946
