open,high,low,close,date,volume
30.05,30.7,29.25,29.65,2022-09-29,8357
29.25,30.0,28.8,29.4,2022-09-30,8234
30.9,33.9,30.8,32.25,2022-10-03,118556
31.5,32.9,31.5,31.6,2022-10-04,13890
33.0,33.0,30.6,31.35,2022-10-06,11540
31.25,31.95,30.55,31.65,2022-10-07,5891
30.75,31.85,30.4,30.7,2022-10-10,4888
31.75,32.95,30.15,30.55,2022-10-11,13176
30.95,33.0,30.8,31.3,2022-10-12,11762
31.2,31.5,30.3,30.8,2022-10-13,3462
32.25,32.25,30.5,30.95,2022-10-14,2806
31.9,31.9,30.2,30.4,2022-10-17,6768
31.6,31.6,30.3,30.45,2022-10-18,6452
30.2,30.7,29.25,30.1,2022-10-19,9098
30.0,30.75,29.65,30.15,2022-10-20,1993
30.05,31.5,29.65,30.65,2022-10-21,5299
31.85,31.85,30.1,30.65,2022-10-24,4031
29.55,31.0,29.55,30.65,2022-10-25,1120
31.2,31.2,30.05,30.1,2022-10-27,1379
30.1,30.85,29.95,30.05,2022-10-28,3561
30.95,33.85,29.85,32.75,2022-10-31,34243
33.7,35.8,31.2,32.5,2022-11-01,203222
33.0,33.15,31.85,32.1,2022-11-02,19697
32.1,32.2,30.65,31.25,2022-11-03,21050
31.25,35.6,30.7,32.5,2022-11-04,150614
32.6,33.6,32.0,32.25,2022-11-07,21723
33.0,33.0,31.25,31.6,2022-11-09,15347
31.9,32.0,30.7,31.1,2022-11-10,14066
31.35,32.7,31.0,31.15,2022-11-11,8403
32.45,32.45,30.1,31.65,2022-11-14,18937
32.0,32.0,30.8,31.25,2022-11-15,12610
31.25,31.85,30.5,31.25,2022-11-16,9151
31.95,31.95,31.0,31.0,2022-11-17,4461
31.0,31.0,30.25,30.6,2022-11-18,7687
30.6,31.4,29.4,30.8,2022-11-21,3824
30.8,30.9,30.15,30.5,2022-11-22,3772
30.45,31.45,30.05,30.15,2022-11-23,8638
30.3,31.4,29.55,30.2,2022-11-24,13217
29.7,30.75,29.7,30.25,2022-11-25,7093
30.85,31.3,30.1,30.7,2022-11-28,4695
31.25,31.25,26.35,30.4,2022-11-29,27816
30.0,31.15,29.95,30.6,2022-11-30,3202
30.95,30.95,30.3,30.3,2022-12-01,12508
30.75,30.75,29.05,29.8,2022-12-02,14934
30.4,30.55,29.8,30.4,2022-12-05,8961
30.35,31.35,29.3,29.95,2022-12-06,37709
30.9,30.9,29.5,30.35,2022-12-07,22873
30.8,30.8,30.05,30.35,2022-12-08,7040
30.1,32.5,30.1,30.95,2022-12-09,28824
31.65,31.65,30.1,30.75,2022-12-12,15260
31.1,31.3,30.45,30.65,2022-12-13,16281
31.0,31.3,30.2,30.4,2022-12-14,22852
30.8,30.8,30.15,30.2,2022-12-15,9086
30.7,30.7,29.75,30.1,2022-12-16,6854
30.8,31.0,29.8,30.25,2022-12-19,23356
30.45,30.7,30.2,30.45,2022-12-20,8854
30.8,30.85,29.1,29.45,2022-12-21,27807
29.05,29.7,28.15,29.0,2022-12-22,16122
28.95,29.85,27.5,28.35,2022-12-23,12561
28.05,32.65,28.05,29.35,2022-12-26,156942
29.05,30.25,29.0,29.55,2022-12-27,6200
29.95,31.65,29.15,30.6,2022-12-28,39923
31.0,36.7,30.3,34.5,2022-12-29,672094
34.5,36.15,33.15,33.9,2022-12-30,186405
34.2,38.2,33.4,33.85,2023-01-02,397139
34.8,35.2,33.5,33.75,2023-01-03,113941
33.8,34.45,32.5,32.85,2023-01-04,36098
33.0,33.45,32.0,32.75,2023-01-05,27957
32.1,33.5,32.05,32.5,2023-01-06,30573
33.15,33.85,32.0,32.2,2023-01-09,23838
32.5,32.65,31.0,31.3,2023-01-10,25258
32.0,32.25,31.0,31.3,2023-01-11,12226
32.0,32.0,30.65,31.45,2023-01-12,5111
31.95,31.95,30.85,30.9,2023-01-13,14367
30.9,31.4,30.5,31.2,2023-01-16,10289
31.0,31.0,30.45,30.5,2023-01-17,21866
31.2,31.2,30.15,30.5,2023-01-18,5270
31.0,31.0,30.25,30.7,2023-01-19,5945
31.0,31.85,30.3,31.25,2023-01-20,25361
31.9,31.9,30.4,30.95,2023-01-23,7862
31.5,31.5,30.5,30.65,2023-01-24,9303
31.0,31.0,30.3,30.45,2023-01-25,6727
30.55,30.9,30.1,30.3,2023-01-27,19866
30.4,30.7,29.95,30.0,2023-01-30,3721
30.95,30.95,29.8,30.1,2023-01-31,8561
30.7,35.95,28.65,29.6,2023-02-01,507645
30.0,30.5,27.75,28.8,2023-02-02,54999
30.8,30.8,28.1,28.5,2023-02-03,19797
29.9,29.9,28.5,28.55,2023-02-06,15203
29.7,29.7,28.5,28.65,2023-02-07,6356
28.8,30.45,28.35,29.3,2023-02-08,27239
29.0,29.5,28.6,28.8,2023-02-09,8902
29.4,29.65,28.45,28.9,2023-02-10,14579
28.85,29.2,28.15,28.35,2023-02-13,7697
28.25,28.6,28.15,28.25,2023-02-14,2426
28.3,28.8,28.15,28.55,2023-02-15,11024
28.5,29.55,28.05,28.4,2023-02-16,7881
27.85,29.2,27.85,28.75,2023-02-17,9386
29.4,29.4,28.2,28.95,2023-02-20,8077
29.25,29.25,28.3,28.6,2023-02-21,13316
28.3,28.65,27.6,28.0,2023-02-22,9962
28.15,28.75,28.0,28.1,2023-02-23,3238
28.1,28.4,27.7,27.9,2023-02-24,2257
28.05,28.5,27.6,28.05,2023-02-27,5119
28.5,28.5,27.5,27.65,2023-02-28,1557
27.7,28.5,27.7,28.45,2023-03-01,3711
28.05,28.3,27.9,28.05,2023-03-02,10496
28.45,29.35,27.75,28.4,2023-03-03,18751
28.5,28.9,27.6,28.6,2023-03-06,15119
28.75,28.75,28.2,28.6,2023-03-08,2658
28.95,29.0,28.25,28.65,2023-03-09,5782
28.65,28.9,28.45,28.7,2023-03-10,34304
29.15,29.15,27.8,28.45,2023-03-13,9020
28.8,28.8,27.5,27.6,2023-03-14,6448
27.75,27.75,26.55,27.0,2023-03-15,11870
26.9,27.6,25.65,25.7,2023-03-16,8419
26.05,26.65,24.75,25.25,2023-03-17,8704
24.6,30.25,24.6,25.6,2023-03-20,72508
26.5,26.85,25.6,26.05,2023-03-21,8168
26.05,26.95,26.0,26.25,2023-03-22,8358
27.0,27.0,23.95,24.75,2023-03-23,28779
25.45,29.35,24.9,28.0,2023-03-24,146672
28.1,30.9,28.0,29.2,2023-03-27,163520
30.3,30.3,26.5,26.85,2023-03-28,32348
27.4,28.0,25.25,25.85,2023-03-29,26959
25.35,27.3,25.35,25.9,2023-03-31,47190
26.05,27.1,26.0,26.4,2023-04-03,11505
26.0,27.65,26.0,26.75,2023-04-05,7962
27.95,27.95,26.6,26.85,2023-04-06,6213
27.4,32.0,26.85,30.25,2023-04-10,433138
31.25,31.25,27.75,28.5,2023-04-11,76600
28.5,29.5,28.05,28.45,2023-04-12,17107
28.45,28.8,27.75,28.05,2023-04-13,14944
28.45,28.65,27.6,27.95,2023-04-17,6406
28.1,28.3,27.5,27.75,2023-04-18,7670
27.9,28.35,27.8,27.95,2023-04-19,8546
28.0,28.3,27.1,27.7,2023-04-20,9619
27.7,28.25,27.3,27.75,2023-04-21,11033
28.35,28.35,27.25,27.45,2023-04-24,11280
28.05,28.1,27.45,27.9,2023-04-25,16928
28.45,28.45,27.8,28.0,2023-04-26,6930
28.45,31.4,27.45,30.45,2023-04-27,162528
30.75,31.2,29.15,29.7,2023-04-28,22367
30.3,30.3,29.2,29.2,2023-05-02,7012
29.2,29.75,29.2,29.5,2023-05-03,5552
30.9,30.9,29.45,29.7,2023-05-04,17315
30.3,30.3,28.1,28.6,2023-05-05,21253
29.25,29.35,28.65,29.15,2023-05-08,6316
29.75,29.75,28.6,28.8,2023-05-09,6843
29.0,29.35,28.3,28.5,2023-05-10,8498
28.5,29.95,28.5,29.5,2023-05-11,33329
29.7,29.7,28.8,29.0,2023-05-12,9260
28.6,29.7,28.6,28.9,2023-05-15,5040
28.8,29.45,28.25,28.4,2023-05-16,20024
28.5,29.0,28.2,28.25,2023-05-17,11191
28.15,28.85,28.05,28.3,2023-05-18,5180
28.4,28.65,28.0,28.1,2023-05-19,5849
28.2,32.8,28.2,30.65,2023-05-22,283001
33.2,33.2,30.6,30.9,2023-05-23,52992
30.5,31.1,29.5,29.75,2023-05-24,23298
30.0,30.0,29.1,29.25,2023-05-25,14276
29.25,29.8,29.1,29.25,2023-05-26,4918
29.25,29.6,28.95,29.1,2023-05-29,4663
29.05,29.65,29.0,29.2,2023-05-30,13131
30.7,30.7,28.85,29.25,2023-05-31,13245
29.8,32.0,29.3,30.5,2023-06-01,35873
31.3,31.3,30.5,30.8,2023-06-02,6767
31.5,31.5,30.0,30.35,2023-06-05,11204
31.25,34.5,30.2,32.9,2023-06-06,463568
32.8,32.8,31.2,31.9,2023-06-07,40979
32.6,32.6,31.5,31.7,2023-06-08,22698
32.35,32.55,31.5,32.0,2023-06-09,16754
32.0,32.45,31.55,31.65,2023-06-12,20797
32.35,32.35,31.0,31.2,2023-06-13,17739
31.25,32.0,31.2,31.65,2023-06-14,19029
31.65,32.1,31.25,31.45,2023-06-15,14971
31.45,32.15,30.3,31.5,2023-06-16,28356
31.5,32.0,31.5,31.65,2023-06-19,12248
31.65,31.9,31.5,31.7,2023-06-20,8135
31.7,32.0,30.75,31.2,2023-06-21,15457
31.8,31.8,30.3,30.45,2023-06-22,12381
30.3,30.5,29.7,30.1,2023-06-23,9570
30.7,30.7,29.5,30.05,2023-06-26,4729
30.0,30.75,29.4,29.75,2023-06-27,10843
29.75,30.75,29.4,29.7,2023-06-28,5509
29.7,30.2,29.25,29.6,2023-06-30,10648
30.15,30.35,29.4,29.55,2023-07-03,10549
29.4,30.95,29.4,30.7,2023-07-04,14331
31.2,31.8,31.0,31.3,2023-07-05,19381
31.85,32.1,31.3,31.8,2023-07-06,27105
32.0,32.3,31.1,31.65,2023-07-07,9316
32.05,32.05,31.15,31.2,2023-07-10,14093
30.85,31.55,30.2,30.7,2023-07-11,11371
31.0,32.5,30.7,32.05,2023-07-12,34461
32.4,32.7,32.05,32.5,2023-07-13,23978
32.7,33.1,31.35,31.85,2023-07-14,40314
32.4,33.2,31.0,32.55,2023-07-17,17241
32.25,32.95,31.55,31.75,2023-07-18,7262
32.35,32.35,30.35,30.8,2023-07-19,16814
31.35,32.7,30.9,32.2,2023-07-20,20545
32.75,32.75,31.8,32.35,2023-07-21,8782
32.75,32.75,30.4,30.9,2023-07-24,23374
31.45,32.85,30.9,31.75,2023-07-25,59973
31.8,32.25,31.65,31.9,2023-07-26,9027
32.5,32.7,31.4,31.5,2023-07-27,17670
31.1,31.9,30.5,31.25,2023-07-28,21500
31.25,32.4,30.5,31.1,2023-07-31,31606
32.0,33.0,31.45,32.0,2023-08-01,40206
32.75,33.5,32.1,33.05,2023-08-02,177632
33.35,33.75,33.05,33.7,2023-08-03,103333
35.9,35.95,34.4,35.0,2023-08-04,412577
35.3,35.95,34.6,35.85,2023-08-07,227525
36.0,37.85,35.95,37.75,2023-08-08,509385
38.05,39.2,38.0,39.0,2023-08-09,375688
39.1,46.5,38.8,44.3,2023-08-10,2506608
45.4,46.05,41.4,44.5,2023-08-11,568296
43.0,43.95,36.55,39.5,2023-08-14,470690
44.25,47.65,43.2,45.75,2023-11-20,390711
47.5,47.5,40.7,43.5,2023-11-21,256405
45.0,46.0,42.0,43.15,2023-11-22,268046
44.9,45.05,43.35,44.2,2023-11-23,121157
43.2,45.0,43.0,43.1,2023-11-24,69599
42.75,43.35,42.0,42.25,2023-11-28,68637
44.95,45.0,42.05,42.55,2023-11-29,105183
42.55,48.0,41.95,43.7,2023-11-30,790305
45.2,46.45,44.05,44.9,2023-12-01,369404
45.3,45.6,43.25,43.75,2023-12-04,128580
44.3,45.95,42.85,43.15,2023-12-05,136023
43.2,44.3,42.95,43.2,2023-12-06,41129
44.3,44.3,42.55,42.9,2023-12-07,44207
43.55,43.9,42.3,42.7,2023-12-08,71074
42.7,43.2,41.0,41.8,2023-12-11,100661
42.2,45.75,41.6,44.35,2023-12-12,423617
47.0,48.7,45.55,46.9,2023-12-13,986787
48.0,48.0,45.55,45.8,2023-12-14,247454
46.25,46.55,44.4,45.0,2023-12-15,100473
46.95,46.95,45.25,45.5,2023-12-18,109834
46.15,46.5,45.0,45.45,2023-12-19,177688
45.4,45.8,42.0,42.8,2023-12-20,190603
42.8,45.25,42.1,43.7,2023-12-21,84988
43.1,45.05,42.6,43.0,2023-12-22,52858
43.65,45.4,42.65,44.9,2023-12-26,163921
45.8,46.65,43.65,44.45,2023-12-27,245559
44.45,45.85,43.0,44.0,2023-12-28,117735
44.85,44.85,43.55,43.7,2023-12-29,45248
