open,high,low,close,date,volume
24.5,24.5,23.5,23.6,2022-09-29,21131
23.85,24.05,23.2,23.4,2022-09-30,35217
23.4,23.95,23.2,23.45,2022-10-03,14324
23.85,23.9,22.8,23.3,2022-10-04,39443
23.1,24.0,23.1,23.5,2022-10-06,20632
23.6,23.8,23.4,23.5,2022-10-07,16619
23.85,23.85,23.05,23.15,2022-10-10,65726
23.5,24.85,23.05,23.7,2022-10-11,57877
24.15,24.15,23.15,23.3,2022-10-12,19261
23.7,23.75,23.0,23.35,2022-10-13,15264
23.75,23.75,22.9,23.05,2022-10-14,16758
23.45,23.45,22.15,22.65,2022-10-17,14485
23.05,23.55,22.25,22.7,2022-10-18,11846
22.7,23.3,22.35,23.05,2022-10-19,25933
23.2,23.45,22.8,23.05,2022-10-20,11174
23.45,23.45,22.65,22.9,2022-10-21,11535
23.3,23.3,22.8,22.9,2022-10-24,3602
22.95,23.35,22.4,23.05,2022-10-25,12851
23.35,23.35,22.65,22.9,2022-10-27,11537
22.7,23.25,22.7,22.85,2022-10-28,6248
23.2,23.25,22.25,22.75,2022-10-31,13607
23.05,23.2,22.65,22.9,2022-11-01,7063
23.0,26.4,22.5,25.15,2022-11-02,301405
24.95,25.0,24.3,24.6,2022-11-03,27089
24.95,24.95,24.35,24.55,2022-11-04,12566
24.65,24.95,24.2,24.55,2022-11-07,14911
24.95,25.5,24.4,24.7,2022-11-09,24503
25.0,25.0,23.2,23.45,2022-11-10,40655
24.25,24.25,23.3,23.65,2022-11-11,18241
24.05,24.05,23.1,23.35,2022-11-14,19854
23.7,23.7,22.5,22.7,2022-11-15,77958
23.15,23.15,22.35,22.75,2022-11-16,32043
23.15,23.15,22.4,22.8,2022-11-17,31223
23.1,23.1,22.45,22.65,2022-11-18,25088
22.65,22.75,22.0,22.1,2022-11-21,14946
22.4,22.85,22.05,22.4,2022-11-22,16978
22.5,22.8,22.1,22.25,2022-11-23,19227
22.55,22.7,22.1,22.2,2022-11-24,12428
22.25,23.15,22.2,22.5,2022-11-25,28552
23.1,23.1,21.8,22.25,2022-11-28,37598
22.65,22.8,22.45,22.65,2022-11-29,26440
23.2,24.75,22.4,23.4,2022-11-30,248299
23.65,23.85,22.85,23.2,2022-12-01,42008
23.55,23.55,22.85,23.35,2022-12-02,27690
23.6,23.6,23.05,23.15,2022-12-05,12645
23.05,23.3,22.9,23.05,2022-12-06,11599
22.6,23.35,22.6,22.85,2022-12-07,16314
23.25,24.5,22.85,23.4,2022-12-08,68735
23.5,23.75,22.5,22.75,2022-12-09,19737
22.7,24.0,22.5,23.15,2022-12-12,69068
23.55,23.85,22.35,22.6,2022-12-13,69792
23.0,23.3,22.2,22.7,2022-12-14,22071
22.7,25.75,22.7,23.25,2022-12-15,221401
23.6,23.6,23.0,23.0,2022-12-16,19949
23.45,27.0,22.8,26.1,2022-12-19,649634
27.2,28.5,25.55,25.9,2022-12-20,1111226
26.1,27.65,24.8,25.1,2022-12-21,334585
25.05,26.8,25.05,25.6,2022-12-22,221863
26.0,26.35,24.5,24.95,2022-12-23,247565
25.05,26.45,24.75,25.0,2022-12-26,115251
25.45,25.45,23.35,23.55,2022-12-27,128659
23.9,24.15,23.25,23.4,2022-12-28,51527
23.85,24.0,23.3,23.75,2022-12-29,26969
24.15,24.15,23.5,23.75,2022-12-30,22938
24.1,26.5,23.4,24.25,2023-01-02,214881
24.6,25.4,24.0,24.25,2023-01-03,25028
24.5,24.9,23.6,23.75,2023-01-04,42711
23.65,24.5,23.65,23.9,2023-01-05,26176
24.3,24.3,23.25,23.55,2023-01-06,31695
23.7,24.5,23.3,23.6,2023-01-09,27909
23.6,24.0,23.35,23.6,2023-01-10,19211
24.05,24.05,22.5,23.2,2023-01-11,14142
23.65,23.65,22.6,22.9,2023-01-12,25418
23.3,23.3,22.85,22.95,2023-01-13,11863
23.75,23.95,23.1,23.6,2023-01-16,35087
23.9,23.9,23.05,23.1,2023-01-17,17436
23.55,26.0,23.2,24.05,2023-01-18,447902
23.65,24.95,23.65,24.15,2023-01-19,64355
24.05,27.0,23.55,25.7,2023-01-20,312647
28.3,29.25,26.0,26.5,2023-01-23,1212351
26.9,26.9,24.55,24.8,2023-01-24,119134
25.1,25.1,23.8,23.9,2023-01-25,57851
24.0,24.15,23.5,23.55,2023-01-27,39946
23.9,24.35,23.5,23.85,2023-01-30,22355
24.0,24.2,23.3,23.85,2023-01-31,13167
24.25,24.45,23.55,23.65,2023-02-01,30806
24.0,24.45,23.05,23.7,2023-02-02,34058
23.55,23.7,22.5,22.95,2023-02-03,58605
22.8,23.2,22.75,22.95,2023-02-06,18161
22.95,23.85,22.85,23.3,2023-02-07,36926
23.85,24.0,22.95,23.45,2023-02-08,42156
23.15,23.6,22.55,22.85,2023-02-09,28220
22.7,23.35,22.7,23.15,2023-02-10,20591
23.5,23.5,22.6,22.95,2023-02-13,16421
22.75,23.3,22.7,22.85,2023-02-14,23012
23.15,23.15,22.65,22.7,2023-02-15,18281
22.95,23.05,22.5,22.7,2023-02-16,14784
22.65,23.0,22.6,22.7,2023-02-17,9955
22.9,22.95,22.3,22.55,2023-02-20,11840
22.55,22.95,22.45,22.6,2023-02-21,7655
22.9,24.1,22.55,22.8,2023-02-22,21338
22.85,22.9,22.5,22.7,2023-02-23,3696
