open,high,low,close,date,volume
20.45,20.6,19.5,20.05,2022-09-29,17258
20.55,20.55,19.6,19.95,2022-09-30,16576
20.0,21.9,19.6,20.15,2022-10-03,114196
20.5,21.4,20.0,20.25,2022-10-04,56838
20.7,20.8,19.65,20.0,2022-10-06,46372
19.95,21.2,19.7,20.8,2022-10-07,121209
21.2,21.2,20.0,20.25,2022-10-10,25449
20.35,20.65,19.3,19.6,2022-10-11,73230
19.65,19.9,19.3,19.4,2022-10-12,25318
19.75,19.75,18.7,18.85,2022-10-13,34803
19.45,20.4,18.95,19.2,2022-10-14,94467
19.2,20.25,18.7,19.25,2022-10-17,82073
19.65,19.65,18.75,18.95,2022-10-18,56246
19.0,20.25,18.7,19.6,2022-10-19,112922
19.6,20.8,19.25,19.9,2022-10-20,56859
20.6,20.6,19.25,19.65,2022-10-21,32194
20.35,20.35,19.3,19.7,2022-10-24,12213
19.7,19.85,19.3,19.35,2022-10-25,29478
19.4,19.7,18.85,18.95,2022-10-27,43983
19.0,19.0,18.15,18.2,2022-10-28,49577
18.2,18.7,18.2,18.35,2022-10-31,16109
18.5,18.5,18.2,18.4,2022-11-01,7736
18.7,18.95,18.25,18.8,2022-11-02,26320
18.95,18.95,18.3,18.65,2022-11-03,13898
18.05,18.8,18.05,18.3,2022-11-04,26566
18.3,18.9,17.85,18.05,2022-11-07,53268
18.7,18.7,18.1,18.15,2022-11-09,15485
18.55,18.55,17.75,17.9,2022-11-10,21770
18.4,18.4,18.0,18.1,2022-11-11,18516
18.1,18.4,17.75,17.95,2022-11-14,42665
17.6,18.9,17.6,18.25,2022-11-15,22113
18.65,18.65,18.05,18.05,2022-11-16,15243
18.45,18.55,18.0,18.05,2022-11-17,11684
18.0,18.3,18.0,18.2,2022-11-18,6789
18.5,18.5,17.2,17.8,2022-11-21,13179
17.95,18.2,17.9,18.05,2022-11-22,6643
18.15,18.15,16.35,17.6,2022-11-23,48066
17.6,18.05,17.3,17.65,2022-11-24,31490
17.9,21.15,17.0,20.95,2022-11-25,1632018
21.2,21.45,19.85,19.95,2022-11-28,234454
19.9,19.9,19.0,19.05,2022-11-29,69831
19.0,19.35,18.9,19.05,2022-11-30,25129
19.3,21.8,18.9,20.3,2022-12-01,425128
20.75,24.35,19.65,24.35,2022-12-02,1865885
25.8,28.4,25.3,27.0,2022-12-05,2854265
27.0,27.85,25.7,25.95,2022-12-06,374732
26.25,26.8,25.0,25.7,2022-12-07,162860
26.0,26.4,24.0,24.2,2022-12-08,141436
24.45,25.25,24.0,24.25,2022-12-09,100676
24.0,24.55,23.3,23.5,2022-12-12,84150
23.4,23.6,22.9,23.05,2022-12-13,78068
22.6,27.6,22.6,26.45,2022-12-14,635344
26.45,26.9,24.85,25.1,2022-12-15,210166
25.0,27.6,24.5,25.35,2022-12-16,292835
25.55,26.8,25.15,26.2,2022-12-19,91059
26.0,27.5,25.35,26.7,2022-12-20,150760
27.2,27.2,23.2,24.2,2022-12-21,125948
24.25,25.7,22.1,22.85,2022-12-22,139190
22.4,22.6,19.55,20.55,2022-12-23,122377
20.2,24.65,20.2,23.55,2022-12-26,425058
23.55,25.5,23.2,23.85,2022-12-27,248478
23.9,24.95,23.25,24.15,2022-12-28,91236
24.65,24.65,23.6,23.95,2022-12-29,29871
24.15,25.0,23.5,23.95,2022-12-30,89934
24.95,25.1,23.6,24.4,2023-01-02,77973
24.25,24.9,24.05,24.15,2023-01-03,24909
24.2,24.75,23.6,23.65,2023-01-04,45856
23.9,28.3,22.7,27.9,2023-01-05,1051907
28.0,33.45,27.55,33.1,2023-01-06,2396158
33.45,38.45,33.1,33.95,2023-01-09,1806504
33.3,33.75,30.55,30.75,2023-01-10,647385
30.65,30.75,28.85,29.6,2023-01-11,311358
21.95,22.45,21.6,21.95,2023-02-28,3297
22.2,22.2,21.35,22.05,2023-03-01,11095
22.1,22.7,21.55,22.35,2023-03-02,11294
22.35,22.75,21.75,22.0,2023-03-03,17975
22.45,22.45,21.0,21.15,2023-03-06,38410
21.15,21.55,20.65,21.0,2023-03-08,27331
21.3,21.35,20.25,20.5,2023-03-09,35317
20.5,20.5,19.65,19.9,2023-03-10,40790
19.95,20.85,19.85,20.85,2023-03-13,36260
20.85,21.55,19.8,20.05,2023-03-14,56214
20.15,20.15,19.1,19.3,2023-03-15,31346
19.8,19.8,18.5,18.85,2023-03-16,41810
19.35,19.75,18.9,19.7,2023-03-17,35077
18.8,20.4,18.8,19.6,2023-03-20,25526
19.35,20.3,19.25,19.85,2023-03-21,11883
20.25,20.4,19.3,19.8,2023-03-22,11616
20.45,20.45,19.75,20.1,2023-03-23,8771
19.6,20.35,19.4,19.6,2023-03-24,10995
19.6,19.85,18.65,18.75,2023-03-27,30791
19.4,19.4,17.85,17.85,2023-03-28,36672
18.15,18.15,17.2,17.55,2023-03-29,21662
17.8,18.4,17.4,18.05,2023-03-31,28556
17.65,18.95,17.65,18.75,2023-04-03,15943
19.4,19.65,19.4,19.65,2023-04-05,25481
20.4,20.5,19.7,20.15,2023-04-06,20054
20.55,20.95,20.0,20.05,2023-04-10,19293
20.45,21.0,20.0,20.25,2023-04-11,20175
20.25,20.7,19.05,19.7,2023-04-12,13674
19.2,20.8,19.2,20.2,2023-04-13,11755
19.75,21.0,19.7,20.5,2023-04-17,25578
20.0,22.55,20.0,22.0,2023-04-18,418679
22.55,22.95,21.55,21.65,2023-04-19,57168
21.85,23.8,21.8,23.8,2023-04-20,286040
24.55,26.15,23.4,23.75,2023-04-21,320871
24.75,25.85,23.0,23.25,2023-04-24,201093
23.85,23.85,22.5,22.8,2023-04-25,57010
22.8,23.15,22.35,22.6,2023-04-26,32528
22.9,23.25,21.7,22.95,2023-04-27,42184
22.3,23.0,22.3,22.55,2023-04-28,17326
23.0,23.0,20.3,21.2,2023-05-02,171987
21.2,22.5,21.05,21.5,2023-05-03,56164
21.55,23.65,21.5,22.15,2023-05-04,226164
22.5,23.55,22.05,22.3,2023-05-05,73966
22.65,22.75,22.0,22.35,2023-05-08,35299
22.3,22.55,21.9,22.3,2023-05-09,22508
22.55,22.55,21.7,21.85,2023-05-10,37981
22.2,22.2,21.5,21.65,2023-05-11,27950
22.0,22.25,20.8,21.15,2023-05-12,34640
21.5,21.7,20.8,21.0,2023-05-15,33756
21.15,22.25,21.15,21.5,2023-05-16,28143
21.55,23.4,21.1,22.55,2023-05-17,141075
22.55,23.35,21.9,22.1,2023-05-18,29330
23.0,23.0,21.95,22.05,2023-05-19,13175
22.8,22.8,21.6,22.0,2023-05-22,24890
21.75,22.4,21.15,21.65,2023-05-23,31603
21.55,22.2,21.45,21.5,2023-05-24,8346
21.95,22.1,21.35,21.4,2023-05-25,17916
21.9,21.9,21.4,21.45,2023-05-26,6490
21.3,21.85,21.3,21.5,2023-05-29,14141
22.25,22.25,20.4,21.15,2023-05-30,23563
21.15,22.2,21.15,21.55,2023-05-31,64185
21.75,22.25,21.55,21.8,2023-06-01,25620
22.2,22.3,21.8,22.0,2023-06-02,32051
22.6,22.9,22.1,22.5,2023-06-05,40818
22.45,22.8,22.25,22.5,2023-06-06,26889
22.8,23.4,22.7,23.05,2023-06-07,63247
23.5,24.0,22.75,23.35,2023-06-08,53603
23.2,23.75,22.55,22.95,2023-06-09,22786
22.8,23.8,22.5,22.8,2023-06-12,37108
22.8,23.3,22.5,22.65,2023-06-13,23037
22.4,24.25,22.35,23.6,2023-06-14,35778
23.5,24.15,23.05,23.3,2023-06-15,25621
23.1,23.85,22.75,23.35,2023-06-16,41795
23.65,23.65,22.5,22.65,2023-06-19,32823
22.7,24.85,22.7,23.6,2023-06-20,170627
23.95,24.4,23.65,23.9,2023-06-21,65457
23.9,23.95,23.2,23.25,2023-06-22,31424
23.2,23.65,22.5,23.05,2023-06-23,44669
22.7,23.35,22.7,23.15,2023-06-26,13494
23.45,23.6,22.85,22.95,2023-06-27,11227
22.9,23.3,22.35,22.55,2023-06-28,18952
22.3,23.05,22.3,22.5,2023-06-30,9160
22.9,22.95,22.3,22.7,2023-07-03,29410
22.85,22.85,22.25,22.3,2023-07-04,42017
22.35,22.65,21.45,22.0,2023-07-05,42106
22.35,22.45,21.55,21.75,2023-07-06,42949
21.55,22.3,21.55,21.9,2023-07-07,38145
21.7,22.4,20.75,20.95,2023-07-10,72058
20.75,21.35,20.15,20.4,2023-07-11,69976
20.35,21.3,20.35,20.9,2023-07-12,24408
21.05,21.25,20.7,21.0,2023-07-13,17426
20.95,21.5,20.7,21.45,2023-07-14,12660
21.0,21.75,21.0,21.1,2023-07-17,14451
21.2,21.45,20.6,21.3,2023-07-18,18539
21.05,22.2,21.0,21.5,2023-07-19,108908
21.95,22.25,20.9,21.05,2023-07-20,40232
21.1,23.9,20.95,23.7,2023-07-21,432552
24.05,25.75,23.1,23.65,2023-07-24,254816
24.3,24.3,23.55,23.75,2023-07-25,53865
24.25,24.25,22.85,23.05,2023-07-26,52075
22.65,23.5,22.65,22.75,2023-07-27,47288
22.8,25.05,22.3,23.85,2023-07-28,265012
23.95,24.35,22.3,22.6,2023-07-31,233078
