open,high,low,close,date,volume
200.1,201.55,197.05,199.95,2022-09-29,1761700
199.5,200.9,197.6,199.9,2022-09-30,1903996
200.9,203.3,198.0,198.65,2022-10-03,1716312
203.0,203.85,198.7,203.35,2022-10-04,2299740
207.35,207.75,201.65,204.3,2022-10-06,2842769
204.5,206.95,202.25,205.75,2022-10-07,1553411
201.65,204.7,201.25,202.75,2022-10-10,1056877
203.75,203.75,198.2,198.75,2022-10-11,1409035
199.5,199.95,198.1,199.5,2022-10-12,840713
199.5,200.5,195.7,197.4,2022-10-13,1517988
199.0,204.25,198.45,201.0,2022-10-14,1843181
200.75,202.0,199.3,200.95,2022-10-17,860178
201.9,202.4,199.7,201.45,2022-10-18,1141295
201.7,203.55,200.65,201.85,2022-10-19,909085
201.0,203.1,200.75,202.6,2022-10-20,1053726
203.0,205.0,201.0,202.5,2022-10-21,1093647
204.15,204.15,202.15,202.65,2022-10-24,90550
202.4,204.05,199.55,202.6,2022-10-25,3225606
204.0,204.75,201.85,202.35,2022-10-27,2477376
203.4,210.55,203.2,208.95,2022-10-28,5531261
208.95,209.0,203.8,205.55,2022-10-31,2454128
206.6,211.05,206.3,210.6,2022-11-01,2167305
211.0,212.0,208.15,211.35,2022-11-02,1711390
210.05,210.5,208.35,209.15,2022-11-03,977853
209.15,211.2,208.8,210.7,2022-11-04,807437
210.7,213.8,210.5,212.55,2022-11-07,1563880
210.6,214.7,207.0,209.35,2022-11-09,1448129
210.8,218.8,210.45,212.6,2022-11-10,5636686
213.7,214.8,211.0,212.2,2022-11-11,1445726
212.6,214.6,212.1,214.15,2022-11-14,859071
214.7,214.7,212.5,213.9,2022-11-15,725740
214.9,215.75,212.25,213.65,2022-11-16,1277106
212.6,215.6,212.6,214.65,2022-11-17,890883
214.75,215.4,211.0,212.25,2022-11-18,1644363
206.55,208.75,205.05,208.3,2022-11-21,1293895
208.5,208.65,205.55,206.3,2022-11-22,988569
207.0,208.6,205.55,208.1,2022-11-23,615536
208.9,209.5,206.2,207.1,2022-11-24,768999
207.9,209.7,206.2,209.0,2022-11-25,1486704
210.0,213.05,210.0,211.1,2022-11-28,1387480
211.1,213.0,210.7,211.85,2022-11-29,591659
211.85,214.35,211.45,212.65,2022-11-30,2502692
