open,high,low,close,date,volume
3985.65,4030.0,3925.05,4003.45,2022-09-29,7380
4023.5,4149.9,4000.0,4106.95,2022-09-30,7322
4073.5,4171.0,4073.5,4140.65,2022-10-03,6411
4161.4,4219.95,4161.4,4194.6,2022-10-04,4348
4204.9,4354.0,4171.0,4331.35,2022-10-06,14852
4315.0,4324.7,4190.0,4235.15,2022-10-07,4260
4221.0,4259.95,4176.8,4225.2,2022-10-10,1937
4233.3,4267.95,4191.75,4218.25,2022-10-11,4783
4218.25,4239.3,4100.1,4138.9,2022-10-12,3623
4125.2,4171.95,4102.25,4132.75,2022-10-13,3028
4162.0,4163.7,4105.8,4137.7,2022-10-14,2549
4122.3,4170.0,4116.05,4162.65,2022-10-17,1510
4148.4,4191.0,4080.8,4100.05,2022-10-18,4416
4102.1,4151.0,3990.0,4006.0,2022-10-19,6927
4017.0,4105.0,4006.0,4095.05,2022-10-20,3034
4085.65,4100.0,3950.0,4003.25,2022-10-21,8395
4041.15,4043.95,3950.0,4035.8,2022-10-24,1072
4012.55,4056.0,3990.0,4009.3,2022-10-25,4530
4020.0,4057.5,3971.1,4025.7,2022-10-27,6412
4026.0,4050.0,4001.55,4024.05,2022-10-28,2498
4024.05,4116.25,4004.0,4032.85,2022-10-31,7226
4053.05,4109.8,4040.05,4102.1,2022-11-01,5965
4102.1,4306.2,4085.4,4231.05,2022-11-02,9130
4250.65,4250.65,4180.0,4218.4,2022-11-03,3644
4238.65,4270.0,4197.3,4240.8,2022-11-04,4344
4240.8,4254.2,4151.85,4224.3,2022-11-07,3635
4224.3,4224.3,4190.0,4212.65,2022-11-09,1954
4165.0,4240.0,4163.05,4232.9,2022-11-10,1612
4232.9,4250.0,4151.0,4225.9,2022-11-11,3924
4302.25,4380.0,4273.0,4362.8,2022-11-14,12114
4380.0,4380.0,4270.1,4327.5,2022-11-15,3092
4349.15,4349.15,4257.85,4292.7,2022-11-16,3717
4270.1,4311.95,4219.0,4240.4,2022-11-17,16007
4245.0,4278.0,4160.0,4188.8,2022-11-18,6763
4200.0,4249.0,4100.4,4236.6,2022-11-21,3853
4249.0,4249.0,4145.0,4158.6,2022-11-22,3987
4179.4,4248.0,4107.85,4125.6,2022-11-23,13110
4146.25,4168.65,4067.0,4090.75,2022-11-24,10642
4100.0,4147.85,4055.0,4081.9,2022-11-25,27829
4100.0,4142.35,4080.0,4085.55,2022-11-28,5673
4099.95,4119.0,4050.05,4063.15,2022-11-29,12563
4083.0,4192.0,4065.05,4164.0,2022-11-30,59921
4180.0,4232.4,4142.0,4148.15,2022-12-01,5228
4160.0,4202.1,4160.0,4179.35,2022-12-02,4066
4168.6,4201.0,4100.0,4116.35,2022-12-05,4457
4127.0,4298.0,4075.0,4093.2,2022-12-06,6931
4129.8,4155.0,4093.25,4148.55,2022-12-07,3432
4148.55,4200.0,4110.0,4197.2,2022-12-08,3665
4200.0,4218.2,4151.05,4197.15,2022-12-09,3270
4162.1,4218.0,4136.1,4182.25,2022-12-12,5422
4175.1,4238.0,4166.05,4190.45,2022-12-13,4424
4193.0,4231.0,4175.1,4187.8,2022-12-14,9293
4208.7,4240.0,4189.55,4221.2,2022-12-15,3213
4210.05,4210.05,4085.8,4118.1,2022-12-16,4463
4138.7,4138.7,4029.8,4081.25,2022-12-19,9557
4081.25,4160.0,4061.05,4142.5,2022-12-20,3656
4150.0,4197.0,4092.1,4135.9,2022-12-21,19819
4150.0,4155.0,4055.15,4103.15,2022-12-22,10516
4129.15,4133.2,4039.95,4062.6,2022-12-23,7136
4075.5,4143.3,3937.2,4064.15,2022-12-26,10271
4064.2,4139.0,4054.85,4113.65,2022-12-27,6406
4092.85,4179.0,4085.0,4099.75,2022-12-28,5483
4119.0,4170.0,4099.0,4142.05,2022-12-29,9328
4125.0,4236.05,3870.1,3953.0,2022-12-30,59949
3975.0,4044.45,3955.1,4001.75,2023-01-02,18926
4024.9,4085.05,3997.55,4071.7,2023-01-03,7686
4072.0,4085.95,3999.0,4022.5,2023-01-04,9706
4047.55,4047.55,3975.1,4025.25,2023-01-05,6091
4025.25,4045.35,3980.05,4011.85,2023-01-06,5380
4012.1,4031.9,3980.1,4005.05,2023-01-09,5370
4006.1,4056.0,3994.6,4032.05,2023-01-10,4542
4013.0,4039.4,4007.0,4030.35,2023-01-11,4136
4030.1,4097.0,4016.6,4081.75,2023-01-12,5537
4080.0,4091.95,4051.05,4072.9,2023-01-13,2285
4079.95,4124.0,4041.2,4112.3,2023-01-16,8083
4102.05,4104.0,4061.05,4074.2,2023-01-17,2694
4080.05,4097.9,4056.9,4085.2,2023-01-18,3151
4087.9,4125.0,4082.0,4086.2,2023-01-19,3410
4080.05,4131.95,4052.1,4084.9,2023-01-20,4918
4105.35,4109.4,3980.0,4063.55,2023-01-23,6041
4027.85,4083.85,4027.85,4067.35,2023-01-24,2617
4053.5,4084.0,4040.0,4050.15,2023-01-25,2816
4055.0,4070.45,4007.0,4042.9,2023-01-27,4278
4042.9,4070.0,4007.25,4021.3,2023-01-30,5781
4012.1,4140.0,4012.1,4093.85,2023-01-31,4479
4114.35,4118.0,4063.05,4099.1,2023-02-01,4392
4060.75,4111.7,4060.75,4088.4,2023-02-02,2838
4108.8,4109.9,4067.55,4102.45,2023-02-03,2928
4350.0,4757.95,4350.0,4702.7,2023-02-06,173972
4678.0,4854.45,4501.05,4714.9,2023-02-07,76695
4709.0,4750.0,4648.2,4686.15,2023-02-08,14181
4675.0,4690.8,4646.1,4675.75,2023-02-09,6705
4699.95,4725.0,4627.05,4702.9,2023-02-10,11653
4700.0,4738.95,4665.05,4688.1,2023-02-13,5881
4688.1,4715.65,4601.05,4646.6,2023-02-14,9581
4646.6,4689.95,4601.0,4649.05,2023-02-15,5680
4641.6,4694.85,4640.0,4667.8,2023-02-16,5054
4680.0,4680.0,4580.0,4593.4,2023-02-17,3010
4616.4,4616.4,4557.85,4585.65,2023-02-20,3307
4575.0,4630.0,4570.0,4603.5,2023-02-21,11237
4565.0,4600.55,4565.0,4575.35,2023-02-22,2746
4555.0,4598.2,4550.0,4557.65,2023-02-23,2302
4521.0,4710.45,4521.0,4678.95,2023-02-24,22780
4678.0,4730.1,4618.65,4678.8,2023-02-27,8983
4678.0,4787.4,4644.55,4677.0,2023-02-28,11255
4677.0,4919.65,4663.1,4886.05,2023-03-01,23114
4998.95,5099.9,4922.25,5050.65,2023-03-02,67619
5091.05,5124.0,4952.7,4977.3,2023-03-03,28224
5147.9,5147.9,4993.8,5086.65,2023-03-06,29823
5139.95,5159.95,5060.0,5092.25,2023-03-08,16815
5100.0,5249.0,5095.0,5100.9,2023-03-09,22764
5100.9,5204.0,5038.05,5113.25,2023-03-10,13052
5130.05,5152.0,5053.6,5082.5,2023-03-13,12056
5107.9,5107.9,4805.1,4880.75,2023-03-14,16110
4880.75,5000.0,4840.0,4863.3,2023-03-15,6902
4880.0,4930.9,4803.25,4851.6,2023-03-16,5504
4880.15,4980.0,4800.1,4866.25,2023-03-17,10531
4999.95,5000.0,4811.05,4916.45,2023-03-20,4191
4926.0,4936.0,4760.0,4817.05,2023-03-21,4754
4808.1,4950.0,4796.3,4938.35,2023-03-22,7408
4938.35,4978.65,4879.9,4886.25,2023-03-23,6135
4915.85,5135.9,4880.7,4901.25,2023-03-24,23424
4909.95,4958.7,4865.0,4873.9,2023-03-27,4946
4873.9,4928.85,4803.8,4844.8,2023-03-28,10327
4840.0,4880.0,4492.8,4571.65,2023-03-29,22577
4601.95,4786.05,4601.95,4686.05,2023-03-31,13435
4709.5,4760.0,4673.95,4718.7,2023-04-03,5100
4742.3,4792.4,4686.65,4761.6,2023-04-05,4276
4785.35,4825.0,4725.0,4735.4,2023-04-06,6643
4979.9,4979.9,4798.0,4921.2,2023-04-10,15486
4940.0,4961.95,4840.0,4852.95,2023-04-11,8721
