open,high,low,close,date,volume
2982.75,3016.0,2955.25,2989.6,2022-09-29,242782
2974.55,3014.9,2958.05,2998.35,2022-09-30,151913
2978.3,3041.8,2950.0,2964.8,2022-10-03,205113
3019.95,3089.95,3001.05,3035.45,2022-10-04,262179
3050.65,3108.9,3040.65,3067.65,2022-10-06,184761
3070.0,3098.75,3035.0,3055.15,2022-10-07,138221
3029.0,3056.65,2971.15,2984.5,2022-10-10,146853
2989.65,3014.1,2950.0,2964.5,2022-10-11,163241
2968.9,3022.3,2950.05,3006.1,2022-10-12,152359
3004.95,3029.55,2981.1,2994.25,2022-10-13,114173
3024.0,3042.45,3002.2,3014.6,2022-10-14,353643
3024.0,3098.6,3006.75,3058.8,2022-10-17,521182
3074.1,3100.0,3038.0,3088.95,2022-10-18,293883
3105.2,3219.75,3102.45,3164.75,2022-10-19,476486
3167.5,3167.5,3105.0,3140.5,2022-10-20,231266
3156.25,3172.85,3078.4,3109.7,2022-10-21,189980
3141.75,3141.8,3112.2,3121.85,2022-10-24,14332
3115.0,3149.6,3107.2,3125.35,2022-10-25,139090
3140.0,3235.1,3130.35,3206.3,2022-10-27,293976
3210.0,3240.0,3180.55,3213.25,2022-10-28,189584
3228.0,3288.4,3220.0,3241.95,2022-10-31,180775
3241.95,3325.0,3235.6,3309.05,2022-11-01,270957
3317.05,3319.2,3232.5,3257.85,2022-11-02,240776
3255.0,3284.25,3230.0,3245.55,2022-11-03,165807
3250.15,3309.0,3222.05,3302.3,2022-11-04,218208
3318.85,3356.3,3283.2,3297.15,2022-11-07,244968
3450.0,3698.45,3410.05,3623.7,2022-11-09,3743111
3625.0,3675.0,3451.0,3494.5,2022-11-10,740442
3551.1,3560.0,3381.3,3434.95,2022-11-11,486943
3443.9,3499.0,3386.25,3400.5,2022-11-14,469107
3400.5,3469.45,3385.0,3427.85,2022-11-15,240379
3445.0,3558.0,3344.25,3379.25,2022-11-16,768981
3390.0,3443.6,3354.9,3371.5,2022-11-17,421304
3390.0,3401.05,3289.95,3299.0,2022-11-18,323763
3309.95,3350.0,3288.05,3326.45,2022-11-21,208297
3335.0,3370.0,3320.05,3335.1,2022-11-22,235589
3351.45,3395.55,3351.45,3376.25,2022-11-23,257306
