open,high,low,close,date,volume
213.1,218.7,212.3,215.2,2022-09-29,6701
216.55,221.6,215.1,219.6,2022-09-30,6990
219.0,221.5,214.0,219.0,2022-10-03,9139
223.35,223.95,220.1,221.25,2022-10-04,4743
221.25,224.0,220.55,222.75,2022-10-06,7322
220.55,223.75,220.1,221.45,2022-10-07,1958
224.75,224.9,216.2,218.8,2022-10-10,6922
221.0,223.45,215.0,217.95,2022-10-11,5179
220.7,222.0,218.1,220.2,2022-10-12,3378
220.3,242.4,220.0,226.6,2022-10-13,103306
229.0,234.0,202.35,222.7,2022-10-14,77945
209.25,211.9,204.0,209.2,2022-10-17,44336
210.0,214.5,206.75,208.65,2022-10-18,11383
205.75,209.75,201.6,204.45,2022-10-19,9449
202.4,210.05,202.0,206.1,2022-10-20,40753
205.95,209.0,199.05,200.2,2022-10-21,31465
201.5,202.95,195.65,197.9,2022-10-24,4498
198.95,204.8,196.1,204.0,2022-10-25,4331
203.95,206.95,200.0,203.45,2022-10-27,9921
204.95,204.95,199.6,200.95,2022-10-28,4532
202.0,203.65,200.15,200.55,2022-10-31,7238
203.55,204.95,200.75,201.1,2022-11-01,6157
203.8,204.0,199.0,199.9,2022-11-02,5166
202.8,203.0,199.2,201.65,2022-11-03,14905
200.1,205.65,200.1,204.35,2022-11-04,7159
204.95,205.8,201.0,202.2,2022-11-07,4825
203.65,203.65,201.1,202.2,2022-11-09,7582
202.25,204.2,200.0,201.2,2022-11-10,1626
205.0,205.0,199.65,201.35,2022-11-11,8092
201.15,203.8,200.25,200.85,2022-11-14,3155
201.2,202.0,199.0,199.5,2022-11-15,5225
200.0,200.5,197.1,198.4,2022-11-16,6291
198.1,199.35,196.0,196.35,2022-11-17,6939
196.6,198.05,193.0,193.6,2022-11-18,4864
193.65,199.05,193.65,196.35,2022-11-21,6783
198.95,198.95,192.6,193.25,2022-11-22,7924
196.0,196.1,190.0,190.8,2022-11-23,10136
193.6,194.2,191.3,192.6,2022-11-24,6116
193.8,194.0,191.5,193.35,2022-11-25,10793
192.05,194.05,191.25,192.5,2022-11-28,19222
192.5,194.0,188.8,189.8,2022-11-29,21264
190.3,192.95,189.9,192.25,2022-11-30,12443
194.9,194.9,185.2,190.1,2022-12-01,13262
189.7,191.15,186.0,187.75,2022-12-02,31841
188.35,189.9,187.05,188.0,2022-12-05,10658
191.0,191.0,184.55,184.95,2022-12-06,28571
187.0,187.0,181.5,183.2,2022-12-07,25502
184.5,186.65,183.9,184.95,2022-12-08,10843
186.15,186.85,180.6,181.95,2022-12-09,13216
182.5,185.4,181.55,182.35,2022-12-12,11759
184.8,184.8,178.1,178.55,2022-12-13,31378
180.0,186.0,179.95,183.45,2022-12-14,27907
184.0,184.95,180.35,181.45,2022-12-15,36420
181.25,185.6,181.25,184.55,2022-12-16,20048
183.5,184.45,180.6,181.65,2022-12-19,32163
183.1,188.7,183.0,183.55,2022-12-20,16267
187.0,187.0,178.0,179.1,2022-12-21,37994
179.85,181.15,177.85,178.55,2022-12-22,9685
177.0,179.0,168.2,169.3,2022-12-23,18837
172.0,179.95,170.1,176.35,2022-12-26,5777
176.2,178.65,174.65,177.55,2022-12-27,7797
178.0,181.0,175.1,178.65,2022-12-28,9280
178.65,180.0,174.55,176.7,2022-12-29,10380
176.5,179.9,176.5,178.7,2022-12-30,6478
183.95,188.25,180.15,187.2,2023-01-02,43585
187.2,189.0,184.2,187.75,2023-01-03,10905
188.45,189.0,184.05,184.5,2023-01-04,8333
185.5,186.95,182.0,182.95,2023-01-05,6265
183.95,185.2,182.0,182.25,2023-01-06,6713
185.0,187.0,178.1,179.9,2023-01-09,18143
183.95,183.95,179.0,179.25,2023-01-10,4850
180.4,182.9,178.25,181.15,2023-01-11,15990
182.1,187.0,176.0,180.55,2023-01-12,79313
176.0,177.5,172.9,175.6,2023-01-13,25977
174.15,177.85,173.0,173.35,2023-01-16,22349
173.05,175.75,171.4,172.4,2023-01-17,8298
171.5,174.05,171.4,171.6,2023-01-18,6613
173.45,173.95,168.0,169.6,2023-01-19,17150
173.0,173.0,166.0,166.7,2023-01-20,11044
169.0,169.0,161.95,163.65,2023-01-23,17456
164.95,167.4,157.7,159.65,2023-01-24,22663
158.8,161.05,156.0,157.8,2023-01-25,18842
160.0,161.15,153.3,155.5,2023-01-27,12051
158.7,159.0,155.0,157.1,2023-01-30,8859
157.1,167.45,157.1,162.95,2023-01-31,19225
163.05,166.15,158.5,160.1,2023-02-01,13426
160.1,164.0,160.0,160.35,2023-02-02,7118
161.9,163.45,159.8,160.3,2023-02-03,5117
162.0,164.0,161.0,161.65,2023-02-06,5100
161.55,164.0,160.0,161.1,2023-02-07,5579
160.2,162.75,160.2,161.75,2023-02-08,3478
161.75,163.75,160.05,161.9,2023-02-09,5338
162.1,166.9,161.85,165.55,2023-02-10,8969
166.6,170.35,166.6,168.35,2023-02-13,7528
168.35,168.9,163.65,165.05,2023-02-14,6289
165.1,165.95,163.9,164.6,2023-02-15,2488
164.4,166.45,163.55,164.1,2023-02-16,5214
161.05,166.25,161.05,164.7,2023-02-17,3450
167.0,167.0,164.25,164.4,2023-02-20,2003
164.9,165.7,164.55,164.55,2023-02-21,3714
164.8,165.15,162.0,162.85,2023-02-22,5026
166.1,166.1,158.0,158.75,2023-02-23,4938
158.75,160.8,156.0,158.25,2023-02-24,15457
158.25,158.25,153.65,155.2,2023-02-27,37978
153.65,156.8,153.0,153.75,2023-02-28,5604
154.0,155.8,152.9,154.9,2023-03-01,6642
155.0,169.0,153.95,163.15,2023-03-02,26468
163.7,165.7,161.0,161.65,2023-03-03,10929
163.35,167.0,162.0,163.05,2023-03-06,16607
160.55,164.5,158.6,160.2,2023-03-08,8788
161.2,162.45,159.0,160.0,2023-03-09,10458
158.9,161.85,158.55,159.9,2023-03-10,25776
159.9,163.0,156.3,157.2,2023-03-13,7250
157.05,158.45,153.6,154.75,2023-03-14,3991
155.55,158.0,155.35,156.6,2023-03-15,9022
155.05,155.55,150.35,151.65,2023-03-16,13048
153.8,157.95,153.65,155.75,2023-03-17,6453
154.05,155.0,150.0,150.65,2023-03-20,9125
152.75,153.65,150.6,152.0,2023-03-21,10971
152.05,154.2,151.85,152.9,2023-03-22,8661
152.3,154.7,151.55,152.9,2023-03-23,4113
153.7,153.95,149.0,149.85,2023-03-24,10301
149.85,151.4,142.0,143.65,2023-03-27,15657
145.0,145.0,138.55,140.4,2023-03-28,15801
140.6,152.0,140.6,150.5,2023-03-29,84389
