open,high,low,close,date,volume
851.9,912.0,849.65,881.7,2022-09-29,158565
877.1,879.0,859.3,865.2,2022-09-30,25034
866.8,895.2,866.8,888.25,2022-10-03,34842
904.0,930.0,890.15,913.8,2022-10-04,53623
918.4,957.55,918.4,951.85,2022-10-06,101380
954.55,1020.0,954.55,1010.65,2022-10-07,334900
1008.7,1030.0,991.0,996.55,2022-10-10,101323
1003.3,1003.35,955.55,966.5,2022-10-11,62891
966.5,997.7,955.55,986.45,2022-10-12,69187
990.0,993.15,958.0,962.25,2022-10-13,47682
968.25,982.1,930.0,936.55,2022-10-14,55597
934.8,957.7,920.3,940.1,2022-10-17,38885
944.85,967.45,935.3,960.2,2022-10-18,33027
960.2,965.0,931.0,933.75,2022-10-19,18533
943.0,952.0,930.95,942.25,2022-10-20,16751
942.25,951.75,918.3,924.0,2022-10-21,12440
933.15,933.3,919.95,921.2,2022-10-24,6602
925.8,948.0,910.55,931.95,2022-10-25,30379
941.7,960.0,927.65,938.5,2022-10-27,21798
931.0,952.15,915.55,921.75,2022-10-28,24908
926.4,930.9,905.55,921.35,2022-10-31,38694
925.0,930.0,905.25,908.5,2022-11-01,28524
908.0,913.95,902.15,907.85,2022-11-02,11655
909.0,917.3,899.0,905.55,2022-11-03,15227
906.9,967.0,905.35,952.5,2022-11-04,302223
957.3,989.3,953.15,962.4,2022-11-07,128134
968.95,1045.0,965.5,1031.35,2022-11-09,380475
1030.0,1038.25,985.0,998.85,2022-11-10,185700
1003.85,1006.0,975.55,1001.45,2022-11-11,64043
994.05,997.0,976.65,977.7,2022-11-14,32715
982.4,982.6,963.0,973.2,2022-11-15,29231
977.9,985.0,958.15,977.9,2022-11-16,35758
977.3,989.4,964.85,971.75,2022-11-17,22998
976.65,976.95,960.0,963.9,2022-11-18,18596
963.9,971.9,960.0,966.2,2022-11-21,7993
971.05,971.05,936.25,944.7,2022-11-22,21133
945.3,958.8,935.55,950.4,2022-11-23,15239
959.85,984.05,959.8,975.35,2022-11-24,49150
978.05,982.9,951.1,959.95,2022-11-25,22856
959.95,980.0,958.0,977.05,2022-11-28,22511
978.6,995.45,970.3,975.15,2022-11-29,42775
983.95,983.95,957.05,977.7,2022-11-30,26779
983.0,983.0,962.05,964.75,2022-12-01,21420
968.6,974.6,957.05,964.0,2022-12-02,12652
964.0,967.95,952.0,956.0,2022-12-05,16706
