open,high,low,close,date,volume
251.95,251.95,240.3,241.0,2022-09-29,3212
240.0,249.9,240.0,246.8,2022-09-30,9807
245.0,246.95,240.25,241.25,2022-10-03,4839
244.85,246.45,240.05,242.45,2022-10-04,3380
245.6,254.0,243.35,247.4,2022-10-06,10825
247.4,258.5,245.25,256.75,2022-10-07,30084
256.75,258.9,250.05,252.2,2022-10-10,9313
255.95,260.0,251.2,253.05,2022-10-11,9513
252.05,258.0,249.25,252.85,2022-10-12,3431
251.25,255.95,248.35,251.0,2022-10-13,3396
254.75,259.9,249.0,249.85,2022-10-14,7212
253.0,253.55,248.5,249.45,2022-10-17,4242
250.2,254.95,247.15,248.05,2022-10-18,5145
252.95,256.0,245.0,247.35,2022-10-19,5833
246.5,253.9,245.35,248.8,2022-10-20,5120
253.75,253.75,244.0,246.7,2022-10-21,4680
247.0,250.0,244.05,246.35,2022-10-24,3817
248.0,248.6,244.25,247.8,2022-10-25,1963
247.8,252.5,246.05,247.6,2022-10-27,6121
247.3,251.0,241.0,242.7,2022-10-28,7303
288.5,291.2,276.4,291.2,2022-10-31,439556
304.4,305.8,279.95,293.15,2022-11-01,344603
292.1,296.8,286.0,287.7,2022-11-02,60341
287.05,290.85,277.0,279.05,2022-11-03,53919
280.1,289.0,280.1,283.05,2022-11-04,23868
285.0,294.8,283.55,286.5,2022-11-07,48422
290.75,296.3,285.0,288.4,2022-11-09,39524
285.1,291.9,282.0,282.55,2022-11-10,17306
283.8,288.3,280.1,280.95,2022-11-11,9848
285.15,286.0,278.15,279.35,2022-11-14,19452
278.2,284.8,277.4,281.45,2022-11-15,29690
285.4,314.0,282.5,306.2,2022-11-16,215652
307.65,309.8,296.05,297.7,2022-11-17,46256
299.0,303.45,285.55,289.7,2022-11-18,24028
290.6,306.0,290.1,303.6,2022-11-21,53776
305.0,313.0,299.4,301.65,2022-11-22,44971
304.7,308.2,292.45,296.35,2022-11-23,26148
298.05,343.2,298.05,322.4,2022-11-24,647385
325.0,332.0,320.0,326.95,2022-11-25,116451
326.95,345.0,318.45,331.45,2022-11-28,196351
333.7,334.25,312.5,316.8,2022-11-29,71867
318.0,319.0,305.0,308.3,2022-11-30,49632
311.9,318.0,309.65,311.6,2022-12-01,29265
311.5,330.0,305.2,324.15,2022-12-02,84498
322.25,344.0,322.25,332.7,2022-12-05,117371
330.5,384.7,330.5,361.8,2022-12-06,1134059
359.7,374.0,355.15,363.8,2022-12-07,238566
363.5,369.05,346.6,350.05,2022-12-08,105383
352.0,357.85,334.0,336.8,2022-12-09,79550
335.0,340.5,328.2,330.95,2022-12-12,49398
333.7,346.5,331.5,338.15,2022-12-13,75308
339.35,345.95,332.25,340.6,2022-12-14,47706
340.0,359.0,335.1,351.35,2022-12-15,123474
346.15,408.8,342.25,385.4,2022-12-16,933743
408.95,455.0,405.0,437.05,2022-12-19,1644145
440.0,453.7,402.85,411.6,2022-12-20,595510
423.0,435.8,359.0,388.75,2022-12-21,306152
391.0,398.4,372.75,381.45,2022-12-22,142914
375.0,388.85,345.5,348.4,2022-12-23,147019
358.5,392.0,350.4,380.3,2022-12-26,159106
400.0,447.0,390.05,441.4,2022-12-27,470320
441.0,443.9,422.35,430.45,2022-12-28,206336
427.8,479.8,421.0,471.5,2022-12-29,972637
477.0,514.0,474.4,486.2,2022-12-30,831763
489.3,513.35,486.2,506.15,2023-01-02,585349
508.55,509.9,470.0,490.6,2023-01-03,292617
494.4,499.8,480.0,486.7,2023-01-04,150146
490.45,495.4,470.0,480.0,2023-01-05,128091
480.0,489.95,467.0,469.6,2023-01-06,97986
476.0,495.5,472.1,491.6,2023-01-09,145082
493.7,493.7,475.0,484.1,2023-01-10,60498
481.0,554.8,479.0,528.9,2023-01-11,713200
537.95,555.5,515.0,546.2,2023-01-12,278055
554.0,581.0,554.0,576.65,2023-01-13,524941
573.0,573.0,525.0,533.4,2023-01-16,270269
534.05,571.9,507.35,563.55,2023-01-17,294946
558.0,574.0,535.05,539.05,2023-01-18,197450
537.0,560.0,528.55,537.25,2023-01-19,121722
540.75,546.95,527.05,531.6,2023-01-20,68161
524.0,530.0,482.0,487.95,2023-01-23,243264
489.9,508.0,463.75,480.75,2023-01-24,159472
480.25,507.7,475.4,491.0,2023-01-25,161738
493.3,502.8,441.9,466.75,2023-01-27,209094
452.35,474.1,427.75,437.9,2023-01-30,108076
441.05,468.95,441.05,457.25,2023-01-31,95132
462.9,467.95,427.0,430.75,2023-02-01,79850
433.5,458.0,429.75,440.7,2023-02-02,71842
447.8,453.85,418.1,444.9,2023-02-03,75153
446.0,472.3,444.0,462.05,2023-02-06,73788
462.2,487.7,462.05,478.25,2023-02-07,99041
482.2,486.05,455.05,460.8,2023-02-08,56635
460.0,460.0,449.0,453.3,2023-02-09,29146
453.3,472.4,446.55,465.65,2023-02-10,56550
467.0,469.0,448.1,452.1,2023-02-13,26716
445.1,474.4,436.15,456.0,2023-02-14,34036
462.0,462.95,451.9,456.9,2023-02-15,21374
460.0,488.75,460.0,483.55,2023-02-16,72180
482.0,503.0,475.2,496.1,2023-02-17,72300
497.7,503.0,485.0,492.75,2023-02-20,39780
497.7,497.7,479.5,481.5,2023-02-21,22144
477.0,481.25,441.3,450.95,2023-02-22,51033
454.9,465.7,447.0,455.95,2023-02-23,28686
458.0,470.0,449.75,453.15,2023-02-24,24696
453.15,457.25,425.0,427.75,2023-02-27,38003
443.45,444.65,425.15,432.95,2023-02-28,33800
427.1,441.95,427.1,434.15,2023-03-01,26527
434.0,440.45,425.05,433.0,2023-03-02,18206
436.9,436.9,426.2,428.15,2023-03-03,31402
430.0,437.9,428.1,431.15,2023-03-06,32492
425.45,468.9,425.45,452.9,2023-03-08,142681
458.05,459.0,440.1,442.85,2023-03-09,33419
440.0,454.85,418.3,438.55,2023-03-10,52386
432.2,443.9,415.0,417.3,2023-03-13,28264
420.0,429.75,412.2,415.5,2023-03-14,17447
420.95,423.95,396.35,400.1,2023-03-15,19527
404.8,408.45,380.4,399.15,2023-03-16,46180
402.45,405.9,388.55,398.35,2023-03-17,27490
392.05,397.8,385.1,388.55,2023-03-20,15541
396.25,410.95,392.1,399.6,2023-03-21,40249
402.0,409.0,395.0,400.3,2023-03-22,22582
401.4,413.0,397.0,401.05,2023-03-23,37111
397.05,403.45,390.0,392.05,2023-03-24,10112
390.5,392.9,369.3,373.1,2023-03-27,18720
373.0,377.45,361.6,368.9,2023-03-28,18891
371.5,392.3,371.5,380.3,2023-03-29,46014
390.0,409.05,390.0,395.8,2023-03-31,42706
403.0,419.15,399.95,408.8,2023-04-03,34222
415.9,449.65,412.05,449.65,2023-04-05,63859
460.0,474.95,450.1,457.15,2023-04-06,128139
469.0,483.45,464.0,469.65,2023-04-10,44426
471.0,479.4,463.1,471.15,2023-04-11,43142
476.0,505.8,474.15,493.6,2023-04-12,157551
492.6,495.0,466.1,469.35,2023-04-13,65343
469.35,490.45,464.05,479.7,2023-04-17,62829
480.0,494.5,478.0,485.35,2023-04-18,48580
488.0,501.0,482.0,493.05,2023-04-19,73189
496.9,515.2,481.15,485.35,2023-04-20,140066
491.95,496.45,476.45,479.2,2023-04-21,35855
480.3,484.0,475.0,477.65,2023-04-24,26313
480.9,502.7,480.15,483.8,2023-04-25,99919
485.95,488.9,481.4,483.5,2023-04-26,24955
484.0,485.7,476.35,478.45,2023-04-27,31684
483.0,497.4,465.0,470.15,2023-04-28,81399
465.0,465.0,435.0,438.4,2023-05-02,122794
438.0,455.0,428.05,444.35,2023-05-03,71432
440.4,459.1,440.4,452.85,2023-05-04,79914
452.75,457.7,435.05,442.1,2023-05-05,28059
445.35,455.0,440.0,443.2,2023-05-08,40413
444.2,448.0,435.0,441.0,2023-05-09,28845
440.25,444.2,428.55,430.95,2023-05-10,38657
432.2,439.9,430.1,431.75,2023-05-11,24484
431.75,432.35,418.6,420.95,2023-05-12,44338
423.9,423.9,398.0,406.65,2023-05-15,67914
410.0,413.0,395.9,398.2,2023-05-16,60578
401.9,414.0,393.0,394.85,2023-05-17,64047
397.8,402.8,384.7,386.2,2023-05-18,61757
388.8,409.0,382.8,398.9,2023-05-19,95011
402.1,403.0,387.0,389.75,2023-05-22,38337
392.5,392.95,382.55,385.05,2023-05-23,28563
385.0,391.35,381.25,383.75,2023-05-24,25214
385.1,386.4,372.55,380.05,2023-05-25,30125
383.0,395.0,380.25,393.0,2023-05-26,62748
395.95,405.4,385.0,403.0,2023-05-29,83854
403.0,403.0,393.0,396.9,2023-05-30,37878
396.0,396.9,383.5,387.8,2023-05-31,41272
389.9,398.8,388.0,389.75,2023-06-01,36891
389.75,396.45,389.75,392.1,2023-06-02,21791
395.25,403.45,389.2,393.25,2023-06-05,50244
394.95,399.8,389.8,390.9,2023-06-06,43254
396.0,409.55,393.0,402.65,2023-06-07,166527
397.25,402.0,387.75,391.45,2023-06-08,79430
394.6,404.7,390.65,400.25,2023-06-09,367662
403.4,406.0,391.3,393.2,2023-06-12,73154
396.0,397.35,388.4,389.15,2023-06-13,49855
391.85,396.0,385.05,388.9,2023-06-14,50523
388.45,390.3,380.0,382.4,2023-06-15,49510
385.0,391.0,382.0,382.4,2023-06-16,74397
387.1,390.5,378.2,380.5,2023-06-19,36603
381.9,390.9,376.5,388.35,2023-06-20,50780
389.8,394.4,384.45,387.15,2023-06-21,33422
385.0,409.8,385.0,394.5,2023-06-22,312879
397.35,399.9,386.0,388.6,2023-06-23,62639
390.0,397.55,384.1,386.2,2023-06-26,39643
386.2,391.9,386.1,386.8,2023-06-27,14500
389.8,389.8,377.55,381.2,2023-06-28,41330
383.9,390.0,381.2,383.1,2023-06-30,43371
383.1,384.7,379.0,380.1,2023-07-03,36447
380.75,383.0,375.5,378.75,2023-07-04,32602
380.0,384.15,376.8,378.9,2023-07-05,26524
380.0,384.95,378.15,379.7,2023-07-06,31600
379.05,388.05,379.05,381.7,2023-07-07,43484
383.9,386.5,379.2,380.0,2023-07-10,24704
377.4,381.4,375.25,378.45,2023-07-11,35811
380.0,390.25,377.8,379.15,2023-07-12,78257
382.0,382.15,375.3,379.1,2023-07-13,25678
381.9,386.8,377.5,381.6,2023-07-14,35993
384.5,387.1,380.2,381.5,2023-07-17,38581
380.0,384.3,379.0,381.35,2023-07-18,21515
381.35,384.4,378.0,381.35,2023-07-19,16721
384.0,403.0,383.05,389.8,2023-07-20,254142
389.85,427.95,386.5,413.45,2023-07-21,618549
413.25,431.6,406.0,410.45,2023-07-24,343791
413.5,415.45,397.35,401.65,2023-07-25,117244
402.0,406.65,398.05,400.85,2023-07-26,52842
416.0,416.0,399.0,403.45,2023-07-27,69378
405.4,406.7,393.0,395.4,2023-07-28,42029
397.8,405.75,393.8,398.05,2023-07-31,48343
400.8,402.0,394.05,397.0,2023-08-01,34598
398.9,404.45,386.6,391.85,2023-08-02,49450
393.85,403.45,387.2,395.6,2023-08-03,47864
395.7,404.3,395.7,398.75,2023-08-04,35682
401.8,416.2,398.2,409.55,2023-08-07,127370
413.5,414.95,401.95,402.9,2023-08-08,34653
405.4,408.6,397.05,402.75,2023-08-09,31412
405.45,409.8,400.0,401.4,2023-08-10,24608
404.2,404.2,392.0,393.9,2023-08-11,24581
397.9,397.95,386.05,392.7,2023-08-14,20209
392.7,398.95,387.55,396.75,2023-08-16,26218
398.35,408.7,393.05,399.7,2023-08-17,49755
400.0,407.5,389.05,390.8,2023-08-18,41540
393.8,397.6,388.95,392.75,2023-08-21,24608
396.25,404.0,392.25,394.0,2023-08-22,20086
396.0,401.95,393.0,395.4,2023-08-23,21696
398.0,415.4,396.0,405.5,2023-08-24,147235
406.1,414.0,398.0,400.15,2023-08-25,70261
403.15,409.1,400.0,402.3,2023-08-28,39493
404.8,412.4,400.55,402.6,2023-08-29,45984
405.9,413.4,402.8,406.5,2023-08-30,70331
408.9,411.55,394.05,397.35,2023-08-31,53196
400.3,404.95,397.1,398.8,2023-09-01,46372
401.45,470.6,401.45,424.0,2023-09-04,475117
429.0,434.0,411.5,419.1,2023-09-05,103337
422.8,441.05,420.0,427.4,2023-09-06,300764
429.95,434.75,427.05,431.9,2023-09-07,77627
436.2,438.5,426.8,429.1,2023-09-08,64307
433.0,444.4,433.0,434.15,2023-09-11,101928
436.0,436.0,401.8,404.65,2023-09-12,110725
408.2,421.65,402.85,416.8,2023-09-13,60091
421.0,454.5,420.85,435.4,2023-09-14,328169
444.0,445.15,428.55,431.8,2023-09-15,91791
437.0,439.75,428.2,429.85,2023-09-18,49978
432.0,438.95,423.75,425.55,2023-09-20,50151
426.0,430.5,417.95,419.25,2023-09-21,39783
414.0,424.7,410.8,418.1,2023-09-22,39127
421.45,443.0,416.95,435.2,2023-09-25,126428
435.8,439.95,425.2,429.1,2023-09-26,28263
434.2,434.2,422.65,431.55,2023-09-27,36292
432.3,449.0,429.0,432.1,2023-09-28,90466
434.0,435.75,427.0,429.7,2023-09-29,28227
427.15,432.45,420.0,421.6,2023-10-03,33514
421.6,432.45,415.55,420.1,2023-10-04,50677
424.15,428.45,420.8,423.15,2023-10-05,24587
425.7,429.0,421.1,422.3,2023-10-06,16988
414.0,422.3,404.3,407.7,2023-10-09,36479
410.35,414.0,407.0,410.55,2023-10-10,15955
413.6,420.0,413.05,418.3,2023-10-11,16052
418.6,425.3,415.0,420.85,2023-10-12,16091
423.95,423.95,416.55,419.3,2023-10-13,11603
419.3,427.1,414.0,416.55,2023-10-16,43715
422.1,423.0,410.55,412.25,2023-10-17,27257
416.65,435.0,410.05,414.45,2023-10-18,102213
416.1,419.5,403.3,411.2,2023-10-19,28613
411.5,415.35,401.05,402.6,2023-10-20,25370
404.0,405.7,385.9,390.75,2023-10-23,47712
390.75,403.0,385.0,387.25,2023-10-25,35624
387.15,393.0,376.55,387.1,2023-10-26,28403
391.2,425.5,389.05,415.05,2023-10-27,184058
418.35,424.0,412.35,417.15,2023-10-30,73829
417.15,422.35,411.4,413.6,2023-10-31,20026
415.2,423.95,412.0,415.6,2023-11-01,33291
420.0,420.0,413.15,416.7,2023-11-02,23102
421.9,424.85,405.1,414.4,2023-11-03,62599
435.0,465.2,435.0,455.5,2023-11-06,627305
457.0,464.0,446.0,448.1,2023-11-07,108779
452.6,457.95,436.25,439.25,2023-11-08,59320
443.95,447.05,426.4,430.9,2023-11-09,52176
430.9,434.75,426.9,432.75,2023-11-10,30181
437.0,442.15,428.15,435.85,2023-11-12,13098
431.5,434.6,420.95,422.7,2023-11-13,48446
429.0,431.55,421.2,428.2,2023-11-15,37944
427.9,429.8,422.0,423.4,2023-11-16,25784
427.0,427.0,420.1,421.6,2023-11-17,18899
422.0,436.85,421.85,428.8,2023-11-20,44748
429.0,435.0,427.15,429.2,2023-11-21,25313
430.35,431.35,422.0,424.65,2023-11-22,18978
426.3,452.0,422.05,439.25,2023-11-23,185012
439.25,448.05,425.0,426.0,2023-11-24,54718
