open,high,low,close,date,volume
1777.0,1794.9,1701.1,1725.05,2022-09-29,30699
1725.05,1825.0,1724.65,1803.7,2022-09-30,29662
1799.0,1825.0,1780.05,1820.3,2022-10-03,32537
1840.0,2025.0,1832.0,2002.1,2022-10-04,212371
2035.0,2035.0,1934.85,2012.2,2022-10-06,86789
2009.9,2098.7,2000.0,2092.2,2022-10-07,92670
2080.0,2080.8,2031.35,2042.35,2022-10-10,32381
2030.0,2061.25,1853.6,1885.9,2022-10-11,73106
1866.0,1960.0,1808.05,1901.15,2022-10-12,73324
1900.0,1926.15,1817.55,1822.4,2022-10-13,37147
1919.5,1924.95,1816.55,1836.15,2022-10-14,78676
1835.0,1867.95,1750.0,1766.8,2022-10-17,91529
1784.25,1868.0,1771.1,1851.1,2022-10-18,47504
1866.9,1880.0,1805.0,1819.55,2022-10-19,23359
1808.0,1869.55,1790.05,1844.9,2022-10-20,22498
1854.65,1875.0,1779.55,1805.65,2022-10-21,30510
1810.0,1869.0,1810.0,1840.95,2022-10-24,9866
1834.0,1834.0,1781.4,1793.5,2022-10-25,12081
1809.0,1810.0,1762.0,1782.2,2022-10-27,12249
1790.0,1800.0,1737.4,1772.0,2022-10-28,21808
1787.25,1829.75,1738.1,1769.65,2022-10-31,119452
1770.0,1796.7,1734.05,1743.4,2022-11-01,36315
1735.0,1769.95,1700.0,1726.5,2022-11-02,30845
1729.1,1780.0,1722.7,1752.2,2022-11-03,28663
1752.2,1775.0,1744.95,1759.25,2022-11-04,6978
1762.0,1790.95,1730.05,1739.65,2022-11-07,17112
1754.25,1780.0,1722.65,1759.55,2022-11-09,11342
1731.05,1834.5,1731.05,1811.5,2022-11-10,101889
1841.0,1847.7,1754.65,1780.9,2022-11-11,43754
1815.0,1845.0,1732.6,1786.3,2022-11-14,54163
1803.0,1803.25,1761.0,1794.5,2022-11-15,28273
1792.95,1943.9,1782.85,1925.6,2022-11-16,127098
1994.0,2013.6,1951.1,1994.1,2022-11-17,68745
2009.0,2020.0,1930.6,1955.65,2022-11-18,22902
1942.05,1998.9,1913.0,1976.4,2022-11-21,23837
1987.25,2085.0,1944.05,1966.2,2022-11-22,51929
1975.95,1987.95,1905.0,1916.15,2022-11-23,23544
1920.0,2055.8,1908.35,2006.3,2022-11-24,49367
2010.6,2148.9,1998.6,2136.5,2022-11-25,96917
2149.95,2250.0,2149.9,2228.2,2022-11-28,120052
2229.0,2283.9,2201.2,2253.5,2022-11-29,41720
2240.0,2329.0,2240.0,2262.85,2022-11-30,48008
2255.0,2288.0,2250.0,2256.65,2022-12-01,23473
2232.5,2354.0,2232.0,2307.25,2022-12-02,46508
2325.0,2360.95,2285.0,2318.85,2022-12-05,36266
2303.95,2384.9,2300.3,2370.45,2022-12-06,32155
2383.25,2398.0,2330.1,2385.45,2022-12-07,17050
2380.0,2413.0,2350.05,2371.4,2022-12-08,26028
2375.0,2404.45,2200.2,2314.7,2022-12-09,57450
2334.0,2375.0,2278.55,2325.5,2022-12-12,29643
2339.25,2371.45,2280.0,2313.8,2022-12-13,13513
2315.0,2325.0,2263.0,2282.45,2022-12-14,14699
2252.0,2285.65,2232.25,2241.1,2022-12-15,8320
2231.85,2258.55,2171.0,2214.55,2022-12-16,15839
2215.45,2250.0,2111.0,2123.2,2022-12-19,26476
2124.0,2177.55,2115.05,2127.5,2022-12-20,15584
2148.2,2148.2,2000.05,2019.5,2022-12-21,29875
2038.8,2038.8,1918.4,1934.25,2022-12-22,25619
1902.3,1993.95,1808.5,1841.1,2022-12-23,36890
1807.05,1984.25,1807.05,1965.45,2022-12-26,69394
2019.95,2065.0,1975.0,2007.55,2022-12-27,56493
2025.0,2025.0,1961.35,1975.05,2022-12-28,23096
1978.0,2026.45,1958.55,2008.5,2022-12-29,17196
2008.75,2058.4,1963.3,1981.05,2022-12-30,30866
1995.9,2030.0,1981.1,2012.75,2023-01-02,13438
2016.75,2155.0,2006.5,2126.15,2023-01-03,49757
2175.0,2175.0,2106.3,2139.0,2023-01-04,42140
2147.65,2157.3,2035.0,2085.05,2023-01-05,26474
2086.0,2139.0,2058.9,2084.0,2023-01-06,25094
2094.25,2194.0,2094.25,2157.5,2023-01-09,36022
2174.25,2192.85,2065.55,2080.75,2023-01-10,29099
2095.0,2148.0,2057.6,2119.55,2023-01-11,36619
2129.0,2234.9,2113.9,2216.5,2023-01-12,40878
2233.0,2247.95,2169.3,2226.9,2023-01-13,25611
2200.0,2278.4,2185.0,2193.1,2023-01-16,30679
2210.0,2210.0,2162.45,2191.25,2023-01-17,14194
2196.0,2206.4,2121.1,2133.5,2023-01-18,20018
2144.0,2192.9,2115.0,2184.5,2023-01-19,11691
2184.5,2200.05,2149.25,2179.8,2023-01-20,15481
2198.25,2205.25,2166.5,2183.15,2023-01-23,10405
2195.5,2200.0,2134.45,2142.45,2023-01-24,11248
2142.45,2144.3,1995.45,2008.0,2023-01-25,40408
2009.95,2029.0,1792.15,1814.55,2023-01-27,104723
1802.0,1947.65,1790.65,1839.75,2023-01-30,84958
1858.25,1916.45,1839.95,1888.65,2023-01-31,26547
1903.8,1950.0,1702.7,1774.25,2023-02-01,48179
1740.0,1778.95,1575.0,1669.8,2023-02-02,149362
1686.25,1718.9,1570.6,1684.25,2023-02-03,147002
1684.95,1735.0,1621.0,1686.65,2023-02-06,59531
1785.15,1948.9,1707.05,1819.3,2023-02-07,360820
1818.9,1829.9,1727.0,1738.75,2023-02-08,147297
1755.0,1880.0,1754.5,1862.35,2023-02-09,161542
1869.85,1917.8,1855.0,1876.95,2023-02-10,95322
1886.25,1899.85,1770.6,1824.3,2023-02-13,115042
1841.25,1876.45,1800.05,1861.9,2023-02-14,86544
1868.35,2020.0,1853.55,2004.6,2023-02-15,206704
2022.0,2094.0,2011.5,2077.5,2023-02-16,135937
2077.5,2149.0,2041.2,2138.05,2023-02-17,140924
2150.25,2154.85,2068.05,2125.05,2023-02-20,57396
2125.0,2169.0,2092.25,2157.55,2023-02-21,46673
2159.85,2190.0,2041.7,2063.5,2023-02-22,98311
2063.5,2135.0,2040.35,2093.65,2023-02-23,76016
2110.7,2150.0,2030.0,2047.25,2023-02-24,94435
2055.0,2060.0,2008.05,2027.7,2023-02-27,39686
2039.0,2067.7,2005.0,2025.65,2023-02-28,52779
2031.0,2059.0,2027.05,2046.65,2023-03-01,21765
2046.65,2164.0,2046.65,2154.1,2023-03-02,108202
2190.0,2224.85,2154.0,2197.1,2023-03-03,91395
2237.7,2410.0,2215.2,2388.15,2023-03-06,227231
2427.95,2457.6,2375.1,2405.7,2023-03-08,126387
2390.05,2430.0,2351.15,2417.95,2023-03-09,60684
2407.95,2460.0,2360.55,2382.75,2023-03-10,91144
2399.0,2399.0,2221.75,2237.85,2023-03-13,87515
2235.05,2255.0,2116.0,2234.95,2023-03-14,136627
2246.0,2294.65,2210.15,2244.3,2023-03-15,40353
2243.0,2274.0,2170.0,2235.6,2023-03-16,42937
2252.0,2292.05,2223.6,2249.9,2023-03-17,30070
2250.9,2250.9,2192.1,2207.35,2023-03-20,18992
2224.25,2244.45,2214.65,2234.6,2023-03-21,12311
2234.0,2359.0,2234.0,2328.7,2023-03-22,58955
2352.0,2374.95,2270.5,2352.25,2023-03-23,31765
2332.0,2379.85,2308.85,2329.0,2023-03-24,23418
2329.0,2329.0,2250.0,2286.25,2023-03-27,31867
2294.95,2325.55,2264.0,2277.1,2023-03-28,27196
2289.0,2403.0,2272.0,2396.85,2023-03-29,71304
2442.0,2485.0,2410.0,2469.9,2023-03-31,76786
2490.45,2545.85,2475.85,2496.8,2023-04-03,60916
2510.0,2518.0,2451.6,2482.2,2023-04-05,42150
2460.0,2539.95,2453.0,2517.35,2023-04-06,26539
2539.0,2539.0,2464.0,2480.05,2023-04-10,51618
2501.0,2510.95,2482.65,2499.6,2023-04-11,48137
2519.9,2519.9,2462.0,2475.3,2023-04-12,23892
2474.95,2489.0,2420.0,2480.35,2023-04-13,25524
2469.95,2500.0,2447.6,2494.15,2023-04-17,13209
2507.0,2507.0,2481.05,2499.9,2023-04-18,26560
2485.2,2503.45,2471.0,2482.1,2023-04-19,26121
2485.05,2501.0,2452.05,2468.2,2023-04-20,23060
2488.8,2510.0,2454.0,2464.5,2023-04-21,64993
2486.0,2770.0,2445.25,2727.1,2023-04-24,285349
2774.0,2785.0,2625.0,2642.5,2023-04-25,120846
2670.0,2670.0,2636.85,2648.9,2023-04-26,26423
2660.0,2660.0,2586.5,2603.5,2023-04-27,30913
2645.0,2655.95,2605.05,2617.4,2023-04-28,24176
2660.9,2700.0,2586.8,2598.2,2023-05-02,40792
2618.0,2798.0,2576.45,2776.8,2023-05-03,298036
2775.0,2838.0,2754.1,2772.0,2023-05-04,56759
2755.0,2865.0,2746.05,2857.3,2023-05-05,56409
2871.45,2994.75,2857.3,2979.45,2023-05-08,103091
2985.0,3007.5,2806.1,2841.45,2023-05-09,122308
2825.0,3048.0,2793.0,3032.5,2023-05-10,156651
3032.0,3047.3,2955.0,2967.3,2023-05-11,54510
2989.9,3215.0,2975.0,3157.1,2023-05-12,214370
3136.0,3171.75,3050.0,3102.65,2023-05-15,69766
3127.7,3147.0,3055.0,3073.15,2023-05-16,36073
3069.8,3105.45,3020.0,3044.7,2023-05-17,31752
3069.25,3189.0,3069.25,3160.3,2023-05-18,67302
3173.85,3184.95,3063.4,3136.75,2023-05-19,32702
3102.0,3173.75,3100.0,3109.35,2023-05-22,20151
3126.15,3210.0,3104.35,3195.2,2023-05-23,34097
3203.15,3288.0,3181.1,3199.35,2023-05-24,74270
3205.0,3247.0,3160.0,3186.9,2023-05-25,37479
3219.25,3293.9,3165.0,3202.15,2023-05-26,131370
3249.5,3249.5,3100.0,3113.15,2023-05-29,59613
