open,high,low,close,date,volume
170.0,172.15,165.95,169.15,2022-09-29,68765
170.8,171.65,166.35,169.8,2022-09-30,69306
170.8,171.2,165.85,166.9,2022-10-03,47151
169.1,173.0,168.25,169.1,2022-10-04,62740
171.55,172.8,169.55,170.2,2022-10-06,50539
172.0,172.0,166.75,168.9,2022-10-07,75860
171.35,171.35,163.0,168.05,2022-10-10,49264
169.8,170.8,168.5,168.85,2022-10-11,46720
170.8,171.5,168.65,170.65,2022-10-12,53343
170.4,171.25,167.5,168.5,2022-10-13,33715
170.65,171.15,168.55,169.85,2022-10-14,45297
168.1,169.85,167.3,167.75,2022-10-17,42925
170.25,173.5,168.45,171.7,2022-10-18,74752
173.35,176.0,169.35,170.2,2022-10-19,67669
168.0,170.65,167.65,168.7,2022-10-20,41116
169.0,169.4,166.85,167.7,2022-10-21,45177
168.9,170.8,167.5,169.95,2022-10-24,34056
171.75,171.75,168.55,169.95,2022-10-25,46716
174.0,175.0,167.25,169.45,2022-10-27,61651
168.0,171.5,168.0,169.1,2022-10-28,24786
169.75,171.95,168.05,170.3,2022-10-31,59014
172.0,172.65,165.35,167.1,2022-11-01,133213
167.5,169.75,166.0,167.9,2022-11-02,104805
169.3,175.25,168.1,170.7,2022-11-03,264941
171.0,173.1,168.4,170.0,2022-11-04,71618
171.8,171.85,167.0,167.55,2022-11-07,110859
167.95,168.85,166.2,166.95,2022-11-09,88920
162.2,165.95,162.2,163.6,2022-11-10,89706
165.35,166.0,162.1,162.95,2022-11-11,58063
163.6,165.55,161.4,163.1,2022-11-14,116732
163.75,165.1,162.2,163.1,2022-11-15,63365
162.5,163.2,161.1,162.05,2022-11-16,49912
161.0,162.35,160.4,161.5,2022-11-17,48788
161.5,165.0,160.25,163.4,2022-11-18,45693
162.1,164.8,161.0,163.45,2022-11-21,59727
164.1,164.35,161.45,163.25,2022-11-22,47046
163.25,163.9,160.6,163.05,2022-11-23,74377
163.4,164.9,162.7,163.7,2022-11-24,38304
163.65,165.7,163.45,163.75,2022-11-25,48155
164.45,166.5,163.6,164.4,2022-11-28,59735
164.05,165.95,163.95,164.25,2022-11-29,56327
164.9,165.5,162.4,163.55,2022-11-30,48119
162.65,167.4,162.65,165.55,2022-12-01,85645
165.9,167.95,164.6,166.4,2022-12-02,63047
168.8,171.4,167.05,170.85,2022-12-05,108216
172.3,175.0,171.0,173.4,2022-12-06,88462
174.6,174.6,169.6,170.3,2022-12-07,36061
171.7,171.95,168.45,169.9,2022-12-08,27357
170.4,172.9,169.5,170.4,2022-12-09,57552
170.0,171.35,167.0,167.35,2022-12-12,63145
168.15,170.0,167.7,168.25,2022-12-13,42290
168.3,169.7,168.0,168.15,2022-12-14,31098
168.7,169.0,167.0,167.15,2022-12-15,52447
166.7,168.9,164.5,165.4,2022-12-16,65072
165.35,166.6,161.05,161.55,2022-12-19,103727
160.05,163.5,160.05,163.05,2022-12-20,38146
164.4,165.75,157.0,157.75,2022-12-21,110312
159.7,164.0,153.0,161.55,2022-12-22,114262
159.95,162.5,152.55,158.45,2022-12-23,120617
156.0,162.75,156.0,161.95,2022-12-26,71432
164.25,164.25,160.8,162.65,2022-12-27,28998
164.3,164.8,161.5,162.1,2022-12-28,23058
160.5,163.25,160.45,162.75,2022-12-29,25815
164.65,164.65,161.7,163.35,2022-12-30,27584
164.4,167.2,163.55,166.55,2023-01-02,58206
166.5,167.95,164.8,166.05,2023-01-03,56288
166.0,166.3,163.65,164.0,2023-01-04,23752
164.0,164.3,162.2,162.6,2023-01-05,18269
162.7,163.55,161.2,162.4,2023-01-06,25024
162.0,165.4,161.15,162.75,2023-01-09,15304
161.55,163.15,160.1,160.75,2023-01-10,21022
160.2,164.05,160.2,162.7,2023-01-11,26832
162.0,163.35,160.25,163.0,2023-01-12,14141
163.0,164.5,161.0,163.3,2023-01-13,17237
163.3,164.45,162.55,163.1,2023-01-16,16668
163.0,165.05,159.4,163.9,2023-01-17,23857
160.25,164.95,160.25,162.2,2023-01-18,17418
160.5,164.5,160.5,162.45,2023-01-19,67135
162.45,164.4,161.8,163.3,2023-01-20,37803
165.0,165.0,161.6,163.05,2023-01-23,30330
164.5,164.5,161.95,163.2,2023-01-24,43812
163.8,164.0,161.65,163.0,2023-01-25,32190
163.7,164.5,161.1,162.6,2023-01-27,60797
161.2,164.2,160.0,163.25,2023-01-30,33443
164.9,167.9,162.3,165.0,2023-01-31,32564
166.6,167.45,162.65,163.95,2023-02-01,40209
164.0,164.25,162.5,163.05,2023-02-02,26190
161.7,163.8,159.0,160.1,2023-02-03,41447
165.0,165.0,159.1,162.6,2023-02-06,46493
162.85,163.9,158.5,161.35,2023-02-07,46126
160.15,162.15,160.15,161.25,2023-02-08,32423
161.0,161.95,160.1,160.95,2023-02-09,19008
160.0,161.75,160.0,160.5,2023-02-10,21627
155.0,162.9,155.0,162.15,2023-02-13,59928
162.5,165.9,157.5,161.15,2023-02-14,80200
164.4,165.8,158.65,160.5,2023-02-15,48041
162.85,162.85,156.95,157.45,2023-02-16,58562
158.15,159.75,156.65,158.95,2023-02-17,48512
158.95,158.95,156.6,157.7,2023-02-20,38234
156.8,160.0,156.0,157.05,2023-02-21,43670
157.5,157.65,155.0,156.7,2023-02-22,49723
156.1,157.65,155.15,155.55,2023-02-23,28069
157.4,157.4,151.9,152.65,2023-02-24,69386
154.5,154.5,151.8,152.6,2023-02-27,31384
152.0,153.65,151.1,151.95,2023-02-28,15094
154.05,154.1,150.8,152.1,2023-03-01,17124
152.1,152.75,150.85,151.1,2023-03-02,22610
151.0,152.4,151.0,151.75,2023-03-03,21639
152.0,159.7,152.0,157.85,2023-03-06,72136
157.85,159.1,154.2,156.3,2023-03-08,24502
156.4,157.85,154.1,155.6,2023-03-09,27749
157.0,157.0,153.55,154.6,2023-03-10,32818
152.6,156.85,150.5,150.95,2023-03-13,30830
150.95,152.35,149.55,149.95,2023-03-14,34837
152.15,152.15,148.7,148.95,2023-03-15,25601
147.5,149.85,143.3,146.05,2023-03-16,40131
148.0,148.15,141.2,146.3,2023-03-17,83782
140.0,152.65,139.5,142.05,2023-03-20,88206
142.6,148.7,142.6,145.5,2023-03-21,72317
145.5,149.3,143.6,144.75,2023-03-22,31851
144.8,147.8,144.8,145.95,2023-03-23,31373
147.4,147.4,137.65,140.75,2023-03-24,41347
142.85,142.85,134.6,136.8,2023-03-27,85765
138.7,138.95,134.2,136.2,2023-03-28,61853
138.0,138.15,135.0,136.3,2023-03-29,42233
138.25,140.5,137.05,138.55,2023-03-31,72085
140.55,144.0,139.3,142.5,2023-04-03,24908
144.55,145.75,141.55,144.95,2023-04-05,29340
145.9,147.05,144.1,146.05,2023-04-06,22296
147.0,149.75,146.0,147.9,2023-04-10,38417
