open,high,low,close,date,volume
3090.0,3149.95,2950.0,3070.15,2023-06-09,7308
3132.0,3684.15,3129.95,3684.15,2023-06-12,28360
3768.0,3975.0,3550.0,3655.65,2023-06-13,44403
3787.95,3787.95,3450.0,3491.45,2023-06-14,8669
3525.0,3840.55,3484.05,3726.95,2023-06-15,56911
3750.0,3784.8,3672.0,3737.25,2023-06-16,9569
3783.0,4050.0,3750.0,4032.35,2023-06-19,21915
4048.0,4297.65,3955.0,4212.2,2023-06-20,17679
4250.0,4633.4,4232.15,4454.1,2023-06-21,52319
4490.0,4674.3,4335.0,4527.25,2023-06-22,21867
4527.25,4600.0,4352.7,4518.85,2023-06-23,9082
4552.0,4650.0,4333.3,4602.2,2023-06-26,14958
4586.0,4640.2,4552.0,4592.85,2023-06-27,2561
4560.0,4626.45,4480.0,4598.75,2023-06-28,4926
4700.0,4700.0,4551.0,4602.15,2023-06-30,4133
4585.05,4586.05,4491.0,4519.5,2023-07-03,2726
4485.0,4500.0,4311.35,4350.75,2023-07-04,4928
4280.0,4313.95,4133.25,4140.75,2023-07-05,6327
4304.9,4304.9,3935.05,3949.5,2023-07-06,10074
3930.0,3979.9,3850.0,3870.75,2023-07-07,5507
3860.0,4064.25,3755.0,4064.25,2023-07-10,4942
4240.0,4267.45,4127.55,4166.55,2023-07-11,7093
4170.0,4304.0,4102.7,4234.05,2023-07-12,3690
4318.75,4318.75,4100.0,4142.55,2023-07-13,2442
4081.05,4166.95,3935.45,4014.75,2023-07-14,6129
4015.0,4070.0,3990.0,4030.05,2023-07-17,1200
4123.25,4123.25,3950.0,3993.0,2023-07-18,2235
4055.0,4086.0,3965.0,3977.1,2023-07-19,1430
3940.0,4030.0,3862.0,3896.7,2023-07-20,2259
3860.0,4049.0,3804.05,3896.15,2023-07-21,4507
3975.0,3975.0,3830.0,3903.3,2023-07-24,3030
3898.0,3964.25,3825.0,3910.15,2023-07-25,1748
3889.95,3990.0,3865.5,3891.3,2023-07-26,1042
3980.0,3994.9,3876.0,3897.5,2023-07-27,1494
3877.0,4000.0,3877.0,3971.3,2023-07-28,1167
3902.0,4169.85,3902.0,4169.85,2023-07-31,6430
4270.0,4378.3,4178.75,4378.3,2023-08-01,3762
4597.0,4597.2,4327.55,4455.35,2023-08-02,12253
4631.0,4678.1,4631.0,4678.1,2023-08-03,2598
4840.0,4912.0,4622.8,4802.15,2023-08-04,9012
4900.0,4947.0,4768.65,4780.95,2023-08-07,3482
4852.65,4852.8,4537.1,4575.35,2023-08-08,6277
4570.0,4687.0,4451.1,4492.55,2023-08-09,2771
4551.6,4699.5,4495.0,4548.95,2023-08-10,3560
4688.0,5003.8,4617.65,5003.8,2023-08-11,25559
5199.9,5504.15,5160.2,5491.8,2023-08-14,54568
5481.0,6040.95,5321.8,6040.35,2023-08-16,41659
6139.9,6342.35,6025.0,6165.3,2023-08-17,31596
6199.0,6199.0,5857.05,5857.05,2023-08-18,12818
5681.0,5729.95,5564.2,5564.2,2023-08-21,10586
5639.6,5842.4,5484.15,5842.4,2023-08-22,4739
6134.5,6134.5,5779.15,5902.2,2023-08-23,20537
6000.0,6038.95,5830.05,5901.05,2023-08-24,5472
5934.7,5989.95,5846.0,5908.1,2023-08-25,5001
6049.0,6100.0,5755.55,5885.65,2023-08-28,7522
5990.0,6019.0,5849.95,5901.2,2023-08-29,5922
5999.0,5999.0,5700.0,5783.15,2023-08-30,3095
5840.0,6040.4,5701.2,5997.95,2023-08-31,45444
6199.0,6199.0,5855.2,5960.4,2023-09-01,2673
6048.0,6123.0,5801.15,5850.5,2023-09-04,3108
5996.0,6049.95,5850.0,5875.7,2023-09-05,1757
5875.7,5985.0,5750.0,5804.1,2023-09-06,1741
5850.0,5850.0,5680.0,5758.7,2023-09-07,3449
5758.7,6046.6,5670.05,6046.6,2023-09-08,5369
6100.0,6185.0,5858.35,5922.95,2023-09-11,5227
5852.7,5984.95,5626.8,5632.15,2023-09-12,9918
5747.0,5747.0,5550.0,5646.55,2023-09-13,5297
5664.8,5928.85,5620.0,5902.65,2023-09-14,5655
5902.65,6024.0,5801.15,5887.35,2023-09-15,3162
5910.5,5910.5,5683.45,5787.1,2023-09-18,3628
5787.1,5887.0,5652.05,5744.5,2023-09-20,1865
5756.0,5756.0,5457.3,5567.9,2023-09-21,3719
5597.9,5656.65,5500.0,5531.45,2023-09-22,1204
5535.25,5695.0,5376.0,5420.2,2023-09-25,1933
5491.55,5550.0,5400.25,5452.2,2023-09-26,2090
5499.35,5724.8,5420.0,5708.05,2023-09-27,3648
5708.05,5993.45,5708.05,5941.2,2023-09-28,6242
6098.7,6139.85,5707.0,5884.0,2023-09-29,3934
5884.0,5928.15,5740.0,5805.35,2023-10-03,1415
5801.0,5801.0,5516.0,5650.35,2023-10-04,5179
5702.55,5750.0,5470.0,5511.4,2023-10-05,4084
5558.7,5627.9,5424.05,5486.5,2023-10-06,1926
5520.3,5565.0,5355.1,5393.0,2023-10-09,1254
5455.55,5494.4,5376.0,5444.15,2023-10-10,1889
5454.1,5480.0,5386.0,5404.25,2023-10-11,1368
5449.95,5463.95,5370.8,5413.65,2023-10-12,1093
5430.6,5431.95,5145.15,5215.45,2023-10-13,5886
5156.0,5460.0,5156.0,5315.75,2023-10-16,2951
5351.2,5455.95,5280.0,5308.15,2023-10-17,1238
5380.0,5380.0,5199.2,5287.65,2023-10-18,1413
5325.0,5325.0,5085.85,5243.0,2023-10-19,10625
5340.0,5340.0,5047.0,5084.1,2023-10-20,8237
5084.0,5138.95,4829.9,4829.95,2023-10-23,6936
4976.0,4999.0,4840.05,4938.95,2023-10-25,2533
4999.0,4999.0,4692.0,4883.05,2023-10-26,4626
5024.0,5087.95,4747.5,5013.15,2023-10-27,5581
5088.0,5090.0,4848.0,5006.4,2023-10-30,4828
5090.0,5144.0,5021.95,5112.5,2023-10-31,1479
5180.0,5180.0,5081.0,5117.7,2023-11-01,1222
5038.35,5198.0,4891.55,5028.4,2023-11-02,5942
5155.0,5155.0,5002.0,5045.5,2023-11-03,2565
5126.25,5169.85,5045.0,5078.75,2023-11-06,1323
5111.75,5175.0,5080.0,5123.25,2023-11-07,1241
5149.35,5164.6,5077.0,5113.85,2023-11-08,1625
5124.4,5147.0,4910.0,4938.75,2023-11-09,2278
4871.25,4999.95,4799.25,4952.15,2023-11-10,3449
4704.55,4704.55,4704.55,4704.55,2023-11-12,3498
4470.0,4939.75,4469.35,4932.0,2023-11-13,22733
5099.95,5178.6,5099.95,5178.6,2023-11-15,8512
5437.5,5437.5,5333.9,5437.5,2023-11-16,19308
5709.35,5709.35,5690.0,5709.35,2023-11-17,12277
5920.0,5920.0,5440.25,5698.0,2023-11-20,20292
5897.9,5898.0,5607.05,5635.45,2023-11-21,4481
5699.3,5699.3,5463.0,5513.05,2023-11-22,3071
5537.9,5584.4,5456.0,5478.45,2023-11-23,1255
5481.4,5639.9,5430.0,5540.6,2023-11-24,1870
5680.0,5697.0,5540.0,5553.65,2023-11-28,3888
5685.0,5700.0,5509.9,5545.25,2023-11-29,3619
5584.15,5587.0,5460.0,5487.3,2023-11-30,5651
5650.0,5678.25,5509.95,5606.25,2023-12-01,4339
5790.0,5790.0,5498.45,5612.35,2023-12-04,4710
5610.0,5675.95,5505.2,5558.0,2023-12-05,1738
5616.6,5623.55,5520.55,5538.7,2023-12-06,1554
5500.0,5558.15,5478.05,5511.15,2023-12-07,1605
5547.85,5550.0,5380.0,5459.6,2023-12-08,3515
5459.6,5467.45,5381.2,5410.3,2023-12-11,1993
5356.25,5472.0,5325.0,5457.95,2023-12-12,3657
5500.0,6003.7,5440.0,6003.7,2023-12-13,19625
6450.0,6604.05,6115.2,6604.05,2023-12-14,30048
6700.0,6741.9,6023.0,6079.1,2023-12-15,28917
6295.0,6295.0,6010.0,6061.75,2023-12-18,6242
6051.05,6115.95,5944.4,5975.45,2023-12-19,2939
6097.9,6097.9,5700.0,5787.8,2023-12-20,5601
5800.0,5879.45,5550.0,5779.95,2023-12-21,8996
5895.0,5945.4,5798.05,5893.6,2023-12-22,3665
5757.0,6050.0,5757.0,6005.05,2023-12-26,2993
5998.95,6100.0,5800.0,6060.05,2023-12-27,11296
6100.0,6280.0,5941.35,5996.4,2023-12-28,8126
5990.0,6144.0,5951.15,6000.15,2023-12-29,2720
