open,high,low,close,date,volume
30.4,31.0,30.05,30.25,2022-09-29,95883
30.3,30.75,29.95,30.35,2022-09-30,55300
30.65,30.9,30.35,30.5,2022-10-03,42100
31.35,31.35,30.65,30.75,2022-10-04,46545
31.05,31.1,30.3,30.6,2022-10-06,64282
31.0,31.0,30.5,30.65,2022-10-07,66177
30.55,30.9,30.2,30.5,2022-10-10,48926
30.55,30.7,30.1,30.3,2022-10-11,71356
30.45,30.5,30.25,30.35,2022-10-12,33828
30.15,30.6,30.0,30.05,2022-10-13,66412
30.15,30.6,29.95,30.05,2022-10-14,83844
30.35,30.35,30.0,30.1,2022-10-17,25372
30.3,30.45,30.1,30.2,2022-10-18,31184
30.2,30.75,30.1,30.35,2022-10-19,64767
30.35,30.6,30.1,30.3,2022-10-20,23906
30.15,30.55,30.1,30.15,2022-10-21,44405
30.45,30.5,29.25,30.15,2022-10-24,49722
30.15,30.4,30.0,30.15,2022-10-25,29651
30.2,30.5,30.0,30.35,2022-10-27,41311
30.45,32.75,30.25,31.7,2022-10-28,307613
32.25,32.35,31.6,31.85,2022-10-31,79043
31.6,32.3,31.4,31.55,2022-11-01,56984
31.6,31.8,31.25,31.5,2022-11-02,30835
31.7,31.8,31.2,31.4,2022-11-03,37268
31.15,32.3,31.15,31.6,2022-11-04,51456
31.3,32.0,31.3,31.75,2022-11-07,65956
31.95,31.95,29.8,30.65,2022-11-09,317791
30.8,31.3,30.5,31.1,2022-11-10,53055
31.1,31.45,30.9,31.1,2022-11-11,90507
31.35,31.35,29.7,30.3,2022-11-14,128560
30.6,30.9,30.25,30.55,2022-11-15,63438
30.8,31.7,30.6,30.85,2022-11-16,130706
31.1,31.4,30.7,31.1,2022-11-17,47486
30.95,31.25,30.8,30.85,2022-11-18,39578
30.85,31.3,30.1,30.65,2022-11-21,67578
30.25,31.1,30.25,30.6,2022-11-22,53952
30.95,30.95,30.4,30.55,2022-11-23,30106
30.55,31.0,30.3,30.9,2022-11-24,32172
30.6,32.0,30.3,31.15,2022-11-25,144676
31.2,32.45,31.15,32.1,2022-11-28,236085
32.15,32.6,31.9,32.3,2022-11-29,145418
32.4,32.55,32.15,32.25,2022-11-30,82754
32.8,32.8,31.5,32.15,2022-12-01,173902
32.25,32.8,32.1,32.35,2022-12-02,125930
32.5,32.75,32.4,32.55,2022-12-05,65912
32.55,32.75,32.3,32.4,2022-12-06,58811
32.65,32.65,31.7,31.8,2022-12-07,63663
31.8,34.95,31.5,34.25,2022-12-08,653139
34.05,34.3,32.55,33.05,2022-12-09,220556
