open,high,low,close,date,volume
1215.0,1215.0,1183.1,1206.4,2022-09-29,3978
1213.0,1233.0,1205.0,1227.85,2022-09-30,12445
1243.0,1243.0,1212.05,1222.65,2022-10-03,6219
1244.0,1247.05,1200.0,1214.4,2022-10-04,9113
1214.0,1228.6,1202.1,1207.15,2022-10-06,4857
1216.0,1230.9,1208.0,1216.55,2022-10-07,4455
1200.6,1229.0,1200.0,1221.6,2022-10-10,3074
1244.0,1244.0,1210.0,1225.25,2022-10-11,2957
1249.7,1259.0,1192.6,1199.75,2022-10-12,10270
1210.0,1210.0,1139.4,1142.85,2022-10-13,22149
1165.0,1165.0,1075.1,1085.35,2022-10-14,32470
1095.0,1097.85,1023.0,1053.8,2022-10-17,28788
1055.2,1073.75,1031.1,1049.6,2022-10-18,23303
1037.0,1094.8,1035.0,1070.2,2022-10-19,47544
1083.0,1172.0,1075.0,1099.9,2022-10-20,114530
1103.0,1139.9,1062.0,1134.35,2022-10-21,29733
1150.0,1169.95,1145.0,1161.45,2022-10-24,20276
1161.0,1168.45,1140.0,1150.4,2022-10-25,10669
1180.0,1279.9,1162.0,1253.85,2022-10-27,65808
1253.85,1262.0,1225.0,1233.45,2022-10-28,14675
1230.0,1278.8,1224.0,1254.15,2022-10-31,7433
1243.0,1259.85,1194.0,1197.6,2022-11-01,12106
1198.0,1198.0,1175.0,1183.3,2022-11-02,4014
1196.35,1196.35,1150.0,1167.55,2022-11-03,25244
1165.0,1190.0,1144.4,1150.25,2022-11-04,9963
1167.5,1167.5,1111.7,1124.7,2022-11-07,7307
1147.15,1185.0,1110.05,1121.15,2022-11-09,15718
1121.15,1140.0,1081.0,1089.8,2022-11-10,8734
1106.15,1135.0,1104.0,1116.8,2022-11-11,10426
1134.95,1140.0,1110.05,1130.5,2022-11-14,3520
1145.0,1145.15,1103.9,1131.05,2022-11-15,10271
1137.0,1174.0,1119.4,1168.55,2022-11-16,11444
1165.0,1210.0,1163.0,1191.9,2022-11-17,18336
1214.95,1214.95,1147.0,1191.6,2022-11-18,13157
1173.75,1196.95,1102.0,1121.25,2022-11-21,8360
1121.25,1135.45,1110.0,1111.85,2022-11-22,5274
1119.0,1195.45,1116.5,1153.0,2022-11-23,26736
1165.25,1175.0,1140.0,1173.6,2022-11-24,13614
1177.6,1183.9,1157.9,1176.4,2022-11-25,9869
1180.0,1183.9,1168.65,1180.45,2022-11-28,4288
1183.8,1185.6,1145.0,1168.5,2022-11-29,17873
1199.9,1207.95,1158.1,1185.05,2022-11-30,20760
1199.9,1199.9,1180.1,1182.75,2022-12-01,4927
1165.1,1212.55,1165.1,1203.75,2022-12-02,15128
1206.0,1227.9,1196.05,1218.15,2022-12-05,14561
1221.0,1222.0,1176.0,1180.0,2022-12-06,7400
1185.5,1190.0,1150.0,1155.85,2022-12-07,7517
1155.0,1165.45,1146.0,1151.3,2022-12-08,10423
1154.9,1184.9,1150.0,1150.75,2022-12-09,28057
1162.0,1162.0,1125.0,1144.75,2022-12-12,8322
1147.8,1267.0,1135.25,1217.85,2022-12-13,21431
1217.85,1229.2,1175.3,1182.55,2022-12-14,12441
1194.4,1195.6,1163.7,1171.5,2022-12-15,11010
1191.2,1191.2,1142.0,1150.55,2022-12-16,9754
1163.9,1168.95,1132.0,1143.15,2022-12-19,10752
1149.0,1164.0,1108.0,1121.8,2022-12-20,18067
1124.95,1144.4,1096.6,1120.65,2022-12-21,15807
1117.85,1124.95,1075.0,1083.3,2022-12-22,14634
1083.0,1083.0,1032.0,1056.1,2022-12-23,17447
1056.1,1114.95,1050.0,1101.1,2022-12-26,8314
1101.0,1149.0,1095.25,1108.2,2022-12-27,11852
1110.85,1114.0,1087.0,1105.35,2022-12-28,3754
1105.0,1134.7,1094.5,1112.3,2022-12-29,9746
1113.0,1135.15,1110.75,1132.55,2022-12-30,9249
1132.0,1148.9,1124.85,1141.8,2023-01-02,8898
1144.6,1146.95,1130.0,1137.7,2023-01-03,3879
1136.6,1150.0,1123.85,1130.95,2023-01-04,2229
1137.3,1137.3,1082.0,1092.0,2023-01-05,4609
1098.8,1100.1,1073.4,1086.95,2023-01-06,3203
1086.9,1110.0,1080.0,1087.1,2023-01-09,2065
1084.35,1098.0,1072.2,1083.75,2023-01-10,2662
1083.75,1100.0,1079.25,1084.75,2023-01-11,2546
1100.0,1100.0,1069.35,1074.65,2023-01-12,1735
1081.65,1090.0,1076.05,1077.6,2023-01-13,5063
1100.0,1100.0,1061.0,1065.2,2023-01-16,2902
1060.0,1067.95,1020.0,1027.7,2023-01-17,14581
1053.0,1053.0,992.1,1004.65,2023-01-18,9219
1014.0,1035.0,994.0,1026.9,2023-01-19,12147
1040.0,1040.0,1001.1,1006.15,2023-01-20,10549
1026.0,1026.0,985.0,988.2,2023-01-23,11690
980.0,1026.95,973.6,1024.05,2023-01-24,30768
1014.0,1014.0,990.0,999.8,2023-01-25,3796
980.05,1019.95,948.0,964.3,2023-01-27,15709
974.0,976.95,948.0,958.2,2023-01-30,4939
967.0,970.0,949.9,961.35,2023-01-31,9151
961.35,972.0,910.0,922.05,2023-02-01,7667
920.0,949.95,880.1,905.05,2023-02-02,16938
910.0,912.2,885.0,896.75,2023-02-03,9290
896.75,947.0,893.0,941.1,2023-02-06,4072
943.0,955.0,915.05,923.2,2023-02-07,8776
930.0,969.0,920.9,959.5,2023-02-08,7352
967.0,967.55,943.55,964.25,2023-02-09,5787
952.2,995.35,952.2,987.4,2023-02-10,12434
1018.8,1018.8,932.65,948.2,2023-02-13,11583
954.95,955.0,925.55,936.75,2023-02-14,4007
936.75,955.0,935.25,942.45,2023-02-15,3964
940.0,940.0,920.1,924.75,2023-02-16,7985
937.0,937.0,916.1,920.65,2023-02-17,7272
924.95,925.0,895.1,903.3,2023-02-20,9077
903.6,904.5,878.65,883.65,2023-02-21,13373
888.8,909.5,880.85,900.2,2023-02-22,6212
890.1,905.95,885.05,889.7,2023-02-23,13005
886.3,915.8,886.0,901.2,2023-02-24,15885
902.0,902.0,853.05,860.95,2023-02-27,13879
873.85,889.9,847.6,881.8,2023-02-28,14185
890.0,920.0,869.0,899.25,2023-03-01,10168
912.75,912.75,880.0,884.65,2023-03-02,2697
895.0,895.0,878.0,880.95,2023-03-03,4256
877.5,895.95,877.5,883.25,2023-03-06,10432
873.25,919.1,870.05,901.3,2023-03-08,17504
920.0,942.0,905.05,936.45,2023-03-09,21642
936.45,989.0,921.05,953.55,2023-03-10,23588
945.0,945.0,922.0,924.7,2023-03-13,11256
909.1,923.9,885.0,891.75,2023-03-14,18760
895.5,905.75,886.95,889.65,2023-03-15,7343
888.8,920.9,869.95,892.75,2023-03-16,8219
892.75,903.2,881.65,887.3,2023-03-17,8921
880.6,894.65,874.5,882.15,2023-03-20,5977
875.15,884.75,870.15,872.45,2023-03-21,5596
872.45,925.0,872.45,911.0,2023-03-22,10058
899.45,905.5,872.25,875.95,2023-03-23,11902
883.0,915.9,878.45,903.65,2023-03-24,23303
900.0,902.3,876.1,880.3,2023-03-27,7798
885.0,885.0,832.0,837.8,2023-03-28,14126
825.0,866.3,825.0,830.95,2023-03-29,14701
843.4,868.6,824.0,827.8,2023-03-31,20756
840.0,862.85,820.0,853.95,2023-04-03,13329
854.0,878.05,827.0,830.45,2023-04-05,26574
835.0,843.1,812.0,826.25,2023-04-06,19046
838.65,846.0,822.0,826.7,2023-04-10,11974
