open,high,low,close,date,volume
182.8,188.25,166.0,169.6,2023-09-12,755485
169.95,177.95,165.5,176.2,2023-09-13,296944
177.0,178.4,164.85,167.9,2023-09-14,416683
170.0,176.0,166.95,168.4,2023-09-15,367073
171.85,171.85,167.05,167.75,2023-09-18,309635
167.05,169.2,164.0,164.75,2023-09-20,170966
165.2,171.95,164.5,167.95,2023-09-21,301211
167.65,168.65,163.0,164.6,2023-09-22,220935
166.0,168.85,163.8,164.7,2023-09-25,127714
165.95,167.5,163.9,164.45,2023-09-26,78857
164.45,165.0,162.5,163.35,2023-09-27,110823
163.2,175.9,163.2,171.05,2023-09-28,744669
174.65,180.6,172.85,175.0,2023-09-29,725895
175.0,179.75,171.65,172.5,2023-10-03,327401
170.9,172.15,167.25,170.3,2023-10-04,489704
174.95,174.95,168.35,170.4,2023-10-05,168592
171.0,173.95,169.05,170.05,2023-10-06,241597
170.0,183.05,167.5,176.05,2023-10-09,684551
180.0,192.85,178.75,184.7,2023-10-10,1819714
191.0,194.0,186.2,192.1,2023-10-11,1413564
194.5,200.85,191.25,193.05,2023-10-12,1161913
192.85,208.9,190.7,204.5,2023-10-13,1272407
206.5,213.95,202.8,208.85,2023-10-16,856491
214.0,214.0,204.5,208.2,2023-10-17,718842
207.95,215.55,206.0,212.9,2023-10-18,924220
212.0,229.85,206.5,228.0,2023-10-19,1081091
228.7,239.35,220.2,221.95,2023-10-20,1023688
225.0,231.5,206.0,207.1,2023-10-23,688931
210.8,214.8,199.0,202.45,2023-10-25,413695
201.65,214.0,191.25,212.1,2023-10-26,871273
213.05,218.45,209.3,212.45,2023-10-27,583532
220.0,220.0,209.0,210.85,2023-10-30,573707
211.25,215.75,206.5,208.15,2023-10-31,233239
209.4,224.4,209.4,218.75,2023-11-01,549975
221.8,223.0,216.05,218.15,2023-11-02,236422
219.8,232.8,214.05,226.15,2023-11-03,689142
229.4,234.0,223.0,224.85,2023-11-06,374443
225.6,229.7,218.4,222.0,2023-11-07,214529
224.0,235.6,223.05,229.95,2023-11-08,848598
217.05,224.2,211.0,213.45,2023-11-09,487211
213.05,213.05,206.0,206.35,2023-11-10,313669
209.7,212.0,207.0,207.9,2023-11-12,80520
208.15,210.55,197.1,202.9,2023-11-13,414117
204.95,208.7,203.35,204.3,2023-11-15,168518
205.65,207.7,199.55,200.25,2023-11-16,266605
200.15,206.9,200.15,205.75,2023-11-17,249044
206.7,209.8,201.0,202.0,2023-11-20,159444
205.0,207.15,201.15,202.1,2023-11-21,98202
202.95,204.95,198.3,200.45,2023-11-22,161798
201.7,203.55,197.7,199.2,2023-11-23,112313
199.9,209.8,199.85,205.95,2023-11-24,293303
206.9,211.7,203.95,205.7,2023-11-28,173046
207.6,207.65,202.7,203.45,2023-11-29,126949
202.25,205.4,199.7,202.8,2023-11-30,177792
204.65,204.65,198.0,198.2,2023-12-01,208717
201.1,201.1,190.0,192.85,2023-12-04,283526
192.85,193.2,188.15,190.9,2023-12-05,312956
192.25,198.7,192.2,197.9,2023-12-06,221489
198.85,204.4,194.5,195.85,2023-12-07,533117
196.0,198.8,188.9,191.05,2023-12-08,225136
192.25,195.7,190.1,192.25,2023-12-11,161101
193.6,197.4,193.0,196.0,2023-12-12,219719
197.0,198.4,195.1,196.5,2023-12-13,178513
197.0,198.1,191.8,193.15,2023-12-14,131135
194.1,195.5,190.2,191.4,2023-12-15,160454
192.2,208.9,190.05,195.65,2023-12-18,646010
196.65,205.95,195.9,199.25,2023-12-19,470196
201.0,202.45,190.3,191.3,2023-12-20,301583
190.75,195.25,189.45,192.35,2023-12-21,135911
193.3,195.0,191.6,192.9,2023-12-22,125331
197.35,200.5,194.3,195.85,2023-12-26,168389
196.9,201.2,194.4,196.15,2023-12-27,145297
197.5,197.75,193.55,194.6,2023-12-28,89249
195.3,195.3,192.0,192.55,2023-12-29,126316
