open,high,low,close,date,volume
205.0,206.85,195.55,197.8,2022-09-29,90156
198.1,203.4,195.1,199.3,2022-09-30,78922
200.3,203.0,194.35,199.2,2022-10-03,63503
204.9,206.45,200.4,201.25,2022-10-04,53498
204.95,211.95,203.4,206.15,2022-10-06,218086
207.0,207.95,205.2,206.95,2022-10-07,38026
207.8,207.8,205.05,206.55,2022-10-10,36881
206.55,209.0,206.05,206.75,2022-10-11,44923
207.2,210.0,204.0,205.4,2022-10-12,92474
206.45,208.9,201.2,206.6,2022-10-13,76549
208.6,208.6,198.05,199.7,2022-10-14,63935
197.2,201.0,195.25,197.55,2022-10-17,48591
198.55,205.7,197.4,203.5,2022-10-18,51916
206.55,207.1,198.2,199.5,2022-10-19,63018
201.1,215.0,198.1,200.25,2022-10-20,482676
200.15,201.9,197.0,197.5,2022-10-21,77028
194.1,199.0,194.1,198.05,2022-10-24,24305
199.05,200.95,191.1,192.25,2022-10-25,93639
191.2,194.9,189.2,194.45,2022-10-27,137892
193.0,193.0,186.6,187.4,2022-10-28,208637
189.25,189.85,187.0,188.5,2022-10-31,74856
188.75,190.0,187.3,187.7,2022-11-01,70546
188.6,193.0,184.1,184.5,2022-11-02,145883
184.8,186.05,183.2,184.15,2022-11-03,44598
186.0,186.0,181.3,182.1,2022-11-04,72548
183.05,186.75,182.05,182.75,2022-11-07,81132
183.65,189.9,182.4,187.95,2022-11-09,121033
188.2,188.3,181.9,183.05,2022-11-10,51038
184.0,185.5,181.9,182.4,2022-11-11,61100
183.3,185.45,181.95,183.05,2022-11-14,60877
184.0,184.3,180.1,181.5,2022-11-15,52562
181.3,182.8,180.0,180.45,2022-11-16,50695
180.35,183.0,179.0,179.6,2022-11-17,47369
180.45,180.45,177.1,177.95,2022-11-18,41006
178.05,179.4,176.6,177.05,2022-11-21,22624
177.4,180.25,177.4,178.2,2022-11-22,38195
179.0,179.1,177.0,177.6,2022-11-23,29770
178.05,179.8,176.25,177.6,2022-11-24,25856
177.85,186.0,176.95,183.0,2022-11-25,86003
182.95,184.2,180.05,180.75,2022-11-28,57281
180.0,181.75,177.1,178.55,2022-11-29,50990
179.1,181.65,179.0,180.25,2022-11-30,34379
181.2,181.95,178.6,179.65,2022-12-01,43245
180.55,182.5,179.3,181.7,2022-12-02,41504
181.7,184.7,179.9,182.3,2022-12-05,67412
182.0,183.1,179.95,180.4,2022-12-06,33155
181.2,181.35,179.1,180.25,2022-12-07,32673
180.0,181.25,179.25,180.35,2022-12-08,26076
181.3,181.9,179.1,180.1,2022-12-09,25260
180.1,181.0,178.65,179.35,2022-12-12,30549
180.0,190.0,179.95,186.1,2022-12-13,176737
187.05,188.0,180.35,182.2,2022-12-14,64906
183.0,187.4,182.25,185.4,2022-12-15,86853
185.4,185.9,181.0,182.8,2022-12-16,41322
182.8,185.0,181.2,182.95,2022-12-19,33352
183.0,183.35,180.0,180.95,2022-12-20,33514
181.0,183.55,175.0,176.1,2022-12-21,61117
177.0,178.15,171.0,172.7,2022-12-22,52308
171.95,172.05,165.05,166.05,2022-12-23,80438
166.0,174.4,165.15,171.7,2022-12-26,52173
172.6,175.65,169.7,173.55,2022-12-27,39094
172.15,178.0,157.95,175.75,2022-12-28,39248
176.0,181.2,173.05,179.2,2022-12-29,70512
180.1,180.9,174.0,174.9,2022-12-30,50135
175.05,175.9,172.5,173.05,2023-01-02,53965
173.3,175.35,172.4,172.75,2023-01-03,65610
173.65,174.0,170.5,171.2,2023-01-04,38354
172.1,172.9,170.95,171.3,2023-01-05,21391
171.6,173.0,169.0,170.05,2023-01-06,27909
170.95,173.05,170.9,171.35,2023-01-09,28181
169.5,174.75,169.5,172.8,2023-01-10,29680
172.8,185.5,171.35,183.4,2023-01-11,365025
184.85,184.85,175.2,177.45,2023-01-12,105449
178.3,179.0,176.15,177.75,2023-01-13,30521
