open,high,low,close,date,volume
254.0,263.95,243.05,249.95,2023-05-09,92516
251.9,255.0,235.95,238.8,2023-05-10,21238
237.4,243.9,235.15,240.85,2023-05-11,22594
240.3,243.85,237.6,240.05,2023-05-12,140932
241.9,244.25,237.6,238.95,2023-05-15,7199
241.4,242.35,238.55,239.7,2023-05-16,90010
244.0,244.0,232.5,236.25,2023-05-17,17371
239.65,241.85,236.25,238.2,2023-05-18,3875
238.05,242.85,235.0,238.05,2023-05-19,5168
238.55,244.75,238.1,241.35,2023-05-22,8598
240.05,243.0,238.0,240.9,2023-05-23,54879
241.05,243.45,234.0,236.9,2023-05-24,12082
239.9,239.9,234.2,236.65,2023-05-25,4604
240.45,240.5,235.35,237.25,2023-05-26,3403
240.0,242.8,235.4,238.65,2023-05-29,12561
242.0,243.0,236.0,237.7,2023-05-30,11249
237.55,239.75,235.95,237.65,2023-05-31,4061
238.1,238.95,234.0,237.6,2023-06-01,5504
239.85,242.0,233.25,238.05,2023-06-02,18771
241.45,285.65,236.4,280.55,2023-06-05,165671
289.0,297.9,283.15,290.8,2023-06-06,68214
290.85,308.0,272.05,278.6,2023-06-07,70021
288.0,290.0,274.0,285.65,2023-06-08,21706
286.95,287.05,275.05,277.75,2023-06-09,14114
276.3,292.1,276.3,284.85,2023-06-12,14806
286.95,291.0,282.1,290.15,2023-06-13,14588
299.0,302.0,281.25,283.15,2023-06-14,25806
285.4,285.65,280.05,280.85,2023-06-15,9230
282.95,287.45,281.1,286.15,2023-06-16,7698
287.1,288.8,276.2,279.45,2023-06-19,11420
283.65,283.65,274.05,276.4,2023-06-20,19889
276.4,280.1,271.0,272.75,2023-06-21,14445
279.85,279.85,263.45,267.0,2023-06-22,27401
270.0,270.0,254.0,258.3,2023-06-23,13126
259.15,277.9,254.65,271.2,2023-06-26,29101
272.05,278.15,267.8,271.55,2023-06-27,17738
278.0,291.95,272.0,283.15,2023-06-28,57357
286.0,287.5,279.6,281.35,2023-06-30,14644
285.1,287.0,276.05,281.25,2023-07-03,11478
285.25,290.0,276.1,278.05,2023-07-04,14400
283.0,284.8,275.0,276.35,2023-07-05,13148
284.0,284.75,265.85,274.75,2023-07-06,15375
285.9,285.9,273.0,276.9,2023-07-07,7950
279.4,281.7,262.6,267.6,2023-07-10,29084
278.0,278.0,268.6,273.95,2023-07-11,3583
274.4,274.95,267.9,272.75,2023-07-12,8905
274.9,274.9,257.0,265.3,2023-07-13,17628
269.7,269.7,263.6,265.2,2023-07-14,4659
276.1,276.1,252.55,264.6,2023-07-17,17113
266.25,268.4,256.7,259.95,2023-07-18,11278
265.65,265.65,256.0,259.3,2023-07-19,7994
265.95,266.0,259.3,261.3,2023-07-20,7491
265.5,265.5,255.0,255.95,2023-07-21,14435
259.85,261.5,247.7,249.4,2023-07-24,12747
250.95,263.95,247.7,258.0,2023-07-25,15316
261.3,264.7,251.0,256.4,2023-07-26,24261
258.9,260.2,251.0,251.75,2023-07-27,13437
254.15,256.25,245.0,250.0,2023-07-28,24294
258.0,260.0,249.55,250.7,2023-07-31,26508
