open,high,low,close,date,volume
103.0,116.8,98.1,104.9,2023-01-04,18928432
106.4,108.8,103.25,106.1,2023-01-05,3563069
106.0,109.9,104.05,107.85,2023-01-06,1209553
108.95,111.1,105.2,105.75,2023-01-09,885982
105.0,105.7,103.5,104.4,2023-01-10,767918
105.0,105.0,101.2,103.0,2023-01-11,533423
103.2,105.0,101.5,102.75,2023-01-12,358933
102.5,105.0,102.3,103.95,2023-01-13,383975
103.95,104.5,100.2,101.15,2023-01-16,246042
102.15,102.5,98.05,100.45,2023-01-17,534543
101.8,102.2,98.05,98.6,2023-01-18,197827
98.2,99.2,97.55,97.8,2023-01-19,179953
98.2,98.75,93.3,95.05,2023-01-20,241979
95.05,95.8,92.05,93.0,2023-01-23,304355
92.5,102.6,92.5,94.55,2023-01-24,902497
95.6,98.85,90.3,93.0,2023-01-25,847265
94.15,94.5,88.65,91.1,2023-01-27,533686
93.75,94.8,90.55,91.75,2023-01-30,546019
91.9,98.2,91.6,96.35,2023-01-31,266583
97.95,100.0,94.2,95.85,2023-02-01,482354
94.1,97.0,92.5,96.4,2023-02-02,226127
97.35,98.2,95.4,96.45,2023-02-03,114705
96.45,102.75,96.0,101.4,2023-02-06,496568
101.4,106.25,99.55,102.8,2023-02-07,553463
102.75,107.8,101.0,105.0,2023-02-08,591197
103.55,107.4,103.55,104.6,2023-02-09,140511
103.6,107.0,102.4,106.45,2023-02-10,152162
106.45,106.45,102.1,103.55,2023-02-13,107843
104.8,104.95,96.25,99.85,2023-02-14,230669
101.6,101.6,98.0,99.05,2023-02-15,82865
99.9,100.0,96.8,99.0,2023-02-16,101882
100.4,100.4,97.0,97.7,2023-02-17,42404
99.65,99.7,97.5,98.2,2023-02-20,29946
97.15,100.7,97.15,97.7,2023-02-21,80948
97.5,99.3,95.35,97.9,2023-02-22,166117
97.9,99.0,97.0,97.3,2023-02-23,35779
98.9,98.9,94.5,96.95,2023-02-24,45404
97.7,99.0,95.0,98.1,2023-02-27,63807
100.0,100.65,96.6,97.55,2023-02-28,89913
98.5,99.0,97.6,98.4,2023-03-01,20447
100.4,100.4,97.3,97.75,2023-03-02,25341
98.95,98.95,97.45,97.75,2023-03-03,20992
98.5,98.75,96.9,97.2,2023-03-06,27792
97.9,98.95,96.8,97.1,2023-03-08,33133
97.0,99.1,93.3,97.2,2023-03-09,134420
97.9,97.9,95.7,96.25,2023-03-10,26896
97.3,98.0,94.5,96.25,2023-03-13,63486
96.95,96.95,93.6,94.25,2023-03-14,20815
95.95,95.95,93.0,93.35,2023-03-15,21250
93.05,93.6,90.6,93.3,2023-03-16,29470
93.7,95.85,93.2,95.0,2023-03-17,18521
93.3,96.05,91.35,92.3,2023-03-20,19681
93.45,93.7,91.45,92.65,2023-03-21,17930
93.25,93.45,91.0,91.75,2023-03-22,14775
91.75,98.75,91.2,97.2,2023-03-23,77413
98.15,98.75,92.25,92.9,2023-03-24,41968
97.6,97.6,90.25,90.95,2023-03-27,62578
92.6,92.7,88.5,89.0,2023-03-28,33887
90.0,92.75,87.25,91.75,2023-03-29,51925
91.5,97.5,89.7,96.6,2023-03-31,196688
97.4,97.8,95.15,96.1,2023-04-03,18332
94.8,98.0,94.7,95.4,2023-04-05,51849
95.0,97.05,94.65,95.85,2023-04-06,26346
