open,high,low,close,date,volume
291.5,295.95,290.05,292.3,2022-09-29,4035
292.7,294.1,291.5,292.6,2022-09-30,3162
290.9,291.4,288.0,288.05,2022-10-03,5746
290.0,294.0,290.0,292.25,2022-10-04,5860
293.6,293.9,289.85,290.85,2022-10-06,7266
292.9,293.1,287.5,291.85,2022-10-07,6056
291.85,292.3,287.0,290.9,2022-10-10,8245
291.0,291.8,246.0,274.5,2022-10-11,22642
277.7,286.95,277.7,279.05,2022-10-12,16453
280.0,280.05,279.05,279.55,2022-10-13,2811
282.1,283.6,279.0,280.0,2022-10-14,2901
279.0,283.45,279.0,279.9,2022-10-17,3008
280.0,282.7,279.0,280.5,2022-10-18,2167
280.1,280.5,279.0,279.1,2022-10-19,2860
280.0,281.05,279.0,279.2,2022-10-20,2249
281.5,284.6,279.0,280.3,2022-10-21,6693
281.0,286.0,280.5,284.0,2022-10-24,2535
283.7,283.7,273.1,278.3,2022-10-25,34062
278.0,280.3,269.0,277.75,2022-10-27,19513
278.1,278.3,276.0,277.45,2022-10-28,2925
278.0,282.0,277.9,281.4,2022-10-31,25419
282.1,283.65,279.5,281.0,2022-11-01,8076
280.0,296.55,280.0,286.05,2022-11-02,44032
288.0,288.0,280.0,281.0,2022-11-03,13642
281.0,284.0,281.0,282.8,2022-11-04,4208
283.9,284.9,281.35,282.1,2022-11-07,4758
282.0,284.0,280.25,281.35,2022-11-09,4882
281.35,284.3,280.15,281.85,2022-11-10,3043
283.15,284.0,279.8,280.1,2022-11-11,27687
283.05,283.45,280.1,280.35,2022-11-14,2837
280.4,282.95,280.1,281.25,2022-11-15,30650
280.0,281.95,280.0,280.15,2022-11-16,28797
279.0,282.8,279.0,280.95,2022-11-17,33954
280.1,282.4,279.0,280.55,2022-11-18,29923
280.55,282.8,279.5,280.1,2022-11-21,32995
280.05,282.55,280.0,280.1,2022-11-22,13412
280.0,282.45,279.0,279.9,2022-11-23,29070
284.0,284.0,279.0,280.75,2022-11-24,13646
280.75,282.95,279.95,282.2,2022-11-25,7070
284.0,292.0,280.1,286.55,2022-11-28,67834
286.55,292.0,263.35,266.85,2022-11-29,221913
27.9,32.0,26.95,32.0,2022-11-30,2394249
30.5,31.65,29.2,30.05,2022-12-01,792137
29.05,30.45,28.25,28.6,2022-12-02,630976
29.8,30.35,29.0,29.65,2022-12-05,326486
29.05,30.25,28.3,29.2,2022-12-06,340703
29.9,30.1,28.4,29.1,2022-12-07,242573
29.7,29.7,27.0,28.25,2022-12-08,323659
28.5,29.25,28.2,28.4,2022-12-09,141850
29.1,29.5,28.05,28.45,2022-12-12,230539
29.4,29.4,26.45,28.15,2022-12-13,128347
28.0,29.15,27.8,28.05,2022-12-14,145525
28.05,28.6,27.5,27.6,2022-12-15,131441
28.45,28.45,27.0,27.15,2022-12-16,209146
27.7,27.7,26.05,26.25,2022-12-19,108913
26.3,27.35,26.1,26.75,2022-12-20,79222
27.35,27.55,26.5,27.05,2022-12-21,105416
26.25,26.95,25.0,25.9,2022-12-22,176325
25.8,26.0,25.25,25.85,2022-12-23,174896
25.05,26.5,24.9,25.8,2022-12-26,72710
26.45,26.5,24.25,25.6,2022-12-27,142154
26.05,26.95,25.6,25.85,2022-12-28,178330
25.85,27.3,25.5,26.15,2022-12-29,158044
27.2,27.3,26.0,26.1,2022-12-30,105653
27.0,27.0,25.75,25.95,2023-01-02,48479
26.75,26.75,25.25,25.3,2023-01-03,116413
25.5,25.85,20.3,20.5,2023-01-04,1903838
21.85,24.4,21.0,21.2,2023-01-05,2255649
